Orthogroup	kog_cerevisiae_pos_go	kog_droso_pos_go	kog_elegans_pos_go	kog_humano_pos_go	protein_mansoni
OG0000178	NP_010120.1, NP_012659.1, NP_013307.1		NP_509973.1, NP_510458.1, NP_510459.1	NP_037465.2, NP_055481.1, NP_055779.2, NP_060427.2	6183.Smp_031100.1, 6183.Smp_140330.1, 6183.Smp_202480.1
OG0000179	NP_014106.1, NP_014529.1	NP_523736.1	NP_495156.1, NP_497310.2	NP_055503.1, NP_056342.3, NP_078995.2, NP_114143.1	6183.Smp_001420.1, 6183.Smp_145170.1, 6183.Smp_165040.1, 6183.Smp_165700.2
OG0000180	NP_011863.1, NP_012928.1	NP_612075.1	NP_491691.1	NP_060254.2, NP_065892.1, NP_065947.1, NP_073613.2, NP_078862.4, NP_663613.1	6183.Smp_089120.1, 6183.Smp_156000.2, 6183.Smp_179720.1
OG0000181	NP_012456.1, NP_012457.1, NP_012938.3	NP_608663.1	NP_509706.2, NP_509707.2	NP_071738.1	6183.Smp_012350.2, 6183.Smp_124050.4, 6183.Smp_124060.1, 6183.Smp_124070.1, 6183.Smp_163400.1, 6183.Smp_200460.1
OG0000182		NP_610052.1	NP_492617.4, NP_497209.1, NP_507509.3, NP_509899.3	NP_003050.2, NP_003051.1, NP_004245.2, NP_004247.2, NP_004781.2, NP_004794.2, NP_060954.1, NP_149116.2	
OG0000183		NP_476616.1	NP_492371.1, NP_495132.2, NP_495133.1, NP_503783.1, NP_508160.1, NP_508836.5, NP_509628.1, NP_510648.1, NP_510649.3	NP_005563.1, NP_005564.1	6183.Smp_170930.1
OG0000184		NP_572920.1	NP_503382.1, NP_503383.1, NP_504682.1	NP_001899.1	6183.Smp_067060.1, 6183.Smp_085180.1, 6183.Smp_103610.1, 6183.Smp_105370.1, 6183.Smp_141610.1, 6183.Smp_158410.1, 6183.Smp_158420.1, 6183.Smp_179950.1
OG0000185		NP_573179.1	NP_494741.2, NP_502676.4, NP_503183.1, NP_503197.1, NP_505152.2, NP_506999.2, NP_510033.2, NP_510465.2	NP_061847.2, NP_077287.1, NP_112192.2	6183.Smp_165680.1
OG0000186		NP_477317.1	NP_509791.4	NP_004697.2, NP_004714.2, NP_006729.4, NP_009131.2, NP_055599.1, NP_056128.1, NP_056133.2	6183.Smp_008190.1, 6183.Smp_126600.1, 6183.Smp_144620.1, 6183.Smp_172650.1
OG0000187		NP_477140.1, NP_524596.1	NP_502094.1, NP_507060.2, NP_508547.1	NP_003260.1, NP_005225.2, NP_005645.1, NP_055064.1, NP_057430.1	6183.Smp_150630.1, 6183.Smp_155250.1, 6183.Smp_167770.1
OG0000188		NP_524031.2	NP_493750.1, NP_498640.1	NP_003172.1, NP_004599.2, NP_005140.1, NP_005983.1, NP_037483.1, NP_058650.1, NP_542377.1, NP_542378.1	6183.Smp_003900.1, 6183.Smp_163240.1
OG0000189		NP_477427.1, NP_477428.1	NP_496094.1, NP_499944.3, NP_501210.3, NP_501844.1, NP_509075.3	NP_004161.4, NP_004162.2, NP_004163.3, NP_005062.1, NP_006662.3	6183.Smp_016600.1
OG0000190		NP_511162.1	NP_490860.1	NP_001381.2, NP_001383.2, NP_068707.1, NP_116757.2, NP_116761.2, NP_116762.2, NP_116763.1, NP_149159.2, NP_149160.1	6183.Smp_076500.1, 6183.Smp_210860.1
OG0000191			NP_490769.2, NP_496437.1, NP_498560.2, NP_499135.1, NP_500733.2, NP_501047.1, NP_501331.1, NP_501827.3, NP_502200.1, NP_502251.1, NP_502779.1, NP_503038.1, NP_506537.1		
OG0000192	NP_013289.1, NP_015053.2	NP_569844.2	NP_490828.3, NP_495537.2, NP_502776.1, NP_503098.2, NP_506645.1, NP_506927.2	NP_009119.2, NP_036221.2	6183.Smp_063000.1
OG0000193	NP_014855.3	NP_525090.1	NP_492072.2	NP_002066.1, NP_006569.1, NP_057278.2, NP_067642.1	6183.Smp_010230.1, 6183.Smp_063640.1, 6183.Smp_075130.1, 6183.Smp_094480.1, 6183.Smp_158700.1
OG0000194	NP_013915.1	NP_524070.2	NP_495324.2, NP_502390.2	NP_000048.1, NP_000544.2, NP_004250.4, NP_060669.1, NP_116559.1	6183.Smp_056620.1, 6183.Smp_127490.1, 6183.Smp_129130.1
OG0000195	NP_012371.2, NP_012755.1, NP_015121.1	NP_476977.1	NP_508671.2	NP_002721.1, NP_002722.1, NP_002723.2, NP_005035.1	6183.Smp_152330.1, 6183.Smp_164380.1, 6183.Smp_194610.1
OG0000196	NP_010204.1, NP_013859.1, NP_014092.1, NP_014513.1	NP_609603.1	NP_496356.2, NP_510429.1	NP_002084.2, NP_063937.2	6183.Smp_008260.1, 6183.Smp_125310.1, 6183.Smp_155720.1
OG0000197	NP_011551.3	NP_608729.1	NP_491412.1, NP_496552.1, NP_498609.1, NP_499531.1, NP_509822.2	NP_065438.1, NP_078998.1, NP_115736.1	6183.Smp_147930.1, 6183.Smp_149150.1
OG0000198	NP_010006.1, NP_011725.3, NP_013144.1	NP_511046.1, NP_523526.1	NP_491142.1	NP_001003936.1, NP_003320.2, NP_036605.2	6183.Smp_008070.1, 6183.Smp_037530.1, 6183.Smp_054470.1
OG0000199	NP_012644.1	NP_523489.1	NP_491531.2, NP_499753.1, NP_504038.1	NP_000243.1, NP_056273.2, NP_057240.3, NP_060147.2	6183.Smp_083540.1, 6183.Smp_123210.1, 6183.Smp_180520.1
OG0000200	NP_010528.3	NP_610764.1	NP_497103.1, NP_499508.2, NP_499545.1, NP_500017.2, NP_501366.1, NP_501368.1	NP_001432.2	6183.Smp_004220.1, 6183.Smp_124410.1, 6183.Smp_167750.1
OG0000201	NP_011958.1, NP_014302.3, NP_014707.1		NP_496909.1	NP_001555.1, NP_005528.4, NP_061944.2, NP_115705.2	6183.Smp_049630.1, 6183.Smp_120980.1, 6183.Smp_128970.1, 6183.Smp_154450.1
OG0000202	NP_015012.3	NP_476643.1	NP_491282.1, NP_492849.3, NP_493713.2	NP_001290.2, NP_001830.1, NP_003177.2, NP_003555.1, NP_004359.1, NP_037391.2	6183.Smp_086330.1
OG0000203	NP_010996.2, NP_015019.1	NP_609285.1	NP_498081.2, NP_503467.2	NP_000680.2, NP_000681.2, NP_000683.3, NP_000684.2, NP_003879.2	6183.Smp_022960.1, 6183.Smp_050390.1
OG0000204	NP_010242.1, NP_010477.3, NP_014573.1, NP_014668.1, NP_015310.1	NP_477351.1		NP_036369.2, NP_036370.2, NP_036371.1, NP_085096.1	6183.Smp_084140.1, 6183.Smp_138640.1
OG0000205	NP_010659.1	NP_477081.1, NP_477256.1, NP_477257.2, NP_477258.1, NP_611543.3	NP_508588.1	NP_001267.2, NP_002548.3, NP_003456.1, NP_003991.2, NP_068569.2	
OG0000206		NP_511049.1	NP_491778.2, NP_499813.1, NP_510375.2	NP_000249.1, NP_002466.1, NP_002467.1, NP_066299.2, NP_524144.1, NP_524146.1, NP_524147.2	6183.Smp_062250.1
OG0000207		NP_511100.1, NP_572579.3	NP_493353.3, NP_495833.1	NP_003103.2, NP_006554.1, NP_057354.1, NP_114124.1, NP_619638.2	6183.Smp_018170.1, 6183.Smp_066930.1, 6183.Smp_140880.1
OG0000208		NP_569904.1	NP_491621.1, NP_491834.1, NP_491842.2, NP_495546.2, NP_498099.1	NP_060579.3, NP_073741.3, NP_078893.2	6183.Smp_005640.1, 6183.Smp_153400.1, 6183.Smp_165320.1
OG0000209		NP_524155.1	NP_503965.2	NP_001457.1, NP_003459.2, NP_003496.1, NP_003498.1, NP_003499.1, NP_009128.1, NP_036325.2, NP_114072.1	6183.Smp_118970.1, 6183.Smp_139180.1
OG0000210		NP_608487.1	NP_495163.1, NP_496159.1, NP_497763.1, NP_501571.3	NP_002297.2, NP_002299.2, NP_006140.1, NP_006490.3, NP_033665.1, NP_054900.2, NP_149092.3	
OG0000211		NP_611025.2, NP_611808.2	NP_498948.1, NP_499032.1	NP_000410.2, NP_000876.3, NP_002195.1, NP_002196.4, NP_002197.2, NP_002198.2, NP_002201.2	6183.Smp_156620.1
OG0000212		NP_524599.1	NP_497452.1	NP_000515.2, NP_000854.1, NP_000855.1, NP_000856.1, NP_000857.1, NP_062873.1, NP_076917.1	6183.Smp_126730.1, 6183.Smp_148210.1, 6183.Smp_149770.1
OG0000213		NP_524917.1	NP_493911.1, NP_497612.2, NP_498604.2, NP_505167.2, NP_505983.2, NP_509828.2	NP_001090.2, NP_001601.1, NP_149059.1	6183.Smp_016640.1, 6183.Smp_123670.1
OG0000214		NP_609903.2	NP_509138.2	NP_000516.3, NP_000881.3, NP_000882.1, NP_002230.1, NP_002231.1, NP_004972.1, NP_004973.1, NP_004974.2, NP_037480.1, NP_066292.2	
OG0000215		NP_524633.3	NP_500513.1, NP_501836.1, NP_505120.1	NP_000269.3, NP_003457.1, NP_003978.3, NP_003979.2, NP_003980.3, NP_003981.3, NP_057953.1	6183.Smp_142940.1
OG0000216		NP_524500.1	NP_508232.1, NP_510445.1	NP_001760.1, NP_004347.1, NP_004607.1, NP_005715.1, NP_005716.2	6183.Smp_024820.2, 6183.Smp_062980.1, 6183.Smp_095630.1, 6183.Smp_100080.1
OG0000217		NP_477167.1, NP_477168.1, NP_477169.1, NP_610108.1	NP_492506.1, NP_501958.1, NP_510300.1	NP_001668.1	6183.Smp_073920.1, 6183.Smp_124240.1, 6183.Smp_160290.1, 6183.Smp_163170.1
OG0000218		NP_477200.1		NP_001172.1, NP_001662.1, NP_001773.1, NP_055173.1, NP_055695.2, NP_056532.4, NP_057268.1, NP_525126.2, NP_550435.1, NP_550436.1, NP_569708.1	
OG0000219		NP_572237.1	NP_500374.2, NP_505194.2, NP_505195.1, NP_505196.2, NP_505202.2, NP_509170.1, NP_510045.2		6183.Smp_152940.1, 6183.Smp_168630.1, 6183.Smp_174870.1, 6183.Smp_179570.1
OG0000220			NP_499922.1, NP_500384.2	NP_001265476.1, NP_002743.3, NP_002744.1, NP_620448.1, NP_620634.1, NP_620637.1, NP_620707.1, NP_620708.1, NP_620709.1	6183.Smp_172240.1
OG0000221			NP_493642.1, NP_493662.1, NP_494428.1, NP_497097.1	NP_003036.1, NP_003037.4, NP_004164.2, NP_116192.4	6183.Smp_004190.1, 6183.Smp_123010.1, 6183.Smp_176930.1, 6183.Smp_176940.1
OG0000222			NP_496546.2, NP_501823.2, NP_503058.1, NP_503443.1, NP_504616.1, NP_504617.2, NP_505338.1, NP_505339.2, NP_505341.1, NP_505586.1, NP_505957.1, NP_509296.1		
OG0000223			NP_491619.2, NP_501935.1, NP_510625.2	NP_001120.3, NP_001295.2, NP_001299.1, NP_001864.1, NP_001865.1, NP_003643.3, NP_062555.1	6183.Smp_142190.1, 6183.Smp_159890.1
OG0000224			NP_506391.2, NP_508008.4	NP_001421.2, NP_001521.1, NP_002508.2, NP_005059.2, NP_005060.1, NP_033664.2, NP_071406.1, NP_071907.4	6183.Smp_165270.1, 6183.Smp_178780.1
OG0000225			NP_492099.1, NP_492230.2, NP_508622.2	NP_001085.2, NP_001086.2, NP_004760.1, NP_061144.4, NP_064423.2, NP_064717.1, NP_064718.1	6183.Smp_153900.1, 6183.Smp_167450.1
OG0000226				NP_003416.1, NP_003436.4, NP_004225.3, NP_006291.2, NP_037491.2, NP_037492.2, NP_037493.3, NP_037494.2, NP_037530.2, NP_056178.3, NP_057003.2, NP_057528.2	
OG0000227				NP_000676.1, NP_000677.2, NP_001286.1, NP_001287.2, NP_001548.1, NP_003458.1, NP_005152.1, NP_005499.1, NP_006632.2, NP_057652.1, NP_112477.1, NP_116743.1	
OG0000228					6183.Smp_089320.1, 6183.Smp_089330.1, 6183.Smp_089370.1, 6183.Smp_089380.1, 6183.Smp_114430.1, 6183.Smp_119060.1, 6183.Smp_120180.1, 6183.Smp_128340.1, 6183.Smp_159300.1, 6183.Smp_168940.1, 6183.Smp_170890.1, 6183.Smp_176190.1
OG0000229					6183.Smp_090100.1, 6183.Smp_090110.1, 6183.Smp_135530.1, 6183.Smp_153930.1, 6183.Smp_167070.1, 6183.Smp_167100.1, 6183.Smp_167110.1, 6183.Smp_167120.1, 6183.Smp_171320.1, 6183.Smp_171350.1, 6183.Smp_173070.1, 6183.Smp_204600.1
OG0000230	NP_011004.3, NP_012191.1, NP_014125.1	NP_609496.1, NP_610063.4	NP_496868.1	NP_001319.1, NP_001320.1, NP_006614.2, NP_036335.1	6183.Smp_211270.1
OG0000231	NP_010720.3		NP_495307.3, NP_496441.1, NP_496442.1	NP_003760.1, NP_005617.2, NP_006266.2, NP_008855.1, NP_008856.2	6183.Smp_036270.2, 6183.Smp_185230.1
OG0000232	NP_009771.3, NP_011675.1, NP_014382.1		NP_495120.1, NP_495121.1, NP_496718.1	NP_003243.1, NP_060577.3, NP_071320.2, NP_071505.2	6183.Smp_166190.1
OG0000233	NP_011310.1	NP_523802.1, NP_523803.1	NP_493262.2, NP_493263.1, NP_493264.1, NP_499119.1, NP_510603.2	NP_003491.1, NP_004026.2, NP_009223.2	
OG0000234	NP_013533.1	NP_572352.1		NP_003380.3, NP_009005.1, NP_055140.1, NP_065174.1, NP_076962.2, NP_078811.3, NP_116243.2, NP_438171.1	6183.Smp_012720.1
OG0000235	NP_010193.1, NP_011360.1, NP_015502.1	NP_524894.1	NP_498559.1	NP_002019.1, NP_004573.2, NP_005014.2	6183.Smp_065780.1, 6183.Smp_066960.2, 6183.Smp_150160.1
OG0000236	NP_012796.1, NP_013822.1		NP_510357.3	NP_001617.1, NP_005154.2, NP_005456.1, NP_005618.2, NP_037389.4, NP_057360.3, NP_071416.2	6183.Smp_073930.1
OG0000237	NP_009445.2	NP_476863.1		NP_002728.2, NP_002730.1, NP_005391.1, NP_006245.2, NP_006246.2, NP_006248.1	6183.Smp_128480.1, 6183.Smp_131700.1, 6183.Smp_176360.1
OG0000238	NP_012462.3, NP_013941.2		NP_497962.1, NP_498155.3, NP_506711.1	NP_005485.1, NP_006727.2, NP_036460.1, NP_490647.1	6183.Smp_022330.1, 6183.Smp_078800.1
OG0000239	NP_012222.1	NP_477215.1	NP_498928.1	NP_002601.1, NP_002602.2, NP_002603.1, NP_005382.1, NP_005872.2	6183.Smp_068170.1, 6183.Smp_070390.1, 6183.Smp_140580.1
OG0000240	NP_009618.2	NP_569969.1	NP_497129.1, NP_510498.1	NP_009213.1, NP_056343.1, NP_057578.1, NP_060904.2	6183.Smp_049970.5, 6183.Smp_071380.4, 6183.Smp_079400.1
OG0000241	NP_013908.1, NP_015092.1	NP_524475.1	NP_510323.3	NP_003755.2, NP_004168.1, NP_004594.1, NP_004595.2	6183.Smp_019890.1, 6183.Smp_066670.1, 6183.Smp_179930.1
OG0000242	NP_011051.3	NP_476753.1	NP_490865.4	NP_008944.1, NP_008945.2, NP_056092.2, NP_073576.1, NP_113671.3	6183.Smp_123180.1, 6183.Smp_165260.1, 6183.Smp_207020.1
OG0000243	NP_009597.2	NP_524723.2, NP_611906.1	NP_502367.3, NP_509509.1	NP_003636.2, NP_005085.2, NP_036386.1, NP_054750.1, NP_077306.3	6183.Smp_143830.1
OG0000244	NP_015171.1	NP_525030.1, NP_609235.1, NP_609458.1	NP_509142.2, NP_510191.1	NP_001900.1, NP_001901.1, NP_004842.1	6183.Smp_013040.2, 6183.Smp_136730.1
OG0000245	NP_010269.1, NP_012215.1	NP_609203.1	NP_495430.1, NP_501719.1, NP_510071.1, NP_510077.1	NP_000339.2, NP_001038.1, NP_078868.1	6183.Smp_081820.3
OG0000246	NP_014094.1	NP_523722.1, NP_610824.1	NP_501350.3, NP_505501.1	NP_036438.2, NP_057140.2, NP_071435.2	6183.Smp_150500.1, 6183.Smp_181470.1, 6183.Smp_210790.1
OG0000247	NP_012293.3	NP_477307.1	NP_501797.1	NP_001304.1, NP_001376.1, NP_001377.1, NP_001378.1, NP_006417.2, NP_064519.2	6183.Smp_078780.1, 6183.Smp_085110.2
OG0000248	NP_009955.2, NP_010900.1		NP_501023.3	NP_005012.2, NP_006199.2, NP_055751.1, NP_067547.1	6183.Smp_084890.1, 6183.Smp_104270.1, 6183.Smp_153340.1, 6183.Smp_153390.2
OG0000249	NP_013651.1	NP_572499.2		NP_002533.1, NP_058212.1, NP_058213.1, NP_058214.1, NP_058434.1, NP_058436.1, NP_058437.1, NP_058438.1	6183.Smp_074010.1
OG0000250	NP_010471.1, NP_013269.1, NP_013294.1	NP_524705.1, NP_610487.3	NP_492952.1, NP_496457.1	NP_037369.1, NP_057129.2	6183.Smp_036250.1, 6183.Smp_059100.1
OG0000251	NP_009536.1, NP_010023.1, NP_010024.1, NP_010025.1, NP_012095.1, NP_012313.1, NP_014463.1, NP_014464.3			NP_002950.3, NP_003096.2	6183.Smp_179360.1
OG0000252	NP_011652.1, NP_015480.1	NP_476858.1	NP_509342.1	NP_002077.1, NP_004801.1, NP_006604.1	6183.Smp_000640.1, 6183.Smp_044530.1, 6183.Smp_062950.1, 6183.Smp_173170.1
OG0000253	NP_012367.2		NP_491206.1, NP_491340.2, NP_506333.1, NP_509306.2	NP_054878.5, NP_056374.2, NP_060959.2, NP_071900.2, NP_075447.1	6183.Smp_210650.1
OG0000254		NP_569972.1	NP_508493.1	NP_002367.5, NP_004945.4, NP_059672.2, NP_061120.3	6183.Smp_013840.2, 6183.Smp_014170.2, 6183.Smp_040190.1, 6183.Smp_057360.1, 6183.Smp_194640.1
OG0000255		NP_523610.2, NP_608557.4	NP_492017.3, NP_502564.2	NP_000821.1, NP_000822.2, NP_002079.3, NP_055434.2, NP_068775.1	6183.Smp_147430.1, 6183.Smp_153780.1
OG0000256		NP_524258.2, NP_524259.2, NP_524261.1, NP_524262.1, NP_524265.3, NP_524266.1, NP_524267.2, NP_524269.3, NP_536784.1	NP_497609.1, NP_503411.1		
OG0000257		NP_523735.2, NP_611221.1, NP_620470.1	NP_509408.1	NP_000387.1, NP_001324.2, NP_001903.1, NP_004070.3, NP_004381.2	6183.Smp_139240.1, 6183.Smp_210500.1
OG0000258		NP_611815.3, NP_611816.2	NP_507880.1	NP_001045.2, NP_001046.2, NP_001047.1, NP_003158.2, NP_005411.1, NP_006579.2, NP_055166.1, NP_055280.2	
OG0000259		NP_610724.1	NP_491575.1, NP_504554.1, NP_505941.3, NP_509415.2	NP_000187.3, NP_002144.1, NP_002896.2, NP_003699.3, NP_003716.2, NP_004042.1	
OG0000260		NP_523833.1	NP_491459.1, NP_504620.2, NP_509290.1	NP_060484.2, NP_075044.2, NP_075049.1, NP_612808.1	6183.Smp_075230.1, 6183.Smp_077440.1, 6183.Smp_124090.1
OG0000261		NP_524772.2, NP_611390.2	NP_499028.1	NP_001034200.1, NP_006449.2, NP_056086.2, NP_079464.2, NP_150594.2	6183.Smp_039300.1, 6183.Smp_098550.1, 6183.Smp_150060.1
OG0000262		NP_524873.1	NP_491198.1, NP_504944.2	NP_000137.2, NP_002023.2, NP_114100.1	6183.Smp_047640.1, 6183.Smp_047650.1, 6183.Smp_047660.1, 6183.Smp_047680.1, 6183.Smp_087760.1
OG0000263		NP_477191.1, NP_524832.3	NP_493610.1, NP_502961.1, NP_504576.1	NP_001343.2, NP_002117.1, NP_003207.1, NP_005375.2	6183.Smp_026400.1, 6183.Smp_164180.1
OG0000264		NP_511056.2, NP_523417.2	NP_494343.2, NP_494538.1, NP_496490.2	NP_000893.2, NP_001388.1, NP_055508.3, NP_115707.2, NP_258428.2	6183.Smp_159370.1
OG0000265		NP_523631.1, NP_523632.2, NP_523633.1, NP_523636.1, NP_523637.1, NP_523639.1, NP_523640.1, NP_523641.2, NP_523642.1, NP_523643.2, NP_523644.1			
OG0000266		NP_477393.1, NP_608899.1	NP_491936.3	NP_001210.1, NP_002892.1, NP_002893.1, NP_065701.2	6183.Smp_005230.2, 6183.Smp_103740.1, 6183.Smp_147680.1, 6183.Smp_158150.1
OG0000267			NP_490975.1, NP_492826.1, NP_498511.1, NP_500644.2, NP_500846.1, NP_501081.1, NP_501307.1, NP_501309.1, NP_501793.1, NP_501907.1, NP_501994.1		
OG0000268			NP_492720.3, NP_509674.2	NP_000830.2, NP_000831.2, NP_000832.1, NP_000833.1, NP_000834.2, NP_000835.1, NP_000836.2	6183.Smp_052660.1, 6183.Smp_150370.1
OG0000269			NP_507901.2		6183.Smp_088570.1, 6183.Smp_107700.1, 6183.Smp_110040.1, 6183.Smp_110310.1, 6183.Smp_184370.1, 6183.Smp_184780.1, 6183.Smp_186960.1, 6183.Smp_189290.1, 6183.Smp_190390.1, 6183.Smp_191130.1
OG0000270			NP_499680.1, NP_510291.1	NP_001100.3, NP_003465.3, NP_003806.3, NP_055080.2, NP_055294.1, NP_067673.2, NP_068547.2, NP_079496.1	6183.Smp_160620.1
OG0000271			NP_509920.3	NP_003113.2, NP_005851.1, NP_006341.1, NP_006837.2, NP_037541.1, NP_055286.1, NP_066937.1, NP_115955.1	6183.Smp_123300.1, 6183.Smp_155050.1
OG0000272			NP_491926.1, NP_491928.1, NP_506440.1, NP_506444.2	NP_000125.2, NP_001433.1, NP_001435.1, NP_001437.1, NP_002668.1, NP_004093.1	6183.Smp_095360.1
OG0000273				NP_003424.3, NP_003426.3, NP_005764.2, NP_060122.2, NP_065708.2, NP_078967.3, NP_079038.2, NP_079109.2, NP_116217.1, NP_597717.1, NP_612356.2	
OG0000274					6183.Smp_025180.1, 6183.Smp_154080.1, 6183.Smp_167710.1, 6183.Smp_168700.1, 6183.Smp_182910.1, 6183.Smp_184750.1, 6183.Smp_185370.1, 6183.Smp_190320.1, 6183.Smp_190590.1, 6183.Smp_194000.1, 6183.Smp_197110.1
OG0000275					6183.Smp_075350.1, 6183.Smp_075360.1, 6183.Smp_075370.1, 6183.Smp_075380.1, 6183.Smp_075390.1, 6183.Smp_075400.1, 6183.Smp_075420.1, 6183.Smp_075430.1, 6183.Smp_162840.1, 6183.Smp_166170.1, 6183.Smp_204390.1
OG0000276					6183.Smp_200150.1, 6183.Smp_200390.1, 6183.Smp_200970.1, 6183.Smp_201180.1, 6183.Smp_202180.1, 6183.Smp_203770.1, 6183.Smp_203990.1, 6183.Smp_204030.1, 6183.Smp_205070.1, 6183.Smp_205980.1, 6183.Smp_206260.1
OG0000277	NP_010113.1	NP_524310.1		NP_000658.1, NP_000659.2, NP_000660.1, NP_000661.2, NP_000662.3, NP_000663.1, NP_000664.3	6183.Smp_044440.1
OG0000278	NP_014626.1, NP_116669.1	NP_524622.1	NP_500139.1	NP_003647.1, NP_065130.1, NP_065172.1, NP_076951.2, NP_149117.1	6183.Smp_065290.1
OG0000279	NP_010121.1	NP_524019.1	NP_498514.2, NP_498646.1	NP_001958.2, NP_004388.2	6183.Smp_031010.1, 6183.Smp_097660.1, 6183.Smp_166400.1, 6183.Smp_211330.1
OG0000280	NP_116614.1	NP_511052.1	NP_499809.1, NP_508841.1	NP_001092.1, NP_001605.1	6183.Smp_046600.1, 6183.Smp_161920.1, 6183.Smp_183710.1, 6183.Smp_202970.1
OG0000281	NP_010741.1, NP_013684.1	NP_477510.1	NP_497892.1	NP_002565.1, NP_005800.3, NP_006784.1	6183.Smp_004470.1, 6183.Smp_059480.1, 6183.Smp_062900.1
OG0000282	NP_009781.3	NP_611913.1	NP_495450.1, NP_495979.1, NP_505451.1, NP_506502.1, NP_508035.1, NP_508231.2, NP_508731.3, NP_510728.2		
OG0000283	NP_010213.1, NP_013503.1	NP_611401.2	NP_508124.1, NP_509770.2	NP_001717.3, NP_005095.1, NP_031397.1, NP_490597.1	6183.Smp_147950.1
OG0000284	NP_012852.1		NP_495520.2, NP_501850.1, NP_505919.3, NP_505920.1, NP_505921.1, NP_505922.1, NP_505924.1, NP_506406.1, NP_506407.1		
OG0000285	NP_009564.1		NP_497811.1, NP_506164.1, NP_509344.1	NP_002098.1, NP_003484.1, NP_003520.1	6183.Smp_074610.1, 6183.Smp_082240.1, 6183.Smp_089860.1
OG0000286	NP_012942.3	NP_477374.1, NP_523399.1	NP_491748.1, NP_491749.2, NP_500829.2	NP_005735.2, NP_006312.1	6183.Smp_130600.1, 6183.Smp_150890.1
OG0000287	NP_011893.1, NP_014862.3	NP_524739.1	NP_506850.1, NP_510461.1	NP_001926.2, NP_001927.3, NP_004451.2, NP_570629.2	6183.Smp_057530.1
OG0000288	NP_010697.3, NP_014799.1	NP_523664.1	NP_492444.4	NP_004662.2, NP_006090.2, NP_056981.2, NP_057250.1	6183.Smp_153010.1, 6183.Smp_172130.1
OG0000289	NP_012660.1		NP_508085.2, NP_509928.3	NP_003218.2, NP_003225.2, NP_004467.1, NP_005458.1, NP_005459.2, NP_057218.1	6183.Smp_135510.1
OG0000290	NP_015221.1		NP_506019.2	NP_060592.2	6183.Smp_088800.1, 6183.Smp_178380.1, 6183.Smp_179140.1, 6183.Smp_190720.1, 6183.Smp_194140.1, 6183.Smp_194150.1, 6183.Smp_199340.1
OG0000291	NP_009504.1	NP_572609.1, NP_572882.1	NP_497796.1	NP_037445.1, NP_057145.1, NP_113665.3	6183.Smp_152180.1, 6183.Smp_171850.1, 6183.Smp_200020.1
OG0000292	NP_010712.1	NP_525075.1	NP_502298.2	NP_003737.1	6183.Smp_019310.1, 6183.Smp_040680.1, 6183.Smp_095520.1, 6183.Smp_174520.1, 6183.Smp_200180.1, 6183.Smp_201060.1
OG0000293	NP_010974.1, NP_012219.3		NP_500392.1	NP_002702.2, NP_005389.1, NP_006233.1, NP_078883.2, NP_149992.3	6183.Smp_153700.1, 6183.Smp_167660.1
OG0000294	NP_014079.1	NP_477372.1	NP_490914.3, NP_492210.2, NP_496938.2	NP_067037.1, NP_112490.3, NP_116248.2	6183.Smp_027000.1, 6183.Smp_038830.1
OG0000295		NP_476849.1	NP_493502.1	NP_002022.1, NP_002028.1, NP_002335.2, NP_004295.2, NP_005424.1	6183.Smp_011700.1, 6183.Smp_136300.1, 6183.Smp_212730.1
OG0000296		NP_476817.1, NP_524532.2	NP_498069.1	NP_004312.2, NP_006603.2, NP_055690.1, NP_055889.2, NP_078980.3	6183.Smp_159790.1, 6183.Smp_198590.1
OG0000297		NP_523561.1	NP_509186.3	NP_000058.1, NP_001729.1, NP_001730.1, NP_004047.3, NP_005172.1, NP_005173.1, NP_009151.1	6183.Smp_028670.1
OG0000298		NP_476733.1	NP_504419.1, NP_504420.1, NP_505958.1	NP_005404.1, NP_005973.1, NP_031400.2, NP_058628.3	6183.Smp_009630.1, 6183.Smp_210120.1
OG0000299		NP_524433.1	NP_506419.3, NP_510169.4	NP_001129743.2, NP_002500.1, NP_003308.1, NP_004378.1, NP_055175.2	6183.Smp_027990.1, 6183.Smp_186930.1
OG0000300		NP_477497.1	NP_497641.2, NP_498687.2	NP_001008781.2, NP_001438.1, NP_003728.1, NP_005236.2, NP_071407.4, NP_149091.1, NP_443068.1	
OG0000301		NP_572327.1, NP_608725.1, NP_611511.3	NP_492502.2, NP_496302.2, NP_496624.3	NP_057580.3, NP_060393.1, NP_073737.1	6183.Smp_056700.1
OG0000302		NP_573001.2		NP_003673.3, NP_569826.2, NP_569827.2, NP_569828.2, NP_569829.2, NP_569830.2, NP_569831.1, NP_569832.2	6183.Smp_080680.1
OG0000303		NP_524245.3	NP_501071.1, NP_502162.1, NP_508234.2, NP_509725.2	NP_000901.1, NP_004239.2	6183.Smp_018690.1, 6183.Smp_118040.1, 6183.Smp_132410.1
OG0000304		NP_476877.1		NP_001110.2, NP_001608.1, NP_054908.2, NP_054909.2, NP_058432.1, NP_059522.1, NP_063968.1	6183.Smp_014670.2, 6183.Smp_071140.1
OG0000305		NP_477017.1, NP_511079.1	NP_498493.1	NP_005891.1, NP_005892.1, NP_005893.1, NP_005894.3	6183.Smp_013060.1, 6183.Smp_085910.1, 6183.Smp_212740.1
