Orthogroup	kog_elegans_pos_go	protein_mansoni
OG0000238	NP_497620.3, NP_502170.4, NP_506906.3, NP_507485.2, NP_508522.2	
OG0000239	NP_497717.2, NP_505874.1	6183.Smp_129250.1, 6183.Smp_158620.1, 6183.Smp_199900.1
OG0000240	NP_493114.2, NP_493121.2, NP_493160.2, NP_496076.1	6183.Smp_083130.1
OG0000241	NP_509408.1	6183.Smp_139160.1, 6183.Smp_149730.1, 6183.Smp_187140.1, 6183.Smp_210500.1
OG0000242	NP_493626.1, NP_495126.1, NP_496876.1, NP_500517.1	6183.Smp_144140.1
OG0000243	NP_494993.2, NP_495697.2	6183.Smp_051990.1, 6183.Smp_139810.1, 6183.Smp_149990.1
OG0000244	NP_492133.1, NP_492580.2, NP_499190.2, NP_508975.2	6183.Smp_038530.1
OG0000245	NP_496158.1, NP_498892.1, NP_499490.1, NP_503566.1, NP_507456.1	
OG0000246	NP_491033.1, NP_499756.3, NP_499990.1	6183.Smp_010370.1, 6183.Smp_099890.1
OG0000247	NP_502314.1, NP_508419.1, NP_508653.1, NP_508654.1	6183.Smp_098710.1
OG0000248	NP_492642.1, NP_501718.1, NP_505463.1	6183.Smp_002930.1, 6183.Smp_089840.1
OG0000249	NP_498106.1, NP_501176.1, NP_506439.1, NP_509638.2	6183.Smp_196620.1
OG0000250	NP_503315.1, NP_503318.1, NP_503528.2, NP_504890.1, NP_509497.2	
OG0000251	NP_496646.2, NP_504823.2, NP_505371.2	6183.Smp_094660.1, 6183.Smp_116290.1
OG0000252	NP_502010.3, NP_502011.1, NP_507025.1	6183.Smp_084600.1, 6183.Smp_095090.1
OG0000253	NP_495182.2, NP_506971.2, NP_506972.1, NP_510857.2	6183.Smp_157080.1
OG0000254	NP_501023.3	6183.Smp_084890.1, 6183.Smp_104270.1, 6183.Smp_153340.1, 6183.Smp_153390.2
OG0000255	NP_500781.2, NP_505506.2, NP_507773.1	6183.Smp_108610.1, 6183.Smp_177780.1
OG0000256	NP_491645.1, NP_496366.1, NP_499393.1	6183.Smp_097750.1, 6183.Smp_097800.3
OG0000257	NP_497086.1, NP_499056.1, NP_500797.1, NP_501689.1, NP_503114.1	
OG0000258	NP_493545.1	6183.Smp_049850.1, 6183.Smp_103560.1, 6183.Smp_148820.1, 6183.Smp_168500.1
OG0000259	NP_492074.1, NP_497442.2, NP_500166.3, NP_504469.1, NP_510079.2	
OG0000260	NP_492641.1, NP_501203.2	6183.Smp_053300.1, 6183.Smp_053390.1, 6183.Smp_194870.1
OG0000261	NP_509335.1, NP_509336.1, NP_510069.1	6183.Smp_164760.1, 6183.Smp_171460.1
OG0000262	NP_496982.2	6183.Smp_048980.1, 6183.Smp_055600.1, 6183.Smp_192580.1, 6183.Smp_197780.1
OG0000263	NP_504031.1, NP_504032.1	6183.Smp_049730.2, 6183.Smp_168850.1, 6183.Smp_170540.1
OG0000264	NP_494937.4, NP_494978.4	6183.Smp_020300.1, 6183.Smp_101630.1, 6183.Smp_162410.1
OG0000265	NP_495969.2, NP_495970.1	6183.Smp_076950.1, 6183.Smp_159740.1, 6183.Smp_159760.1
OG0000266	NP_498554.1, NP_503165.3, NP_504455.1, NP_509116.2, NP_510115.1	
OG0000267	NP_495298.1, NP_497559.2, NP_500530.2, NP_503495.1, NP_507734.4	
OG0000268	NP_500341.1, NP_500985.4, NP_501410.3, NP_501411.4, NP_502777.2	
OG0000269	NP_492396.2, NP_496735.1, NP_499702.2, NP_502983.2, NP_503077.2	
OG0000270	NP_493455.1, NP_494284.1, NP_496512.2, NP_498378.2, NP_501674.1	
OG0000271	NP_496721.2, NP_497498.2, NP_503145.1, NP_504348.1, NP_504648.1	
OG0000272	NP_496040.1, NP_496396.2, NP_509341.2, NP_509949.1	6183.Smp_136960.1
OG0000273	NP_491862.1, NP_496197.2, NP_498972.1, NP_503446.1	6183.Smp_152200.1
OG0000274	NP_510445.1	6183.Smp_062980.1, 6183.Smp_095630.1, 6183.Smp_100080.1, 6183.Smp_174190.1
OG0000275	NP_492636.1	6183.Smp_142230.1, 6183.Smp_173150.1, 6183.Smp_176870.1, 6183.Smp_181530.1
OG0000276	NP_502518.2, NP_502519.2	6183.Smp_130410.1, 6183.Smp_130420.1, 6183.Smp_143940.1
OG0000277	NP_490872.1	6183.Smp_021370.1, 6183.Smp_146430.1, 6183.Smp_153110.1, 6183.Smp_211240.1
OG0000278	NP_508351.2, NP_509963.2, NP_509981.2, NP_509997.1	6183.Smp_165000.1
OG0000279	NP_491926.1, NP_491928.1, NP_506440.1, NP_506444.2	6183.Smp_095360.1
OG0000280	NP_500171.2, NP_506319.1, NP_506452.5, NP_510557.3	6183.Smp_149980.1
OG0000281	NP_496525.2, NP_502615.1, NP_502624.1, NP_506687.2, NP_506726.2	
OG0000282	NP_506171.2	6183.Smp_015390.1, 6183.Smp_145610.1, 6183.Smp_145840.1, 6183.Smp_178480.1
OG0000283	NP_499892.1, NP_505943.2, NP_505945.1, NP_506123.2	6183.Smp_179120.1
OG0000284	NP_493431.1, NP_493450.1, NP_493484.2, NP_493487.2, NP_507917.2	
OG0000285	NP_491781.2	6183.Smp_064860.1, 6183.Smp_090860.1, 6183.Smp_151350.1, 6183.Smp_165540.1
OG0000286	NP_492491.3, NP_503909.1, NP_503910.2, NP_507562.3, NP_507823.4	
OG0000287		6183.Smp_000050.1, 6183.Smp_130890.1, 6183.Smp_161630.1, 6183.Smp_161640.1, 6183.Smp_197680.1
OG0000288		6183.Smp_001070.1, 6183.Smp_023710.1, 6183.Smp_041880.1, 6183.Smp_117340.1, 6183.Smp_134960.1
OG0000289		6183.Smp_004730.1, 6183.Smp_020170.1, 6183.Smp_020270.1, 6183.Smp_124690.1, 6183.Smp_159990.1
OG0000290		6183.Smp_005910.1, 6183.Smp_012400.1, 6183.Smp_040550.1, 6183.Smp_059290.1, 6183.Smp_171590.1
OG0000291		6183.Smp_014080.1, 6183.Smp_060210.1, 6183.Smp_060220.1, 6183.Smp_060240.1, 6183.Smp_203810.1
OG0000292		6183.Smp_014410.2, 6183.Smp_014430.1, 6183.Smp_121580.1, 6183.Smp_188810.1, 6183.Smp_194540.1
OG0000293		6183.Smp_019100.1, 6183.Smp_065180.1, 6183.Smp_135790.1, 6183.Smp_156950.1, 6183.Smp_171650.1
OG0000294		6183.Smp_019460.1, 6183.Smp_132790.1, 6183.Smp_132800.1, 6183.Smp_132810.1, 6183.Smp_132830.1
OG0000295		6183.Smp_020550.1, 6183.Smp_146950.1, 6183.Smp_159420.1, 6183.Smp_179370.1, 6183.Smp_208030.1
OG0000296		6183.Smp_041700.1, 6183.Smp_127860.1, 6183.Smp_129810.1, 6183.Smp_140250.1, 6183.Smp_157640.1
OG0000297		6183.Smp_043040.1, 6183.Smp_064870.1, 6183.Smp_082830.1, 6183.Smp_103920.1, 6183.Smp_180470.1
OG0000298		6183.Smp_044060.1, 6183.Smp_129270.1, 6183.Smp_134140.1, 6183.Smp_141980.1, 6183.Smp_153650.1
OG0000299		6183.Smp_046180.1, 6183.Smp_122730.1, 6183.Smp_122770.1, 6183.Smp_182200.1, 6183.Smp_186690.1
OG0000300		6183.Smp_049010.1, 6183.Smp_163680.1, 6183.Smp_163690.1, 6183.Smp_164940.1, 6183.Smp_211220.1
OG0000301		6183.Smp_049280.1, 6183.Smp_153090.1, 6183.Smp_159520.1, 6183.Smp_165970.1, 6183.Smp_170980.1
OG0000302		6183.Smp_051110.1, 6183.Smp_113520.1, 6183.Smp_148170.1, 6183.Smp_189180.2, 6183.Smp_202740.1
OG0000303		6183.Smp_055260.1, 6183.Smp_129900.1, 6183.Smp_129920.1, 6183.Smp_129930.1, 6183.Smp_196680.1
OG0000304		6183.Smp_062080.1, 6183.Smp_062120.1, 6183.Smp_155530.1, 6183.Smp_155550.1, 6183.Smp_155560.1
OG0000305		6183.Smp_066290.1, 6183.Smp_099800.1, 6183.Smp_099810.1, 6183.Smp_126550.1, 6183.Smp_157980.1
OG0000306		6183.Smp_067810.1, 6183.Smp_078010.1, 6183.Smp_169950.1, 6183.Smp_194270.1, 6183.Smp_201220.1
OG0000307		6183.Smp_080680.1, 6183.Smp_125290.1, 6183.Smp_150300.1, 6183.Smp_158820.1, 6183.Smp_165650.1
OG0000308		6183.Smp_097460.1, 6183.Smp_097470.1, 6183.Smp_124470.1, 6183.Smp_211230.1, 6183.Smp_211310.1
OG0000309		6183.Smp_111710.1, 6183.Smp_178030.1, 6183.Smp_182990.1, 6183.Smp_185310.1, 6183.Smp_190340.1
OG0000310		6183.Smp_113310.1, 6183.Smp_117620.1, 6183.Smp_201940.1, 6183.Smp_203920.1, 6183.Smp_205780.1
OG0000311		6183.Smp_123830.1, 6183.Smp_135560.1, 6183.Smp_164590.1, 6183.Smp_196840.1, 6183.Smp_197370.1
OG0000312		6183.Smp_123840.1, 6183.Smp_123860.1, 6183.Smp_128580.1, 6183.Smp_141310.1, 6183.Smp_180760.1
OG0000313		6183.Smp_129230.1, 6183.Smp_173030.1, 6183.Smp_174530.1, 6183.Smp_174540.1, 6183.Smp_194090.1
OG0000314		6183.Smp_133840.1, 6183.Smp_139090.1, 6183.Smp_149310.1, 6183.Smp_201750.1, 6183.Smp_203980.1
OG0000315		6183.Smp_147790.1, 6183.Smp_154790.1, 6183.Smp_154800.1, 6183.Smp_174150.1, 6183.Smp_174170.1
OG0000316		6183.Smp_180640.1, 6183.Smp_184350.1, 6183.Smp_192100.1, 6183.Smp_199740.1, 6183.Smp_209090.1
OG0000317	NP_493746.1	6183.Smp_007180.1, 6183.Smp_120320.1, 6183.Smp_149300.1
OG0000318	NP_491778.2, NP_499813.1, NP_510375.2	6183.Smp_062250.1
OG0000319	NP_498986.3	6183.Smp_083740.1, 6183.Smp_134950.1, 6183.Smp_136850.2
OG0000320	NP_497700.1, NP_510828.1, NP_510829.2	6183.Smp_132670.1
OG0000321	NP_508051.1	6183.Smp_014780.2, 6183.Smp_037230.1, 6183.Smp_149130.1
OG0000322	NP_495120.1, NP_495121.1, NP_496718.1	6183.Smp_166190.1
OG0000323	NP_509396.1	6183.Smp_037210.1, 6183.Smp_125060.1, 6183.Smp_176990.1
OG0000324	NP_500813.3, NP_501758.2, NP_501993.1, NP_502040.2	
OG0000325	NP_497161.1, NP_497162.2, NP_509835.2, NP_509836.1	
OG0000326	NP_510155.3	6183.Smp_156680.1, 6183.Smp_156700.1, 6183.Smp_199810.1
OG0000327	NP_491534.2, NP_499773.2	6183.Smp_168390.1, 6183.Smp_196450.1
OG0000328	NP_498559.1	6183.Smp_065780.1, 6183.Smp_066960.2, 6183.Smp_150160.1
OG0000329	NP_491429.1	6183.Smp_004810.3, 6183.Smp_028990.1, 6183.Smp_035580.1
OG0000330	NP_498728.1, NP_507142.2	6183.Smp_056890.1, 6183.Smp_152710.2
OG0000331	NP_497174.1, NP_509501.2, NP_509502.3	6183.Smp_082050.1
OG0000332	NP_498308.1	6183.Smp_000110.1, 6183.Smp_096450.1, 6183.Smp_143150.1
OG0000333	NP_492696.1, NP_509273.1	6183.Smp_129480.1, 6183.Smp_129490.1
OG0000334	NP_501588.1, NP_501594.1	6183.Smp_005260.1, 6183.Smp_064360.1
OG0000335	NP_492792.1, NP_506197.1, NP_508026.1	6183.Smp_004780.1
OG0000336	NP_493982.1, NP_503413.2	6183.Smp_046790.1, 6183.Smp_127200.1
OG0000337	NP_491890.2, NP_493649.2, NP_501058.2, NP_510249.2	
OG0000338	NP_508671.2	6183.Smp_147450.1, 6183.Smp_152330.1, 6183.Smp_164380.1
OG0000339	NP_492890.2, NP_500500.1, NP_500501.1, NP_506646.1	
OG0000340	NP_491297.1, NP_501987.1, NP_502047.1	6183.Smp_082490.1
OG0000341	NP_495761.2, NP_502496.3, NP_508783.2, NP_508784.1	
OG0000342	NP_498146.1, NP_505327.2, NP_508580.2	6183.Smp_171030.1
OG0000343	NP_510060.1	6183.Smp_063520.1, 6183.Smp_126030.1, 6183.Smp_157830.1
OG0000344	NP_494914.1, NP_495703.2, NP_498095.3	6183.Smp_033260.2
OG0000345	NP_491059.2	6183.Smp_016920.1, 6183.Smp_047700.1, 6183.Smp_048680.1
OG0000346	NP_510323.3	6183.Smp_019890.1, 6183.Smp_066670.1, 6183.Smp_179930.1
OG0000347	NP_505917.2, NP_508904.2, NP_509369.2	6183.Smp_143560.1
OG0000348	NP_502236.1, NP_509939.1	6183.Smp_009760.1, 6183.Smp_009780.2
OG0000349	NP_492586.2, NP_495848.1, NP_507685.1	6183.Smp_029620.1
OG0000350	NP_497576.1, NP_497577.2	6183.Smp_049990.1, 6183.Smp_143500.1
OG0000351	NP_509322.2, NP_509682.1, NP_509683.1	6183.Smp_086690.1
OG0000352	NP_505205.2, NP_506448.2, NP_506449.1, NP_507092.1	
OG0000353	NP_496037.1, NP_496039.1, NP_496218.2, NP_496219.1	
OG0000354	NP_490758.1, NP_491323.2, NP_503362.2, NP_504610.1	
OG0000355	NP_494897.3, NP_501419.2	6183.Smp_020340.1, 6183.Smp_133210.1
OG0000356	NP_492529.2, NP_494371.1, NP_500555.2, NP_510003.2	
OG0000357	NP_509123.2	6183.Smp_094950.1, 6183.Smp_094980.1, 6183.Smp_128560.1
OG0000358	NP_490859.1, NP_494848.3, NP_503845.1, NP_506869.1	
OG0000359	NP_490662.1, NP_505098.1	6183.Smp_064650.1, 6183.Smp_178800.1
OG0000360	NP_495500.1, NP_495501.1, NP_495516.2, NP_503155.4	
OG0000361	NP_499400.2, NP_499959.1, NP_509176.2, NP_510558.2	
OG0000362	NP_495588.2, NP_500723.1, NP_504708.1, NP_505019.2	
OG0000363	NP_492318.1, NP_493968.1, NP_495741.2	6183.Smp_137520.1
OG0000364	NP_497008.1, NP_503547.1, NP_503549.1, NP_504046.1	
OG0000365	NP_503823.2, NP_504044.3, NP_504045.1, NP_504052.1	
OG0000366	NP_505690.2	6183.Smp_094390.1, 6183.Smp_170370.1, 6183.Smp_170450.1
OG0000367	NP_506137.1	6183.Smp_075790.1, 6183.Smp_075800.1, 6183.Smp_179170.1
OG0000368	NP_502892.3, NP_502904.1, NP_502920.3	6183.Smp_140610.1
OG0000369	NP_495455.2, NP_495456.1, NP_496639.1	6183.Smp_197330.1
OG0000370	NP_495412.1	6183.Smp_006440.1, 6183.Smp_051530.1, 6183.Smp_149700.1
OG0000371	NP_506521.2, NP_508795.1, NP_510571.1	6183.Smp_173820.1
OG0000372	NP_509095.2, NP_509096.2	6183.Smp_069170.1, 6183.Smp_170590.1
OG0000373	NP_496503.1	6183.Smp_033040.1, 6183.Smp_038950.1, 6183.Smp_038960.1
OG0000374	NP_506504.2, NP_506506.1, NP_506508.2, NP_506510.2	
OG0000375	NP_501462.1, NP_505979.1, NP_506242.2, NP_506671.2	
OG0000376	NP_498599.1, NP_503790.1, NP_506678.2	6183.Smp_145930.1
OG0000377	NP_498011.1, NP_500993.1, NP_505658.1, NP_506323.1	
OG0000378	NP_496924.1, NP_496926.1	6183.Smp_053220.1, 6183.Smp_150700.1
OG0000379	NP_509755.2	6183.Smp_018590.1, 6183.Smp_080030.1, 6183.Smp_159560.1
OG0000380	NP_499901.1, NP_502000.1, NP_504349.1, NP_506464.2	
OG0000381	NP_493645.1, NP_497087.1	6183.Smp_167570.1, 6183.Smp_176340.1
OG0000382	NP_503123.1, NP_508094.1, NP_508210.1	6183.Smp_001500.1
OG0000383	NP_491222.2, NP_494448.1, NP_494954.1, NP_499993.2	
OG0000384	NP_491698.1, NP_492793.1, NP_497801.2	6183.Smp_012810.1
OG0000385	NP_491663.1	6183.Smp_054360.1, 6183.Smp_054410.1, 6183.Smp_151260.1
OG0000386	NP_504620.2, NP_509256.2	6183.Smp_075230.1, 6183.Smp_124090.1
OG0000387	NP_498774.1	6183.Smp_022560.2, 6183.Smp_151810.1, 6183.Smp_196370.1
OG0000388	NP_503427.2	6183.Smp_086590.1, 6183.Smp_120700.1, 6183.Smp_195080.1
OG0000389	NP_505208.1	6183.Smp_135490.1, 6183.Smp_151290.1, 6183.Smp_162110.1
OG0000390	NP_494219.4, NP_495784.1	6183.Smp_054790.2, 6183.Smp_176010.1
OG0000391	NP_491731.2, NP_491732.2	6183.Smp_125050.1, 6183.Smp_125340.1
OG0000392	NP_510199.1	6183.Smp_027300.1, 6183.Smp_174840.1, 6183.Smp_179650.1
OG0000393	NP_508811.1	6183.Smp_102210.1, 6183.Smp_131580.1, 6183.Smp_160310.1
OG0000394	NP_510622.3	6183.Smp_045680.1, 6183.Smp_146740.1, 6183.Smp_146750.1
OG0000395	NP_491623.3, NP_491626.2	6183.Smp_128490.1, 6183.Smp_154400.1
OG0000396	NP_494839.1	6183.Smp_101780.1, 6183.Smp_118190.1, 6183.Smp_166110.1
OG0000397	NP_493713.2	6183.Smp_078690.1, 6183.Smp_086330.1, 6183.Smp_126480.1
OG0000398	NP_495271.1	6183.Smp_049760.1, 6183.Smp_093540.3, 6183.Smp_124450.1
OG0000399	NP_510458.1, NP_510459.1	6183.Smp_031100.1, 6183.Smp_202480.1
OG0000400	NP_499948.1, NP_503716.1, NP_507051.2, NP_510552.2	
OG0000401	NP_492444.4	6183.Smp_142320.1, 6183.Smp_153010.1, 6183.Smp_172130.1
OG0000402	NP_491605.2, NP_491606.2, NP_491607.2	6183.Smp_137440.1
OG0000403	NP_501650.1, NP_501651.1, NP_501652.2	6183.Smp_019630.1
OG0000404	NP_498029.2	6183.Smp_020090.1, 6183.Smp_155090.1, 6183.Smp_155100.1
OG0000405	NP_501350.3, NP_505501.1	6183.Smp_150500.1, 6183.Smp_181470.1
OG0000406	NP_501286.2, NP_502079.1	6183.Smp_154770.1, 6183.Smp_203140.1
OG0000407	NP_495464.2, NP_510705.1	6183.Smp_134410.2, 6183.Smp_150340.1
OG0000408	NP_491979.1, NP_491980.1, NP_495945.2, NP_509006.2	
OG0000409	NP_492683.1, NP_501063.1	6183.Smp_077030.1, 6183.Smp_089930.1
OG0000410	NP_502341.1, NP_506042.1, NP_509562.1	6183.Smp_090220.1
OG0000411	NP_499084.1	6183.Smp_062920.1, 6183.Smp_146390.1, 6183.Smp_211030.1
OG0000412	NP_491329.2, NP_499250.1, NP_505890.1	6183.Smp_199640.1
OG0000413	NP_501797.1	6183.Smp_078780.1, 6183.Smp_085110.2, 6183.Smp_092460.1
OG0000414	NP_499841.1, NP_499842.1, NP_499843.1	6183.Smp_133600.1
OG0000415	NP_490706.2, NP_497807.1, NP_500819.1	6183.Smp_092780.2
OG0000416	NP_503096.2	6183.Smp_013440.1, 6183.Smp_167630.1, 6183.Smp_210210.1
OG0000417	NP_492590.1	6183.Smp_051640.1, 6183.Smp_177670.1, 6183.Smp_212450.1
OG0000418	NP_504509.1, NP_504511.1, NP_504512.1	6183.Smp_030220.1
OG0000419	NP_503189.2, NP_504963.1, NP_507364.1, NP_507429.1	
OG0000420	NP_501241.1, NP_510489.1	6183.Smp_042300.2, 6183.Smp_075120.1
OG0000421	NP_493610.1, NP_502961.1, NP_504576.1	6183.Smp_164180.1
OG0000422	NP_493240.2, NP_493398.1, NP_495669.1, NP_497886.2	
OG0000423	NP_499415.1	6183.Smp_098330.1, 6183.Smp_104660.1, 6183.Smp_210310.1
OG0000424	NP_492019.2, NP_499315.3, NP_508727.1	6183.Smp_134790.1
OG0000425	NP_491053.4	6183.Smp_016680.1, 6183.Smp_125630.1, 6183.Smp_131260.1
OG0000426	NP_492188.1, NP_495572.3, NP_495806.1, NP_509275.2	
OG0000427	NP_504260.1, NP_504261.1	6183.Smp_130430.1, 6183.Smp_205840.1
OG0000428	NP_502312.2	6183.Smp_130280.1, 6183.Smp_159570.1, 6183.Smp_211020.1
OG0000429	NP_500513.1, NP_501836.1, NP_505120.1	6183.Smp_142940.1
OG0000430	NP_491965.1, NP_493661.1, NP_502380.1, NP_505503.1	
OG0000431	NP_508350.1, NP_508359.1, NP_510482.1, NP_510483.1	
OG0000432	NP_497292.1, NP_510277.1	6183.Smp_096240.1, 6183.Smp_143570.1
OG0000433	NP_491364.2, NP_491910.2, NP_505421.3, NP_508030.4	
OG0000434	NP_502887.1, NP_504228.2, NP_509685.2, NP_509865.1	
OG0000435	NP_504746.1, NP_505004.1, NP_505299.1, NP_506168.2	
OG0000436	NP_505873.2	6183.Smp_078930.1, 6183.Smp_143800.1, 6183.Smp_160360.1
OG0000437	NP_500372.1, NP_501172.2, NP_501380.1, NP_510520.4	
OG0000438	NP_495774.1, NP_495775.1, NP_495776.1, NP_508585.1	
OG0000439	NP_497612.2, NP_505167.2, NP_505983.2, NP_509828.2	
OG0000440	NP_497570.1, NP_499668.1, NP_510509.2	6183.Smp_126120.1
OG0000441	NP_493322.2, NP_500586.2, NP_501394.1	6183.Smp_169510.1
OG0000442	NP_495138.2	6183.Smp_138230.1, 6183.Smp_143190.1, 6183.Smp_163870.1
OG0000443	NP_507130.2, NP_509723.2, NP_509724.1	6183.Smp_175980.1
OG0000444	NP_499947.1, NP_500412.1, NP_501955.2, NP_510250.3	
OG0000445	NP_500236.1, NP_505401.2, NP_508410.2	6183.Smp_082290.1
OG0000446	NP_498017.1, NP_501810.2	6183.Smp_135920.1, 6183.Smp_170870.1
OG0000447	NP_499646.3	6183.Smp_129700.1, 6183.Smp_147690.1, 6183.Smp_147700.1
OG0000448	NP_496565.2, NP_496566.1, NP_500084.2	6183.Smp_126160.1
OG0000449	NP_500504.1, NP_500505.1	6183.Smp_069870.1, 6183.Smp_069880.1
OG0000450	NP_495338.1	6183.Smp_005230.2, 6183.Smp_147680.1, 6183.Smp_158150.1
OG0000451	NP_494805.3, NP_496432.2, NP_497005.2	6183.Smp_196110.1
OG0000452	NP_494750.1, NP_495020.1, NP_497022.1, NP_498491.1	
OG0000453	NP_494813.2, NP_494814.1, NP_494815.1, NP_494816.2	
OG0000454	NP_499975.2, NP_506804.2, NP_506807.1, NP_506808.2	
OG0000455	NP_510541.1	6183.Smp_006730.1, 6183.Smp_006750.1, 6183.Smp_006760.1
OG0000456	NP_492685.2, NP_504297.1, NP_504299.2	6183.Smp_145880.1
OG0000457	NP_499819.3	6183.Smp_070170.1, 6183.Smp_081440.1, 6183.Smp_138030.1
OG0000458	NP_510498.1	6183.Smp_001560.1, 6183.Smp_071380.4, 6183.Smp_125460.1
OG0000459	NP_493468.2	6183.Smp_159450.1, 6183.Smp_173870.1, 6183.Smp_198240.1
OG0000460		6183.Smp_000160.1, 6183.Smp_008710.1, 6183.Smp_104970.1, 6183.Smp_189490.1
OG0000461		6183.Smp_000980.1, 6183.Smp_063790.1, 6183.Smp_100090.1, 6183.Smp_103530.1
OG0000462		6183.Smp_003230.1, 6183.Smp_036990.1, 6183.Smp_122030.1, 6183.Smp_147670.1
OG0000463		6183.Smp_006860.1, 6183.Smp_022340.1, 6183.Smp_045300.1, 6183.Smp_166920.1
OG0000464		6183.Smp_007270.1, 6183.Smp_018010.1, 6183.Smp_161970.1, 6183.Smp_163360.1
OG0000465		6183.Smp_008170.1, 6183.Smp_126580.1, 6183.Smp_166620.1, 6183.Smp_166910.1
OG0000466		6183.Smp_010230.1, 6183.Smp_063640.1, 6183.Smp_094480.1, 6183.Smp_158700.1
OG0000467		6183.Smp_010470.1, 6183.Smp_127310.1, 6183.Smp_127720.1, 6183.Smp_159860.1
OG0000468		6183.Smp_010720.1, 6183.Smp_010770.1, 6183.Smp_051810.1, 6183.Smp_130370.1
OG0000469		6183.Smp_013690.1, 6183.Smp_075810.1, 6183.Smp_087580.1, 6183.Smp_087620.1
OG0000470		6183.Smp_022020.1, 6183.Smp_038990.1, 6183.Smp_156290.1, 6183.Smp_160140.1
OG0000471		6183.Smp_022480.1, 6183.Smp_165170.1, 6183.Smp_173720.1, 6183.Smp_199590.1
OG0000472		6183.Smp_023620.1, 6183.Smp_095620.2, 6183.Smp_121940.1, 6183.Smp_125440.1
OG0000473		6183.Smp_024180.2, 6183.Smp_101970.1, 6183.Smp_135250.1, 6183.Smp_157110.1
OG0000474		6183.Smp_024520.1, 6183.Smp_094420.1, 6183.Smp_159720.1, 6183.Smp_175820.1
OG0000475		6183.Smp_024660.1, 6183.Smp_141410.1, 6183.Smp_173100.1, 6183.Smp_204750.1
OG0000476		6183.Smp_027820.1, 6183.Smp_126880.1, 6183.Smp_137250.1, 6183.Smp_168430.1
OG0000477		6183.Smp_028190.1, 6183.Smp_090520.1, 6183.Smp_171620.1, 6183.Smp_179110.1
OG0000478		6183.Smp_029070.1, 6183.Smp_100310.1, 6183.Smp_106410.1, 6183.Smp_177260.1
OG0000479		6183.Smp_032970.1, 6183.Smp_032980.1, 6183.Smp_032990.1, 6183.Smp_139970.1
OG0000480		6183.Smp_035540.1, 6183.Smp_147960.1, 6183.Smp_147980.1, 6183.Smp_167300.1
OG0000481		6183.Smp_041600.1, 6183.Smp_096270.1, 6183.Smp_122780.1, 6183.Smp_129650.1
OG0000482		6183.Smp_043570.1, 6183.Smp_044750.1, 6183.Smp_046290.1, 6183.Smp_145660.1
OG0000483		6183.Smp_046640.1, 6183.Smp_046650.1, 6183.Smp_127170.1, 6183.Smp_147550.1
OG0000484		6183.Smp_047640.1, 6183.Smp_047650.1, 6183.Smp_047660.1, 6183.Smp_047680.1
OG0000485		6183.Smp_055390.1, 6183.Smp_154650.1, 6183.Smp_181170.1, 6183.Smp_196690.1
OG0000486		6183.Smp_055850.1, 6183.Smp_123980.1, 6183.Smp_123990.1, 6183.Smp_163830.1
OG0000487		6183.Smp_061510.1, 6183.Smp_128100.1, 6183.Smp_155220.1, 6183.Smp_156960.2
OG0000488		6183.Smp_067480.3, 6183.Smp_067490.1, 6183.Smp_135980.1, 6183.Smp_136640.1
OG0000489		6183.Smp_069240.1, 6183.Smp_081250.1, 6183.Smp_129380.1, 6183.Smp_194710.1
OG0000490		6183.Smp_070370.1, 6183.Smp_070380.1, 6183.Smp_075500.1, 6183.Smp_198560.1
OG0000491		6183.Smp_073450.1, 6183.Smp_124760.1, 6183.Smp_157380.1, 6183.Smp_184180.1
OG0000492		6183.Smp_081900.2, 6183.Smp_081920.1, 6183.Smp_166340.1, 6183.Smp_166350.1
OG0000493		6183.Smp_083770.1, 6183.Smp_123680.1, 6183.Smp_141530.1, 6183.Smp_162650.1
OG0000494		6183.Smp_088700.1, 6183.Smp_088720.1, 6183.Smp_170410.1, 6183.Smp_170420.1
OG0000495		6183.Smp_089780.1, 6183.Smp_099640.1, 6183.Smp_179310.1, 6183.Smp_205110.1
OG0000496		6183.Smp_105020.1, 6183.Smp_128750.1, 6183.Smp_157020.1, 6183.Smp_197080.1
OG0000497		6183.Smp_108600.1, 6183.Smp_175890.1, 6183.Smp_181700.1, 6183.Smp_187110.1
OG0000498		6183.Smp_110050.1, 6183.Smp_120420.1, 6183.Smp_164810.1, 6183.Smp_182530.1
OG0000499		6183.Smp_112590.1, 6183.Smp_113460.1, 6183.Smp_186530.1, 6183.Smp_186540.1
OG0000500		6183.Smp_113530.1, 6183.Smp_178240.1, 6183.Smp_184460.1, 6183.Smp_185350.1
OG0000501		6183.Smp_118890.1, 6183.Smp_120260.1, 6183.Smp_168440.1, 6183.Smp_193740.1
OG0000502		6183.Smp_119140.1, 6183.Smp_161760.1, 6183.Smp_201920.1, 6183.Smp_203290.1
OG0000503		6183.Smp_119320.1, 6183.Smp_133490.1, 6183.Smp_134260.1, 6183.Smp_198810.1
OG0000504		6183.Smp_119580.1, 6183.Smp_134700.1, 6183.Smp_134710.1, 6183.Smp_134720.1
OG0000505		6183.Smp_124130.1, 6183.Smp_141440.1, 6183.Smp_157240.1, 6183.Smp_163380.1
OG0000506		6183.Smp_125530.1, 6183.Smp_135700.1, 6183.Smp_159180.1, 6183.Smp_168290.1
OG0000507		6183.Smp_126140.1, 6183.Smp_170280.1, 6183.Smp_173540.1, 6183.Smp_181010.1
