Orthogroup	Total	kog_elegans_pos_go	protein_mansoni
OG0000369	4	NP_495455.2, NP_495456.1, NP_496639.1	6183.Smp_197330.1
OG0000370	4	NP_495412.1	6183.Smp_006440.1, 6183.Smp_051530.1, 6183.Smp_149700.1
OG0000371	4	NP_506521.2, NP_508795.1, NP_510571.1	6183.Smp_173820.1
OG0000372	4	NP_509095.2, NP_509096.2	6183.Smp_069170.1, 6183.Smp_170590.1
OG0000373	4	NP_496503.1	6183.Smp_033040.1, 6183.Smp_038950.1, 6183.Smp_038960.1
OG0000375	4	NP_498599.1, NP_503790.1, NP_506678.2	6183.Smp_145930.1
OG0000377	4	NP_496924.1, NP_496926.1	6183.Smp_053220.1, 6183.Smp_150700.1
OG0000378	4	NP_509755.2	6183.Smp_018590.1, 6183.Smp_080030.1, 6183.Smp_159560.1
OG0000380	4	NP_501719.1, NP_510071.1, NP_510077.1	6183.Smp_081820.3
OG0000381	4	NP_493645.1, NP_497087.1	6183.Smp_167570.1, 6183.Smp_176340.1
OG0000382	4	NP_503123.1, NP_508094.1, NP_508210.1	6183.Smp_001500.1
OG0000384	4	NP_491698.1, NP_492793.1, NP_497801.2	6183.Smp_012810.1
OG0000385	4	NP_491663.1	6183.Smp_054360.1, 6183.Smp_054410.1, 6183.Smp_151260.1
OG0000386	4	NP_504620.2, NP_509256.2	6183.Smp_075230.1, 6183.Smp_124090.1
OG0000387	4	NP_498774.1	6183.Smp_022560.2, 6183.Smp_151810.1, 6183.Smp_196370.1
OG0000388	4	NP_503427.2	6183.Smp_086590.1, 6183.Smp_120700.1, 6183.Smp_195080.1
OG0000389	4	NP_505208.1	6183.Smp_135490.1, 6183.Smp_151290.1, 6183.Smp_162110.1
OG0000390	4	NP_494219.4, NP_495784.1	6183.Smp_054790.2, 6183.Smp_176010.1
OG0000391	4	NP_491731.2, NP_491732.2	6183.Smp_125050.1, 6183.Smp_125340.1
OG0000392	4	NP_510199.1	6183.Smp_027300.1, 6183.Smp_174840.1, 6183.Smp_179650.1
OG0000393	4	NP_508811.1	6183.Smp_102210.1, 6183.Smp_131580.1, 6183.Smp_160310.1
OG0000394	4	NP_510622.3	6183.Smp_045680.1, 6183.Smp_146740.1, 6183.Smp_146750.1
OG0000395	4	NP_491623.3, NP_491626.2	6183.Smp_128490.1, 6183.Smp_154400.1
OG0000396	4	NP_494839.1	6183.Smp_101780.1, 6183.Smp_118190.1, 6183.Smp_166110.1
OG0000397	4	NP_495209.1	6183.Smp_128690.1, 6183.Smp_132080.1, 6183.Smp_171870.1
OG0000398	4	NP_493713.2	6183.Smp_078690.1, 6183.Smp_086330.1, 6183.Smp_126480.1
OG0000399	4	NP_510458.1, NP_510459.1	6183.Smp_031100.1, 6183.Smp_202480.1
OG0000401	4	NP_492444.4	6183.Smp_142320.1, 6183.Smp_153010.1, 6183.Smp_172130.1
OG0000402	4	NP_491605.2, NP_491606.2, NP_491607.2	6183.Smp_137440.1
OG0000403	4	NP_501650.1, NP_501651.1, NP_501652.2	6183.Smp_019630.1
OG0000404	4	NP_498029.2	6183.Smp_020090.1, 6183.Smp_155090.1, 6183.Smp_155100.1
OG0000405	4	NP_501350.3, NP_505501.1	6183.Smp_150500.1, 6183.Smp_181470.1
OG0000406	4	NP_501286.2, NP_502079.1	6183.Smp_154770.1, 6183.Smp_203140.1
OG0000407	4	NP_495464.2, NP_510705.1	6183.Smp_134410.2, 6183.Smp_150340.1
OG0000410	4	NP_507242.1	6183.Smp_076550.1, 6183.Smp_086450.1, 6183.Smp_171830.1
OG0000411	4	NP_492683.1, NP_501063.1	6183.Smp_077030.1, 6183.Smp_089930.1
OG0000412	4	NP_502341.1, NP_506042.1, NP_509562.1	6183.Smp_090220.1
OG0000413	4	NP_491329.2, NP_499250.1, NP_505890.1	6183.Smp_199640.1
OG0000414	4	NP_501797.1	6183.Smp_078780.1, 6183.Smp_085110.2, 6183.Smp_092460.1
OG0000415	4	NP_490706.2, NP_497807.1, NP_500819.1	6183.Smp_092780.2
OG0000416	4	NP_492590.1	6183.Smp_051640.1, 6183.Smp_177670.1, 6183.Smp_212450.1
OG0000417	4	NP_504509.1, NP_504511.1, NP_504512.1	6183.Smp_030220.1
OG0000420	4	NP_501241.1, NP_510489.1	6183.Smp_042300.2, 6183.Smp_075120.1
OG0000421	4	NP_509786.2, NP_510236.1	6183.Smp_071390.1, 6183.Smp_194530.1
OG0000422	4	NP_493610.1, NP_502961.1, NP_504576.1	6183.Smp_164180.1
OG0000424	4	NP_492019.2, NP_499315.3, NP_508727.1	6183.Smp_134790.1
OG0000425	4	NP_491053.4	6183.Smp_016680.1, 6183.Smp_125630.1, 6183.Smp_131260.1
OG0000427	4	NP_504260.1, NP_504261.1	6183.Smp_130430.1, 6183.Smp_205840.1
OG0000428	4	NP_502312.2	6183.Smp_130280.1, 6183.Smp_159570.1, 6183.Smp_211020.1
OG0000429	4	NP_500513.1, NP_501836.1, NP_505120.1	6183.Smp_142940.1
OG0000433	4	NP_497292.1, NP_510277.1	6183.Smp_096240.1, 6183.Smp_143570.1
OG0000438	4	NP_505873.2	6183.Smp_078930.1, 6183.Smp_143800.1, 6183.Smp_160360.1
OG0000440	4	NP_493322.2, NP_500586.2, NP_501394.1	6183.Smp_169510.1
OG0000441	4	NP_495138.2	6183.Smp_138230.1, 6183.Smp_143190.1, 6183.Smp_163870.1
OG0000442	4	NP_507130.2, NP_509723.2, NP_509724.1	6183.Smp_175980.1
OG0000444	4	NP_500236.1, NP_505401.2, NP_508410.2	6183.Smp_082290.1
OG0000445	4	NP_498017.1, NP_501810.2	6183.Smp_135920.1, 6183.Smp_170870.1
OG0000446	4	NP_499646.3	6183.Smp_129700.1, 6183.Smp_147690.1, 6183.Smp_147700.1
OG0000447	4	NP_496565.2, NP_496566.1, NP_500084.2	6183.Smp_126160.1
OG0000449	4	NP_500504.1, NP_500505.1	6183.Smp_069870.1, 6183.Smp_069880.1
OG0000450	4	NP_495338.1	6183.Smp_005230.2, 6183.Smp_147680.1, 6183.Smp_158150.1
OG0000451	4	NP_494805.3, NP_496432.2, NP_497005.2	6183.Smp_196110.1
OG0000455	4	NP_510541.1	6183.Smp_006730.1, 6183.Smp_006750.1, 6183.Smp_006760.1
OG0000456	4	NP_492685.2, NP_504297.1, NP_504299.2	6183.Smp_145880.1
OG0000457	4	NP_493468.2	6183.Smp_159450.1, 6183.Smp_173870.1, 6183.Smp_198240.1
OG0000523	3	NP_496011.1	6183.Smp_017980.1, 6183.Smp_142960.1
OG0000524	3	NP_505991.1, NP_505992.1	6183.Smp_044440.1
OG0000525	3	NP_495906.2, NP_503386.1	6183.Smp_026560.2
OG0000526	3	NP_493366.1, NP_510000.2	6183.Smp_150560.1
OG0000527	3	NP_497601.1, NP_503830.2	6183.Smp_026420.1
OG0000528	3	NP_509738.2	6183.Smp_159160.1, 6183.Smp_171010.1
OG0000529	3	NP_508186.1, NP_508201.2	6183.Smp_085650.1
OG0000532	3	NP_508121.1, NP_508122.2	6183.Smp_171740.1
OG0000534	3	NP_501242.1, NP_501336.1	6183.Smp_088650.1
OG0000535	3	NP_492481.1, NP_508236.1	6183.Smp_040570.1
OG0000536	3	NP_498565.2	6183.Smp_000440.1, 6183.Smp_013360.1
OG0000537	3	NP_493049.2	6183.Smp_142220.1, 6183.Smp_144450.1
OG0000538	3	NP_492958.3	6183.Smp_041280.1, 6183.Smp_131780.1
OG0000539	3	NP_491793.1, NP_491794.1	6183.Smp_126850.2
OG0000540	3	NP_502414.1, NP_502415.1	6183.Smp_084540.2
OG0000541	3	NP_508778.1	6183.Smp_056760.1, 6183.Smp_157700.1
OG0000542	3	NP_499613.1, NP_509190.1	6183.Smp_172110.1
OG0000544	3	NP_492620.1, NP_502888.2	6183.Smp_058790.1
OG0000547	3	NP_497500.1	6183.Smp_142360.1, 6183.Smp_197280.1
OG0000548	3	NP_492193.2	6183.Smp_084090.1, 6183.Smp_148200.1
OG0000549	3	NP_505989.1, NP_505990.3	6183.Smp_145320.1
OG0000550	3	NP_509293.1	6183.Smp_095350.1, 6183.Smp_165400.3
OG0000552	3	NP_509768.1	6183.Smp_114470.1, 6183.Smp_136330.1
OG0000554	3	NP_510454.1	6183.Smp_007760.1, 6183.Smp_130540.1
OG0000555	3	NP_501127.2	6183.Smp_157740.1, 6183.Smp_212320.1
OG0000556	3	NP_491325.1, NP_509886.1	6183.Smp_025100.1
OG0000557	3	NP_493745.1	6183.Smp_000600.1, 6183.Smp_018400.1
OG0000558	3	NP_506421.1	6183.Smp_030320.1, 6183.Smp_125280.1
OG0000559	3	NP_493279.1	6183.Smp_032800.2, 6183.Smp_032820.1
OG0000560	3	NP_501859.1	6183.Smp_102040.1, 6183.Smp_187870.1
OG0000561	3	NP_492851.1, NP_500252.2	6183.Smp_074370.1
OG0000562	3	NP_495299.2, NP_508768.2	6183.Smp_210840.1
OG0000563	3	NP_491653.2	6183.Smp_122890.1, 6183.Smp_126910.1
OG0000564	3	NP_502144.1, NP_506733.1	6183.Smp_073940.1
OG0000565	3	NP_497930.2	6183.Smp_150390.3, 6183.Smp_194110.1
OG0000568	3	NP_496973.1	6183.Smp_013790.1, 6183.Smp_133120.2
OG0000569	3	NP_492161.3, NP_501018.1	6183.Smp_083710.1
OG0000570	3	NP_495838.2	6183.Smp_113640.1, 6183.Smp_186670.1
OG0000571	3	NP_510623.1	6183.Smp_127280.1, 6183.Smp_134390.1
OG0000572	3	NP_510264.1, NP_510265.1	6183.Smp_028670.1
OG0000573	3	NP_510607.2	6183.Smp_135910.1, 6183.Smp_166940.1
OG0000574	3	NP_497972.1	6183.Smp_084940.3, 6183.Smp_198010.1
OG0000575	3	NP_504008.1, NP_508413.1	6183.Smp_050940.1
OG0000576	3	NP_495769.2, NP_498541.1	6183.Smp_004350.1
OG0000579	3	NP_505448.1	6183.Smp_008660.1, 6183.Smp_197860.1
OG0000580	3	NP_493275.1, NP_493276.1	6183.Smp_176630.1
OG0000581	3	NP_497345.2	6183.Smp_165720.1, 6183.Smp_165840.1
OG0000582	3	NP_496753.1, NP_496787.1	6183.Smp_075690.1
OG0000583	3	NP_504199.1	6183.Smp_032500.1, 6183.Smp_161880.1
OG0000584	3	NP_508524.2, NP_508525.3	6183.Smp_001980.1
OG0000585	3	NP_491693.1, NP_499401.1	6183.Smp_126190.1
OG0000586	3	NP_506048.1, NP_506049.1	6183.Smp_153810.1
OG0000588	3	NP_491688.1, NP_498633.1	6183.Smp_148930.1
OG0000589	3	NP_504638.1, NP_504639.1	6183.Smp_053230.1
OG0000590	3	NP_499887.1, NP_500418.1	6183.Smp_157760.1
OG0000591	3	NP_495670.1	6183.Smp_066410.1, 6183.Smp_212190.1
OG0000593	3	NP_504721.1	6183.Smp_005200.1, 6183.Smp_212600.1
OG0000594	3	NP_510290.1	6183.Smp_068060.1, 6183.Smp_150260.1
OG0000595	3	NP_497696.2, NP_498528.1	6183.Smp_090890.1
OG0000596	3	NP_491914.1	6183.Smp_176970.1, 6183.Smp_177920.1
OG0000597	3	NP_502274.2, NP_509485.1	6183.Smp_126240.1
OG0000599	3	NP_499388.1, NP_502355.2	6183.Smp_172270.1
OG0000600	3	NP_491864.2, NP_491865.2	6183.Smp_170170.1
OG0000602	3	NP_501365.1	6183.Smp_047900.1, 6183.Smp_142050.1
OG0000603	3	NP_495617.1, NP_509746.2	6183.Smp_176620.1
OG0000604	3	NP_499922.1, NP_500384.2	6183.Smp_172240.1
OG0000605	3	NP_510460.2	6183.Smp_125270.1, 6183.Smp_206070.1
OG0000606	3	NP_494744.2, NP_494745.3	6183.Smp_169930.1
OG0000608	3	NP_497962.1	6183.Smp_078800.1, 6183.Smp_196180.1
OG0000609	3	NP_502126.1, NP_502648.2	6183.Smp_136910.1
OG0000611	3	NP_492257.1	6183.Smp_013080.1, 6183.Smp_126110.1
OG0000612	3	NP_498148.2	6183.Smp_045410.1, 6183.Smp_045420.1
OG0000613	3	NP_506030.2	6183.Smp_000680.1, 6183.Smp_064150.1
OG0000614	3	NP_510060.1	6183.Smp_126030.1, 6183.Smp_157830.1
OG0000615	3	NP_498671.2	6183.Smp_082420.1, 6183.Smp_082430.1
OG0000617	3	NP_491382.2, NP_497129.1	6183.Smp_079400.1
OG0000618	3	NP_492422.2	6183.Smp_125640.1, 6183.Smp_148320.1
OG0000619	3	NP_491242.2	6183.Smp_077020.1, 6183.Smp_162620.1
OG0000620	3	NP_505917.2, NP_508904.2	6183.Smp_143560.1
OG0000622	3	NP_492721.1	6183.Smp_019880.1, 6183.Smp_059350.2
OG0000623	3	NP_492290.1, NP_510764.1	6183.Smp_056440.1
OG0000624	3	NP_505487.3	6183.Smp_162340.1, 6183.Smp_189130.1
OG0000625	3	NP_491549.2, NP_491552.2	6183.Smp_122910.1
OG0000626	3	NP_491142.1	6183.Smp_008070.1, 6183.Smp_054470.1
OG0000627	3	NP_501303.1, NP_501357.3	6183.Smp_144840.1
OG0000628	3	NP_500420.3	6183.Smp_016380.1, 6183.Smp_034660.1
OG0000629	3	NP_506135.2, NP_508153.1	6183.Smp_063390.1
OG0000630	3	NP_507508.2	6183.Smp_153880.1, 6183.Smp_196800.1
OG0000632	3	NP_497771.1	6183.Smp_136970.1, 6183.Smp_173700.1
OG0000633	3	NP_492751.1	6183.Smp_106060.1, 6183.Smp_194600.1
OG0000634	3	NP_490901.2, NP_490902.2	6183.Smp_153610.1
OG0000635	3	NP_502546.1	6183.Smp_053780.1, 6183.Smp_053790.1
OG0000637	3	NP_495962.2	6183.Smp_093930.2, 6183.Smp_165470.1
OG0000638	3	NP_495394.3	6183.Smp_150920.1, 6183.Smp_194330.1
OG0000639	3	NP_509912.1	6183.Smp_060940.1, 6183.Smp_079390.1
OG0000641	3	NP_506381.1, NP_506382.1	6183.Smp_065110.1
OG0000642	3	NP_509702.3	6183.Smp_029520.1, 6183.Smp_148580.1
OG0000643	3	NP_494570.1, NP_494571.1	6183.Smp_138860.1
OG0000644	3	NP_492170.2, NP_492171.2	6183.Smp_210090.1
OG0000645	3	NP_505507.1, NP_505508.1	6183.Smp_018760.1
OG0000646	3	NP_508776.1, NP_508777.1	6183.Smp_174690.1
OG0000647	3	NP_494973.3, NP_494974.3	6183.Smp_004120.1
OG0000648	3	NP_492499.1	6183.Smp_163570.1, 6183.Smp_199540.1
OG0000649	3	NP_501315.1, NP_501316.2	6183.Smp_060860.1
OG0000650	3	NP_502553.2	6183.Smp_084380.1, 6183.Smp_211110.1
OG0000651	3	NP_491231.2	6183.Smp_138440.1, 6183.Smp_176060.1
OG0000652	3	NP_497203.1	6183.Smp_037400.1, 6183.Smp_134020.1
OG0000655	3	NP_502544.1	6183.Smp_022870.1, 6183.Smp_178740.1
OG0000656	3	NP_499488.3, NP_508923.2	6183.Smp_009150.1
OG0000657	3	NP_502367.3, NP_509509.1	6183.Smp_143830.1
OG0000659	3	NP_492563.1, NP_505915.1	6183.Smp_000190.1
OG0000662	3	NP_499007.1, NP_499014.1	6183.Smp_143300.1
OG0000667	3	NP_495284.1	6183.Smp_163970.1, 6183.Smp_172590.1
OG0000669	3	NP_499918.1	6183.Smp_131870.1, 6183.Smp_146400.1
OG0000670	3	NP_505751.1	6183.Smp_010160.1, 6183.Smp_168350.1
OG0000671	3	NP_492960.1, NP_492961.1	6183.Smp_094130.1
OG0000672	3	NP_497173.1, NP_498631.2	6183.Smp_162080.1
OG0000673	3	NP_492337.1	6183.Smp_141010.1, 6183.Smp_163750.1
OG0000675	3	NP_500787.1	6183.Smp_138770.1, 6183.Smp_177250.1
OG0000676	3	NP_493106.1, NP_501564.1	6183.Smp_153490.1
OG0000677	3	NP_504653.2, NP_504654.1	6183.Smp_168800.2
OG0000679	3	NP_495666.4, NP_495667.2	6183.Smp_049380.1
OG0000680	3	NP_491349.1, NP_491350.1	6183.Smp_048240.1
OG0000681	3	NP_491173.1	6183.Smp_070190.1, 6183.Smp_168890.1
OG0000682	3	NP_508124.1	6183.Smp_147950.1, 6183.Smp_164080.1
OG0000683	3	NP_499692.1, NP_510091.2	6183.Smp_176100.1
OG0000685	3	NP_504644.1, NP_505971.2	6183.Smp_095580.1
OG0000686	3	NP_497019.2, NP_507590.2	6183.Smp_161220.1
OG0000687	3	NP_504166.2	6183.Smp_004640.1, 6183.Smp_040710.1
OG0000690	3	NP_493866.1, NP_493904.1	6183.Smp_139240.1
OG0000692	3	NP_492210.2	6183.Smp_010280.1, 6183.Smp_027000.1
OG0000694	3	NP_492143.1, NP_501390.1	6183.Smp_171860.1
OG0000695	3	NP_499464.1, NP_502317.1	6183.Smp_068280.1
OG0000697	3	NP_501459.1, NP_508803.3	6183.Smp_042440.1
OG0000698	3	NP_501868.1, NP_501869.1	6183.Smp_075870.2
OG0000699	3	NP_502580.2, NP_502581.2	6183.Smp_063340.1
OG0000700	3	NP_499446.1	6183.Smp_101670.1, 6183.Smp_170160.1
OG0000701	3	NP_496520.1, NP_500610.1	6183.Smp_196270.1
OG0000703	3	NP_492598.1	6183.Smp_058690.1, 6183.Smp_058700.1
OG0000706	3	NP_505926.2, NP_505927.2	6183.Smp_087320.1
OG0000707	3	NP_507861.1, NP_508054.1	6183.Smp_072950.1
OG0000708	3	NP_491892.1, NP_502288.1	6183.Smp_140180.1
OG0000709	3	NP_498483.1, NP_498484.1	6183.Smp_126840.1
OG0000710	3	NP_499926.1, NP_501178.1	6183.Smp_154470.1
OG0000711	3	NP_493353.3, NP_495833.1	6183.Smp_066930.1
OG0000712	3	NP_498574.2, NP_499549.1	6183.Smp_015860.1
OG0000714	3	NP_497936.2, NP_505713.1	6183.Smp_175210.1
OG0000715	3	NP_496385.1, NP_500964.1	6183.Smp_175550.1
OG0000716	3	NP_506658.1	6183.Smp_020370.1, 6183.Smp_058240.1
OG0000717	3	NP_494789.1, NP_494790.2	6183.Smp_092390.1
OG0000718	3	NP_491748.1, NP_491749.2	6183.Smp_130600.1
OG0000719	3	NP_502348.1, NP_502349.1	6183.Smp_196510.1
OG0000720	3	NP_491902.4	6183.Smp_177280.1, 6183.Smp_186740.1
OG0000721	3	NP_491855.1	6183.Smp_142550.1, 6183.Smp_163440.1
OG0000722	3	NP_496579.3	6183.Smp_161010.1, 6183.Smp_210660.1
OG0000723	3	NP_507241.2, NP_508475.2	6183.Smp_059150.1
OG0000724	3	NP_491362.1	6183.Smp_058050.1, 6183.Smp_153400.1
OG0000725	3	NP_505825.1, NP_505826.1	6183.Smp_089180.1
OG0000726	3	NP_495453.1, NP_495454.1	6183.Smp_104470.1
OG0000727	3	NP_490938.3	6183.Smp_164340.1, 6183.Smp_169130.1
OG0000729	3	NP_493778.1	6183.Smp_047860.1, 6183.Smp_084340.1
OG0000730	3	NP_503132.3	6183.Smp_068720.1, 6183.Smp_146810.1
OG0000731	3	NP_497505.4	6183.Smp_141590.2, 6183.Smp_144430.1
OG0000732	3	NP_498813.1, NP_508771.1	6183.Smp_039130.1
OG0000733	3	NP_491642.2, NP_491643.2	6183.Smp_026040.1
OG0000734	3	NP_509108.1, NP_509109.1	6183.Smp_176410.1
OG0000735	3	NP_498394.1	6183.Smp_156020.1, 6183.Smp_156040.1
OG0000736	3	NP_495787.2	6183.Smp_131420.1, 6183.Smp_203220.1
OG0000737	3	NP_508169.2	6183.Smp_153310.1, 6183.Smp_210870.1
OG0000738	3	NP_493543.1, NP_498784.1	6183.Smp_175960.1
OG0000739	3	NP_496987.1, NP_496988.1	6183.Smp_142770.1
OG0000740	3	NP_501748.1, NP_501749.1	6183.Smp_138400.1
OG0000741	3	NP_495271.1	6183.Smp_049760.1, 6183.Smp_124450.1
OG0000742	3	NP_497896.1	6183.Smp_036980.1, 6183.Smp_165560.1
OG0000743	3	NP_503420.3, NP_508185.2	6183.Smp_148450.1
OG0000744	3	NP_491915.2	6183.Smp_156890.1, 6183.Smp_158720.1
OG0000745	3	NP_492861.1, NP_496363.1	6183.Smp_171070.1
OG0000746	3	NP_494772.1, NP_494773.1	6183.Smp_024970.1
OG0000747	3	NP_500566.1, NP_500567.1	6183.Smp_152570.1
OG0000748	3	NP_499309.1	6183.Smp_052460.1, 6183.Smp_150270.1
OG0000749	3	NP_495916.1, NP_502683.2	6183.Smp_136740.1
OG0000751	3	NP_497351.3	6183.Smp_132270.1, 6183.Smp_145490.1
OG0000752	3	NP_508085.2, NP_509928.3	6183.Smp_135510.1
OG0000753	3	NP_497694.3, NP_497695.3	6183.Smp_138150.1
OG0000755	3	NP_508988.3	6183.Smp_130480.1, 6183.Smp_207030.1
OG0000756	3	NP_491343.1	6183.Smp_042210.1, 6183.Smp_145740.1
OG0000758	3	NP_496067.1, NP_496524.1	6183.Smp_178850.1
OG0000759	3	NP_499293.2	6183.Smp_168450.1, 6183.Smp_193030.1
OG0000760	3	NP_504838.1	6183.Smp_071770.1, 6183.Smp_160090.1
OG0000761	3	NP_506133.2, NP_506134.3	6183.Smp_078610.1
OG0000762	3	NP_508216.1	6183.Smp_003140.1, 6183.Smp_042550.1
OG0000764	3	NP_491956.1, NP_491957.1	6183.Smp_127840.1
OG0000765	3	NP_491302.1	6183.Smp_030860.1, 6183.Smp_162310.1
OG0000766	3	NP_497974.1, NP_498054.2	6183.Smp_197640.1
OG0000767	3	NP_491198.1, NP_504944.2	6183.Smp_087760.1
OG0000768	3	NP_497790.2	6183.Smp_037930.1, 6183.Smp_061500.1
OG0000769	3	NP_506246.1, NP_509700.2	6183.Smp_067390.1
OG0000770	3	NP_505173.2, NP_505174.3	6183.Smp_149630.1
OG0000771	3	NP_508973.3	6183.Smp_146360.1, 6183.Smp_177240.1
OG0000772	3	NP_492942.1, NP_493077.1	6183.Smp_193750.1
OG0000773	3	NP_493947.1, NP_493948.1	6183.Smp_028140.1
OG0000775	3	NP_491489.1, NP_504162.2	6183.Smp_198210.1
OG0000776	3	NP_499588.1, NP_510384.2	6183.Smp_135660.1
OG0000777	3	NP_503545.1, NP_504634.2	6183.Smp_172730.1
OG0000778	3	NP_491001.2, NP_492338.1	6183.Smp_054430.1
OG0000779	3	NP_505856.1, NP_510223.1	6183.Smp_068220.1
OG0000780	3	NP_496269.1, NP_509196.2	6183.Smp_198530.1
OG0000782	3	NP_499276.1	6183.Smp_129060.1, 6183.Smp_175010.1
OG0000783	3	NP_497007.1	6183.Smp_095010.1, 6183.Smp_171630.1
OG0000784	3	NP_504684.2	6183.Smp_142970.1, 6183.Smp_142980.1
OG0000785	3	NP_491527.1	6183.Smp_161460.1, 6183.Smp_163030.1
OG0000788	3	NP_499472.1	6183.Smp_000530.1, 6183.Smp_157270.1
OG0000789	3	NP_506611.1	6183.Smp_164160.1, 6183.Smp_207060.1
OG0000790	3	NP_498854.1	6183.Smp_030000.1, 6183.Smp_083870.1
OG0000791	3	NP_491473.1, NP_491635.1	6183.Smp_080130.1
OG0000792	3	NP_493388.1	6183.Smp_003620.1, 6183.Smp_060070.1
OG0000793	3	NP_490811.3, NP_499182.1	6183.Smp_047440.1
OG0000794	3	NP_510713.1	6183.Smp_014010.1, 6183.Smp_161550.1
OG0000795	3	NP_500648.2	6183.Smp_020450.1, 6183.Smp_164450.1
OG0000796	3	NP_504310.2	6183.Smp_010940.1, 6183.Smp_141330.1
OG0000797	3	NP_492644.2	6183.Smp_124780.1, 6183.Smp_135110.1
OG0000798	3	NP_492730.2, NP_504502.1	6183.Smp_128980.1
OG0000799	3	NP_497603.3	6183.Smp_141280.1, 6183.Smp_162450.1
OG0000800	3	NP_495093.1, NP_495096.1	6183.Smp_039180.1
OG0000801	3	NP_502104.1	6183.Smp_008360.1, 6183.Smp_008400.1
OG0000802	3	NP_501004.2, NP_501005.2	6183.Smp_050430.1
OG0000803	3	NP_497567.1, NP_497568.1	6183.Smp_096780.1
OG0000804	3	NP_502124.1, NP_502125.1	6183.Smp_025560.1
OG0000805	3	NP_496405.1	6183.Smp_025690.1, 6183.Smp_178810.1
OG0000806	3	NP_497707.1, NP_498908.2	6183.Smp_171890.1
OG0000807	3	NP_510634.1	6183.Smp_000320.1, 6183.Smp_194720.1
OG0000808	3	NP_501511.1	6183.Smp_014020.1, 6183.Smp_210250.1
OG0000809	3	NP_498649.1, NP_499005.2	6183.Smp_165350.1
OG0000810	3	NP_491108.2	6183.Smp_173890.1, 6183.Smp_212510.1
OG0000811	3	NP_500024.1	6183.Smp_044470.1, 6183.Smp_077400.1
OG0000812	3	NP_507526.1, NP_507528.1	6183.Smp_054540.1
OG0000813	3	NP_493569.1, NP_498689.2	6183.Smp_176760.1
OG0000814	3	NP_494696.1, NP_496399.1	6183.Smp_085240.2
OG0000815	3	NP_500635.3, NP_508949.1	6183.Smp_071880.1
OG0000816	3	NP_497618.1	6183.Smp_144000.1, 6183.Smp_144010.1
OG0000817	3	NP_490911.1	6183.Smp_013460.1, 6183.Smp_127650.1
OG0000818	3	NP_501770.1, NP_501771.1	6183.Smp_169640.1
OG0000819	3	NP_498349.1	6183.Smp_027610.1, 6183.Smp_131450.1
OG0000820	3	NP_506479.1	6183.Smp_026390.1, 6183.Smp_138890.2
OG0000821	3	NP_490974.1	6183.Smp_055880.2, 6183.Smp_079000.1
OG0000822	3	NP_505741.2, NP_509929.2	6183.Smp_103210.1
OG0000823	3	NP_495987.1, NP_508620.1	6183.Smp_038210.1
OG0000824	3	NP_501843.1, NP_508150.1	6183.Smp_009830.1
OG0000825	3	NP_496151.1	6183.Smp_001360.1, 6183.Smp_032810.1
OG0000826	3	NP_497796.1, NP_500335.1	6183.Smp_200020.1
OG0000827	3	NP_504235.2	6183.Smp_035190.2, 6183.Smp_199010.1
OG0000828	3	NP_497072.1, NP_497727.1	6183.Smp_035800.1
OG0000829	3	NP_509165.1	6183.Smp_146840.1, 6183.Smp_151310.1
OG0000830	3	NP_508166.1	6183.Smp_130070.1, 6183.Smp_132700.1
OG0000831	3	NP_509791.4	6183.Smp_082740.1, 6183.Smp_151580.1
OG0000832	3	NP_496318.1, NP_496319.1	6183.Smp_153520.1
OG0000833	3	NP_491559.1, NP_491560.1	6183.Smp_066760.2
OG0000834	3	NP_508681.3, NP_510116.2	6183.Smp_171690.1
OG0000836	3	NP_502803.3	6183.Smp_139520.1, 6183.Smp_141030.1
OG0000837	3	NP_507060.2, NP_508547.1	6183.Smp_167770.1
OG0000838	3	NP_497759.1	6183.Smp_095290.1, 6183.Smp_164740.1
OG0000839	3	NP_500977.2	6183.Smp_062560.1, 6183.Smp_068680.1
OG0000840	3	NP_503965.2	6183.Smp_118970.1, 6183.Smp_139180.1
OG0000841	3	NP_506316.1, NP_506317.2	6183.Smp_123810.1
OG0000842	3	NP_502838.3	6183.Smp_165660.1, 6183.Smp_199610.1
OG0000843	3	NP_509342.1	6183.Smp_062950.1, 6183.Smp_176510.1
OG0000846	3	NP_501888.2	6183.Smp_130690.1, 6183.Smp_132000.1
OG0000848	3	NP_494910.2	6183.Smp_065530.1, 6183.Smp_103680.1
OG0000849	3	NP_503544.2, NP_509076.1	6183.Smp_179810.1
OG0000852	3	NP_509920.3	6183.Smp_123300.1, 6183.Smp_155050.1
OG0000853	3	NP_498211.1	6183.Smp_080120.2, 6183.Smp_144390.1
OG0000854	3	NP_510833.3	6183.Smp_123350.1, 6183.Smp_203500.1
OG0000855	3	NP_493193.1, NP_510477.1	6183.Smp_199690.1
OG0000856	3	NP_497784.1, NP_497785.1	6183.Smp_012780.1
OG0000857	3	NP_495680.1	6183.Smp_124340.1, 6183.Smp_162060.1
OG0000859	3	NP_498664.3	6183.Smp_190090.1, 6183.Smp_198800.1
OG0000861	3	NP_497474.3, NP_505749.3	6183.Smp_124390.1
OG0000862	3	NP_508500.1, NP_508501.1	6183.Smp_012570.1
OG0000863	3	NP_491580.1, NP_491581.1	6183.Smp_180510.1
OG0000864	3	NP_495513.1, NP_508706.2	6183.Smp_014850.1
