Orthogroup	cel_kog_final	dme_costa_final	kog_cel_final	kog_dme_final	kog_sce_final	kog_total_final	sce_costa_final	total_costa_final
OG0000024	NP_504576.1, NP_504576.1, NP_504576.1, NP_504576.1, NP_504576.1, NP_504576.1, NP_504576.1, NP_504576.1, NP_504576.1, NP_504576.1, NP_504576.1, NP_504576.1, NP_504576.1, NP_504576.1, NP_504576.1, NP_504576.1, NP_504576.1		NP_504576.1, NP_504576.1, NP_504576.1, NP_504576.1, NP_504576.1, NP_504576.1, NP_504576.1, NP_504576.1, NP_504576.1, NP_504576.1, NP_504576.1, NP_504576.1, NP_504576.1, NP_504576.1, NP_504576.1, NP_504576.1, NP_504576.1	NP_524832.3				
OG0000025				NP_523595.1	NP_011057.1, NP_011326.1, NP_011326.1, NP_011326.1, NP_011326.1, NP_011326.1, NP_011326.1, NP_011326.1, NP_011326.1, NP_011326.1, NP_011326.1, NP_011326.1, NP_011326.1, NP_011326.1, NP_011326.1, NP_011326.1, NP_011326.1, NP_011326.1, NP_011326.1, NP_011326.1, NP_011326.1, NP_011326.1, NP_011326.1, NP_011326.1, NP_011326.1, NP_011326.1, NP_011326.1, NP_011326.1, NP_011326.1, NP_011326.1, NP_011326.1, NP_011326.1, NP_011326.1		DEG20010386	
OG0000026	NP_497663.1, NP_509585.1		NP_497663.1, NP_509585.1		NP_013625.1, NP_116616.1	NP_013625.1, NP_116616.1	DEG20010326, DEG20010773, DEG20010773, DEG20010773, DEG20010773, DEG20010773, DEG20010773, DEG20010773, DEG20010773, DEG20010773, DEG20010773, DEG20010773, DEG20010773, DEG20010773, DEG20010773, DEG20010773, DEG20010773, DEG20010773, DEG20010773, DEG20010773, DEG20010773, DEG20010773, DEG20010773, DEG20010773, DEG20010773, DEG20010773	
OG0000027	NP_493388.1		NP_493388.1			NP_009928.1	DEG20010478, DEG20010478, DEG20010478, DEG20010478, DEG20010478, DEG20010478, DEG20010478, DEG20010478, DEG20010478, DEG20010478, DEG20010478, DEG20010478, DEG20010478, DEG20010478, DEG20010478, DEG20010478, DEG20010478, DEG20010478, DEG20010478, DEG20010478, DEG20010478, DEG20010478, DEG20010478, DEG20010478, DEG20010478, DEG20010478, DEG20010478, DEG20010478, DEG20010478, DEG20010478, DEG20010478	
OG0000028		DEG20070179, DEG20070179, DEG20070179, DEG20070179, DEG20070179, DEG20070179, DEG20070179, DEG20070179, DEG20070179, DEG20070179, DEG20070179, DEG20070179, DEG20070179, DEG20070179, DEG20070179, DEG20070179, DEG20070179, DEG20070179, DEG20070179, DEG20070179, DEG20070179, DEG20070179, DEG20070179, DEG20070179, DEG20070179, DEG20070179, DEG20070179, DEG20070179, DEG20070179, DEG20070179, DEG20070179, DEG20070179						
OG0000029							DEG20010722, DEG20010722, DEG20010722, DEG20010722, DEG20010722, DEG20010722, DEG20010722, DEG20010722, DEG20010722, DEG20010722, DEG20010722, DEG20010722, DEG20010722, DEG20010722, DEG20010722, DEG20010722, DEG20010722, DEG20010722, DEG20010722, DEG20010722, DEG20010722, DEG20010722, DEG20010722, DEG20010722, DEG20010722, DEG20010722, DEG20010722, DEG20010722, DEG20010722, DEG20010722, DEG20010722	
OG0000030	NP_493778.1		NP_493778.1		NP_010248.1, NP_014575.1, NP_014575.1, NP_014575.1, NP_014575.1, NP_014575.1, NP_014575.1, NP_014575.1, NP_014575.1, NP_014575.1, NP_014575.1, NP_014575.1, NP_014575.1, NP_014575.1, NP_014575.1, NP_014575.1, NP_014575.1, NP_014575.1, NP_014575.1, NP_014575.1, NP_014575.1, NP_014575.1, NP_014575.1, NP_014575.1, NP_014575.1, NP_014575.1		DEG20010925	
OG0000031	NP_492506.1, NP_492506.1, NP_492506.1, NP_492506.1, NP_492506.1, NP_492506.1, NP_492506.1, NP_492506.1, NP_492506.1, NP_492506.1, NP_492506.1, NP_492506.1, NP_492506.1, NP_492506.1		NP_492506.1, NP_492506.1, NP_492506.1, NP_492506.1, NP_492506.1, NP_492506.1, NP_492506.1, NP_492506.1, NP_492506.1, NP_492506.1, NP_492506.1, NP_492506.1, NP_492506.1, NP_492506.1	NP_477167.1				
OG0000032	NP_495043.1, NP_495043.1, NP_495043.1, NP_495043.1, NP_495043.1, NP_495043.1, NP_495043.1, NP_495043.1, NP_495043.1, NP_495043.1, NP_495043.1, NP_495043.1, NP_495043.1, NP_495043.1		NP_495043.1, NP_495043.1, NP_495043.1, NP_495043.1, NP_495043.1, NP_495043.1, NP_495043.1, NP_495043.1, NP_495043.1, NP_495043.1, NP_495043.1, NP_495043.1, NP_495043.1, NP_495043.1					
OG0000033	NP_499964.1		NP_499964.1		NP_013129.1, NP_013129.1, NP_013129.1, NP_013129.1, NP_013129.1, NP_013129.1, NP_013129.1, NP_013129.1, NP_013129.1, NP_013129.1, NP_013129.1, NP_013129.1, NP_013129.1, NP_013129.1, NP_013129.1, NP_013129.1, NP_013129.1, NP_013129.1, NP_013129.1, NP_013129.1, NP_013129.1, NP_013129.1, NP_013129.1, NP_013129.1, NP_013129.1		DEG20010685	
OG0000034					NP_013418.2	NP_013418.2	DEG20010740, DEG20010740, DEG20010740, DEG20010740, DEG20010740, DEG20010740, DEG20010740, DEG20010740, DEG20010740, DEG20010740, DEG20010740, DEG20010740, DEG20010740, DEG20010740, DEG20010740, DEG20010740, DEG20010740, DEG20010740, DEG20010740, DEG20010740, DEG20010740, DEG20010740, DEG20010740, DEG20010740, DEG20010740	
OG0000035		DEG20070064, DEG20070064, DEG20070064, DEG20070064, DEG20070064, DEG20070064, DEG20070064, DEG20070064, DEG20070064, DEG20070064, DEG20070064, DEG20070064, DEG20070064, DEG20070064, DEG20070064, DEG20070064, DEG20070064, DEG20070064, DEG20070064, DEG20070064, DEG20070064, DEG20070064, DEG20070064, DEG20070064, DEG20070064				NP_010121.1		
OG0000036	NP_499388.1, NP_499388.1, NP_499388.1, NP_499388.1, NP_499388.1, NP_499388.1, NP_499388.1, NP_499388.1, NP_499388.1, NP_499388.1, NP_499388.1, NP_499388.1, NP_499388.1, NP_499388.1, NP_499388.1, NP_499388.1, NP_499388.1, NP_499388.1, NP_499388.1, NP_499388.1, NP_499388.1, NP_499388.1, NP_499388.1, NP_499388.1, NP_499388.1							
OG0000037	NP_501357.3, NP_501357.3, NP_501357.3, NP_501357.3, NP_501357.3, NP_501357.3, NP_501357.3, NP_501357.3, NP_501357.3, NP_501357.3, NP_501357.3, NP_501357.3, NP_501357.3, NP_501357.3, NP_501357.3, NP_501357.3, NP_501357.3, NP_501357.3, NP_501357.3, NP_501357.3, NP_501357.3, NP_501357.3, NP_501357.3, NP_501357.3, NP_501357.3							
OG0000038	NP_501303.1, NP_501303.1, NP_501303.1, NP_501303.1, NP_501303.1, NP_501303.1, NP_501303.1, NP_501303.1, NP_501303.1, NP_501303.1, NP_501303.1, NP_501303.1, NP_501303.1, NP_501303.1, NP_501303.1, NP_501303.1, NP_501303.1, NP_501303.1, NP_501303.1, NP_501303.1, NP_501303.1, NP_501303.1, NP_501303.1, NP_501303.1, NP_501303.1							
OG0000039	NP_508153.1, NP_508153.1, NP_508153.1, NP_508153.1, NP_508153.1, NP_508153.1, NP_508153.1, NP_508153.1, NP_508153.1, NP_508153.1, NP_508153.1, NP_508153.1, NP_508153.1, NP_508153.1, NP_508153.1, NP_508153.1, NP_508153.1, NP_508153.1, NP_508153.1, NP_508153.1, NP_508153.1, NP_508153.1, NP_508153.1, NP_508153.1, NP_508153.1							
OG0000040	NP_506135.2, NP_506135.2, NP_506135.2, NP_506135.2, NP_506135.2, NP_506135.2, NP_506135.2, NP_506135.2, NP_506135.2, NP_506135.2, NP_506135.2, NP_506135.2, NP_506135.2, NP_506135.2, NP_506135.2, NP_506135.2, NP_506135.2, NP_506135.2, NP_506135.2, NP_506135.2, NP_506135.2, NP_506135.2, NP_506135.2, NP_506135.2, NP_506135.2							
OG0000041	NP_509628.1, NP_509628.1, NP_509628.1, NP_509628.1, NP_509628.1, NP_509628.1, NP_509628.1, NP_509628.1, NP_509628.1, NP_509628.1, NP_509628.1, NP_509628.1, NP_509628.1, NP_509628.1, NP_509628.1, NP_509628.1, NP_509628.1, NP_509628.1, NP_509628.1, NP_509628.1, NP_509628.1, NP_509628.1, NP_509628.1, NP_509628.1, NP_509628.1							
OG0000042	NP_508160.1, NP_508160.1, NP_508160.1, NP_508160.1, NP_508160.1, NP_508160.1, NP_508160.1, NP_508160.1, NP_508160.1, NP_508160.1, NP_508160.1, NP_508160.1, NP_508160.1, NP_508160.1, NP_508160.1, NP_508160.1, NP_508160.1, NP_508160.1, NP_508160.1, NP_508160.1, NP_508160.1, NP_508160.1, NP_508160.1, NP_508160.1, NP_508160.1							
OG0000043	NP_510648.1, NP_510648.1, NP_510648.1, NP_510648.1, NP_510648.1, NP_510648.1, NP_510648.1, NP_510648.1, NP_510648.1, NP_510648.1, NP_510648.1, NP_510648.1, NP_510648.1, NP_510648.1, NP_510648.1, NP_510648.1, NP_510648.1, NP_510648.1, NP_510648.1, NP_510648.1, NP_510648.1, NP_510648.1, NP_510648.1, NP_510648.1, NP_510648.1							
OG0000044	NP_501919.1, NP_501919.1, NP_501919.1, NP_501919.1, NP_501919.1, NP_501919.1, NP_501919.1, NP_501919.1, NP_501919.1, NP_501919.1, NP_501919.1, NP_501919.1, NP_501919.1, NP_501919.1, NP_501919.1, NP_501919.1, NP_501919.1, NP_501919.1, NP_501919.1, NP_501919.1, NP_501919.1, NP_501919.1, NP_501919.1, NP_501919.1, NP_501919.1							
OG0000045	NP_505971.2, NP_505971.2, NP_505971.2, NP_505971.2, NP_505971.2, NP_505971.2, NP_505971.2, NP_505971.2, NP_505971.2, NP_505971.2, NP_505971.2, NP_505971.2, NP_505971.2, NP_505971.2, NP_505971.2, NP_505971.2, NP_505971.2, NP_505971.2, NP_505971.2, NP_505971.2, NP_505971.2, NP_505971.2, NP_505971.2, NP_505971.2, NP_505971.2							
OG0000046	NP_504644.1, NP_504644.1, NP_504644.1, NP_504644.1, NP_504644.1, NP_504644.1, NP_504644.1, NP_504644.1, NP_504644.1, NP_504644.1, NP_504644.1, NP_504644.1, NP_504644.1, NP_504644.1, NP_504644.1, NP_504644.1, NP_504644.1, NP_504644.1, NP_504644.1, NP_504644.1, NP_504644.1, NP_504644.1, NP_504644.1, NP_504644.1, NP_504644.1							
OG0000047	NP_493904.1, NP_493904.1, NP_493904.1, NP_493904.1, NP_493904.1, NP_493904.1, NP_493904.1, NP_493904.1, NP_493904.1, NP_493904.1, NP_493904.1, NP_493904.1, NP_493904.1, NP_493904.1, NP_493904.1, NP_493904.1, NP_493904.1, NP_493904.1, NP_493904.1, NP_493904.1, NP_493904.1, NP_493904.1, NP_493904.1, NP_493904.1, NP_493904.1							
OG0000048	NP_502288.1, NP_502288.1, NP_502288.1, NP_502288.1, NP_502288.1, NP_502288.1, NP_502288.1, NP_502288.1, NP_502288.1, NP_502288.1, NP_502288.1, NP_502288.1, NP_502288.1, NP_502288.1, NP_502288.1, NP_502288.1, NP_502288.1, NP_502288.1, NP_502288.1, NP_502288.1, NP_502288.1, NP_502288.1, NP_502288.1, NP_502288.1, NP_502288.1							
OG0000049	NP_494219.4, NP_494219.4, NP_494219.4, NP_494219.4, NP_494219.4, NP_494219.4, NP_494219.4, NP_494219.4, NP_494219.4, NP_494219.4, NP_494219.4, NP_494219.4, NP_494219.4, NP_494219.4, NP_494219.4, NP_494219.4, NP_494219.4, NP_494219.4, NP_494219.4, NP_494219.4, NP_494219.4, NP_494219.4, NP_494219.4, NP_494219.4, NP_494219.4							
OG0000050	NP_498784.1, NP_498784.1, NP_498784.1, NP_498784.1, NP_498784.1, NP_498784.1, NP_498784.1, NP_498784.1, NP_498784.1, NP_498784.1, NP_498784.1, NP_498784.1, NP_498784.1, NP_498784.1, NP_498784.1, NP_498784.1, NP_498784.1, NP_498784.1, NP_498784.1, NP_498784.1, NP_498784.1, NP_498784.1, NP_498784.1, NP_498784.1, NP_498784.1							
OG0000051	NP_493543.1, NP_493543.1, NP_493543.1, NP_493543.1, NP_493543.1, NP_493543.1, NP_493543.1, NP_493543.1, NP_493543.1, NP_493543.1, NP_493543.1, NP_493543.1, NP_493543.1, NP_493543.1, NP_493543.1, NP_493543.1, NP_493543.1, NP_493543.1, NP_493543.1, NP_493543.1, NP_493543.1, NP_493543.1, NP_493543.1, NP_493543.1, NP_493543.1							
OG0000052	NP_509700.2, NP_509700.2, NP_509700.2, NP_509700.2, NP_509700.2, NP_509700.2, NP_509700.2, NP_509700.2, NP_509700.2, NP_509700.2, NP_509700.2, NP_509700.2, NP_509700.2, NP_509700.2, NP_509700.2, NP_509700.2, NP_509700.2, NP_509700.2, NP_509700.2, NP_509700.2, NP_509700.2, NP_509700.2, NP_509700.2, NP_509700.2, NP_509700.2							
OG0000053	NP_506246.1, NP_506246.1, NP_506246.1, NP_506246.1, NP_506246.1, NP_506246.1, NP_506246.1, NP_506246.1, NP_506246.1, NP_506246.1, NP_506246.1, NP_506246.1, NP_506246.1, NP_506246.1, NP_506246.1, NP_506246.1, NP_506246.1, NP_506246.1, NP_506246.1, NP_506246.1, NP_506246.1, NP_506246.1, NP_506246.1, NP_506246.1, NP_506246.1							
OG0000054	NP_492942.1, NP_492942.1, NP_492942.1, NP_492942.1, NP_492942.1, NP_492942.1, NP_492942.1, NP_492942.1, NP_492942.1, NP_492942.1, NP_492942.1, NP_492942.1, NP_492942.1, NP_492942.1, NP_492942.1, NP_492942.1, NP_492942.1, NP_492942.1, NP_492942.1, NP_492942.1, NP_492942.1, NP_492942.1, NP_492942.1, NP_492942.1, NP_492942.1							
OG0000055	NP_497807.1, NP_497807.1, NP_497807.1, NP_497807.1, NP_497807.1, NP_497807.1, NP_497807.1, NP_497807.1, NP_497807.1, NP_497807.1, NP_497807.1, NP_497807.1, NP_497807.1, NP_497807.1, NP_497807.1, NP_497807.1, NP_497807.1, NP_497807.1, NP_497807.1, NP_497807.1, NP_497807.1, NP_497807.1, NP_497807.1, NP_497807.1, NP_497807.1							
OG0000056	NP_500819.1, NP_500819.1, NP_500819.1, NP_500819.1, NP_500819.1, NP_500819.1, NP_500819.1, NP_500819.1, NP_500819.1, NP_500819.1, NP_500819.1, NP_500819.1, NP_500819.1, NP_500819.1, NP_500819.1, NP_500819.1, NP_500819.1, NP_500819.1, NP_500819.1, NP_500819.1, NP_500819.1, NP_500819.1, NP_500819.1, NP_500819.1, NP_500819.1							
OG0000057	NP_490706.2, NP_490706.2, NP_490706.2, NP_490706.2, NP_490706.2, NP_490706.2, NP_490706.2, NP_490706.2, NP_490706.2, NP_490706.2, NP_490706.2, NP_490706.2, NP_490706.2, NP_490706.2, NP_490706.2, NP_490706.2, NP_490706.2, NP_490706.2, NP_490706.2, NP_490706.2, NP_490706.2, NP_490706.2, NP_490706.2, NP_490706.2, NP_490706.2							
OG0000058	NP_499005.2, NP_499005.2, NP_499005.2, NP_499005.2, NP_499005.2, NP_499005.2, NP_499005.2, NP_499005.2, NP_499005.2, NP_499005.2, NP_499005.2, NP_499005.2, NP_499005.2, NP_499005.2, NP_499005.2, NP_499005.2, NP_499005.2, NP_499005.2, NP_499005.2, NP_499005.2, NP_499005.2, NP_499005.2, NP_499005.2, NP_499005.2, NP_499005.2							
OG0000059	NP_498649.1, NP_498649.1, NP_498649.1, NP_498649.1, NP_498649.1, NP_498649.1, NP_498649.1, NP_498649.1, NP_498649.1, NP_498649.1, NP_498649.1, NP_498649.1, NP_498649.1, NP_498649.1, NP_498649.1, NP_498649.1, NP_498649.1, NP_498649.1, NP_498649.1, NP_498649.1, NP_498649.1, NP_498649.1, NP_498649.1, NP_498649.1, NP_498649.1							
OG0000060	NP_496318.1, NP_496318.1, NP_496318.1, NP_496318.1, NP_496318.1, NP_496318.1, NP_496318.1, NP_496318.1, NP_496318.1, NP_496318.1, NP_496318.1, NP_496318.1, NP_496318.1, NP_496318.1, NP_496318.1, NP_496318.1, NP_496318.1, NP_496318.1, NP_496318.1, NP_496318.1, NP_496318.1, NP_496318.1, NP_496318.1, NP_496318.1, NP_496318.1							
OG0000061	NP_509076.1, NP_509076.1, NP_509076.1, NP_509076.1, NP_509076.1, NP_509076.1, NP_509076.1, NP_509076.1, NP_509076.1, NP_509076.1, NP_509076.1, NP_509076.1, NP_509076.1, NP_509076.1, NP_509076.1, NP_509076.1, NP_509076.1, NP_509076.1, NP_509076.1, NP_509076.1, NP_509076.1, NP_509076.1, NP_509076.1, NP_509076.1, NP_509076.1							
OG0000062	NP_496120.1, NP_496120.1, NP_496120.1, NP_496120.1, NP_496120.1, NP_496120.1, NP_496120.1, NP_496120.1, NP_496120.1, NP_496120.1, NP_496120.1, NP_496120.1, NP_496120.1, NP_496120.1, NP_496120.1, NP_496120.1, NP_496120.1, NP_496120.1, NP_496120.1, NP_496120.1, NP_496120.1, NP_496120.1, NP_496120.1, NP_496120.1, NP_496120.1							
OG0000063	NP_496119.1, NP_496119.1, NP_496119.1, NP_496119.1, NP_496119.1, NP_496119.1, NP_496119.1, NP_496119.1, NP_496119.1, NP_496119.1, NP_496119.1, NP_496119.1, NP_496119.1, NP_496119.1, NP_496119.1, NP_496119.1, NP_496119.1, NP_496119.1, NP_496119.1, NP_496119.1, NP_496119.1, NP_496119.1, NP_496119.1, NP_496119.1, NP_496119.1							
OG0000064	NP_508830.3, NP_508830.3, NP_508830.3, NP_508830.3, NP_508830.3, NP_508830.3, NP_508830.3, NP_508830.3, NP_508830.3, NP_508830.3, NP_508830.3, NP_508830.3, NP_508830.3, NP_508830.3, NP_508830.3, NP_508830.3, NP_508830.3, NP_508830.3, NP_508830.3, NP_508830.3, NP_508830.3, NP_508830.3, NP_508830.3, NP_508830.3, NP_508830.3							
OG0000065	NP_510338.1, NP_510338.1, NP_510338.1, NP_510338.1, NP_510338.1, NP_510338.1, NP_510338.1, NP_510338.1, NP_510338.1, NP_510338.1, NP_510338.1, NP_510338.1, NP_510338.1, NP_510338.1, NP_510338.1, NP_510338.1, NP_510338.1, NP_510338.1, NP_510338.1, NP_510338.1, NP_510338.1, NP_510338.1, NP_510338.1, NP_510338.1, NP_510338.1							
OG0000066	NP_510328.2, NP_510328.2, NP_510328.2, NP_510328.2, NP_510328.2, NP_510328.2, NP_510328.2, NP_510328.2, NP_510328.2, NP_510328.2, NP_510328.2, NP_510328.2, NP_510328.2, NP_510328.2, NP_510328.2, NP_510328.2, NP_510328.2, NP_510328.2, NP_510328.2, NP_510328.2, NP_510328.2, NP_510328.2, NP_510328.2, NP_510328.2, NP_510328.2							
OG0000067	NP_503916.1, NP_503916.1, NP_503916.1, NP_503916.1, NP_503916.1, NP_503916.1, NP_503916.1, NP_503916.1, NP_503916.1, NP_503916.1, NP_503916.1, NP_503916.1, NP_503916.1, NP_503916.1, NP_503916.1, NP_503916.1, NP_503916.1, NP_503916.1, NP_503916.1, NP_503916.1, NP_503916.1, NP_503916.1, NP_503916.1, NP_503916.1, NP_503916.1							
OG0000068	NP_503917.1, NP_503917.1, NP_503917.1, NP_503917.1, NP_503917.1, NP_503917.1, NP_503917.1, NP_503917.1, NP_503917.1, NP_503917.1, NP_503917.1, NP_503917.1, NP_503917.1, NP_503917.1, NP_503917.1, NP_503917.1, NP_503917.1, NP_503917.1, NP_503917.1, NP_503917.1, NP_503917.1, NP_503917.1, NP_503917.1, NP_503917.1, NP_503917.1							
OG0000069	NP_496010.2, NP_496010.2, NP_496010.2, NP_496010.2, NP_496010.2, NP_496010.2, NP_496010.2, NP_496010.2, NP_496010.2, NP_496010.2, NP_496010.2, NP_496010.2, NP_496010.2, NP_496010.2, NP_496010.2, NP_496010.2, NP_496010.2, NP_496010.2, NP_496010.2, NP_496010.2, NP_496010.2, NP_496010.2, NP_496010.2, NP_496010.2, NP_496010.2							
OG0000070	NP_503955.1, NP_503955.1, NP_503955.1, NP_503955.1, NP_503955.1, NP_503955.1, NP_503955.1, NP_503955.1, NP_503955.1, NP_503955.1, NP_503955.1, NP_503955.1, NP_503955.1, NP_503955.1, NP_503955.1, NP_503955.1, NP_503955.1, NP_503955.1, NP_503955.1, NP_503955.1, NP_503955.1, NP_503955.1, NP_503955.1, NP_503955.1, NP_503955.1							
OG0000071	NP_496661.1, NP_496661.1, NP_496661.1, NP_496661.1, NP_496661.1, NP_496661.1, NP_496661.1, NP_496661.1, NP_496661.1, NP_496661.1, NP_496661.1, NP_496661.1, NP_496661.1, NP_496661.1, NP_496661.1, NP_496661.1, NP_496661.1, NP_496661.1, NP_496661.1, NP_496661.1, NP_496661.1, NP_496661.1, NP_496661.1, NP_496661.1, NP_496661.1							
OG0000072	NP_496883.2, NP_496883.2, NP_496883.2, NP_496883.2, NP_496883.2, NP_496883.2, NP_496883.2, NP_496883.2, NP_496883.2, NP_496883.2, NP_496883.2, NP_496883.2, NP_496883.2, NP_496883.2, NP_496883.2, NP_496883.2, NP_496883.2, NP_496883.2, NP_496883.2, NP_496883.2, NP_496883.2, NP_496883.2, NP_496883.2, NP_496883.2, NP_496883.2							
OG0000073	NP_496882.1, NP_496882.1, NP_496882.1, NP_496882.1, NP_496882.1, NP_496882.1, NP_496882.1, NP_496882.1, NP_496882.1, NP_496882.1, NP_496882.1, NP_496882.1, NP_496882.1, NP_496882.1, NP_496882.1, NP_496882.1, NP_496882.1, NP_496882.1, NP_496882.1, NP_496882.1, NP_496882.1, NP_496882.1, NP_496882.1, NP_496882.1, NP_496882.1							
OG0000074	NP_496881.1, NP_496881.1, NP_496881.1, NP_496881.1, NP_496881.1, NP_496881.1, NP_496881.1, NP_496881.1, NP_496881.1, NP_496881.1, NP_496881.1, NP_496881.1, NP_496881.1, NP_496881.1, NP_496881.1, NP_496881.1, NP_496881.1, NP_496881.1, NP_496881.1, NP_496881.1, NP_496881.1, NP_496881.1, NP_496881.1, NP_496881.1, NP_496881.1							
OG0000075	NP_499816.2, NP_499816.2, NP_499816.2, NP_499816.2, NP_499816.2, NP_499816.2, NP_499816.2, NP_499816.2, NP_499816.2, NP_499816.2, NP_499816.2, NP_499816.2, NP_499816.2, NP_499816.2, NP_499816.2, NP_499816.2, NP_499816.2, NP_499816.2, NP_499816.2, NP_499816.2, NP_499816.2, NP_499816.2, NP_499816.2, NP_499816.2, NP_499816.2							
OG0000076	NP_493774.2, NP_493774.2, NP_493774.2, NP_493774.2, NP_493774.2, NP_493774.2, NP_493774.2, NP_493774.2, NP_493774.2, NP_493774.2, NP_493774.2, NP_493774.2, NP_493774.2, NP_493774.2, NP_493774.2, NP_493774.2, NP_493774.2, NP_493774.2, NP_493774.2, NP_493774.2, NP_493774.2, NP_493774.2, NP_493774.2, NP_493774.2, NP_493774.2							
OG0000077	NP_496567.2, NP_496567.2, NP_496567.2, NP_496567.2, NP_496567.2, NP_496567.2, NP_496567.2, NP_496567.2, NP_496567.2, NP_496567.2, NP_496567.2, NP_496567.2, NP_496567.2, NP_496567.2, NP_496567.2, NP_496567.2, NP_496567.2, NP_496567.2, NP_496567.2, NP_496567.2, NP_496567.2, NP_496567.2, NP_496567.2, NP_496567.2, NP_496567.2							
OG0000078	NP_496568.1, NP_496568.1, NP_496568.1, NP_496568.1, NP_496568.1, NP_496568.1, NP_496568.1, NP_496568.1, NP_496568.1, NP_496568.1, NP_496568.1, NP_496568.1, NP_496568.1, NP_496568.1, NP_496568.1, NP_496568.1, NP_496568.1, NP_496568.1, NP_496568.1, NP_496568.1, NP_496568.1, NP_496568.1, NP_496568.1, NP_496568.1, NP_496568.1							
OG0000079	NP_496008.1, NP_496008.1, NP_496008.1, NP_496008.1, NP_496008.1, NP_496008.1, NP_496008.1, NP_496008.1, NP_496008.1, NP_496008.1, NP_496008.1, NP_496008.1, NP_496008.1, NP_496008.1, NP_496008.1, NP_496008.1, NP_496008.1, NP_496008.1, NP_496008.1, NP_496008.1, NP_496008.1, NP_496008.1, NP_496008.1, NP_496008.1, NP_496008.1							
OG0000080	NP_499629.2, NP_499629.2, NP_499629.2, NP_499629.2, NP_499629.2, NP_499629.2, NP_499629.2, NP_499629.2, NP_499629.2, NP_499629.2, NP_499629.2, NP_499629.2, NP_499629.2, NP_499629.2, NP_499629.2, NP_499629.2, NP_499629.2, NP_499629.2, NP_499629.2, NP_499629.2, NP_499629.2, NP_499629.2, NP_499629.2, NP_499629.2, NP_499629.2							
OG0000081	NP_496566.1, NP_496566.1, NP_496566.1, NP_496566.1, NP_496566.1, NP_496566.1, NP_496566.1, NP_496566.1, NP_496566.1, NP_496566.1, NP_496566.1, NP_496566.1, NP_496566.1, NP_496566.1, NP_496566.1, NP_496566.1, NP_496566.1, NP_496566.1, NP_496566.1, NP_496566.1, NP_496566.1, NP_496566.1, NP_496566.1, NP_496566.1, NP_496566.1							
OG0000082	NP_500084.2, NP_500084.2, NP_500084.2, NP_500084.2, NP_500084.2, NP_500084.2, NP_500084.2, NP_500084.2, NP_500084.2, NP_500084.2, NP_500084.2, NP_500084.2, NP_500084.2, NP_500084.2, NP_500084.2, NP_500084.2, NP_500084.2, NP_500084.2, NP_500084.2, NP_500084.2, NP_500084.2, NP_500084.2, NP_500084.2, NP_500084.2, NP_500084.2							
OG0000083	NP_499991.1, NP_499991.1, NP_499991.1, NP_499991.1, NP_499991.1, NP_499991.1, NP_499991.1, NP_499991.1, NP_499991.1, NP_499991.1, NP_499991.1, NP_499991.1, NP_499991.1, NP_499991.1, NP_499991.1, NP_499991.1, NP_499991.1, NP_499991.1, NP_499991.1, NP_499991.1, NP_499991.1, NP_499991.1, NP_499991.1, NP_499991.1, NP_499991.1							
OG0000084			NP_499388.1, NP_499388.1, NP_499388.1, NP_499388.1, NP_499388.1, NP_499388.1, NP_499388.1, NP_499388.1, NP_499388.1, NP_499388.1, NP_499388.1, NP_499388.1, NP_499388.1, NP_499388.1, NP_499388.1, NP_499388.1, NP_499388.1, NP_499388.1, NP_499388.1, NP_499388.1, NP_499388.1, NP_499388.1, NP_499388.1, NP_499388.1, NP_499388.1					
OG0000085			NP_501357.3, NP_501357.3, NP_501357.3, NP_501357.3, NP_501357.3, NP_501357.3, NP_501357.3, NP_501357.3, NP_501357.3, NP_501357.3, NP_501357.3, NP_501357.3, NP_501357.3, NP_501357.3, NP_501357.3, NP_501357.3, NP_501357.3, NP_501357.3, NP_501357.3, NP_501357.3, NP_501357.3, NP_501357.3, NP_501357.3, NP_501357.3, NP_501357.3					
OG0000086			NP_501303.1, NP_501303.1, NP_501303.1, NP_501303.1, NP_501303.1, NP_501303.1, NP_501303.1, NP_501303.1, NP_501303.1, NP_501303.1, NP_501303.1, NP_501303.1, NP_501303.1, NP_501303.1, NP_501303.1, NP_501303.1, NP_501303.1, NP_501303.1, NP_501303.1, NP_501303.1, NP_501303.1, NP_501303.1, NP_501303.1, NP_501303.1, NP_501303.1					
OG0000087			NP_508153.1, NP_508153.1, NP_508153.1, NP_508153.1, NP_508153.1, NP_508153.1, NP_508153.1, NP_508153.1, NP_508153.1, NP_508153.1, NP_508153.1, NP_508153.1, NP_508153.1, NP_508153.1, NP_508153.1, NP_508153.1, NP_508153.1, NP_508153.1, NP_508153.1, NP_508153.1, NP_508153.1, NP_508153.1, NP_508153.1, NP_508153.1, NP_508153.1					
OG0000088			NP_506135.2, NP_506135.2, NP_506135.2, NP_506135.2, NP_506135.2, NP_506135.2, NP_506135.2, NP_506135.2, NP_506135.2, NP_506135.2, NP_506135.2, NP_506135.2, NP_506135.2, NP_506135.2, NP_506135.2, NP_506135.2, NP_506135.2, NP_506135.2, NP_506135.2, NP_506135.2, NP_506135.2, NP_506135.2, NP_506135.2, NP_506135.2, NP_506135.2					
