Orthogroup	costa_cerevisiae_pos_go	protein_mansoni	Total
OG0001161	0	2	2
OG0001162	0	2	2
OG0001163	0	2	2
OG0001164	0	2	2
OG0001165	0	2	2
OG0001166	0	2	2
OG0001167	0	2	2
OG0001168	0	2	2
OG0001169	0	2	2
OG0001170	0	2	2
OG0001171	0	2	2
OG0001172	0	2	2
OG0001173	0	2	2
OG0001174	0	2	2
OG0001175	0	2	2
OG0001176	0	2	2
OG0001177	0	2	2
OG0001178	0	2	2
OG0001179	0	2	2
OG0001180	0	2	2
OG0001181	0	2	2
OG0001182	0	2	2
OG0001183	0	2	2
OG0001184	0	2	2
OG0001185	0	2	2
OG0001186	0	2	2
OG0001187	0	2	2
OG0001188	0	2	2
OG0001189	0	2	2
OG0001190	0	2	2
OG0001191	0	2	2
OG0001192	0	2	2
OG0001193	0	2	2
OG0001194	0	2	2
OG0001195	0	2	2
OG0001196	0	2	2
OG0001197	0	2	2
OG0001198	0	2	2
OG0001199	0	2	2
OG0001200	0	2	2
OG0001201	0	2	2
OG0001202	0	2	2
OG0001203	0	2	2
OG0001204	0	2	2
OG0001205	0	2	2
OG0001206	0	2	2
OG0001207	0	2	2
OG0001208	0	2	2
OG0001209	0	2	2
OG0001210	0	2	2
OG0001211	0	2	2
OG0001212	0	2	2
OG0001213	0	2	2
OG0001214	0	2	2
OG0001215	0	2	2
OG0001216	0	2	2
OG0001217	0	2	2
OG0001218	0	2	2
OG0001219	0	2	2
OG0001220	0	2	2
OG0001221	0	2	2
OG0001222	0	2	2
OG0001223	0	2	2
OG0001224	0	2	2
OG0001225	0	2	2
OG0001226	0	2	2
OG0001227	0	2	2
OG0001228	0	2	2
OG0001229	0	2	2
OG0001230	0	2	2
OG0001231	0	2	2
OG0001232	0	2	2
OG0001233	0	2	2
OG0001234	0	2	2
OG0001235	0	2	2
OG0001236	0	2	2
OG0001237	0	2	2
OG0001238	0	2	2
OG0001239	0	2	2
OG0001240	0	2	2
OG0001241	0	2	2
OG0001242	0	2	2
OG0001243	0	2	2
OG0001244	0	2	2
OG0001245	0	2	2
OG0001246	0	2	2
OG0001247	0	2	2
OG0001248	0	2	2
OG0001249	0	2	2
OG0001250	0	2	2
OG0001251	0	2	2
OG0001252	0	2	2
OG0001253	0	2	2
OG0001254	0	2	2
OG0001255	0	2	2
OG0001256	0	2	2
OG0001257	0	2	2
OG0001258	0	2	2
OG0001259	0	2	2
OG0001260	0	2	2
OG0001261	0	2	2
OG0001262	0	2	2
OG0001263	0	2	2
OG0001264	0	2	2
OG0001265	0	2	2
OG0001266	0	2	2
OG0001267	0	2	2
OG0001268	0	2	2
OG0001269	0	2	2
OG0001270	0	2	2
OG0001271	0	2	2
OG0001272	0	2	2
OG0001273	0	2	2
OG0001274	0	2	2
OG0001275	0	2	2
OG0001276	0	2	2
OG0001277	0	2	2
OG0001278	0	2	2
OG0001279	0	2	2
OG0001280	0	2	2
OG0001281	0	2	2
OG0001282	0	2	2
OG0001283	0	2	2
OG0001284	0	2	2
OG0001285	0	2	2
OG0001286	0	2	2
OG0001287	0	2	2
OG0001288	0	2	2
OG0001289	0	2	2
OG0001290	0	2	2
OG0001291	0	2	2
OG0001292	0	2	2
OG0001293	0	2	2
OG0001294	0	2	2
OG0001295	0	2	2
OG0001296	0	2	2
OG0001297	0	2	2
OG0001298	0	2	2
OG0001299	0	2	2
OG0001300	0	2	2
OG0001301	0	2	2
OG0001302	0	2	2
OG0001303	0	2	2
OG0001304	0	2	2
OG0001305	0	2	2
OG0001306	0	2	2
OG0001307	0	2	2
OG0001308	0	2	2
OG0001309	0	2	2
OG0001310	0	2	2
OG0001311	0	2	2
OG0001312	0	2	2
OG0001313	0	2	2
OG0001314	0	2	2
OG0001315	0	2	2
OG0001316	0	2	2
OG0001317	0	2	2
OG0001318	0	2	2
OG0001319	0	2	2
OG0001320	0	2	2
OG0001321	0	2	2
OG0001322	0	2	2
OG0001323	0	2	2
OG0001324	0	2	2
OG0001325	0	2	2
OG0001326	0	2	2
OG0001327	0	2	2
OG0001328	0	2	2
OG0001329	0	2	2
OG0001330	0	2	2
OG0001331	0	2	2
OG0001332	0	2	2
OG0001333	0	2	2
OG0001334	0	2	2
OG0001335	0	2	2
OG0001336	0	2	2
OG0001337	0	2	2
OG0001338	0	2	2
OG0001339	0	2	2
OG0001340	0	2	2
OG0001341	0	2	2
OG0001342	0	2	2
OG0001343	0	2	2
OG0001344	0	2	2
OG0001345	0	2	2
OG0001346	0	2	2
OG0001347	0	2	2
OG0001348	0	2	2
OG0001349	0	2	2
OG0001350	0	2	2
OG0001351	0	2	2
OG0001352	0	2	2
OG0001353	0	2	2
OG0001354	0	2	2
OG0001355	0	2	2
OG0001356	0	2	2
OG0001357	0	2	2
OG0001358	0	2	2
OG0001359	0	2	2
OG0001360	0	2	2
OG0001361	0	2	2
OG0001362	0	2	2
OG0001363	0	2	2
OG0001364	0	2	2
OG0001365	0	2	2
OG0001366	0	2	2
OG0001367	0	2	2
OG0001368	0	2	2
OG0001369	0	2	2
OG0001370	0	2	2
OG0001371	0	2	2
OG0001372	0	2	2
OG0001373	0	2	2
OG0001374	0	2	2
OG0001375	0	2	2
OG0001376	0	2	2
OG0001377	0	2	2
OG0001378	0	2	2
OG0001379	0	2	2
OG0001380	0	2	2
OG0001381	0	2	2
OG0001382	0	2	2
OG0001383	0	2	2
OG0001384	0	2	2
OG0001385	0	2	2
OG0001386	0	2	2
OG0001387	0	2	2
OG0001388	0	2	2
OG0001389	0	2	2
OG0001390	0	2	2
OG0001391	0	2	2
OG0001392	0	2	2
OG0001393	0	2	2
OG0001394	0	2	2
OG0001395	0	2	2
OG0001396	0	2	2
OG0001397	0	2	2
OG0001398	0	2	2
OG0001399	0	2	2
OG0001400	0	2	2
OG0001401	0	2	2
OG0001402	0	2	2
OG0001403	0	2	2
OG0001404	0	2	2
OG0001405	0	2	2
OG0001406	0	2	2
OG0001407	0	2	2
OG0001408	0	2	2
OG0001409	0	2	2
OG0001410	0	2	2
OG0001411	0	2	2
OG0001412	0	2	2
OG0001413	0	2	2
OG0001414	0	2	2
OG0001415	0	2	2
OG0001416	0	2	2
OG0001417	0	2	2
OG0001418	0	2	2
OG0001419	0	2	2
OG0001420	0	2	2
OG0001421	0	2	2
OG0001422	0	2	2
OG0001423	0	2	2
OG0001424	0	2	2
OG0001425	0	2	2
OG0001426	0	2	2
OG0001427	0	2	2
OG0001428	0	2	2
OG0001429	0	2	2
OG0001430	0	2	2
OG0001431	0	2	2
OG0001432	0	2	2
OG0001433	0	2	2
OG0001434	0	2	2
OG0001435	0	2	2
OG0001436	0	2	2
OG0001437	0	2	2
OG0001438	0	2	2
OG0001439	0	2	2
OG0001440	0	2	2
OG0001441	0	2	2
OG0001442	0	2	2
OG0001443	0	2	2
OG0001444	0	2	2
OG0001445	0	2	2
OG0001446	0	2	2
OG0001447	0	2	2
OG0001448	0	2	2
OG0001449	0	2	2
OG0001450	0	2	2
OG0001451	0	2	2
OG0001452	0	2	2
OG0001453	0	2	2
OG0001454	0	2	2
OG0001455	0	2	2
OG0001456	0	2	2
OG0001457	0	2	2
OG0001458	0	2	2
OG0001459	0	2	2
OG0001460	0	2	2
OG0001461	0	2	2
OG0001462	0	2	2
OG0001463	0	2	2
OG0001464	0	2	2
OG0001465	0	2	2
OG0001466	0	2	2
OG0001467	0	2	2
OG0001468	0	2	2
OG0001469	0	2	2
OG0001470	0	2	2
OG0001471	0	2	2
OG0001472	0	2	2
OG0001473	0	2	2
OG0001474	0	2	2
OG0001475	0	2	2
OG0001476	0	2	2
OG0001477	0	2	2
OG0001478	0	2	2
OG0001479	0	2	2
OG0001480	0	2	2
OG0001481	0	2	2
OG0001482	0	2	2
OG0001483	0	2	2
OG0001484	0	2	2
OG0001485	0	2	2
OG0001486	0	2	2
OG0001487	0	2	2
OG0001488	0	2	2
OG0001489	0	2	2
OG0001490	0	2	2
OG0001491	0	2	2
OG0001492	0	2	2
OG0001493	0	2	2
OG0001494	0	2	2
OG0001495	0	2	2
OG0001496	0	2	2
OG0001497	0	2	2
OG0001498	0	2	2
OG0001499	0	2	2
OG0001500	0	2	2
OG0001501	0	2	2
OG0001502	0	2	2
OG0001503	0	2	2
OG0001504	0	2	2
OG0001505	0	2	2
OG0001506	0	2	2
OG0001507	0	2	2
OG0001508	0	2	2
OG0001509	0	2	2
OG0001510	0	2	2
OG0001511	0	2	2
OG0001512	0	2	2
OG0001513	0	2	2
OG0001514	0	2	2
OG0001515	0	2	2
OG0001516	0	2	2
OG0001517	0	2	2
OG0001518	0	2	2
OG0001519	0	2	2
OG0001520	0	2	2
OG0001521	0	2	2
OG0001522	0	2	2
OG0001523	0	2	2
OG0001524	0	2	2
OG0001525	0	2	2
OG0001526	0	2	2
OG0001527	0	2	2
OG0001528	0	2	2
OG0001529	0	2	2
OG0001530	0	2	2
OG0001531	0	2	2
OG0001532	0	2	2
OG0001533	0	2	2
OG0001534	0	2	2
OG0001535	0	2	2
OG0001536	0	2	2
OG0001537	0	2	2
OG0001538	0	2	2
OG0001539	0	2	2
OG0001540	0	2	2
OG0001541	0	2	2
OG0001542	0	2	2
OG0001543	0	2	2
OG0001544	0	2	2
OG0001545	0	2	2
OG0001546	0	2	2
OG0001547	0	2	2
OG0001548	0	2	2
OG0001549	0	2	2
OG0001550	0	2	2
OG0001551	0	2	2
OG0001552	0	2	2
OG0001553	0	2	2
OG0001554	0	2	2
OG0001555	0	2	2
OG0001556	0	2	2
OG0001557	0	2	2
OG0001558	0	2	2
OG0001559	0	2	2
OG0001560	0	2	2
OG0001561	0	2	2
OG0001562	0	2	2
OG0001563	0	2	2
OG0001564	0	2	2
OG0001565	0	2	2
OG0001566	0	2	2
OG0001567	0	2	2
OG0001568	0	2	2
OG0001569	0	2	2
OG0001570	0	2	2
OG0001571	0	2	2
OG0001572	0	2	2
OG0001573	0	2	2
OG0001574	0	2	2
OG0001575	0	2	2
OG0001576	0	2	2
OG0001577	0	2	2
OG0001578	0	2	2
OG0001579	0	2	2
OG0001580	0	2	2
OG0001581	0	2	2
OG0001582	0	2	2
OG0001583	0	2	2
OG0001584	0	2	2
OG0001585	0	2	2
OG0001586	0	2	2
OG0001587	0	2	2
OG0001588	0	2	2
OG0001589	0	2	2
OG0001590	0	2	2
OG0001591	0	2	2
OG0001592	0	2	2
OG0001593	0	2	2
