Orthogroup	Total	protein_mansoni	resultado_cel	resultado_dme	resultado_sce
OG0000286	9	6183.Smp_015030.1, 6183.Smp_015050.1	NP_508615.1, NP_508734.1	AAF48575.2, AAF57221.2, P54352.2	NP_010431.3, NP_013234.1
OG0000289	9	6183.Smp_018620.1, 6183.Smp_165550.1	NP_491165.2, NP_500191.3, NP_508082.2	AAF45806.1, AAF49365.2	NP_010933.1, NP_013807.1
OG0000290	9	6183.Smp_019280.1, 6183.Smp_030400.1, 6183.Smp_079010.1, 6183.Smp_131050.1	NP_508999.2, NP_509000.1	AAF51649.3, AAF58862.2	NP_012231.1
OG0000291	9	6183.Smp_019890.1, 6183.Smp_066670.1, 6183.Smp_179930.1	NP_499735.2, NP_510323.3, O16000.1	NP_524475.1	NP_013908.1, NP_015092.1
OG0000292	9	6183.Smp_019990.1, 6183.Smp_060700.1, 6183.Smp_143060.1	NP_504559.1, NP_508767.1	AAF55874.1, AAF56212.2	NP_012592.1, NP_013271.1
OG0000294	9	6183.Smp_026540.1, 6183.Smp_064240.1	NP_491572.2, NP_493174.1, NP_508757.1	AAF56002.3, CAA06918.1	NP_014579.1, NP_015064.1
OG0000295	9	6183.Smp_030220.1	NP_504509.1, NP_504511.1, NP_504512.1	AAF47701.2, AAF49296.1, AAF49297.2, NP_611656.2	NP_010045.1
OG0000297	9	6183.Smp_035430.2, 6183.Smp_176600.1	NP_505807.1, NP_505808.1, NP_507133.4	AAF55499.2, AAF55501.2, AAF56720.2	NP_014657.1
OG0000298	9	6183.Smp_036250.1, 6183.Smp_059100.1	NP_492952.1, NP_496457.1	NP_524705.1, NP_610487.3	NP_010471.1, NP_013269.1, NP_013294.1
OG0000299	9	6183.Smp_043030.1	NP_492475.1, NP_492905.1, NP_500088.1	AAF56591.2, NP_524674.1, NP_524848.1	NP_011261.1, NP_116711.3
OG0000301	9	6183.Smp_045220.1, 6183.Smp_062250.1	NP_498193.1, NP_499813.1, NP_510375.2	AAF46045.2, AAF56733.2, NP_511049.1	NP_011409.1
OG0000303	9	6183.Smp_048230.1	NP_490841.3, NP_495391.1, NP_501713.1, NP_504358.1	AAF46182.3, AAF54223.1, AAF57103.1	NP_012045.3
OG0000305	9	6183.Smp_056970.1	NP_496192.1, NP_496237.1, NP_508534.3, NP_508535.1	NP_525091.1, NP_525108.2	NP_011708.3, NP_012483.3
OG0000307	9	6183.Smp_065130.2	NP_491097.3, NP_491098.1	AAF54657.2, AAF54658.3, AAF56048.1, AAF56711.2, AAF58853.2	NP_012756.1
OG0000308	9	6183.Smp_071390.1, 6183.Smp_194530.1	NP_496386.1, NP_509786.2, NP_509884.1, NP_510236.1	AAF56560.1, NP_524038.1	NP_012901.3
OG0000309	9	6183.Smp_077180.1	NP_502989.1, NP_503159.3, NP_503160.1, NP_503161.2, NP_503162.3, NP_504040.1	AAF53551.2	NP_009833.1
OG0000312	9	6183.Smp_086590.1, 6183.Smp_120700.1, 6183.Smp_195080.1	NP_503425.2, NP_503426.2, NP_503427.2	AAF48877.1, NP_477034.1	NP_013050.1
OG0000314	9	6183.Smp_094660.1, 6183.Smp_116290.1	NP_496646.2, NP_501180.1, NP_504823.2, NP_505370.2, NP_505371.2	AAF50089.2	NP_009855.1
OG0000319	9	6183.Smp_122910.1, 6183.Smp_157820.1	NP_490693.3, NP_491549.2, NP_491552.2	AAF55149.1, NP_524891.1	NP_012600.1, NP_012719.2
OG0000321	9	6183.Smp_127630.1, 6183.Smp_131830.1, 6183.Smp_152000.1, 6183.Smp_212390.1	NP_507514.1	AAF50952.2, AAF55858.2	NP_010354.3, NP_011071.3
OG0000322	9	6183.Smp_127940.1, 6183.Smp_136030.1	NP_492258.1, NP_495228.1, NP_509137.1, NP_509936.3	AAF50207.2, AAF52497.2	NP_014124.1
OG0000324	9	6183.Smp_150510.1, 6183.Smp_154110.1	NP_499335.2, NP_505227.1	AAF50471.2, AAF53981.2, AAF54315.1	NP_011739.1, NP_444297.1
OG0000327	9	6183.Smp_155870.1	NP_500627.1, NP_501427.2	NP_524746.2, NP_608439.2, Q9VGA2.1, Q9VN97.1, Q9VNA0.2	NP_012392.1
OG0000328	9	6183.Smp_165000.1	NP_490970.1, NP_508351.2, NP_509963.2, NP_509981.2, NP_509997.1, NP_510056.2	AAF54122.2	NP_010728.1
OG0000344	8	6183.Smp_000640.1, 6183.Smp_044530.1, 6183.Smp_062950.1, 6183.Smp_173170.1	NP_509342.1	NP_476858.1	NP_011652.1, NP_015480.1
OG0000345	8	6183.Smp_001420.1, 6183.Smp_145170.1, 6183.Smp_165040.1	NP_497310.2	AAF54659.1, AAF55279.2	NP_014106.1, NP_014529.1
OG0000347	8	6183.Smp_005670.1, 6183.Smp_173990.1, 6183.Smp_190370.1	NP_490675.1, NP_492966.1	NP_477170.1	NP_010948.1, NP_011305.1
OG0000348	8	6183.Smp_007630.1	NP_492504.1, NP_495021.1, NP_495022.2, NP_500665.2, NP_500666.2	NP_476902.1	NP_012266.1
OG0000349	8	6183.Smp_010230.1, 6183.Smp_063640.1, 6183.Smp_075130.1	NP_492072.2, NP_496508.1	AAF46336.1, NP_525090.1	NP_014855.3
OG0000350	8	6183.Smp_012930.1	NP_501066.2	NP_524646.5	NP_009435.1, NP_009436.1, NP_012088.3, NP_013536.3, NP_013656.1
OG0000352	8	6183.Smp_017670.1, 6183.Smp_070190.1, 6183.Smp_122370.2	NP_491173.1, NP_494767.2	AAF49904.1, AAF57200.1	NP_011768.1
OG0000356	8	6183.Smp_020370.1, 6183.Smp_058240.1	NP_506658.1	AAF52198.2, AAF54008.2, NP_608893.1	NP_010077.1, NP_010519.3
OG0000357	8	6183.Smp_022960.1, 6183.Smp_050390.1	NP_498081.2, NP_503467.2	AAF56646.2, NP_609285.1	NP_010996.2, NP_015019.1
OG0000361	8	6183.Smp_028430.1	NP_491849.1, NP_497937.1, NP_505496.1	AAF47382.1, NP_569852.1	NP_010276.3, NP_014508.1
OG0000362	8	6183.Smp_028990.1, 6183.Smp_035580.1	NP_505733.1	AAF46583.2, NP_524484.1, NP_524921.1, NP_524937.1	NP_011059.3
OG0000363	8	6183.Smp_030320.1, 6183.Smp_047540.1	NP_506421.1, NP_506422.1	NP_523922.1	NP_010988.1, NP_012218.1, NP_116585.1
OG0000365	8	6183.Smp_040360.1, 6183.Smp_164200.1	NP_510494.2, NP_510575.1	AAF49653.1, NP_569847.1	NP_009358.1, NP_013644.1
OG0000366	8	6183.Smp_042440.1, 6183.Smp_122050.1	NP_493403.1, NP_501459.1, NP_508803.3	AAF46137.2	NP_011860.1, NP_012917.3
OG0000367	8	6183.Smp_042650.1, 6183.Smp_139630.1	NP_500147.1, NP_500148.1	AAF50799.1, AAF55160.1	NP_011778.1, NP_014648.1
OG0000368	8	6183.Smp_049150.1, 6183.Smp_064380.1	NP_491413.2, NP_509047.1, NP_510709.1	AAF51320.1, NP_611086.1	NP_013127.2
OG0000369	8	6183.Smp_055400.1, 6183.Smp_059130.1	NP_499046.2, NP_506367.1	AAF53604.1, NP_611425.1	NP_009901.1, NP_014251.1
OG0000371	8	6183.Smp_057530.1	NP_510461.1	AAF45422.1, AAF48688.3, AAF52291.2, AAF52407.3, NP_524739.1	NP_011893.1
OG0000373	8	6183.Smp_060910.1, 6183.Smp_094150.1	NP_490883.1, NP_498708.1	AAF46645.1, NP_523708.2	NP_010666.2, NP_015508.1
OG0000374	8	6183.Smp_066010.2	NP_491931.1, NP_510335.2	AAF49529.1, NP_572304.5, NP_609852.1, Q9V4N3.1	NP_014288.3
OG0000376	8	6183.Smp_070310.1	NP_508178.2, NP_508179.2, NP_510667.2	AAF48044.3, AAF50437.2	NP_013917.1, NP_015075.1
OG0000377	8	6183.Smp_076950.1, 6183.Smp_159740.1, 6183.Smp_159760.1	NP_495969.2, NP_495970.1	AAF49413.1	NP_009778.3, NP_009779.3
OG0000378	8	6183.Smp_083720.1	NP_492561.2, NP_494870.1, NP_502087.1, NP_506148.1	AAF49734.1, AAF57486.1	NP_010973.3
OG0000379	8	6183.Smp_086330.1	NP_491282.1, NP_492339.1, NP_492849.3, NP_493713.2	AAF47840.2, NP_476643.1	NP_015012.3
OG0000381	8	6183.Smp_096010.1	NP_498901.1, NP_498902.1, NP_506711.1	AAF47051.3, AAF50470.2	NP_012462.3, NP_116638.1
OG0000382	8	6183.Smp_098330.1, 6183.Smp_104660.1	NP_496300.1, NP_499415.1	AAF27630.1, AAF52798.2	NP_010073.2, NP_010888.1
OG0000383	8	6183.Smp_099850.3	NP_500235.4, NP_509131.2, NP_509132.1	NP_524425.2	NP_011917.1, NP_013134.1, NP_014519.1
OG0000384	8	6183.Smp_106930.1	NP_503068.1	NP_524063.1, NP_524356.1	NP_009396.2, NP_009478.1, NP_011029.3, NP_013076.1
OG0000385	8	6183.Smp_121160.1	NP_509133.1	AAD38577.1, AAF49238.1, AAF54347.1, AAF55767.2, AAF59153.1	NP_013452.1
OG0000388	8	6183.Smp_129250.1	NP_497717.2, NP_499041.1, NP_505874.1	AAF52383.2	NP_012832.1, NP_013484.3, NP_013796.1
OG0000389	8	6183.Smp_132720.1, 6183.Smp_196350.1	NP_492569.2, NP_495959.2, NP_499076.1	AAF58626.2, NP_572952.1	NP_011385.3
OG0000390	8	6183.Smp_133330.1	NP_495415.2, NP_499940.2, NP_509894.2	AAF57044.1, AAF57045.2, NP_611904.1	NP_010740.3
OG0000393	8	6183.Smp_137170.1, 6183.Smp_199210.1	NP_500161.1, NP_500293.1, NP_500294.2, NP_501709.2	AAF59350.5	NP_011509.1
OG0000394	8	6183.Smp_139720.1, 6183.Smp_166790.1	NP_503070.2, NP_509719.2, NP_510563.2	NP_524931.1, Q9VAF0.1	NP_012241.1
OG0000395	8	6183.Smp_141100.1, 6183.Smp_141110.1	NP_499359.3	AAF45897.1, AAF48793.2, AAF50730.1, AAF53851.2	NP_012217.3
OG0000397	8	6183.Smp_145880.1	NP_492685.2, NP_504297.1, NP_504299.2	AAF59187.1	NP_010410.3, NP_011625.3, NP_013200.1
OG0000398	8	6183.Smp_146910.1	NP_500387.2, NP_510624.1	AAF53242.2, AAF54128.2, AAF55397.1, AAF55588.5	NP_013670.1
OG0000399	8	6183.Smp_147950.1	NP_491384.3, NP_508124.1	AAF46312.3, AAF46981.1, AAF56200.1	NP_010213.1, NP_013503.1
OG0000400	8	6183.Smp_151030.1	NP_490726.1, NP_499346.2, NP_502083.1, NP_508282.2	AAF45844.2, NP_523396.1	NP_012868.1
OG0000402	8	6183.Smp_153010.1, 6183.Smp_172130.1	NP_492442.3, NP_492443.3, NP_492444.4	NP_523664.1	NP_010697.3, NP_014799.1
OG0000403	8	6183.Smp_155000.1, 6183.Smp_180910.1	NP_495523.3, NP_508980.2	AAF54338.2	NP_011337.1, NP_011501.1, NP_013088.1
OG0000404	8	6183.Smp_158430.1, 6183.Smp_168300.1, 6183.Smp_179960.1, 6183.Smp_184360.1, 6183.Smp_193860.1	NP_503370.1	AAF50502.1	NP_015202.1
OG0000405	8	6183.Smp_164160.1, 6183.Smp_207060.1	NP_492875.2, NP_504793.1, NP_506611.1	AAF49464.2, AAF49848.1	NP_010390.3
OG0000407	8	6183.Smp_172110.1	NP_499613.1, NP_509190.1	AAF48082.2, AAF51366.1, AAF53293.1, NP_609792.1	NP_014931.3
OG0000409	8	6183.Smp_197640.1	NP_497974.1, NP_498054.2, NP_500925.1, NP_500926.3, NP_500927.3	AAF48365.4	NP_011733.3
OG0000432	7	6183.Smp_000700.1, 6183.Smp_124950.1	NP_499143.1	AAF49923.1, AAF58645.2, NP_610730.1	NP_015160.1
OG0000434	7	6183.Smp_000810.2, 6183.Smp_147810.1	NP_493691.2, NP_504476.1	AAF55876.1, NP_610248.4	NP_009498.1
OG0000439	7	6183.Smp_008620.1, 6183.Smp_105680.1	NP_501065.2, NP_503013.2, NP_503016.1	NP_523536.2	NP_012532.3
OG0000440	7	6183.Smp_014010.1	NP_490759.1, NP_491324.1, NP_510713.1, NP_510714.1	AAF51408.2	NP_014261.1
OG0000442	7	6183.Smp_018430.1	NP_499523.3, NP_500022.1	AAF48490.1, AAF57438.1	NP_013749.1, NP_013870.1
OG0000443	7	6183.Smp_018990.1	NP_498660.1	AAF53048.2, NP_477161.1	NP_011368.3, NP_012017.1, NP_014332.1
OG0000444	7	6183.Smp_019880.1, 6183.Smp_059350.2	NP_492721.1, NP_498590.4	AAF55326.1, NP_608632.1	NP_010699.1
OG0000445	7	6183.Smp_022020.1, 6183.Smp_152520.1	NP_502697.1	AAF46482.2, AAF46483.1, AAF51133.2	NP_015187.1
OG0000446	7	6183.Smp_022090.1	NP_498585.3, NP_498586.2, NP_498587.2	AAF50223.2, AAF50224.3	NP_009485.3
OG0000447	7	6183.Smp_024140.4	NP_492727.1, NP_510259.2, NP_510260.1	NP_476667.1, NP_611924.1	NP_011092.1
OG0000449	7	6183.Smp_024970.1	NP_494772.1, NP_494773.1, NP_494774.1	AAF51992.2, NP_609750.1	NP_010116.1
OG0000450	7	6183.Smp_026560.2	NP_503386.1	AAF47810.1, AAF58544.1, NP_476988.1, NP_523710.1	NP_009667.1
OG0000451	7	6183.Smp_027890.1, 6183.Smp_027900.1	NP_498309.3, NP_498310.3	AAF56189.1, AAF56190.3	NP_011423.1
OG0000454	7	6183.Smp_030500.1	NP_493454.1, NP_499188.2	NP_476565.1, NP_611760.2	NP_010262.1, NP_014582.1
OG0000456	7	6183.Smp_030760.1, 6183.Smp_034220.1	NP_495978.1, NP_498103.1	AAF55315.1, NP_477158.1	NP_011908.1
OG0000457	7	6183.Smp_031000.2, 6183.Smp_082850.2	NP_495525.2, NP_503151.1	AAF59135.2, NP_523573.1	NP_011517.1
OG0000458	7	6183.Smp_033400.1	NP_500629.1, NP_506156.1	NP_477164.1, NP_477176.1	NP_010875.1, NP_012582.1
OG0000459	7	6183.Smp_035030.1, 6183.Smp_152840.1	NP_495890.2	AAF47973.2, AAF53921.2, NP_476641.1	NP_013523.3
OG0000461	7	6183.Smp_035730.1, 6183.Smp_138810.1, 6183.Smp_153890.1	NP_496766.1, NP_497966.2	AAF51454.2	NP_009943.2
OG0000462	7	6183.Smp_035800.1	NP_497072.1, NP_497727.1	Q9VXX8.1, Q9W1U6.1	NP_010788.1, NP_013286.1
OG0000464	7	6183.Smp_037230.1, 6183.Smp_149130.1	NP_500060.1, NP_500061.4, NP_508051.1	NP_523385.1	NP_010414.3
OG0000465	7	6183.Smp_037930.1, 6183.Smp_042630.1, 6183.Smp_061500.1	NP_497790.2	AAF47531.2, AAF57804.3	NP_014882.4
OG0000466	7	6183.Smp_039180.1	NP_495093.1, NP_495094.1, NP_495096.1, NP_495097.1	AAF56480.3	NP_009729.1
OG0000467	7	6183.Smp_039820.1, 6183.Smp_124830.1	NP_493375.2, NP_502208.1	AAF55180.2, NP_608563.1	NP_014176.2
OG0000470	7	6183.Smp_041770.1	NP_499080.3, NP_499081.1, NP_499082.1	AAF51819.2, AAF58140.2	NP_013943.1
OG0000471	7	6183.Smp_042390.1, 6183.Smp_178890.1	NP_498593.1	AAF51380.1, NP_477228.1, NP_608598.1	NP_012891.4
OG0000474	7	6183.Smp_045710.1	NP_495206.2, NP_495337.1, NP_504236.2, NP_505022.2	AAF58977.2	NP_013125.1
OG0000476	7	6183.Smp_046430.1, 6183.Smp_074400.1, 6183.Smp_139020.1	NP_493434.3	AAF50748.2, NP_524140.2	NP_013950.1
OG0000477	7	6183.Smp_046600.1, 6183.Smp_183710.1	NP_505817.1, NP_505818.1, NP_508841.1	NP_511052.1	NP_116614.1
OG0000479	7	6183.Smp_047860.1, 6183.Smp_084340.1	NP_493778.1	AAF52959.2, AAF52961.2	NP_010248.1, NP_014575.1
OG0000480	7	6183.Smp_048430.1	NP_497740.1, NP_498971.1, NP_501085.3	AAF46354.1, NP_524216.1	NP_015234.1
OG0000481	7	6183.Smp_049140.1	NP_508025.1	AAF46792.1, AAF46793.1, NP_609753.1, NP_611635.1	NP_013740.1
OG0000482	7	6183.Smp_050830.1	NP_498783.1, NP_501999.2	AAF48627.1, AAF49933.1, NP_611178.1	NP_012264.3
OG0000484	7	6183.Smp_052460.1, 6183.Smp_150270.1	NP_499309.1, NP_502412.1	AAF49858.1, NP_523655.1	NP_010150.1
OG0000485	7	6183.Smp_053300.1, 6183.Smp_053390.1, 6183.Smp_194870.1	NP_492641.1, NP_501203.2	NP_478143.1	NP_009563.1
OG0000487	7	6183.Smp_054360.1, 6183.Smp_054410.1, 6183.Smp_151260.1	NP_491663.1	NP_476637.1	NP_010729.3, NP_013690.1
OG0000488	7	6183.Smp_054540.1	NP_496438.1, NP_507526.1, NP_507528.1	AAF57623.2, NP_610233.1	NP_010932.1
OG0000490	7	6183.Smp_057060.1	NP_495409.3, NP_496090.1, NP_501606.1, NP_501607.2	AAF56990.1	NP_009538.1
OG0000492	7	6183.Smp_060420.1, 6183.Smp_134830.1	NP_492518.2, NP_493393.1	AAF55899.2, NP_612087.1	NP_012710.1
OG0000494	7	6183.Smp_063340.1, 6183.Smp_063380.1	NP_502580.2, NP_502581.2, NP_502582.2	AAF50274.1	NP_011724.1
OG0000495	7	6183.Smp_064150.1	NP_501223.1, NP_506621.1	NP_477221.1, NP_609093.1, NP_609380.1	NP_014743.1
OG0000496	7	6183.Smp_065610.1	NP_492458.1, NP_492459.1, NP_502029.1	AAF55979.3	NP_009362.1, NP_014992.3
OG0000498	7	6183.Smp_067480.3, 6183.Smp_067490.1, 6183.Smp_136640.1	NP_491447.3	AAF45393.1, NP_610592.1	NP_011572.2
OG0000499	7	6183.Smp_067810.1	NP_497818.1, NP_510533.3	AAF53630.2, NP_511140.1, NP_524602.1	NP_015120.1
OG0000500	7	6183.Smp_067980.4, 6183.Smp_068000.1	NP_494130.2, NP_502065.1	P25867.1	NP_009638.1, NP_010344.1
OG0000501	7	6183.Smp_069170.1	NP_509095.2, NP_509096.2	AAF47754.1, AAF51612.1	NP_013970.1, NP_014961.3
OG0000502	7	6183.Smp_070610.2, 6183.Smp_095470.1	NP_501179.1, NP_502248.2	AAF55993.2, NP_609364.1	NP_012160.2
OG0000503	7	6183.Smp_071150.1, 6183.Smp_147220.1	NP_499838.2, NP_499839.2, NP_508289.1	AAF47887.2	NP_011982.1
OG0000504	7	6183.Smp_076520.1, 6183.Smp_126920.1, 6183.Smp_158190.1	NP_510442.2	AAF47516.2, AAF52840.2	NP_012977.3
OG0000505	7	6183.Smp_077540.1, 6183.Smp_084610.1	NP_493684.1, NP_509498.4	NP_477388.1, NP_611080.1	NP_010192.1
OG0000506	7	6183.Smp_078280.1	NP_496330.1, NP_509583.1	AAF47423.1, NP_569914.2	NP_013386.1, NP_014823.3
OG0000509	7	6183.Smp_079450.1	NP_497284.1, NP_510011.1, NP_510012.2, NP_510521.1	AAF49444.1	NP_015517.1
OG0000510	7	6183.Smp_079860.2, 6183.Smp_173790.1	NP_502091.1, NP_503057.2, NP_508937.1	NP_610546.1	NP_014818.1
OG0000512	7	6183.Smp_082620.1	NP_492582.1	AAF50072.2, AAF57923.1, AAF57924.2, NP_611175.1	NP_012651.1
OG0000513	7	6183.Smp_083540.1, 6183.Smp_180520.1	NP_491531.2, NP_499753.1	AAF46997.2, NP_523489.1	NP_012644.1
OG0000514	7	6183.Smp_083740.1, 6183.Smp_134950.1, 6183.Smp_136850.2	NP_498986.3, NP_508066.1	AAF45414.1	NP_014900.3
OG0000515	7	6183.Smp_085300.1	NP_494932.1, NP_494933.1	AAF46972.1, NP_477134.1	NP_013162.1, NP_116619.1
OG0000518	7	6183.Smp_087320.1	NP_499619.1, NP_505926.2, NP_505927.2	AAF48194.2	NP_010435.1, NP_013237.1
OG0000519	7	6183.Smp_088650.1	NP_498235.1, NP_501336.1	NP_476955.1, NP_524631.1	NP_010089.1, NP_010144.1
OG0000521	7	6183.Smp_094890.1, 6183.Smp_145770.1, 6183.Smp_173570.1	NP_492140.1	AAF45386.1, AAF55832.1	NP_009819.1
OG0000523	7	6183.Smp_097110.1, 6183.Smp_137970.1	NP_497691.1, NP_501475.1	AAF47343.2, NP_610266.1	NP_015356.1
OG0000525	7	6183.Smp_103160.2	NP_498568.1, NP_508993.2	AAF59061.2	NP_012257.1, NP_013974.1, NP_014962.3
OG0000527	7	6183.Smp_105330.1	NP_497866.2, NP_497867.2	AAF49037.2, AAF49617.2, NP_610828.2	NP_013229.1
OG0000529	7	6183.Smp_126260.1, 6183.Smp_141950.1	NP_501939.1	AAF48622.1, AAF48623.4, AAF57105.3	NP_013537.1
OG0000530	7	6183.Smp_126740.1, 6183.Smp_156890.1, 6183.Smp_158720.1	NP_491915.2	AAF50183.1, AAF56841.1	NP_011432.1
OG0000532	7	6183.Smp_130430.1, 6183.Smp_205840.1	NP_504260.1, NP_504261.1	NP_477418.1, NP_477463.1	NP_010451.3
OG0000533	7	6183.Smp_130650.1, 6183.Smp_137040.1	NP_495842.1, NP_499392.1	AAF50332.1, NP_611896.1	NP_011374.1
OG0000535	7	6183.Smp_133600.1	NP_499841.1, NP_499842.1, NP_499843.1, NP_499844.1	AAF50300.2	NP_012889.3
OG0000537	7	6183.Smp_134440.2	NP_496968.1	AAF54859.1, AAF58000.3, AAF58001.4, XP_081224.1	NP_012896.1
OG0000538	7	6183.Smp_135490.1, 6183.Smp_151290.1, 6183.Smp_162110.1	NP_505208.1	AAF55781.2	NP_010625.1, NP_011897.1
OG0000539	7	6183.Smp_135790.1, 6183.Smp_171650.1	NP_495155.4, NP_503037.2	NP_477322.1, NP_611965.2	NP_009506.1
OG0000540	7	6183.Smp_135870.1	NP_502420.2, NP_502421.1, NP_502422.1	AAF52300.1, AAF52302.4	NP_009961.2
OG0000541	7	6183.Smp_136210.1	NP_492941.2, NP_506092.1	AAF49080.2, AAF50537.1, AAF54543.1	NP_011596.1
OG0000542	7	6183.Smp_136260.2	NP_496479.1, NP_496480.1, NP_502156.1	AAF56785.1, NP_524671.1	NP_012818.1
OG0000544	7	6183.Smp_137520.1	NP_492318.1, NP_493968.1, NP_495741.2	AAF54364.1	NP_011009.1, NP_012704.1
OG0000550	7	6183.Smp_142990.1, 6183.Smp_166150.1	NP_499937.1, NP_510710.2, NP_510711.2	NP_477313.1	NP_010765.3
OG0000551	7	6183.Smp_143650.1, 6183.Smp_143660.1	NP_500550.1, NP_500552.1	AAF58611.2, AAF58612.1	NP_013207.1
OG0000552	7	6183.Smp_143830.1	NP_502367.3, NP_509509.1	AAF46943.3, NP_524723.2, NP_611906.1	NP_009597.2
OG0000553	7	6183.Smp_144180.1	NP_498039.1, NP_498040.1, NP_498041.1	AAF45425.1, AAF55041.2	NP_011987.1
OG0000554	7	6183.Smp_146330.1	NP_501213.1, NP_503125.2, NP_503126.2, NP_506752.1	NP_476852.1	NP_015055.1
OG0000556	7	6183.Smp_149630.1, 6183.Smp_197020.1	NP_505173.2, NP_505174.3, NP_505175.2	AAF52045.2	NP_015128.1
OG0000559	7	6183.Smp_151350.1, 6183.Smp_165540.1	NP_491781.2	AAF56341.1, NP_477441.1	NP_009986.1, NP_010606.1
OG0000561	7	6183.Smp_152180.1, 6183.Smp_171850.1, 6183.Smp_200020.1	NP_497796.1	NP_572609.1, NP_572882.1	NP_009504.1
OG0000562	7	6183.Smp_152200.1	NP_496197.2, NP_498972.1, NP_503446.1	NP_476633.1, NP_524547.1	NP_013750.1
OG0000563	7	6183.Smp_153710.1, 6183.Smp_199070.1	NP_491202.1, NP_502531.1	NP_523565.2	NP_010127.1, NP_014551.1
OG0000566	7	6183.Smp_162210.1	NP_499879.1	AAF48027.2, AAF51184.1, AAF58796.2, AAF58797.1	NP_009489.1
OG0000567	7	6183.Smp_163050.1	NP_501665.1, NP_509875.1	AAF50434.1	NP_010217.1, NP_013275.1, NP_014389.3
OG0000568	7	6183.Smp_163130.1	NP_492451.2, NP_509429.1	NP_609669.1, NP_610053.1	NP_010392.1, NP_013184.1
OG0000569	7	6183.Smp_166290.1	NP_497617.1	AAF51115.1, AAF51969.1, NP_573079.1	NP_012113.1, NP_015173.1
OG0000570	7	6183.Smp_167660.1	NP_500391.1, NP_500392.1, NP_510848.1	AAF49732.1	NP_010974.1, NP_012219.3
OG0000572	7	6183.Smp_175550.1	NP_496385.1, NP_500964.1	AAF46688.1, AAF47567.1	NP_012411.1, NP_012556.2
OG0000574	7	6183.Smp_181090.1, 6183.Smp_211190.1	NP_491647.3, NP_501789.1	NP_608464.1, NP_611335.1	NP_014548.1
OG0000575	7	6183.Smp_181350.1, 6183.Smp_181360.1	NP_493260.1, NP_498924.1, NP_498925.1	AAF49884.1	NP_014156.2
OG0000576	7	6183.Smp_210300.1, 6183.Smp_210310.1	NP_500554.1, NP_508078.1	NP_511063.1	NP_011830.1, NP_013055.1
OG0000577	7	6183.Smp_210320.1	NP_508223.2	AAF53726.1, NP_609920.1	NP_013038.1, NP_014054.3, NP_015050.1
OG0000578	7	6183.Smp_212360.1	NP_491847.2	AAF51119.5	NP_010613.1, NP_011948.1, NP_013173.1, NP_116611.1
OG0000579	7	6183.Smp_900070.1	NP_006958.1	NP_008288.1	NP_009315.1, NP_009316.1, NP_009317.1, NP_009318.1
OG0000624	6	6183.Smp_000710.1	NP_499162.2, NP_499163.2	AAF56066.1	NP_009486.3, NP_011024.1
OG0000625	6	6183.Smp_001030.1, 6183.Smp_142030.1	NP_499637.2, NP_499638.1	AAF55864.2	NP_011400.1
OG0000628	6	6183.Smp_002180.1	NP_495336.1	AAF51481.1, NP_476853.1	NP_010538.1, NP_015288.1
OG0000629	6	6183.Smp_002960.1	NP_497842.1	NP_476982.1	NP_009926.1, NP_014397.1, NP_076878.1
OG0000631	6	6183.Smp_005390.2	NP_496454.1, NP_496455.2, NP_500306.1	NP_611460.1	NP_010895.1
OG0000635	6	6183.Smp_007730.1, 6183.Smp_154160.1	NP_498282.1, NP_509703.1	NP_477296.1	NP_009513.1
OG0000636	6	6183.Smp_007760.1, 6183.Smp_130540.1	NP_491690.2	AAF48262.2	NP_010396.1, NP_013190.1
OG0000637	6	6183.Smp_008310.1	NP_499283.1	AAF54585.1, AAF54602.2	NP_012781.1, NP_013836.1
OG0000638	6	6183.Smp_008360.1, 6183.Smp_008400.1	NP_502104.1	AAF49852.1, AAF54757.2	NP_012639.1
OG0000640	6	6183.Smp_009600.1	NP_491036.1, NP_498770.1, NP_501196.1	P52304.2	NP_013714.1
OG0000645	6	6183.Smp_012750.1	NP_502542.1, NP_502543.1	NP_524819.1	NP_010706.3, NP_010860.1
OG0000646	6	6183.Smp_013040.2, 6183.Smp_136730.1	NP_510191.1	AAF23824.1, AAF58249.1	NP_015171.1
OG0000647	6	6183.Smp_013790.1, 6183.Smp_133120.2	NP_506478.1	AAF50635.2, AAF51926.2	NP_014287.3
OG0000648	6	6183.Smp_015070.1	NP_505171.1, NP_508412.1	AAF53555.2, NP_523585.2	NP_015361.1
OG0000649	6	6183.Smp_015710.1	NP_491529.2, NP_491530.1, NP_500893.2	AAF48962.2	NP_012380.1
OG0000650	6	6183.Smp_015860.1	NP_498574.2, NP_499549.1	NP_477002.1, NP_477003.1	NP_012729.1
OG0000651	6	6183.Smp_017010.4	NP_495729.1	AAF56194.2, NP_524640.3	NP_011466.1, NP_011678.3
OG0000653	6	6183.Smp_017980.1, 6183.Smp_142960.1	NP_496011.1	AAF48781.4, AAF51668.1	NP_014593.1
OG0000655	6	6183.Smp_018760.1	NP_505507.1, NP_505508.1, NP_508105.2	AAD38600.1	NP_009788.3
OG0000656	6	6183.Smp_019170.1, 6183.Smp_156290.1	NP_502032.2	NP_523486.1	NP_012653.1, NP_013901.1
OG0000658	6	6183.Smp_021730.1, 6183.Smp_066200.1	NP_492601.1	NP_609047.1, XP_079361.1	NP_011328.1
