Orthogroup	Total	protein_mansoni	resultado_cel
OG0000313	5	6183.Smp_008070.1, 6183.Smp_037530.1	NP_491142.1, NP_495626.1, NP_505651.2
OG0000314	5	6183.Smp_010370.1, 6183.Smp_099890.1	NP_491033.1, NP_499756.3, NP_499990.1
OG0000315	5	6183.Smp_012600.1, 6183.Smp_123730.1, 6183.Smp_128930.1, 6183.Smp_143470.2	NP_504748.1
OG0000318	5	6183.Smp_016680.1, 6183.Smp_125630.1, 6183.Smp_131260.1, 6183.Smp_148190.1	NP_491053.4
OG0000319	5	6183.Smp_017280.1	NP_492937.2, NP_497654.1, NP_503079.1, NP_509622.1
OG0000321	5	6183.Smp_019630.1	NP_501301.1, NP_501650.1, NP_501651.1, NP_501652.2
OG0000322	5	6183.Smp_019690.1	NP_497326.2, NP_497327.1, NP_497328.1, NP_497408.1
OG0000324	5	6183.Smp_029520.1, 6183.Smp_148580.1	CAC70079.1, NP_498280.1, NP_509702.3
OG0000325	5	6183.Smp_038530.1	NP_492133.1, NP_492580.2, NP_499190.2, NP_508975.2
OG0000326	5	6183.Smp_039180.1	NP_495093.1, NP_495094.1, NP_495096.1, NP_495097.1
OG0000327	5	6183.Smp_043040.1, 6183.Smp_064870.1, 6183.Smp_103920.1, 6183.Smp_180470.1	NP_501038.1
OG0000328	5	6183.Smp_044010.2	NP_493537.2, NP_493538.2, NP_493539.1, NP_493540.2
OG0000329	5	6183.Smp_045680.1, 6183.Smp_146740.1, 6183.Smp_146750.1	NP_494035.2, NP_495614.4
OG0000330	5	6183.Smp_049010.1, 6183.Smp_163680.1, 6183.Smp_164940.1, 6183.Smp_211220.1	NP_507529.1
OG0000332	5	6183.Smp_049630.1, 6183.Smp_120980.1, 6183.Smp_128970.1, 6183.Smp_154450.1	NP_496909.1
OG0000333	5	6183.Smp_049850.1, 6183.Smp_103560.1, 6183.Smp_148820.1, 6183.Smp_168500.1	NP_493545.1
OG0000334	5	6183.Smp_049990.1, 6183.Smp_143500.1	NP_497575.2, NP_497576.1, NP_497577.2
OG0000335	5	6183.Smp_050830.1, 6183.Smp_159670.1	NP_501999.2, NP_502551.2, NP_502552.1
OG0000337	5	6183.Smp_051990.1, 6183.Smp_139810.1, 6183.Smp_149990.1	NP_494993.2, NP_495697.2
OG0000338	5	6183.Smp_053220.1, 6183.Smp_150700.1	NP_496924.1, NP_496925.1, NP_496926.1
OG0000339	5	6183.Smp_053300.1, 6183.Smp_053390.1, 6183.Smp_194870.1	NP_492641.1, NP_501203.2
OG0000340	5	6183.Smp_054010.1, 6183.Smp_150990.1, 6183.Smp_151000.1, 6183.Smp_151090.1	NP_508461.1
OG0000342	5	6183.Smp_055600.1, 6183.Smp_141070.1, 6183.Smp_192580.1, 6183.Smp_197780.1	NP_496982.2
OG0000343	5	6183.Smp_055780.1, 6183.Smp_089200.1, 6183.Smp_137080.1, 6183.Smp_170820.1	NP_491707.2
OG0000344	5	6183.Smp_055850.1, 6183.Smp_123980.1, 6183.Smp_123990.1, 6183.Smp_163830.1	NP_496497.1
OG0000346	5	6183.Smp_062240.1, 6183.Smp_123600.1, 6183.Smp_155640.1, 6183.Smp_168860.1	NP_499866.1
OG0000347	5	6183.Smp_063520.1, 6183.Smp_126030.1, 6183.Smp_157830.1	NP_498525.1, NP_510060.1
OG0000348	5	6183.Smp_064650.1, 6183.Smp_178800.1	NP_490662.1, NP_490663.1, NP_505098.1
OG0000349	5	6183.Smp_066010.2	NP_491931.1, NP_505784.2, NP_505975.1, NP_510335.2
OG0000351	5	6183.Smp_071150.1, 6183.Smp_147220.1	NP_499838.2, NP_499839.2, NP_508289.1
OG0000352	5	6183.Smp_076950.1, 6183.Smp_159740.1, 6183.Smp_159760.1	NP_495969.2, NP_495970.1
OG0000353	5	6183.Smp_079860.2, 6183.Smp_173790.1	NP_502091.1, NP_503057.2, NP_508937.1
OG0000354	5	6183.Smp_083770.1, 6183.Smp_123680.1, 6183.Smp_141530.1, 6183.Smp_162650.1	NP_499729.1
OG0000355	5	6183.Smp_084890.1, 6183.Smp_104270.1, 6183.Smp_153340.1, 6183.Smp_153390.2	NP_501023.3
OG0000356	5	6183.Smp_087070.1, 6183.Smp_202120.1	NP_499573.1, NP_499574.1, NP_499575.3
OG0000357	5	6183.Smp_088650.1	NP_498235.1, NP_501242.1, NP_501336.1, NP_510488.1
OG0000358	5	6183.Smp_089430.1	NP_494511.2, NP_494542.1, NP_494548.1, NP_499695.1
OG0000360	5	6183.Smp_101670.1, 6183.Smp_170160.1	NP_499446.1, NP_509218.1, NP_510298.1
OG0000361	5	6183.Smp_108610.1, 6183.Smp_177780.1	NP_500781.2, NP_505506.2, NP_507773.1
OG0000364	5	6183.Smp_123050.1	NP_496704.1, NP_499221.1, NP_510124.2, NP_510125.1
OG0000366	5	6183.Smp_123870.1	NP_495887.1, NP_498790.1, NP_504688.1, NP_506093.2
OG0000368	5	6183.Smp_128110.1	NP_505511.2, NP_505512.3, NP_505691.2, NP_505727.1
OG0000369	5	6183.Smp_129700.1, 6183.Smp_147690.1, 6183.Smp_147700.1	NP_497256.1, NP_499646.3
OG0000370	5	6183.Smp_130570.1, 6183.Smp_134180.1, 6183.Smp_156220.1, 6183.Smp_160050.1	NP_496360.1
OG0000371	5	6183.Smp_135470.1, 6183.Smp_159710.1, 6183.Smp_180870.1, 6183.Smp_193670.1	NP_495567.3
OG0000372	5	6183.Smp_136320.1	NP_495248.1, NP_503108.1, NP_507796.1, NP_507797.1
OG0000373	5	6183.Smp_136740.1	NP_495916.1, NP_495917.1, NP_502683.2, NP_502684.2
OG0000374	5	6183.Smp_139520.1, 6183.Smp_141030.1	NP_502802.2, NP_502803.3, NP_502804.1
OG0000375	5	6183.Smp_141910.1, 6183.Smp_143930.1, 6183.Smp_145990.1, 6183.Smp_155450.1	NP_496431.1
OG0000376	5	6183.Smp_142230.1, 6183.Smp_173150.1, 6183.Smp_176870.1, 6183.Smp_181530.1	NP_492636.1
OG0000377	5	6183.Smp_143560.1	NP_493524.1, NP_505917.2, NP_508904.2, NP_509369.2
OG0000378	5	6183.Smp_144280.1	NP_491636.1, NP_491637.2, NP_491638.1, NP_491639.2
OG0000379	5	6183.Smp_145930.1	NP_498599.1, NP_503790.1, NP_506678.2, NP_510112.2
OG0000380	5	6183.Smp_150500.1, 6183.Smp_181470.1	NP_501350.3, NP_505500.2, NP_505501.1
OG0000381	5	6183.Smp_151720.1	NP_492409.2, NP_494948.2, NP_506009.1, NP_508832.2
OG0000382	5	6183.Smp_152200.1	NP_491862.1, NP_496197.2, NP_498972.1, NP_503446.1
OG0000383	5	6183.Smp_159570.1, 6183.Smp_211020.1	NP_491050.3, NP_502312.2, NP_502313.2
OG0000385	5	6183.Smp_160670.1	NP_496116.1, NP_509758.2, NP_509759.2, S60251
OG0000386	5	6183.Smp_164760.1, 6183.Smp_171460.1	NP_509335.1, NP_509336.1, NP_510069.1
OG0000387	5	6183.Smp_169510.1	NP_493322.2, NP_500586.2, NP_501393.1, NP_501394.1
OG0000388	5	6183.Smp_171590.1	NP_495084.3, NP_495085.2, NP_495086.1, NP_501178.1
OG0000389	5	6183.Smp_172270.1	NP_499388.1, NP_502355.2, NP_502356.1, NP_503725.3
OG0000390	5	6183.Smp_179120.1	NP_499892.1, NP_505943.2, NP_505945.1, NP_506123.2
OG0000392	5	6183.Smp_196040.1	NP_490799.2, NP_490800.2, NP_490801.1, NP_490802.1
OG0000393	5	6183.Smp_199640.1	NP_491329.2, NP_499250.1, NP_505890.1, NP_509971.2
OG0000424	4	6183.Smp_000040.1	NP_502066.1, NP_504470.2, NP_504471.2
OG0000426	4	6183.Smp_000670.1, 6183.Smp_123030.1	NP_496569.1, NP_496570.3
OG0000427	4	6183.Smp_000710.1, 6183.Smp_196290.1	NP_499162.2, NP_499163.2
OG0000428	4	6183.Smp_001030.1, 6183.Smp_142030.1	NP_499637.2, NP_499638.1
OG0000429	4	6183.Smp_001900.1, 6183.Smp_121960.1, 6183.Smp_148020.1	NP_500276.2
OG0000430	4	6183.Smp_003000.1, 6183.Smp_094760.1	NP_492906.2, NP_492907.2
OG0000431	4	6183.Smp_003710.1	NP_491734.1, NP_491735.1, NP_505151.2
OG0000432	4	6183.Smp_004220.1, 6183.Smp_167750.1	NP_501366.1, NP_501368.1
OG0000433	4	6183.Smp_004310.1, 6183.Smp_062890.1	NP_499165.1, NP_500188.1
OG0000434	4	6183.Smp_005190.2, 6183.Smp_005200.1, 6183.Smp_212600.1	NP_504721.1
OG0000435	4	6183.Smp_005500.1	CAC42368.1, NP_499721.3, NP_499722.2
OG0000436	4	6183.Smp_005860.1, 6183.Smp_065580.3, 6183.Smp_155850.1	NP_491825.2
OG0000437	4	6183.Smp_006730.1, 6183.Smp_006750.1, 6183.Smp_006760.1	NP_510541.1
OG0000438	4	6183.Smp_010110.1, 6183.Smp_056700.1	NP_495728.1, NP_496302.2
OG0000440	4	6183.Smp_010940.1	NP_493622.1, NP_496518.2, NP_504310.2
OG0000441	4	6183.Smp_011560.1	NP_502396.2, NP_502621.3, NP_507727.1
OG0000442	4	6183.Smp_011680.1, 6183.Smp_026810.1	NP_499802.3, NP_508919.2
OG0000443	4	6183.Smp_012010.1	NP_492815.2, NP_492816.2, NP_492817.2
OG0000444	4	6183.Smp_012580.1, 6183.Smp_155990.1	NP_494706.2, NP_494707.1
OG0000445	4	6183.Smp_012810.1	NP_491698.1, NP_492793.1, NP_497801.2
OG0000446	4	6183.Smp_012900.1, 6183.Smp_129720.1	NP_491176.1, NP_491177.1
OG0000447	4	6183.Smp_013440.1	NP_499995.2, NP_499996.1, NP_505904.2
OG0000448	4	6183.Smp_014010.1, 6183.Smp_161550.1	NP_510713.1, NP_510714.1
OG0000449	4	6183.Smp_014670.2, 6183.Smp_071140.1	NP_508826.2, NP_508827.2
OG0000450	4	6183.Smp_014850.1	NP_495513.1, NP_508706.2, NP_508707.1
OG0000451	4	6183.Smp_018620.1	NP_500191.3, NP_508082.2, NP_508083.1
OG0000452	4	6183.Smp_020090.1, 6183.Smp_155090.1, 6183.Smp_155100.1	NP_498029.2
OG0000453	4	6183.Smp_022340.1, 6183.Smp_157310.1	NP_501533.2, NP_501534.2
OG0000455	4	6183.Smp_022870.1, 6183.Smp_178740.1	NP_502544.1, NP_502545.1
OG0000457	4	6183.Smp_024970.1	NP_494772.1, NP_494773.1, NP_494774.1
OG0000458	4	6183.Smp_026420.1	NP_497601.1, NP_503830.2, NP_505623.1
OG0000461	4	6183.Smp_030220.1	NP_504509.1, NP_504511.1, NP_504512.1
OG0000462	4	6183.Smp_030320.1, 6183.Smp_125280.1	NP_506421.1, NP_506422.1
OG0000463	4	6183.Smp_030500.1, 6183.Smp_168310.1, 6183.Smp_169570.1	NP_499188.2
OG0000464	4	6183.Smp_031100.1, 6183.Smp_202480.1	NP_510458.1, NP_510459.1
OG0000466	4	6183.Smp_033040.1, 6183.Smp_038950.1, 6183.Smp_038960.1	NP_496503.1
OG0000467	4	6183.Smp_034300.1	NP_500046.2, NP_504947.2, NP_504949.2
OG0000469	4	6183.Smp_036180.1, 6183.Smp_163080.1	NP_508190.1, NP_508191.1
OG0000470	4	6183.Smp_036590.1, 6183.Smp_138050.2, 6183.Smp_142300.1	NP_496304.1
OG0000471	4	6183.Smp_040680.1, 6183.Smp_200180.1	NP_498422.1, NP_502298.2
OG0000472	4	6183.Smp_041770.1	NP_499080.3, NP_499081.1, NP_499082.1
OG0000473	4	6183.Smp_042300.2, 6183.Smp_075120.1	NP_501241.1, NP_510489.1
OG0000474	4	6183.Smp_042680.1, 6183.Smp_212250.1	NP_491180.1, NP_491181.2
OG0000475	4	6183.Smp_043100.1, 6183.Smp_053940.1	NP_500325.1, NP_500326.2
OG0000476	4	6183.Smp_043350.1	NP_497777.1, NP_500509.1, NP_500511.2
OG0000479	4	6183.Smp_045710.1	NP_495337.1, NP_504236.2, NP_505022.2
OG0000480	4	6183.Smp_046790.1, 6183.Smp_127200.1	NP_493981.1, NP_493982.1
OG0000481	4	6183.Smp_047060.1, 6183.Smp_177970.1, 6183.Smp_185160.1	NP_498396.1
OG0000483	4	6183.Smp_048160.1, 6183.Smp_159350.1	NP_496484.3, NP_496485.2
OG0000484	4	6183.Smp_048680.1, 6183.Smp_134780.1, 6183.Smp_150210.1	NP_495976.1
OG0000485	4	6183.Smp_049730.2, 6183.Smp_168850.1	NP_504031.1, NP_504032.1
OG0000486	4	6183.Smp_051640.1, 6183.Smp_177670.1, 6183.Smp_212450.1	NP_492590.1
OG0000487	4	6183.Smp_054360.1, 6183.Smp_054410.1, 6183.Smp_151260.1	NP_491663.1
OG0000488	4	6183.Smp_055340.1, 6183.Smp_133660.1	NP_498966.1, NP_498967.1
OG0000489	4	6183.Smp_056390.1, 6183.Smp_080860.1	NP_495017.1, NP_501458.2
OG0000490	4	6183.Smp_059150.1	NP_505439.1, NP_507241.2, NP_508475.2
OG0000492	4	6183.Smp_060480.1	NP_501584.2, NP_502225.1, NP_503069.1
OG0000493	4	6183.Smp_060910.1, 6183.Smp_094150.1	NP_490883.1, NP_498708.1
OG0000494	4	6183.Smp_062920.1, 6183.Smp_146390.1, 6183.Smp_211030.1	NP_499084.1
OG0000495	4	6183.Smp_063260.1	NP_493221.1, NP_495983.1, NP_500988.2
OG0000496	4	6183.Smp_063340.1	NP_502580.2, NP_502581.2, NP_502582.2
OG0000497	4	6183.Smp_064190.1, 6183.Smp_064200.1, 6183.Smp_156740.1	NP_492584.1
OG0000498	4	6183.Smp_067480.3, 6183.Smp_067490.1, 6183.Smp_136640.1	NP_491447.3
OG0000499	4	6183.Smp_068000.1	NP_493587.1, NP_494130.2, NP_502065.1
OG0000500	4	6183.Smp_068510.1, 6183.Smp_158980.1, 6183.Smp_158990.1	NP_492651.1
OG0000501	4	6183.Smp_069240.1, 6183.Smp_129380.1, 6183.Smp_194710.1	NP_496104.2
OG0000502	4	6183.Smp_069870.1, 6183.Smp_069880.1	NP_500504.1, NP_500505.1
OG0000503	4	6183.Smp_070170.1, 6183.Smp_081440.1, 6183.Smp_138030.1	NP_499819.3
OG0000506	4	6183.Smp_073940.1	NP_502144.1, NP_506733.1, NP_508590.1
OG0000507	4	6183.Smp_075790.1, 6183.Smp_075800.1, 6183.Smp_179170.1	NP_506137.1
OG0000508	4	6183.Smp_075950.1, 6183.Smp_134860.1	NP_497506.4, NP_497509.3
OG0000509	4	6183.Smp_078930.1, 6183.Smp_143800.1, 6183.Smp_160360.1	NP_505873.2
OG0000510	4	6183.Smp_079230.1	NP_493256.1, NP_493257.1, T26539
OG0000512	4	6183.Smp_082050.1	NP_497174.1, NP_509501.2, NP_509502.3
OG0000513	4	6183.Smp_082490.1	NP_491297.1, NP_501987.1, NP_502047.1
OG0000514	4	6183.Smp_082740.1, 6183.Smp_151580.1	NP_501589.1, NP_501596.2
OG0000515	4	6183.Smp_083710.1	NP_492161.3, NP_501018.1, NP_501019.2
OG0000516	4	6183.Smp_083740.1, 6183.Smp_134950.1, 6183.Smp_136850.2	NP_498986.3
OG0000517	4	6183.Smp_086330.1	NP_491282.1, NP_492339.1, NP_492849.3
OG0000518	4	6183.Smp_086690.1	NP_509322.2, NP_509682.1, NP_509683.1
OG0000519	4	6183.Smp_087250.1	NP_498300.2, NP_498301.3, NP_498302.2
OG0000522	4	6183.Smp_090220.1	NP_502341.1, NP_509562.1, NP_509563.1
OG0000523	4	6183.Smp_094390.1, 6183.Smp_170370.1, 6183.Smp_170450.1	NP_492604.1
OG0000524	4	6183.Smp_094950.1, 6183.Smp_094980.1, 6183.Smp_128560.1	NP_509123.2
OG0000525	4	6183.Smp_095580.1	NP_504643.1, NP_504644.1, NP_505971.2
OG0000526	4	6183.Smp_096240.1, 6183.Smp_143570.1	NP_497292.1, NP_510277.1
OG0000527	4	6183.Smp_096640.1	NP_505309.1, NP_505310.2, NP_505311.3
OG0000528	4	6183.Smp_097180.1	NP_498293.1, NP_498294.1, NP_502955.1
OG0000529	4	6183.Smp_097730.1, 6183.Smp_140200.1, 6183.Smp_161530.1	NP_492296.1
OG0000530	4	6183.Smp_098570.1, 6183.Smp_131350.1, 6183.Smp_136310.1	NP_500176.1
OG0000531	4	6183.Smp_101780.1, 6183.Smp_118190.1, 6183.Smp_166110.1	NP_494839.1
OG0000532	4	6183.Smp_102210.1, 6183.Smp_131580.1, 6183.Smp_160310.1	NP_508811.1
OG0000533	4	6183.Smp_103210.1	NP_505741.2, NP_509929.2, NP_509930.2
OG0000539	4	6183.Smp_118970.1, 6183.Smp_139180.1	NP_503964.2, NP_503965.2
OG0000541	4	6183.Smp_125050.1, 6183.Smp_125340.1	NP_491731.2, NP_491732.2
OG0000544	4	6183.Smp_126160.1	NP_496565.2, NP_496566.1, NP_500084.2
OG0000545	4	6183.Smp_126450.1, 6183.Smp_137890.1	NP_494495.3, NP_498322.1
OG0000546	4	6183.Smp_126760.1	NP_492232.2, NP_492233.1, NP_506153.1
OG0000547	4	6183.Smp_128490.1, 6183.Smp_154400.1	NP_491623.3, NP_491626.2
OG0000548	4	6183.Smp_128790.1	NP_509777.2, NP_509778.2, NP_509779.2
OG0000549	4	6183.Smp_128980.1	NP_490936.2, NP_492730.2, NP_504502.1
OG0000551	4	6183.Smp_129260.1, 6183.Smp_145810.1	NP_491072.1, NP_508039.2
OG0000552	4	6183.Smp_129490.1, 6183.Smp_148570.1	NP_508204.2, NP_509273.1
OG0000553	4	6183.Smp_129510.1	NP_495889.1, NP_505116.1, NP_505349.1
OG0000554	4	6183.Smp_130070.1, 6183.Smp_132700.1	NP_508166.1, NP_510435.1
OG0000555	4	6183.Smp_130430.1, 6183.Smp_205840.1	NP_504260.1, NP_504261.1
OG0000557	4	6183.Smp_130600.1	NP_491747.1, NP_491748.1, NP_491749.2
OG0000558	4	6183.Smp_131990.1, 6183.Smp_159360.1	NP_501426.3, NP_501432.4
OG0000559	4	6183.Smp_132270.1, 6183.Smp_145490.1	NP_497351.3, NP_497923.1
OG0000560	4	6183.Smp_132600.1, 6183.Smp_205990.1	NP_502219.2, NP_502221.1
OG0000561	4	6183.Smp_132670.1	NP_497700.1, NP_510828.1, NP_510829.2
OG0000562	4	6183.Smp_132770.1	NP_494561.1, NP_509382.2, NP_509383.2
OG0000564	4	6183.Smp_133330.1	NP_495415.2, NP_499940.2, NP_509894.2
OG0000565	4	6183.Smp_133480.1, 6183.Smp_158750.1	NP_508644.1, NP_508645.1
OG0000566	4	6183.Smp_134410.2, 6183.Smp_150340.1	NP_495464.2, NP_510705.1
OG0000567	4	6183.Smp_135490.1, 6183.Smp_151290.1, 6183.Smp_162110.1	NP_505208.1
OG0000568	4	6183.Smp_135920.1, 6183.Smp_170870.1	NP_498017.1, NP_501810.2
OG0000569	4	6183.Smp_137440.1	NP_491605.2, NP_491606.2, NP_491607.2
OG0000571	4	6183.Smp_138770.1, 6183.Smp_177250.1	NP_500787.1, NP_500788.1
OG0000572	4	6183.Smp_139090.1, 6183.Smp_201750.1, 6183.Smp_203980.1	NP_495437.2
OG0000573	4	6183.Smp_140700.1	NP_499829.1, NP_499830.2, NP_499831.2
OG0000574	4	6183.Smp_140840.1	NP_491503.1, NP_491504.1, NP_491505.1
OG0000575	4	6183.Smp_140920.1, 6183.Smp_147430.1, 6183.Smp_153780.1	NP_492017.3
OG0000576	4	6183.Smp_140980.1, 6183.Smp_156420.1	NP_496149.3, NP_496150.1
OG0000577	4	6183.Smp_141010.1, 6183.Smp_163750.1	NP_491602.2, NP_492337.1
OG0000579	4	6183.Smp_141590.2, 6183.Smp_144430.1	NP_497505.4, NP_499047.1
OG0000580	4	6183.Smp_142170.1	NP_496553.1, NP_496554.1, NP_496555.1
OG0000582	4	6183.Smp_142550.1, 6183.Smp_163440.1	NP_491855.1, NP_507716.1
OG0000583	4	6183.Smp_142630.1, 6183.Smp_167010.1	NP_490886.2, NP_490887.1
OG0000584	4	6183.Smp_142650.2	NP_491332.1, NP_491333.1, NP_491334.1
OG0000585	4	6183.Smp_142940.1	NP_500513.1, NP_501836.1, NP_505120.1
OG0000586	4	6183.Smp_144760.1, 6183.Smp_161430.1, 6183.Smp_161850.1	NP_508838.3
OG0000587	4	6183.Smp_144840.1	NP_491589.1, NP_501303.1, NP_501357.3
OG0000588	4	6183.Smp_145180.1	NP_499337.3, NP_499338.1, NP_499339.1
OG0000589	4	6183.Smp_145240.1, 6183.Smp_149580.1	NP_501332.3, NP_509470.3
OG0000590	4	6183.Smp_145880.1	NP_492685.2, NP_504297.1, NP_504299.2
OG0000591	4	6183.Smp_146320.1, 6183.Smp_172060.1	NP_496368.1, NP_502180.1
OG0000592	4	6183.Smp_149020.1	NP_509844.3, NP_509845.1, NP_509846.1
OG0000593	4	6183.Smp_149130.1	NP_500060.1, NP_500061.4, NP_508051.1
OG0000594	4	6183.Smp_149440.1	NP_491179.1, NP_500620.1, NP_509310.1
OG0000595	4	6183.Smp_149630.1	NP_505173.2, NP_505174.3, NP_505175.2
OG0000596	4	6183.Smp_150060.1	NP_492487.2, NP_492488.2, NP_499028.1
OG0000597	4	6183.Smp_150390.3, 6183.Smp_194110.1	NP_497930.2, NP_497931.2
OG0000598	4	6183.Smp_152570.1	NP_500566.1, NP_500567.1, NP_500568.1
OG0000599	4	6183.Smp_153610.1	NP_490901.2, NP_490902.2, NP_490903.1
OG0000600	4	6183.Smp_154770.1, 6183.Smp_203140.1	NP_501286.2, NP_502079.1
OG0000601	4	6183.Smp_155160.1, 6183.Smp_155180.1, 6183.Smp_210140.1	NP_492192.1
OG0000602	4	6183.Smp_157760.1	NP_499887.1, NP_499888.1, NP_500418.1
OG0000603	4	6183.Smp_159450.1, 6183.Smp_173870.1, 6183.Smp_198240.1	NP_493468.2
OG0000604	4	6183.Smp_160710.1, 6183.Smp_161250.1	NP_500461.1, NP_500462.1
OG0000605	4	6183.Smp_161010.1, 6183.Smp_210660.1	NP_496576.2, NP_496579.3
OG0000606	4	6183.Smp_162000.1	NP_491407.2, NP_491408.1, NP_491409.2
OG0000607	4	6183.Smp_162970.1	NP_491284.2, NP_491285.2, NP_491289.1
OG0000608	4	6183.Smp_163420.1	NP_509747.1, NP_509748.2, NP_509749.1
OG0000609	4	6183.Smp_164160.1, 6183.Smp_207060.1	NP_504793.1, NP_506611.1
OG0000610	4	6183.Smp_164180.1	NP_493610.1, NP_502961.1, NP_504576.1
OG0000611	4	6183.Smp_164340.1, 6183.Smp_169130.1	NP_490938.3, NP_490939.1
OG0000612	4	6183.Smp_164830.1	NP_492502.2, NP_492823.2, NP_496624.3
OG0000613	4	6183.Smp_165350.1	NP_498649.1, NP_499005.2, NP_499034.2
OG0000614	4	6183.Smp_165440.1, 6183.Smp_172470.1	NP_500822.2, NP_500823.1
OG0000615	4	6183.Smp_165480.1, 6183.Smp_186190.1	NP_509052.2, NP_509053.3
OG0000617	4	6183.Smp_167190.1	NP_501693.1, NP_501694.2, NP_501695.1
OG0000618	4	6183.Smp_168960.1	NP_494256.3, NP_496315.2, NP_496316.1
OG0000619	4	6183.Smp_169430.1, 6183.Smp_170290.1, 6183.Smp_205400.1	NP_508928.2
OG0000620	4	6183.Smp_169640.1	NP_501770.1, NP_501771.1, NP_501772.1
OG0000621	4	6183.Smp_170800.2	NP_491013.1, NP_491014.2, NP_491015.1
OG0000622	4	6183.Smp_171030.1	NP_498146.1, NP_505327.2, NP_508580.2
OG0000623	4	6183.Smp_171270.1	NP_507311.1, NP_509611.3, NP_509612.2
OG0000624	4	6183.Smp_171690.1	NP_508681.3, NP_509286.2, NP_510116.2
OG0000625	4	6183.Smp_173190.1, 6183.Smp_212090.1, 6183.Smp_212550.1	NP_502437.3
OG0000626	4	6183.Smp_175980.1	NP_507130.2, NP_509723.2, NP_509724.1
OG0000627	4	6183.Smp_176100.1	NP_499691.1, NP_499692.1, NP_510091.2
OG0000629	4	6183.Smp_181360.1	NP_493260.1, NP_498924.1, NP_498925.1
OG0000630	4	6183.Smp_190090.1, 6183.Smp_198800.1	NP_498664.3, NP_498665.1
OG0000631	4	6183.Smp_196110.1	NP_494805.3, NP_496432.2, NP_497005.2
OG0000632	4	6183.Smp_197500.1	NP_491556.1, NP_505237.1, NP_505859.1
OG0000633	4	6183.Smp_198010.1	NP_499350.2, NP_499351.1, NP_499352.1
OG0000634	4	6183.Smp_198970.1	NP_492575.1, NP_508000.1, NP_510540.1
OG0000637	4	6183.Smp_206030.1	NP_491769.2, NP_493041.1, NP_502478.1
OG0000638	4	6183.Smp_210300.1, 6183.Smp_210310.1	NP_500554.1, NP_508078.1
OG0000725	3	6183.Smp_000020.1, 6183.Smp_210490.1	NP_509573.2
OG0000726	3	6183.Smp_000070.1	NP_505578.1, NP_510606.1
OG0000727	3	6183.Smp_000100.1, 6183.Smp_156590.1	NP_499911.1
OG0000729	3	6183.Smp_000320.1, 6183.Smp_194720.1	NP_510634.1
OG0000731	3	6183.Smp_000440.1, 6183.Smp_013360.1	NP_498565.2
OG0000732	3	6183.Smp_000460.1, 6183.Smp_000850.1	NP_508806.1
OG0000733	3	6183.Smp_000620.1	NP_492372.2, NP_502928.3
OG0000734	3	6183.Smp_000700.1, 6183.Smp_124950.1	NP_499143.1
OG0000735	3	6183.Smp_000890.1	NP_496324.1, NP_496325.1
OG0000736	3	6183.Smp_001360.1, 6183.Smp_032810.1	NP_496151.1
OG0000738	3	6183.Smp_001980.1	NP_508524.2, NP_508525.3
OG0000739	3	6183.Smp_002280.1	NP_499383.1, NP_499384.1
OG0000741	3	6183.Smp_002600.1	NP_498718.1, NP_498719.1
OG0000742	3	6183.Smp_002870.1, 6183.Smp_179060.1	NP_502292.1
OG0000744	3	6183.Smp_003410.1	NP_492263.1, NP_508808.1
OG0000745	3	6183.Smp_003620.1, 6183.Smp_060070.1	NP_493388.1
OG0000746	3	6183.Smp_004040.1, 6183.Smp_066720.1	NP_495515.1
OG0000747	3	6183.Smp_004070.1	NP_503031.2, NP_509039.1
OG0000748	3	6183.Smp_004350.1	NP_495769.2, NP_498541.1
OG0000749	3	6183.Smp_004590.1, 6183.Smp_140990.1	NP_500869.1
OG0000750	3	6183.Smp_005020.1	NP_508145.2, NP_508146.1
OG0000751	3	6183.Smp_006190.1	NP_502608.3, NP_502609.2
OG0000752	3	6183.Smp_006680.1, 6183.Smp_031950.2	NP_496290.2
OG0000753	3	6183.Smp_006780.1	NP_498219.1, NP_508553.1
OG0000755	3	6183.Smp_007180.1, 6183.Smp_120320.1	NP_493746.1
OG0000756	3	6183.Smp_007270.1, 6183.Smp_161970.1	NP_498131.1
OG0000757	3	6183.Smp_007300.1, 6183.Smp_014270.1	NP_497826.1
OG0000758	3	6183.Smp_007760.1, 6183.Smp_130540.1	NP_491690.2
OG0000760	3	6183.Smp_007960.1	NP_499324.1, NP_508875.1
OG0000761	3	6183.Smp_008360.1, 6183.Smp_008400.1	NP_502104.1
OG0000762	3	6183.Smp_008610.1	NP_499061.2, NP_499062.1
OG0000763	3	6183.Smp_008620.1	NP_503013.2, NP_503016.1
OG0000764	3	6183.Smp_008660.1, 6183.Smp_197860.1	NP_505448.1
OG0000765	3	6183.Smp_009020.1, 6183.Smp_135380.1	NP_508976.1
OG0000766	3	6183.Smp_009040.1	NP_498795.2, NP_498796.1
OG0000768	3	6183.Smp_009320.2	NP_497405.1, NP_508325.1
OG0000769	3	6183.Smp_009580.1, 6183.Smp_046690.1	NP_498289.1
OG0000770	3	6183.Smp_009830.1	NP_501843.1, NP_508150.1
OG0000771	3	6183.Smp_010160.1, 6183.Smp_168350.1	NP_505751.1
OG0000772	3	6183.Smp_010250.1	NP_491286.1, NP_491287.1
OG0000773	3	6183.Smp_010930.1, 6183.Smp_072970.1	NP_492795.1
OG0000775	3	6183.Smp_012110.1	NP_497324.3, NP_502520.1
