Orthogroup	Total	protein_mansoni	resultado_dme
OG0000247	5	6183.Smp_049140.1	AAF46792.1, AAF46793.1, NP_609753.1, NP_611635.1
OG0000250	5	6183.Smp_051210.1	AAD37442.1, AAF50720.1, NP_477041.1, NP_524167.1
OG0000251	5	6183.Smp_051640.1, 6183.Smp_177670.1, 6183.Smp_212450.1	AAF55248.2, NP_572668.1
OG0000252	5	6183.Smp_054010.1, 6183.Smp_150990.1, 6183.Smp_151000.1, 6183.Smp_151090.1	AAF57148.1
OG0000254	5	6183.Smp_055780.1, 6183.Smp_089200.1, 6183.Smp_137080.1, 6183.Smp_170820.1	NP_523740.3
OG0000256	5	6183.Smp_062300.1	AAF46556.1, NP_476950.1, NP_524533.1, P48554.1
OG0000257	5	6183.Smp_062510.1, 6183.Smp_179910.1	NP_476699.1, NP_523917.2, NP_525063.1
OG0000258	5	6183.Smp_062980.1, 6183.Smp_095630.1, 6183.Smp_100080.1, 6183.Smp_174190.1	NP_524500.1
OG0000259	5	6183.Smp_066010.2	AAF49529.1, NP_572304.5, NP_609852.1, Q9V4N3.1
OG0000261	5	6183.Smp_067480.3, 6183.Smp_067490.1, 6183.Smp_136640.1	AAF45393.1, NP_610592.1
OG0000262	5	6183.Smp_069120.1, 6183.Smp_150920.1, 6183.Smp_159640.1, 6183.Smp_194330.1	AAF51205.1
OG0000263	5	6183.Smp_078930.1, 6183.Smp_143800.1, 6183.Smp_160360.1	AAF57986.2, P51905.1
OG0000264	5	6183.Smp_079230.1	AAF54674.1, AAF57582.1, NP_476973.1, NP_611837.1
OG0000265	5	6183.Smp_081620.1	AAD19795.1, AAF55355.2, NP_476693.1, NP_536748.1
OG0000266	5	6183.Smp_082420.1, 6183.Smp_082430.1	AAF46930.2, AAF56642.2, NP_608735.2
OG0000267	5	6183.Smp_082620.1	AAF50072.2, AAF57923.1, AAF57924.2, NP_611175.1
OG0000268	5	6183.Smp_086590.1, 6183.Smp_120700.1, 6183.Smp_195080.1	AAF48877.1, NP_477034.1
OG0000269	5	6183.Smp_089100.1	AAF48127.2, AAF48672.1, AAF48854.2, CAA21412.2
OG0000270	5	6183.Smp_094890.1, 6183.Smp_145770.1, 6183.Smp_151960.1, 6183.Smp_173570.1	AAF45386.1
OG0000271	5	6183.Smp_096760.1	AAF54766.1, AAF54767.1, AAF55985.2, NP_524546.2
OG0000272	5	6183.Smp_098570.1, 6183.Smp_131350.1, 6183.Smp_136310.1	AAF48619.1, NP_573024.1
OG0000273	5	6183.Smp_104390.1, 6183.Smp_140170.1, 6183.Smp_144880.1	AAF45845.2, AAF45847.2
OG0000277	5	6183.Smp_119320.1, 6183.Smp_133490.1, 6183.Smp_134260.1, 6183.Smp_198810.1	AAF46481.2
OG0000279	5	6183.Smp_123420.1	AAF49107.1, AAF50516.1, AAF54329.1, P07663.2
OG0000281	5	6183.Smp_125180.1, 6183.Smp_150930.1, 6183.Smp_201310.1	AAF50005.2, NP_569938.2
OG0000283	5	6183.Smp_126080.1	AAF46586.2, NP_476681.1, NP_523976.1, NP_524988.1
OG0000284	5	6183.Smp_130070.1, 6183.Smp_132700.1	AAF58172.3, AAF59038.1, AAF59042.1
OG0000286	5	6183.Smp_132600.1, 6183.Smp_168960.1, 6183.Smp_180290.1, 6183.Smp_205990.1	AAF46678.2
OG0000287	5	6183.Smp_132670.1	AAF47810.1, AAF54797.2, NP_511057.1, NP_524586.1
OG0000288	5	6183.Smp_138520.1	AAF45832.2, AAF53383.1, AAF54323.3, NP_476700.1
OG0000289	5	6183.Smp_141110.1	AAF45897.1, AAF48793.2, AAF50730.1, AAF53851.2
OG0000290	5	6183.Smp_141880.1	AAF51746.3, AAF54929.2, AAF54930.1, AAF55016.1
OG0000291	5	6183.Smp_142280.1, 6183.Smp_142290.1, 6183.Smp_153100.1, 6183.Smp_212410.1	AAF58264.2
OG0000292	5	6183.Smp_144140.1	AAF55158.2, AAF55295.1, AAF57384.1, NP_525107.1
OG0000293	5	6183.Smp_144330.1, 6183.Smp_156680.1, 6183.Smp_156700.1, 6183.Smp_199810.1	NP_611269.1
OG0000294	5	6183.Smp_149640.1, 6183.Smp_155460.1	AAF57591.1, AAF57593.1, Q9V8R9.1
OG0000295	5	6183.Smp_155270.1	AAF47679.2, AAF55101.1, AAF55479.5, AAF55482.1
OG0000296	5	6183.Smp_156170.1	AAF45355.1, AAF55457.1, AAF57254.2, AAF59404.1
OG0000297	5	6183.Smp_158510.1, 6183.Smp_158520.1	AAF59200.2, NP_610317.1, NP_610318.1
OG0000298	5	6183.Smp_163340.1	AAF54903.1, AAF54904.1, AAF54905.1, AAF54908.3
OG0000299	5	6183.Smp_170170.1	AAF47100.1, AAF54692.2, AAF56817.1, AAF58193.1
OG0000300	5	6183.Smp_170200.1	AAF52516.1, AAF52517.2, AAF53799.2, AAF53803.1
OG0000301	5	6183.Smp_173190.1, 6183.Smp_212090.1, 6183.Smp_212550.1	AAF45453.1, AAF45454.2
OG0000302	5	6183.Smp_174320.1	AAF46486.2, AAF50886.1, AAF50891.1, AAF50894.1
OG0000303	5	6183.Smp_176120.1, 6183.Smp_205270.1	AAF55568.1, AAF57730.2, NP_569969.1
OG0000304	5	6183.Smp_180240.1	AAF58219.1, AAF58536.2, NP_477435.1, NP_610758.2
OG0000306	5	6183.Smp_193410.1	AAF50019.1, AAF52314.1, NP_573246.1, NP_608976.1
OG0000307	5	6183.Smp_197330.1	AAF46282.1, NP_477378.1, NP_523528.1, NP_612094.2
OG0000336	4	6183.Smp_000320.1, 6183.Smp_194720.1	AAF46728.2, AAF51958.1
OG0000337	4	6183.Smp_000460.1, 6183.Smp_000850.1	AAD09428.1, NP_524213.1
OG0000338	4	6183.Smp_000650.1	AAF49402.3, NP_476725.1, NP_570022.2
OG0000339	4	6183.Smp_000700.1	AAF49923.1, AAF58645.2, NP_610730.1
OG0000341	4	6183.Smp_000980.1, 6183.Smp_103530.1	NP_523442.2, NP_524415.1
OG0000342	4	6183.Smp_001900.1, 6183.Smp_121960.1, 6183.Smp_148020.1	NP_511090.1
OG0000343	4	6183.Smp_004190.1, 6183.Smp_176930.1, 6183.Smp_176940.1	AAF51591.1
OG0000344	4	6183.Smp_004350.1	AAF47953.1, NP_477414.1, NP_524260.1
OG0000345	4	6183.Smp_005260.1	AAD46930.1, AAF48882.2, AAF53203.1
OG0000346	4	6183.Smp_005330.1, 6183.Smp_040770.1	AAF55036.1, AAF55037.2
OG0000347	4	6183.Smp_005670.1, 6183.Smp_173990.1, 6183.Smp_190370.1	NP_477170.1
OG0000348	4	6183.Smp_005860.1, 6183.Smp_065580.3, 6183.Smp_155850.1	AAF57450.2
OG0000349	4	6183.Smp_006440.1, 6183.Smp_051530.1, 6183.Smp_149700.1	NP_476731.1
OG0000350	4	6183.Smp_007270.1, 6183.Smp_046130.1, 6183.Smp_163360.1	AAF45522.2
OG0000351	4	6183.Smp_008660.1, 6183.Smp_197860.1	AAF52162.2, Q23989.2
OG0000352	4	6183.Smp_010660.1, 6183.Smp_038510.1	AAF57166.1, AAF57167.1
OG0000353	4	6183.Smp_011100.1, 6183.Smp_128100.1, 6183.Smp_146010.1	AAF51584.3
OG0000354	4	6183.Smp_012110.1	AAF49096.1, AAF53263.1, AAF54530.3
OG0000355	4	6183.Smp_012600.1, 6183.Smp_128930.1, 6183.Smp_143470.2	NP_523388.1
OG0000356	4	6183.Smp_013210.1, 6183.Smp_125650.1, 6183.Smp_129310.1	AAF51477.2
OG0000357	4	6183.Smp_013840.2, 6183.Smp_194630.1	AAF57549.2, NP_611424.2
OG0000358	4	6183.Smp_015030.1, 6183.Smp_015050.1	AAF48575.2, P54352.2
OG0000359	4	6183.Smp_015840.1	AAF46334.4, AAF54722.1, AAF56994.1
OG0000360	4	6183.Smp_016680.1, 6183.Smp_125630.1, 6183.Smp_131260.1	AAF59370.2
OG0000361	4	6183.Smp_017020.1	AAF46042.1, AAF46044.1, NP_477026.1
OG0000362	4	6183.Smp_018160.1, 6183.Smp_077120.1	AAF53222.5, NP_609590.1
OG0000363	4	6183.Smp_020090.1, 6183.Smp_155090.1, 6183.Smp_155100.1	AAF48067.2
OG0000364	4	6183.Smp_020300.1, 6183.Smp_101630.1, 6183.Smp_162410.1	AAF48033.1
OG0000365	4	6183.Smp_021730.1, 6183.Smp_066200.1	NP_609047.1, XP_079361.1
OG0000366	4	6183.Smp_021920.3, 6183.Smp_035210.1	P35415.1, P35416.2
OG0000367	4	6183.Smp_022020.1, 6183.Smp_152520.1	AAF46482.2, AAF46483.1
OG0000369	4	6183.Smp_023530.1	AAF45565.3, AAF56755.2, NP_477128.1
OG0000370	4	6183.Smp_024070.1, 6183.Smp_169390.1	AAF52080.3, AAF52081.2
OG0000372	4	6183.Smp_024360.1	AAF45820.2, AAF57243.1, NP_612023.1
OG0000373	4	6183.Smp_024970.1	AAF50368.2, AAF51992.2, NP_609750.1
OG0000374	4	6183.Smp_025010.1	NP_477407.1, NP_511131.3, Q24536.1
OG0000375	4	6183.Smp_026420.1	AAF51977.1, AAF54996.1, NP_569899.3
OG0000376	4	6183.Smp_027000.1	AAF56398.2, AAF56399.3, NP_477372.1
OG0000378	4	6183.Smp_027890.1, 6183.Smp_027900.1	AAF56189.1, AAF56190.3
OG0000379	4	6183.Smp_028210.1	AAF54865.2, AAF54866.1, AAF54868.2
OG0000381	4	6183.Smp_029990.1	AAF56191.2, AAF56821.5, AAF56823.1
OG0000382	4	6183.Smp_030500.1	AAF55983.3, NP_476565.1, NP_611760.2
OG0000384	4	6183.Smp_033040.1, 6183.Smp_038950.1, 6183.Smp_038960.1	NP_476581.1
OG0000385	4	6183.Smp_035020.2	AAF45797.1, AAF52320.2, NP_524309.1
OG0000386	4	6183.Smp_035090.2	AAF57316.2, NP_524868.1, NP_610878.1
OG0000388	4	6183.Smp_036220.1, 6183.Smp_077790.1, 6183.Smp_108390.1	AAF45348.1
OG0000389	4	6183.Smp_036370.1	AAF47794.2, AAF48267.1, AAF49995.1
OG0000390	4	6183.Smp_036590.1, 6183.Smp_138050.2, 6183.Smp_142300.1	AAF57208.2
OG0000392	4	6183.Smp_041280.1, 6183.Smp_131780.1	AAF49799.2, NP_524059.4
OG0000393	4	6183.Smp_041700.1, 6183.Smp_129810.1, 6183.Smp_140250.1	AAF50229.3
OG0000394	4	6183.Smp_042160.2	AAF56580.4, AAF56587.2, P07764.5
OG0000395	4	6183.Smp_043030.1	AAF56591.2, NP_524674.1, NP_524848.1
OG0000396	4	6183.Smp_043150.1	AAF48618.2, AAF56887.2, NP_572788.2
OG0000399	4	6183.Smp_045680.1, 6183.Smp_146740.1, 6183.Smp_146750.1	AAF53960.2
OG0000400	4	6183.Smp_046160.1	AAF53595.2, AAF53602.1, NP_524013.1
OG0000401	4	6183.Smp_046890.1	AAF46259.1, AAF47506.1, AAF56936.1
OG0000402	4	6183.Smp_047060.1, 6183.Smp_177970.1, 6183.Smp_185160.1	NP_609642.1
OG0000403	4	6183.Smp_047200.1	AAF54609.1, AAF54611.2, AAF54612.2
OG0000404	4	6183.Smp_047860.1, 6183.Smp_084340.1	AAF52959.2, AAF52961.2
OG0000405	4	6183.Smp_047900.1, 6183.Smp_142050.1	NP_477163.1, NP_477361.1
OG0000406	4	6183.Smp_048230.1	AAF46182.3, AAF54223.1, AAF57103.1
OG0000408	4	6183.Smp_052460.1, 6183.Smp_150270.1	AAF49858.1, NP_523655.1
OG0000409	4	6183.Smp_053220.1, 6183.Smp_150700.1	AAF50038.2, AAF50039.2
OG0000410	4	6183.Smp_053300.1, 6183.Smp_053390.1, 6183.Smp_194870.1	NP_478143.1
OG0000411	4	6183.Smp_054240.1, 6183.Smp_122680.1	AAF48506.3, Q9VGS2.1
OG0000412	4	6183.Smp_054360.1, 6183.Smp_054410.1, 6183.Smp_151260.1	NP_476637.1
OG0000413	4	6183.Smp_055850.1, 6183.Smp_123980.1, 6183.Smp_123990.1	NP_524839.3
OG0000414	4	6183.Smp_056760.1, 6183.Smp_157700.1	AAF57391.1, NP_524079.1
OG0000415	4	6183.Smp_057020.1, 6183.Smp_152720.1, 6183.Smp_152770.1	AAF48727.2
OG0000416	4	6183.Smp_058240.1	AAF52198.2, AAF54008.2, NP_608893.1
OG0000417	4	6183.Smp_058690.1, 6183.Smp_058700.1	AAF47761.1, AAF57607.2
OG0000418	4	6183.Smp_058790.1	AAF56055.3, AAF58463.1, NP_524080.1
OG0000419	4	6183.Smp_061540.1	AAF46715.2, AAF58280.1, AAF59000.3
OG0000421	4	6183.Smp_062900.1	AAF49652.1, NP_477510.1, NP_525002.1
OG0000422	4	6183.Smp_062920.1, 6183.Smp_146390.1, 6183.Smp_211030.1	AAF50336.2
OG0000423	4	6183.Smp_064190.1, 6183.Smp_064200.1, 6183.Smp_156740.1	CAA15931.1
OG0000424	4	6183.Smp_066610.1	AAF46426.1, NP_611346.1, NP_611347.1
OG0000425	4	6183.Smp_070170.1, 6183.Smp_081440.1, 6183.Smp_138030.1	NP_525040.2
OG0000427	4	6183.Smp_071250.1	AAF50649.2, NP_476857.1, NP_477402.1
OG0000428	4	6183.Smp_072720.1	AAF46464.1, AAF54360.2, AAF54361.2
OG0000430	4	6183.Smp_074400.1, 6183.Smp_139020.1	AAF45995.4, NP_524140.2
OG0000431	4	6183.Smp_074500.2	AAF51229.3, AAL68142.1, NP_609804.1
OG0000432	4	6183.Smp_076230.1	NP_525092.1, NP_611920.1, Q24178.2
OG0000433	4	6183.Smp_076370.1	AAF49548.1, AAF55399.1, NP_477127.1
OG0000434	4	6183.Smp_076950.1, 6183.Smp_159740.1, 6183.Smp_159760.1	AAF49413.1
OG0000435	4	6183.Smp_077810.1, 6183.Smp_172000.1, 6183.Smp_188800.1	AAF55290.1
OG0000436	4	6183.Smp_078780.1, 6183.Smp_085110.2	AAF52003.2, NP_477307.1
OG0000437	4	6183.Smp_080700.3, 6183.Smp_090240.1, 6183.Smp_210130.1	AAF50505.2
OG0000440	4	6183.Smp_088650.1	AAF50451.1, NP_476955.1, NP_524631.1
OG0000442	4	6183.Smp_089060.1	AAF48616.1, AAF50069.1, AAF57078.1
OG0000443	4	6183.Smp_089430.1	AAF55498.1, NP_476776.1, NP_476778.1
OG0000445	4	6183.Smp_090520.1, 6183.Smp_179110.1	AAF47052.1, AAF47654.1
OG0000446	4	6183.Smp_093700.1	AAF51335.3, AAF53300.1, NP_573087.1
OG0000447	4	6183.Smp_093850.1	AAF46440.1, AAF46441.1, AAF48320.2
OG0000448	4	6183.Smp_094390.1, 6183.Smp_170370.1, 6183.Smp_170450.1	AAF52139.3
OG0000449	4	6183.Smp_094950.1, 6183.Smp_094980.1, 6183.Smp_128560.1	AAF46676.2
OG0000450	4	6183.Smp_095290.1, 6183.Smp_164740.1	AAF46002.2, AAF46003.2
OG0000451	4	6183.Smp_097730.1, 6183.Smp_140200.1, 6183.Smp_161530.1	AAF47195.1
OG0000452	4	6183.Smp_098710.1	AAF55938.1, AAF55939.1, AAF58400.1
OG0000453	4	6183.Smp_098890.2	AAF52890.1, NP_572880.2, Q02427.3
OG0000455	4	6183.Smp_101780.1, 6183.Smp_118190.1, 6183.Smp_166110.1	NP_612021.1
OG0000457	4	6183.Smp_105080.1	AAF54581.3, NP_608660.3, NP_610737.1
OG0000458	4	6183.Smp_105200.3, 6183.Smp_158320.2	AAF49722.2, NP_523983.1
OG0000465	4	6183.Smp_124340.1, 6183.Smp_162060.1	AAF48232.2, CAA21411.2
OG0000466	4	6183.Smp_125050.1, 6183.Smp_125340.1	AAF55003.1, AAF57004.1
OG0000467	4	6183.Smp_125350.1, 6183.Smp_136690.1, 6183.Smp_154600.1	NP_476953.1
OG0000469	4	6183.Smp_126730.1, 6183.Smp_148210.1, 6183.Smp_156210.1	NP_524599.1
OG0000470	4	6183.Smp_127630.1, 6183.Smp_131830.1, 6183.Smp_212390.1	AAF50952.2
OG0000471	4	6183.Smp_128060.1	AAF49605.2, AAF53097.3, NP_523548.1
OG0000473	4	6183.Smp_131390.1	AAF46981.1, AAF56278.2, AAF56279.1
OG0000474	4	6183.Smp_131460.1	AAF32327.1, AAF49648.1, AAF49649.3
OG0000475	4	6183.Smp_133330.1	AAF57044.1, AAF57045.2, NP_611904.1
OG0000476	4	6183.Smp_133840.1, 6183.Smp_139090.1, 6183.Smp_149310.1	AAF47507.1
OG0000477	4	6183.Smp_134050.1	AAF58335.2, NP_609762.2, NP_609779.2
OG0000478	4	6183.Smp_135160.1	AAF48906.2, AAF49192.2, AAF49193.2
OG0000480	4	6183.Smp_135490.1, 6183.Smp_151290.1, 6183.Smp_162110.1	AAF55781.2
OG0000481	4	6183.Smp_135610.1	AAF49078.3, AAF51468.3, NP_477497.1
OG0000482	4	6183.Smp_135700.1, 6183.Smp_159180.1, 6183.Smp_168290.1	AAF48309.1
OG0000483	4	6183.Smp_136240.6	AAF50490.3, AAF50728.2, NP_570087.1
OG0000484	4	6183.Smp_137000.1	AAF48981.2, AAF48982.2, XP_081254.1
OG0000486	4	6183.Smp_138230.1, 6183.Smp_143190.1, 6183.Smp_163870.1	NP_524428.1
OG0000487	4	6183.Smp_138460.1, 6183.Smp_144360.1, 6183.Smp_197460.1	AAF51736.2
OG0000488	4	6183.Smp_139110.1, 6183.Smp_145700.1, 6183.Smp_154020.1	AAF59369.2
OG0000489	4	6183.Smp_139520.1, 6183.Smp_141030.1	AAF51441.1, AAF55374.2
OG0000490	4	6183.Smp_140610.1	AAF47970.1, AAF47971.2, NP_572662.1
OG0000492	4	6183.Smp_141570.1	AAF45991.2, AAF55561.1, NP_610349.1
OG0000493	4	6183.Smp_141770.1	AAF47558.2, NP_524655.1, NP_610718.1
OG0000494	4	6183.Smp_141860.1	AAF50228.2, AAF50230.1, AAF50234.3
OG0000495	4	6183.Smp_142630.1, 6183.Smp_167010.1	AAF50399.1, AAF56407.4
OG0000496	4	6183.Smp_143650.1, 6183.Smp_143660.1	AAF58611.2, AAF58612.1
OG0000497	4	6183.Smp_143830.1	AAF46943.3, NP_524723.2, NP_611906.1
OG0000498	4	6183.Smp_144990.1	AAF46614.5, AAF48740.2, AAF48741.1
OG0000499	4	6183.Smp_145090.1, 6183.Smp_164160.1, 6183.Smp_207060.1	AAF49464.2
OG0000500	4	6183.Smp_146120.1, 6183.Smp_197150.1	AAF48205.4, AAF48206.1
OG0000501	4	6183.Smp_147950.1, 6183.Smp_164080.1	AAF46312.3, AAF56200.1
OG0000502	4	6183.Smp_149200.1	AAF49148.2, AAF49149.1, NP_524061.1
OG0000503	4	6183.Smp_149230.1	AAF49894.1, P54269.2, Q24248.2
OG0000504	4	6183.Smp_149570.1	AAF50641.3, AAF53205.2, P31369.1
OG0000505	4	6183.Smp_150370.1	AAF59081.3, AAF59082.3, P91685.2
OG0000506	4	6183.Smp_150770.1	AAF48154.2, AAF48156.2, AAF51824.2
OG0000507	4	6183.Smp_151880.1	AAF53548.2, NP_476768.1, NP_476895.1
OG0000508	4	6183.Smp_154240.1, 6183.Smp_157150.1, 6183.Smp_211210.1	NP_610216.1
OG0000509	4	6183.Smp_154770.1, 6183.Smp_203140.1	AAF56521.1, NP_523444.1
OG0000510	4	6183.Smp_154790.1, 6183.Smp_154800.1	AAF47333.3, AAF49838.3
OG0000511	4	6183.Smp_154960.1	AAF48417.2, AAF50698.2, NP_572754.1
OG0000512	4	6183.Smp_155160.1, 6183.Smp_155180.1, 6183.Smp_210140.1	AAF56518.1
OG0000513	4	6183.Smp_155690.1, 6183.Smp_179780.1, 6183.Smp_180820.1	AAF49756.1
OG0000514	4	6183.Smp_156020.1, 6183.Smp_156040.1	AAF47871.2, AAF53441.2
OG0000515	4	6183.Smp_157100.1	AAF47706.3, AAF48045.1, AAF52895.2
OG0000516	4	6183.Smp_158240.1	AAF46186.3, AAF46187.2, AAF50063.1
OG0000517	4	6183.Smp_159160.1, 6183.Smp_171010.1	AAF48513.2, AAF57502.2
OG0000518	4	6183.Smp_159450.1, 6183.Smp_173870.1, 6183.Smp_198240.1	AAF56243.2
OG0000519	4	6183.Smp_159890.1	AAF45513.3, AAF45514.2, AAF48652.3
OG0000520	4	6183.Smp_160940.1	AAF49689.1, NP_476957.1, NP_524827.1
OG0000521	4	6183.Smp_161860.1	AAF46401.2, AAF46799.1, AAF49957.1
OG0000522	4	6183.Smp_165230.1, 6183.Smp_165660.1, 6183.Smp_199610.1	AAF53183.2
OG0000523	4	6183.Smp_165440.1, 6183.Smp_172470.1	AAF58143.2, AAF58144.1
OG0000524	4	6183.Smp_166070.1, 6183.Smp_176690.1	AAF57952.1, NP_611158.1
OG0000525	4	6183.Smp_166280.1	AAF50071.2, AAF50733.2, AAF51610.2
OG0000526	4	6183.Smp_166290.1	AAF51115.1, AAF51969.1, NP_573079.1
OG0000527	4	6183.Smp_166540.1, 6183.Smp_176970.1, 6183.Smp_177920.1	AAF56344.1
OG0000528	4	6183.Smp_167240.1, 6183.Smp_167250.1	AAF51951.2, AAF56349.2
OG0000529	4	6183.Smp_171850.1, 6183.Smp_200020.1	NP_572609.1, NP_572882.1
OG0000530	4	6183.Smp_172060.1	AAF58055.2, NP_477231.1, XP_080538.1
OG0000531	4	6183.Smp_173480.1	AAF46769.2, AAF57585.1, AAF58918.5
OG0000532	4	6183.Smp_173820.1	AAF49871.2, AAF51506.2, NP_609049.1
OG0000533	4	6183.Smp_174390.1, 6183.Smp_192670.1	AAF58908.2, NP_611804.1
OG0000534	4	6183.Smp_175750.1	AAF49840.1, AAF55854.3, AAF55945.2
OG0000535	4	6183.Smp_176100.1	AAF53175.3, AAF57308.2, NP_609741.3
OG0000536	4	6183.Smp_176610.1	AAF50653.2, AAF55411.1, NP_608379.1
OG0000537	4	6183.Smp_177120.1	AAF46179.1, AAF46180.2, AAF53663.1
OG0000539	4	6183.Smp_194770.1	AAF50326.2, AAF50327.1, AAF55238.2
OG0000540	4	6183.Smp_199690.1	AAF49928.2, AAF52426.2, AAF56536.5
OG0000543	4	6183.Smp_208050.1	AAF51322.1, AAF55666.2, AAF55667.1
OG0000544	4	6183.Smp_210380.1	AAF51623.1, NP_609805.1, NP_610143.3
OG0000545	4	6183.Smp_210500.1	AAF57567.1, NP_523735.2, NP_610907.1
OG0000546	4	6183.Smp_210680.1	AAF57211.3, NP_608335.1, NP_609269.1
OG0000547	4	6183.Smp_210840.1	AAF56949.1, AAF56950.3, AAF56952.3
OG0000548	4	6183.Smp_211280.1	AAF58012.1, AAF58013.4, NP_477266.1
OG0000591	3	6183.Smp_000020.1, 6183.Smp_210490.1	AAF55867.1
OG0000592	3	6183.Smp_000070.1	AAF48201.1, AAF52680.2
OG0000593	3	6183.Smp_000100.1, 6183.Smp_156590.1	AAF55390.4
OG0000594	3	6183.Smp_000110.1	AAF49457.1, AAF49461.3
OG0000595	3	6183.Smp_000190.1	AAF50980.1, AAF53953.3
OG0000596	3	6183.Smp_000240.1	AAF48578.3, AAK92893.1
OG0000599	3	6183.Smp_000600.1, 6183.Smp_018400.1	NP_477294.2
OG0000600	3	6183.Smp_000630.1	AAF57156.1, NP_611952.1
OG0000601	3	6183.Smp_000710.1, 6183.Smp_196290.1	AAF56066.1
OG0000603	3	6183.Smp_000790.1, 6183.Smp_138170.1	AAF54428.2
OG0000604	3	6183.Smp_000950.1	AAF46112.2, NP_572287.1
OG0000605	3	6183.Smp_001040.1	AAF56363.1, NP_476590.1
OG0000606	3	6183.Smp_001100.1, 6183.Smp_143300.1	AAF47894.2
OG0000607	3	6183.Smp_001360.1, 6183.Smp_032810.1	AAF57756.2
OG0000608	3	6183.Smp_001980.1, 6183.Smp_125600.1	NP_523387.1
OG0000609	3	6183.Smp_002080.1	AAF51554.1, AAF51558.1
OG0000610	3	6183.Smp_002180.1	AAF51481.1, NP_476853.1
OG0000612	3	6183.Smp_002870.1, 6183.Smp_179060.1	NP_609033.1
OG0000614	3	6183.Smp_003000.1, 6183.Smp_094760.1	AAB84112.1
OG0000615	3	6183.Smp_003190.1, 6183.Smp_143770.1	AAF52208.4
OG0000616	3	6183.Smp_003230.1, 6183.Smp_036990.1	AAF55605.2
OG0000618	3	6183.Smp_003900.1	AAF52249.1, AAF52250.1
OG0000619	3	6183.Smp_003970.1	AAF52880.1, NP_609361.1
OG0000620	3	6183.Smp_004060.1	NP_477501.1, NP_523494.1
OG0000622	3	6183.Smp_004280.1	Q9VCG2.3, Q9VCG3.1
OG0000623	3	6183.Smp_004590.1, 6183.Smp_140990.1	AAF47054.4
OG0000624	3	6183.Smp_004680.1	AAF51186.2, AAF51188.1
OG0000625	3	6183.Smp_005200.1, 6183.Smp_212600.1	AAF57595.1
OG0000626	3	6183.Smp_005230.2, 6183.Smp_147680.1	NP_477393.1
OG0000627	3	6183.Smp_005290.1	AAF50785.1, AAF56876.1
OG0000628	3	6183.Smp_005500.1	AAF57964.3, AAF57966.2
OG0000629	3	6183.Smp_005640.1, 6183.Smp_180200.1	AAF55959.3
OG0000630	3	6183.Smp_006680.1, 6183.Smp_031950.2	AAF55190.2
OG0000631	3	6183.Smp_006750.1, 6183.Smp_006760.1	NP_569979.1
OG0000633	3	6183.Smp_006990.1	AAF47773.1, AAF47774.2
OG0000634	3	6183.Smp_007300.1, 6183.Smp_014270.1	AAF48701.1
OG0000635	3	6183.Smp_007660.1	AAF48482.2, NP_476967.1
OG0000636	3	6183.Smp_007760.1, 6183.Smp_130540.1	AAF48262.2
OG0000638	3	6183.Smp_008310.1	AAF54585.1, AAF54602.2
OG0000639	3	6183.Smp_008340.1	AAF47471.2, NP_610499.2
OG0000640	3	6183.Smp_008860.1	AAF47705.1, AAF58711.2
OG0000642	3	6183.Smp_010160.1, 6183.Smp_168350.1	AAF54216.1
OG0000643	3	6183.Smp_011990.1	AAF54736.1, NP_608978.2
OG0000644	3	6183.Smp_012050.1	AAF56322.2, AAF58480.1
OG0000645	3	6183.Smp_012400.1, 6183.Smp_059290.1	AAF56179.1
OG0000647	3	6183.Smp_012580.1, 6183.Smp_155990.1	AAD38594.1
OG0000648	3	6183.Smp_012900.1, 6183.Smp_129720.1	AAF47501.1
OG0000649	3	6183.Smp_013040.2	AAF23824.1, AAF58249.1
OG0000650	3	6183.Smp_013070.1, 6183.Smp_196950.1	AAF59330.2
OG0000651	3	6183.Smp_013460.1, 6183.Smp_127650.1	AAF48452.1
OG0000652	3	6183.Smp_013690.1, 6183.Smp_075810.1	AAF49705.2
OG0000653	3	6183.Smp_013790.1	AAF46176.2, AAF51926.2
OG0000656	3	6183.Smp_014670.2, 6183.Smp_071140.1	NP_476877.1
OG0000657	3	6183.Smp_015070.1	AAF53555.2, NP_523585.2
OG0000658	3	6183.Smp_015220.1	NP_523574.4, NP_524102.1
OG0000660	3	6183.Smp_015860.1	NP_477002.1, NP_477003.1
OG0000663	3	6183.Smp_016540.1, 6183.Smp_143380.1	NP_477023.1
OG0000664	3	6183.Smp_016890.1	AAF51144.2, NP_608463.1
OG0000665	3	6183.Smp_016920.1, 6183.Smp_048680.1	AAF46210.2
OG0000666	3	6183.Smp_017010.4	AAF56194.2, NP_524640.3
OG0000667	3	6183.Smp_017810.1, 6183.Smp_167860.1	AAF45353.1
OG0000668	3	6183.Smp_017980.1, 6183.Smp_142960.1	AAF51668.1
OG0000669	3	6183.Smp_018250.2, 6183.Smp_059170.2	AAF48803.2
OG0000670	3	6183.Smp_018290.1, 6183.Smp_165210.1	AAF48054.1
OG0000671	3	6183.Smp_018430.1	AAF48490.1, AAF57438.1
OG0000672	3	6183.Smp_018510.1, 6183.Smp_140530.1	NP_523915.1
OG0000673	3	6183.Smp_018530.2	NP_477216.1, NP_608561.2
OG0000674	3	6183.Smp_018890.1	AAF51220.2, NP_476676.1
OG0000675	3	6183.Smp_018990.1	AAF53048.2, NP_477161.1
