Orthogroup	kog_cerevisiae_pos_go	protein_mansoni
OG0000047		6183.Smp_000050.1, 6183.Smp_022480.1, 6183.Smp_035140.1, 6183.Smp_130890.1, 6183.Smp_138760.1, 6183.Smp_147140.1, 6183.Smp_161630.1, 6183.Smp_161640.1, 6183.Smp_165170.1, 6183.Smp_173720.1, 6183.Smp_197680.1, 6183.Smp_199590.1
OG0000048		6183.Smp_089320.1, 6183.Smp_089330.1, 6183.Smp_089370.1, 6183.Smp_089380.1, 6183.Smp_114430.1, 6183.Smp_119060.1, 6183.Smp_120180.1, 6183.Smp_128340.1, 6183.Smp_159300.1, 6183.Smp_168940.1, 6183.Smp_170890.1, 6183.Smp_176190.1
OG0000049	NP_010931.3	6183.Smp_038970.1, 6183.Smp_101650.1, 6183.Smp_119730.1, 6183.Smp_125560.1, 6183.Smp_138660.1, 6183.Smp_142680.1, 6183.Smp_165850.1, 6183.Smp_175090.3, 6183.Smp_198870.1, 6183.Smp_209040.1
OG0000050	NP_015171.1	6183.Smp_013040.2, 6183.Smp_018800.1, 6183.Smp_132470.1, 6183.Smp_132480.1, 6183.Smp_136720.1, 6183.Smp_136730.1, 6183.Smp_136830.2, 6183.Smp_136840.1, 6183.Smp_197470.1, 6183.Smp_205390.1
OG0000051		6183.Smp_000230.1, 6183.Smp_012200.1, 6183.Smp_015840.1, 6183.Smp_049160.1, 6183.Smp_075230.1, 6183.Smp_124090.1, 6183.Smp_128060.1, 6183.Smp_135600.1, 6183.Smp_152210.1, 6183.Smp_158490.1, 6183.Smp_181200.1
OG0000052		6183.Smp_003440.1, 6183.Smp_041970.1, 6183.Smp_061140.1, 6183.Smp_066520.1, 6183.Smp_072640.1, 6183.Smp_086830.1, 6183.Smp_122810.1, 6183.Smp_154990.1, 6183.Smp_162440.1, 6183.Smp_196010.1, 6183.Smp_210100.1
OG0000053		6183.Smp_025180.1, 6183.Smp_154080.1, 6183.Smp_167710.1, 6183.Smp_168700.1, 6183.Smp_182910.1, 6183.Smp_184750.1, 6183.Smp_185370.1, 6183.Smp_190320.1, 6183.Smp_190590.1, 6183.Smp_194000.1, 6183.Smp_197110.1
OG0000054		6183.Smp_027830.1, 6183.Smp_110560.1, 6183.Smp_118350.1, 6183.Smp_137240.1, 6183.Smp_147870.1, 6183.Smp_168420.1, 6183.Smp_180990.1, 6183.Smp_191640.1, 6183.Smp_193320.1, 6183.Smp_193570.1, 6183.Smp_193580.1
OG0000055		6183.Smp_028690.1, 6183.Smp_078930.1, 6183.Smp_131890.1, 6183.Smp_143780.1, 6183.Smp_143800.1, 6183.Smp_156320.1, 6183.Smp_157420.1, 6183.Smp_157430.1, 6183.Smp_158660.1, 6183.Smp_160360.1, 6183.Smp_193800.1
OG0000056		6183.Smp_045490.1, 6183.Smp_045500.1, 6183.Smp_045550.1, 6183.Smp_045560.1, 6183.Smp_074140.1, 6183.Smp_074150.1, 6183.Smp_077720.1, 6183.Smp_146690.1, 6183.Smp_162160.1, 6183.Smp_164100.1, 6183.Smp_207040.1
OG0000057		6183.Smp_048050.1, 6183.Smp_049230.1, 6183.Smp_049240.1, 6183.Smp_049250.1, 6183.Smp_049270.1, 6183.Smp_049300.3, 6183.Smp_136930.1, 6183.Smp_138210.1, 6183.Smp_148530.1, 6183.Smp_185680.1, 6183.Smp_186020.1
OG0000058		6183.Smp_075350.1, 6183.Smp_075360.1, 6183.Smp_075370.1, 6183.Smp_075380.1, 6183.Smp_075390.1, 6183.Smp_075400.1, 6183.Smp_075420.1, 6183.Smp_075430.1, 6183.Smp_162840.1, 6183.Smp_166170.1, 6183.Smp_204390.1
OG0000059		6183.Smp_085680.1, 6183.Smp_097460.1, 6183.Smp_097470.1, 6183.Smp_102340.1, 6183.Smp_124470.1, 6183.Smp_125450.1, 6183.Smp_140070.1, 6183.Smp_142620.1, 6183.Smp_149980.1, 6183.Smp_211230.1, 6183.Smp_211310.1
OG0000060		6183.Smp_200150.1, 6183.Smp_200390.1, 6183.Smp_200970.1, 6183.Smp_201180.1, 6183.Smp_202180.1, 6183.Smp_203770.1, 6183.Smp_203990.1, 6183.Smp_204030.1, 6183.Smp_205070.1, 6183.Smp_205980.1, 6183.Smp_206260.1
OG0000061	NP_010937.3, NP_011868.1	6183.Smp_005790.1, 6183.Smp_016250.2, 6183.Smp_016630.1, 6183.Smp_020080.1, 6183.Smp_032740.1, 6183.Smp_032750.1, 6183.Smp_074510.1, 6183.Smp_132750.1
OG0000062	NP_010720.3	6183.Smp_002550.1, 6183.Smp_032320.6, 6183.Smp_036270.2, 6183.Smp_071640.1, 6183.Smp_086600.2, 6183.Smp_098890.2, 6183.Smp_113620.3, 6183.Smp_185230.1, 6183.Smp_192360.1
OG0000063		6183.Smp_000620.1, 6183.Smp_015670.1, 6183.Smp_020960.1, 6183.Smp_022610.1, 6183.Smp_062490.1, 6183.Smp_067430.1, 6183.Smp_072470.1, 6183.Smp_082290.1, 6183.Smp_125400.1, 6183.Smp_203270.1
OG0000064		6183.Smp_006930.1, 6183.Smp_014260.1, 6183.Smp_014280.1, 6183.Smp_042720.1, 6183.Smp_102400.1, 6183.Smp_133290.1, 6183.Smp_151200.1, 6183.Smp_151210.1, 6183.Smp_151220.1, 6183.Smp_200450.1
OG0000065		6183.Smp_007950.1, 6183.Smp_015920.1, 6183.Smp_021370.1, 6183.Smp_024650.1, 6183.Smp_047240.2, 6183.Smp_056260.1, 6183.Smp_146430.1, 6183.Smp_153110.1, 6183.Smp_210290.1, 6183.Smp_211240.1
OG0000066		6183.Smp_083940.1, 6183.Smp_083950.1, 6183.Smp_084270.1, 6183.Smp_091950.1, 6183.Smp_167870.1, 6183.Smp_177720.1, 6183.Smp_196080.1, 6183.Smp_203400.1, 6183.Smp_204060.1, 6183.Smp_204550.1
OG0000067		6183.Smp_088570.1, 6183.Smp_107700.1, 6183.Smp_110040.1, 6183.Smp_110310.1, 6183.Smp_184370.1, 6183.Smp_184780.1, 6183.Smp_186960.1, 6183.Smp_189290.1, 6183.Smp_190390.1, 6183.Smp_191130.1
OG0000068		6183.Smp_177380.1, 6183.Smp_180780.1, 6183.Smp_182090.1, 6183.Smp_187010.1, 6183.Smp_187410.1, 6183.Smp_188780.1, 6183.Smp_193400.1, 6183.Smp_194180.1, 6183.Smp_199230.1, 6183.Smp_205290.1
OG0000069	NP_010661.3	6183.Smp_000170.1, 6183.Smp_068510.1, 6183.Smp_085650.1, 6183.Smp_106110.1, 6183.Smp_151600.1, 6183.Smp_153320.1, 6183.Smp_158980.1, 6183.Smp_158990.1
OG0000070	NP_009717.1	6183.Smp_009430.1, 6183.Smp_084570.1, 6183.Smp_102190.1, 6183.Smp_117920.1, 6183.Smp_131430.1, 6183.Smp_168550.1, 6183.Smp_168560.1, 6183.Smp_178940.1
OG0000071		6183.Smp_001000.1, 6183.Smp_031300.1, 6183.Smp_043120.1, 6183.Smp_076400.1, 6183.Smp_097930.1, 6183.Smp_136890.1, 6183.Smp_200240.1, 6183.Smp_202690.1, 6183.Smp_205720.1
OG0000072		6183.Smp_002150.1, 6183.Smp_030350.1, 6183.Smp_065530.1, 6183.Smp_103680.1, 6183.Smp_129230.1, 6183.Smp_173030.1, 6183.Smp_174530.1, 6183.Smp_174540.1, 6183.Smp_194090.1
OG0000073		6183.Smp_002500.1, 6183.Smp_109090.1, 6183.Smp_112480.1, 6183.Smp_112910.1, 6183.Smp_157780.1, 6183.Smp_164700.1, 6183.Smp_167840.1, 6183.Smp_177890.1, 6183.Smp_178330.1
OG0000074		6183.Smp_002930.1, 6183.Smp_056420.1, 6183.Smp_060760.1, 6183.Smp_082750.1, 6183.Smp_089840.1, 6183.Smp_123850.1, 6183.Smp_130880.1, 6183.Smp_150470.1, 6183.Smp_176670.1
OG0000075		6183.Smp_005190.2, 6183.Smp_005200.1, 6183.Smp_068060.1, 6183.Smp_081410.1, 6183.Smp_094090.1, 6183.Smp_096640.1, 6183.Smp_150260.1, 6183.Smp_163420.1, 6183.Smp_212600.1
OG0000076		6183.Smp_012460.1, 6183.Smp_015480.1, 6183.Smp_020480.1, 6183.Smp_080620.1, 6183.Smp_084440.1, 6183.Smp_084450.1, 6183.Smp_130620.1, 6183.Smp_146440.1, 6183.Smp_170260.1
OG0000077		6183.Smp_033380.1, 6183.Smp_119260.1, 6183.Smp_121200.1, 6183.Smp_121230.1, 6183.Smp_121240.1, 6183.Smp_166690.1, 6183.Smp_166710.1, 6183.Smp_166720.1, 6183.Smp_166730.1
OG0000078		6183.Smp_043920.1, 6183.Smp_074830.1, 6183.Smp_155240.1, 6183.Smp_158370.1, 6183.Smp_161800.1, 6183.Smp_163450.1, 6183.Smp_173320.1, 6183.Smp_181160.1, 6183.Smp_210200.1
OG0000079		6183.Smp_052630.1, 6183.Smp_083980.1, 6183.Smp_093210.1, 6183.Smp_124040.1, 6183.Smp_144110.1, 6183.Smp_162680.1, 6183.Smp_170810.1, 6183.Smp_178830.1, 6183.Smp_180260.1
OG0000080		6183.Smp_062560.1, 6183.Smp_068680.1, 6183.Smp_118970.1, 6183.Smp_139180.1, 6183.Smp_155340.1, 6183.Smp_166640.1, 6183.Smp_173940.1, 6183.Smp_174350.1, 6183.Smp_180150.1
OG0000081		6183.Smp_077880.2, 6183.Smp_155580.1, 6183.Smp_173290.1, 6183.Smp_173300.1, 6183.Smp_178820.1, 6183.Smp_194120.1, 6183.Smp_201250.1, 6183.Smp_201340.1, 6183.Smp_205300.1
OG0000082		6183.Smp_084330.1, 6183.Smp_104170.1, 6183.Smp_117880.1, 6183.Smp_124900.1, 6183.Smp_144740.1, 6183.Smp_147200.1, 6183.Smp_154120.1, 6183.Smp_159900.1, 6183.Smp_179400.1
OG0000083		6183.Smp_096310.1, 6183.Smp_126600.1, 6183.Smp_128480.1, 6183.Smp_131700.1, 6183.Smp_155950.1, 6183.Smp_167650.1, 6183.Smp_168370.1, 6183.Smp_176360.1, 6183.Smp_204130.1
OG0000084		6183.Smp_108050.1, 6183.Smp_116800.1, 6183.Smp_126240.1, 6183.Smp_128750.1, 6183.Smp_157010.1, 6183.Smp_164270.1, 6183.Smp_173270.1, 6183.Smp_175050.1, 6183.Smp_188590.1
OG0000085		6183.Smp_117000.1, 6183.Smp_120390.1, 6183.Smp_185340.1, 6183.Smp_200510.1, 6183.Smp_200620.1, 6183.Smp_203100.1, 6183.Smp_203380.1, 6183.Smp_204620.1, 6183.Smp_204630.1
OG0000086		6183.Smp_185420.1, 6183.Smp_200230.1, 6183.Smp_200760.1, 6183.Smp_200960.1, 6183.Smp_201680.1, 6183.Smp_204180.1, 6183.Smp_205320.1, 6183.Smp_205660.1, 6183.Smp_205790.1
OG0000087	NP_010294.1, NP_010694.1, NP_012252.1, NP_014468.3, NP_014654.1, NP_014796.3, NP_014973.1, NP_015267.1	
OG0000088	NP_009562.1, NP_009599.2, NP_011654.1, NP_011914.1, NP_013072.1, NP_014453.3, NP_014916.1, NP_015482.1	
OG0000089	NP_009359.1, NP_014315.1	6183.Smp_019100.1, 6183.Smp_065180.1, 6183.Smp_135790.1, 6183.Smp_156950.1, 6183.Smp_171650.1, 6183.Smp_176920.1
OG0000090	NP_011827.1	6183.Smp_054010.1, 6183.Smp_083990.1, 6183.Smp_127000.1, 6183.Smp_150990.1, 6183.Smp_151000.1, 6183.Smp_151090.1, 6183.Smp_181630.1
OG0000091	NP_012442.1	6183.Smp_034850.1, 6183.Smp_046640.1, 6183.Smp_046650.1, 6183.Smp_127170.1, 6183.Smp_141570.1, 6183.Smp_147550.1, 6183.Smp_155970.1
OG0000092	NP_012107.1, NP_014128.2	6183.Smp_068720.1, 6183.Smp_141590.2, 6183.Smp_144430.1, 6183.Smp_145500.1, 6183.Smp_146810.1, 6183.Smp_161110.1
OG0000093	NP_012455.1	6183.Smp_044550.8, 6183.Smp_049010.1, 6183.Smp_163680.1, 6183.Smp_163690.1, 6183.Smp_164940.1, 6183.Smp_170110.1, 6183.Smp_211220.1
OG0000094	NP_015221.1	6183.Smp_088800.1, 6183.Smp_178380.1, 6183.Smp_179140.1, 6183.Smp_190720.1, 6183.Smp_194140.1, 6183.Smp_194150.1, 6183.Smp_199340.1
OG0000095		6183.Smp_001040.1, 6183.Smp_035220.1, 6183.Smp_132300.1, 6183.Smp_147970.1, 6183.Smp_159790.1, 6183.Smp_179050.1, 6183.Smp_197070.1, 6183.Smp_198590.1
OG0000096		6183.Smp_003300.1, 6183.Smp_062080.1, 6183.Smp_062120.1, 6183.Smp_090080.1, 6183.Smp_090090.1, 6183.Smp_155530.1, 6183.Smp_155550.1, 6183.Smp_155560.1
OG0000097		6183.Smp_003600.1, 6183.Smp_003610.2, 6183.Smp_035550.1, 6183.Smp_035560.2, 6183.Smp_083240.1, 6183.Smp_167270.1, 6183.Smp_167280.1, 6183.Smp_188200.1
OG0000098		6183.Smp_006510.1, 6183.Smp_006520.1, 6183.Smp_056680.2, 6183.Smp_112090.1, 6183.Smp_119130.1, 6183.Smp_141450.1, 6183.Smp_185150.1, 6183.Smp_185190.1
OG0000099		6183.Smp_020840.1, 6183.Smp_036470.1, 6183.Smp_134980.1, 6183.Smp_134990.1, 6183.Smp_135010.1, 6183.Smp_135020.1, 6183.Smp_141800.1, 6183.Smp_145560.1
OG0000100		6183.Smp_027550.1, 6183.Smp_048160.1, 6183.Smp_062240.1, 6183.Smp_123600.1, 6183.Smp_155640.1, 6183.Smp_159350.1, 6183.Smp_167130.1, 6183.Smp_168860.1
OG0000101		6183.Smp_034300.1, 6183.Smp_051130.1, 6183.Smp_126530.1, 6183.Smp_127020.1, 6183.Smp_128330.1, 6183.Smp_130870.1, 6183.Smp_168810.1, 6183.Smp_204720.1
OG0000102		6183.Smp_089270.1, 6183.Smp_089290.1, 6183.Smp_170830.1, 6183.Smp_170840.1, 6183.Smp_171850.1, 6183.Smp_179250.1, 6183.Smp_179260.1, 6183.Smp_186710.1
OG0000103		6183.Smp_123840.1, 6183.Smp_123860.1, 6183.Smp_128580.1, 6183.Smp_130280.1, 6183.Smp_141310.1, 6183.Smp_159570.1, 6183.Smp_180760.1, 6183.Smp_211020.1
OG0000104		6183.Smp_124870.1, 6183.Smp_177520.1, 6183.Smp_182880.1, 6183.Smp_185930.1, 6183.Smp_189050.1, 6183.Smp_190740.1, 6183.Smp_192890.1, 6183.Smp_196830.1
OG0000105		6183.Smp_134410.2, 6183.Smp_134620.1, 6183.Smp_144760.1, 6183.Smp_150090.1, 6183.Smp_150340.1, 6183.Smp_161430.1, 6183.Smp_161850.1, 6183.Smp_168000.1
OG0000106	NP_013875.1	6183.Smp_003980.1, 6183.Smp_083530.1, 6183.Smp_089460.2, 6183.Smp_137410.1, 6183.Smp_157500.1, 6183.Smp_159550.1
OG0000107	NP_009852.3, NP_009864.1, NP_010404.1, NP_011740.3, NP_013031.3, NP_013806.1, NP_015524.1	
OG0000108	NP_015390.1	6183.Smp_076600.1, 6183.Smp_148110.1, 6183.Smp_155690.1, 6183.Smp_161600.1, 6183.Smp_179780.1, 6183.Smp_180820.1
OG0000109	NP_010203.1, NP_010668.3, NP_011601.3, NP_013145.1, NP_013235.1, NP_013826.1	6183.Smp_005390.2
OG0000110	NP_010150.1	6183.Smp_031000.2, 6183.Smp_052460.1, 6183.Smp_079740.1, 6183.Smp_082850.2, 6183.Smp_143030.1, 6183.Smp_150270.1
OG0000111	NP_009957.1, NP_011579.1, NP_011776.1, NP_012100.1, NP_012686.3, NP_013045.1, NP_014480.1	
OG0000112	NP_011596.1	6183.Smp_043040.1, 6183.Smp_064870.1, 6183.Smp_082830.1, 6183.Smp_103920.1, 6183.Smp_136210.1, 6183.Smp_180470.1
OG0000113	NP_009305.1, NP_009306.1, NP_009307.2, NP_009308.2, NP_009309.1, NP_009310.1	6183.Smp_900000.1
OG0000114		6183.Smp_003900.1, 6183.Smp_077500.1, 6183.Smp_101790.1, 6183.Smp_145230.1, 6183.Smp_156650.1, 6183.Smp_156660.1, 6183.Smp_163240.1
OG0000115		6183.Smp_009810.1, 6183.Smp_037720.1, 6183.Smp_127370.1, 6183.Smp_128310.1, 6183.Smp_154670.1, 6183.Smp_154680.1, 6183.Smp_187360.1
OG0000116		6183.Smp_014850.1, 6183.Smp_035390.1, 6183.Smp_044530.1, 6183.Smp_062950.1, 6183.Smp_149470.1, 6183.Smp_176510.1, 6183.Smp_196040.1
OG0000117		6183.Smp_025410.1, 6183.Smp_033010.1, 6183.Smp_096390.1, 6183.Smp_096410.2, 6183.Smp_135970.1, 6183.Smp_135980.1, 6183.Smp_146220.1
OG0000118		6183.Smp_026440.1, 6183.Smp_081790.1, 6183.Smp_098740.1, 6183.Smp_146210.1, 6183.Smp_153530.1, 6183.Smp_168270.1, 6183.Smp_203450.1
OG0000119		6183.Smp_027300.1, 6183.Smp_043580.1, 6183.Smp_144550.1, 6183.Smp_149240.1, 6183.Smp_150850.2, 6183.Smp_174840.1, 6183.Smp_179650.1
OG0000120		6183.Smp_027940.1, 6183.Smp_137300.1, 6183.Smp_137310.1, 6183.Smp_137320.1, 6183.Smp_178420.1, 6183.Smp_180140.1, 6183.Smp_204580.1
OG0000121		6183.Smp_041460.1, 6183.Smp_140000.1, 6183.Smp_140130.1, 6183.Smp_140140.1, 6183.Smp_152990.1, 6183.Smp_155310.1, 6183.Smp_201720.1
OG0000122		6183.Smp_041550.1, 6183.Smp_046630.1, 6183.Smp_074590.1, 6183.Smp_141500.2, 6183.Smp_147160.1, 6183.Smp_201730.1, 6183.Smp_205580.1
OG0000123		6183.Smp_046410.1, 6183.Smp_059600.1, 6183.Smp_147440.1, 6183.Smp_154300.1, 6183.Smp_162540.1, 6183.Smp_165950.1, 6183.Smp_170210.1
OG0000124		6183.Smp_047850.1, 6183.Smp_089730.1, 6183.Smp_147340.1, 6183.Smp_147740.1, 6183.Smp_154130.1, 6183.Smp_171110.1, 6183.Smp_173160.1
OG0000125		6183.Smp_048040.1, 6183.Smp_095010.1, 6183.Smp_096520.1, 6183.Smp_129060.1, 6183.Smp_160160.1, 6183.Smp_171630.1, 6183.Smp_175010.1
OG0000126		6183.Smp_062760.1, 6183.Smp_069400.1, 6183.Smp_122870.1, 6183.Smp_123050.1, 6183.Smp_127520.1, 6183.Smp_138430.1, 6183.Smp_210800.1
OG0000127		6183.Smp_063520.1, 6183.Smp_126030.1, 6183.Smp_134430.1, 6183.Smp_146580.1, 6183.Smp_149230.1, 6183.Smp_157830.1, 6183.Smp_202880.1
OG0000128		6183.Smp_086130.1, 6183.Smp_162500.1, 6183.Smp_162510.1, 6183.Smp_168980.1, 6183.Smp_168990.1, 6183.Smp_169010.1, 6183.Smp_192570.1
OG0000129	NP_009703.3, NP_010030.1, NP_013800.1, NP_014032.1, NP_014051.3, NP_014555.1	
OG0000130	NP_012713.1, NP_013289.1	6183.Smp_055780.1, 6183.Smp_089200.1, 6183.Smp_137080.1, 6183.Smp_170820.1
OG0000131	NP_010948.1, NP_011305.1	6183.Smp_005670.1, 6183.Smp_023550.1, 6183.Smp_134000.1, 6183.Smp_173990.1
OG0000132	NP_009887.1, NP_010806.1, NP_012261.1, NP_014553.1	6183.Smp_056760.1, 6183.Smp_157700.1
OG0000133	NP_013057.1	6183.Smp_005720.1, 6183.Smp_005740.1, 6183.Smp_125200.1, 6183.Smp_125210.1, 6183.Smp_125220.1
OG0000134	NP_009863.2, NP_010849.3, NP_011816.2, NP_011823.1, NP_013032.1, NP_014484.1	
OG0000135	NP_014855.3	6183.Smp_010230.1, 6183.Smp_063640.1, 6183.Smp_075130.1, 6183.Smp_094480.1, 6183.Smp_158700.1
OG0000136	NP_011668.3	6183.Smp_046000.1, 6183.Smp_071250.1, 6183.Smp_129070.1, 6183.Smp_142450.1, 6183.Smp_147260.1
OG0000137	NP_009858.3, NP_011803.3, NP_011808.3, NP_012096.1, NP_012319.1, NP_014485.1	
OG0000138	NP_010607.3, NP_013256.1, NP_013258.1, NP_013259.1, NP_013261.1	6183.Smp_153810.1
OG0000139	NP_011442.3, NP_012076.3, NP_012119.1, NP_012681.1, NP_013106.1	6183.Smp_068270.4
OG0000140	NP_011985.1, NP_014278.3, NP_015515.1	6183.Smp_010930.1, 6183.Smp_072970.1, 6183.Smp_155020.1
OG0000141	NP_011856.1	6183.Smp_096670.1, 6183.Smp_103360.1, 6183.Smp_159730.1, 6183.Smp_175160.1, 6183.Smp_179800.1
OG0000142	NP_012371.2, NP_012755.1, NP_015121.1	6183.Smp_147450.1, 6183.Smp_152330.1, 6183.Smp_164380.1
OG0000143	NP_010780.1, NP_014540.1, NP_014641.2	6183.Smp_045410.1, 6183.Smp_045420.1, 6183.Smp_057130.1
OG0000144	NP_009372.1, NP_013194.2, NP_014972.3	6183.Smp_006720.2, 6183.Smp_102160.1, 6183.Smp_123870.1
OG0000145	NP_010428.3, NP_011255.1, NP_012249.1, NP_013221.1, NP_013222.1, NP_076890.1	
OG0000146	NP_010710.4, NP_010944.1, NP_011307.1	6183.Smp_101670.1, 6183.Smp_124310.1, 6183.Smp_170160.1
OG0000147	NP_012292.3	6183.Smp_081510.1, 6183.Smp_084930.1, 6183.Smp_114280.1, 6183.Smp_136040.1, 6183.Smp_138310.1
OG0000148	NP_010599.1, NP_010610.3	6183.Smp_000870.1, 6183.Smp_055130.1, 6183.Smp_144330.1, 6183.Smp_180740.1
OG0000149	NP_009570.1, NP_009895.1, NP_010274.1, NP_010801.1, NP_013468.3, NP_015169.1	
OG0000150	NP_011400.1	6183.Smp_001030.1, 6183.Smp_127420.1, 6183.Smp_142030.1, 6183.Smp_144700.1, 6183.Smp_212370.1
OG0000151	NP_009511.1, NP_009577.1, NP_012294.3, NP_013338.1, NP_014714.1, NP_014835.3	
OG0000152	NP_009955.2, NP_010900.1	6183.Smp_084890.1, 6183.Smp_104270.1, 6183.Smp_153340.1, 6183.Smp_153390.2
OG0000153	NP_009536.1, NP_010023.1, NP_010024.1, NP_010025.1, NP_014463.1	6183.Smp_179360.1
OG0000154		6183.Smp_000150.1, 6183.Smp_123390.1, 6183.Smp_131320.1, 6183.Smp_131550.1, 6183.Smp_137110.1, 6183.Smp_170760.1
OG0000155		6183.Smp_000690.1, 6183.Smp_009040.1, 6183.Smp_122920.1, 6183.Smp_139940.1, 6183.Smp_145220.1, 6183.Smp_149570.1
OG0000156		6183.Smp_003190.1, 6183.Smp_007670.1, 6183.Smp_075030.1, 6183.Smp_125690.1, 6183.Smp_128950.1, 6183.Smp_143770.1
OG0000157		6183.Smp_006440.1, 6183.Smp_036590.1, 6183.Smp_051530.1, 6183.Smp_138050.2, 6183.Smp_142300.1, 6183.Smp_149700.1
OG0000158		6183.Smp_013060.1, 6183.Smp_033950.2, 6183.Smp_085910.1, 6183.Smp_157540.1, 6183.Smp_169780.1, 6183.Smp_212740.1
OG0000159		6183.Smp_018170.1, 6183.Smp_040390.1, 6183.Smp_066930.1, 6183.Smp_140880.1, 6183.Smp_172460.1, 6183.Smp_172480.1
OG0000160		6183.Smp_023290.1, 6183.Smp_126350.1, 6183.Smp_140920.1, 6183.Smp_147390.1, 6183.Smp_147430.1, 6183.Smp_153780.1
OG0000161		6183.Smp_028670.1, 6183.Smp_135470.1, 6183.Smp_159710.1, 6183.Smp_168730.1, 6183.Smp_180870.1, 6183.Smp_193670.1
OG0000162		6183.Smp_047640.1, 6183.Smp_047650.1, 6183.Smp_047660.1, 6183.Smp_047680.1, 6183.Smp_063530.2, 6183.Smp_087760.1
OG0000163		6183.Smp_054440.1, 6183.Smp_105540.1, 6183.Smp_126500.1, 6183.Smp_139400.1, 6183.Smp_139470.1, 6183.Smp_144280.1
OG0000164		6183.Smp_073820.1, 6183.Smp_095400.1, 6183.Smp_100450.1, 6183.Smp_107750.1, 6183.Smp_108010.1, 6183.Smp_116960.1
OG0000165		6183.Smp_079270.1, 6183.Smp_087250.1, 6183.Smp_153990.1, 6183.Smp_162180.1, 6183.Smp_162190.1, 6183.Smp_169700.2
OG0000166		6183.Smp_079420.2, 6183.Smp_130400.1, 6183.Smp_139110.1, 6183.Smp_145700.1, 6183.Smp_154020.1, 6183.Smp_198650.1
OG0000167		6183.Smp_080070.1, 6183.Smp_180630.1, 6183.Smp_184340.1, 6183.Smp_186830.1, 6183.Smp_199440.1, 6183.Smp_209080.1
OG0000168		6183.Smp_082250.1, 6183.Smp_125080.1, 6183.Smp_127610.1, 6183.Smp_137760.1, 6183.Smp_167640.1, 6183.Smp_181340.1
OG0000169		6183.Smp_082690.1, 6183.Smp_106970.1, 6183.Smp_125350.1, 6183.Smp_136690.1, 6183.Smp_141510.1, 6183.Smp_154600.1
OG0000170		6183.Smp_091820.1, 6183.Smp_091840.1, 6183.Smp_131460.1, 6183.Smp_139080.1, 6183.Smp_179490.1, 6183.Smp_188670.1
OG0000171		6183.Smp_120050.1, 6183.Smp_155570.1, 6183.Smp_164170.1, 6183.Smp_181910.1, 6183.Smp_187070.1, 6183.Smp_193630.1
OG0000172		6183.Smp_121070.1, 6183.Smp_127710.1, 6183.Smp_172940.1, 6183.Smp_174500.1, 6183.Smp_178290.1, 6183.Smp_181330.1
OG0000173		6183.Smp_124780.1, 6183.Smp_135110.1, 6183.Smp_154240.1, 6183.Smp_156170.1, 6183.Smp_157150.1, 6183.Smp_211210.1
OG0000174		6183.Smp_128460.1, 6183.Smp_128470.1, 6183.Smp_154360.1, 6183.Smp_172750.1, 6183.Smp_175360.1, 6183.Smp_208060.1
OG0000175		6183.Smp_131330.1, 6183.Smp_131340.1, 6183.Smp_132920.1, 6183.Smp_156810.1, 6183.Smp_158120.1, 6183.Smp_167790.1
OG0000176		6183.Smp_145140.1, 6183.Smp_151400.1, 6183.Smp_152900.1, 6183.Smp_156540.1, 6183.Smp_167140.1, 6183.Smp_196930.1
OG0000177		6183.Smp_203800.1, 6183.Smp_205860.1, 6183.Smp_205870.1, 6183.Smp_206090.1, 6183.Smp_206110.1, 6183.Smp_206200.1
OG0000178	NP_009857.1, NP_010034.1, NP_010825.3, NP_011805.3, NP_012694.1	
OG0000179	NP_010988.1, NP_012904.3, NP_116585.1	6183.Smp_030320.1, 6183.Smp_125280.1
OG0000180	NP_012529.3	6183.Smp_112590.1, 6183.Smp_113460.1, 6183.Smp_186530.1, 6183.Smp_186540.1
OG0000181	NP_009360.1, NP_011622.1, NP_011623.3, NP_015444.1, NP_015445.1	
OG0000182	NP_013908.1, NP_015092.1	6183.Smp_019890.1, 6183.Smp_066670.1, 6183.Smp_179930.1
OG0000183	NP_010741.1, NP_013684.1	6183.Smp_059480.1, 6183.Smp_062900.1, 6183.Smp_158110.2
OG0000184	NP_012231.1	6183.Smp_001050.1, 6183.Smp_019280.1, 6183.Smp_079010.1, 6183.Smp_131050.1
OG0000185	NP_010530.1, NP_013731.1	6183.Smp_094950.1, 6183.Smp_094980.1, 6183.Smp_128560.1
OG0000186	NP_010411.1, NP_014073.1	6183.Smp_073070.1, 6183.Smp_146700.1, 6183.Smp_201760.1
OG0000187	NP_010625.1, NP_011897.1	6183.Smp_135490.1, 6183.Smp_151290.1, 6183.Smp_162110.1
OG0000188	NP_010656.1, NP_011972.1, NP_014763.1	6183.Smp_053220.1, 6183.Smp_150700.1
OG0000189	NP_009944.2, NP_012278.3, NP_013113.1, NP_013856.1, NP_015304.1	
OG0000190	NP_012959.1	6183.Smp_018590.1, 6183.Smp_080030.1, 6183.Smp_159560.1, 6183.Smp_175500.1
OG0000191	NP_116578.3	6183.Smp_055850.1, 6183.Smp_123980.1, 6183.Smp_123990.1, 6183.Smp_163830.1
OG0000192	NP_009803.3, NP_012303.1, NP_012899.3	6183.Smp_058690.1, 6183.Smp_058700.1
OG0000193	NP_010980.1, NP_011381.1, NP_012214.3, NP_014642.1, NP_015105.1	
