Orthogroup	kog_cerevisiae_pos_go	kog_droso_pos_go	kog_elegans_pos_go	protein_mansoni
OG0000174		NP_610287.2	NP_495478.1, NP_504031.1, NP_504032.1	6183.Smp_049730.2, 6183.Smp_101370.1, 6183.Smp_168850.1, 6183.Smp_170540.1, 6183.Smp_188270.1
OG0000175			NP_492969.2, NP_496017.1, NP_496022.1, NP_496025.2, NP_496123.1, NP_496130.2, NP_503375.2, NP_506728.2, NP_506771.3	
OG0000176			NP_504350.1, NP_504351.1, NP_504352.2, NP_504413.1, NP_504417.2, NP_504418.1, NP_505373.1, NP_505684.2, NP_508632.2	
OG0000177			NP_490688.1, NP_497609.1, NP_504397.1, NP_504398.1, NP_504400.1, NP_504407.1, NP_504621.1, NP_504691.2, NP_504692.3	
OG0000178			NP_507519.2	6183.Smp_020840.1, 6183.Smp_036470.1, 6183.Smp_134980.1, 6183.Smp_134990.1, 6183.Smp_135010.1, 6183.Smp_135020.1, 6183.Smp_141800.1, 6183.Smp_145560.1
OG0000179			NP_500114.3, NP_503328.2, NP_503435.1, NP_504139.1, NP_506438.2, NP_506798.1, NP_507272.2, NP_507334.1, NP_507649.2	
OG0000180			NP_498776.1, NP_499252.2, NP_499316.1, NP_501667.1, NP_501668.1, NP_505354.1, NP_505355.1, NP_506585.1, NP_506586.1	
OG0000181			NP_494951.3, NP_498637.3, NP_501567.1, NP_501715.1, NP_502839.3, NP_505841.2, NP_506308.3, NP_507870.2, NP_508810.2	
OG0000182			NP_493188.2, NP_494385.1, NP_502932.1, NP_503021.2, NP_507659.1, NP_507660.2, NP_507661.2, NP_507665.2, NP_507666.2	
OG0000183				6183.Smp_001000.1, 6183.Smp_031300.1, 6183.Smp_043120.1, 6183.Smp_076400.1, 6183.Smp_097930.1, 6183.Smp_136890.1, 6183.Smp_200240.1, 6183.Smp_202690.1, 6183.Smp_205720.1
OG0000184				6183.Smp_002500.1, 6183.Smp_109090.1, 6183.Smp_112480.1, 6183.Smp_112910.1, 6183.Smp_157780.1, 6183.Smp_164700.1, 6183.Smp_167840.1, 6183.Smp_177890.1, 6183.Smp_178330.1
OG0000185				6183.Smp_012460.1, 6183.Smp_015480.1, 6183.Smp_020480.1, 6183.Smp_080620.1, 6183.Smp_084440.1, 6183.Smp_084450.1, 6183.Smp_130620.1, 6183.Smp_146440.1, 6183.Smp_170260.1
OG0000186				6183.Smp_027830.1, 6183.Smp_110560.1, 6183.Smp_118350.1, 6183.Smp_137240.1, 6183.Smp_168420.1, 6183.Smp_191640.1, 6183.Smp_193320.1, 6183.Smp_193570.1, 6183.Smp_193580.1
OG0000187				6183.Smp_033380.1, 6183.Smp_119260.1, 6183.Smp_121200.1, 6183.Smp_121230.1, 6183.Smp_121240.1, 6183.Smp_166690.1, 6183.Smp_166710.1, 6183.Smp_166720.1, 6183.Smp_166730.1
OG0000188				6183.Smp_052630.1, 6183.Smp_083980.1, 6183.Smp_093210.1, 6183.Smp_124040.1, 6183.Smp_144110.1, 6183.Smp_162680.1, 6183.Smp_170810.1, 6183.Smp_178830.1, 6183.Smp_180260.1
OG0000189				6183.Smp_084330.1, 6183.Smp_104170.1, 6183.Smp_117880.1, 6183.Smp_124900.1, 6183.Smp_144740.1, 6183.Smp_147200.1, 6183.Smp_154120.1, 6183.Smp_159900.1, 6183.Smp_179400.1
OG0000190				6183.Smp_117000.1, 6183.Smp_120390.1, 6183.Smp_185340.1, 6183.Smp_200510.1, 6183.Smp_200620.1, 6183.Smp_203100.1, 6183.Smp_203380.1, 6183.Smp_204620.1, 6183.Smp_204630.1
OG0000191				6183.Smp_185420.1, 6183.Smp_200230.1, 6183.Smp_200760.1, 6183.Smp_200960.1, 6183.Smp_201680.1, 6183.Smp_204180.1, 6183.Smp_205320.1, 6183.Smp_205660.1, 6183.Smp_205790.1
OG0000192	NP_010294.1, NP_010694.1, NP_012252.1, NP_014468.3, NP_014654.1, NP_014796.3, NP_014973.1, NP_015267.1			
OG0000193	NP_009396.2, NP_011029.3	NP_524063.1, NP_524356.1	NP_492485.1, NP_496509.1, NP_503068.1	6183.Smp_106930.1
OG0000194	NP_011310.1	NP_523802.1, NP_523803.1	NP_493262.2, NP_493263.1, NP_493264.1, NP_500943.1, NP_510603.2	
OG0000195	NP_014210.1	NP_477041.1, NP_524167.1	NP_491824.1, NP_501227.1	6183.Smp_051210.1, 6183.Smp_168490.1, 6183.Smp_174910.1
OG0000196	NP_013048.1, NP_015518.1	NP_476837.1, NP_611810.1, NP_611813.1	NP_505512.3, NP_505691.2	6183.Smp_128110.1
OG0000197	NP_013057.1		NP_495510.1, NP_502044.1	6183.Smp_005720.1, 6183.Smp_005740.1, 6183.Smp_125200.1, 6183.Smp_125210.1, 6183.Smp_125220.1
OG0000198	NP_009562.1, NP_009599.2, NP_011654.1, NP_011914.1, NP_013072.1, NP_014453.3, NP_014916.1, NP_015482.1			
OG0000199	NP_009891.1, NP_010007.1, NP_012904.3	NP_524984.1	NP_497749.1, NP_510394.1	6183.Smp_046750.1, 6183.Smp_076180.1
OG0000200	NP_013297.1	NP_610623.1	NP_502541.2, NP_506171.2	6183.Smp_015390.1, 6183.Smp_145610.1, 6183.Smp_145840.1, 6183.Smp_178480.1
OG0000201	NP_014855.3	NP_525090.1	NP_492072.2	6183.Smp_010230.1, 6183.Smp_063640.1, 6183.Smp_075130.1, 6183.Smp_094480.1, 6183.Smp_158700.1
OG0000202	NP_009638.1, NP_010344.1	NP_477137.1	NP_502065.1	6183.Smp_055920.1, 6183.Smp_067980.4, 6183.Smp_067990.4, 6183.Smp_068000.1
OG0000203	NP_009858.3, NP_011803.3, NP_011808.3, NP_012096.1, NP_012319.1, NP_014485.1	NP_476628.2	NP_503064.2	
OG0000204	NP_015390.1	NP_524066.1, NP_524735.1	NP_510439.1	6183.Smp_155690.1, 6183.Smp_161600.1, 6183.Smp_179780.1, 6183.Smp_180820.1
OG0000205	NP_009410.1	NP_572415.1	NP_491914.1, NP_510080.2	6183.Smp_097940.1, 6183.Smp_166540.1, 6183.Smp_176970.1, 6183.Smp_177920.1
OG0000206	NP_012371.2, NP_012755.1, NP_015121.1	NP_476977.1	NP_508671.2	6183.Smp_152330.1, 6183.Smp_164380.1, 6183.Smp_194610.1
OG0000207	NP_009537.1, NP_011554.3, NP_013214.1	NP_477163.1, NP_477361.1	NP_501365.1	6183.Smp_047900.1, 6183.Smp_142050.1
OG0000208	NP_116614.1	NP_511052.1	NP_499809.1, NP_508841.1	6183.Smp_046600.1, 6183.Smp_161920.1, 6183.Smp_183710.1, 6183.Smp_202970.1
OG0000209	NP_009372.1, NP_013194.2, NP_014972.3	NP_523680.1	NP_506093.2	6183.Smp_006720.2, 6183.Smp_102160.1, 6183.Smp_123870.1
OG0000210	NP_009532.1, NP_010685.1	NP_609736.1	NP_493740.1, NP_498421.1	6183.Smp_149540.1, 6183.Smp_154340.1, 6183.Smp_198790.1
OG0000211	NP_011913.1, NP_012765.3		NP_493503.2	6183.Smp_091470.1, 6183.Smp_173030.1, 6183.Smp_174530.1, 6183.Smp_174540.1, 6183.Smp_194090.1
OG0000212	NP_014245.1, NP_015120.1	NP_511140.1, NP_524602.1, NP_524941.3	NP_492694.1	6183.Smp_067810.1, 6183.Smp_180400.1
OG0000213	NP_013484.3, NP_014135.1, NP_014168.1		NP_497717.2, NP_505874.1	6183.Smp_129250.1, 6183.Smp_158620.1, 6183.Smp_199900.1
OG0000214	NP_012341.1, NP_013547.3, NP_013646.1	NP_477303.1	NP_491343.1, NP_499347.1	6183.Smp_145740.1, 6183.Smp_180380.1
OG0000215	NP_010710.4, NP_010944.1, NP_011307.1	NP_610460.1	NP_499446.1	6183.Smp_101670.1, 6183.Smp_124310.1, 6183.Smp_170160.1
OG0000216	NP_009564.1		NP_497812.2, NP_505106.1, NP_506164.1, NP_509344.1	6183.Smp_074610.1, 6183.Smp_082240.1, 6183.Smp_089860.1
OG0000217	NP_011400.1		NP_508509.3, NP_510725.1	6183.Smp_001030.1, 6183.Smp_127420.1, 6183.Smp_142030.1, 6183.Smp_144700.1, 6183.Smp_212370.1
OG0000218	NP_010744.3		NP_495614.4, NP_509830.2, NP_510622.3	6183.Smp_045680.1, 6183.Smp_146740.1, 6183.Smp_146750.1, 6183.Smp_167210.1
OG0000219	NP_015012.3	NP_476643.1	NP_491282.1, NP_492849.3, NP_493713.2	6183.Smp_078690.1, 6183.Smp_086330.1, 6183.Smp_126480.1
OG0000220	NP_014106.1, NP_014529.1	NP_523736.1	NP_495156.1, NP_497310.2	6183.Smp_145170.1, 6183.Smp_165040.1, 6183.Smp_165700.2
OG0000221	NP_009521.1, NP_009792.3	NP_524208.1	NP_497351.3	6183.Smp_005860.1, 6183.Smp_065580.3, 6183.Smp_132270.1, 6183.Smp_155850.1
OG0000222	NP_014094.1	NP_523722.1, NP_610824.1	NP_501350.3, NP_505501.1	6183.Smp_150500.1, 6183.Smp_181470.1, 6183.Smp_210790.1
OG0000223	NP_012074.3	NP_569959.1	NP_501802.2, NP_506018.1, NP_509671.3	6183.Smp_100120.1, 6183.Smp_143170.1, 6183.Smp_174470.1
OG0000224	NP_012553.3		NP_493374.2, NP_495072.2, NP_495075.1, NP_495079.1, NP_504301.1, NP_508159.2	6183.Smp_150820.1
OG0000225	NP_009379.2, NP_010188.1, NP_011715.1, NP_012677.1, NP_014966.1	NP_569858.1	NP_491320.1	6183.Smp_199700.1
OG0000226	NP_014161.1	NP_477318.1, NP_524885.1	NP_492974.2, NP_493594.1	6183.Smp_077980.1, 6183.Smp_144080.1, 6183.Smp_160240.1
OG0000227		NP_609040.1	NP_491886.2, NP_491942.1, NP_493832.1, NP_495066.2, NP_495142.1, NP_500720.1, NP_510789.1	
OG0000228		NP_569972.1	NP_508493.1	6183.Smp_013840.2, 6183.Smp_040190.1, 6183.Smp_057360.1, 6183.Smp_162010.1, 6183.Smp_169900.2, 6183.Smp_194640.1
OG0000229		NP_612031.3	NP_497732.1	6183.Smp_018670.1, 6183.Smp_024070.1, 6183.Smp_129640.1, 6183.Smp_132370.1, 6183.Smp_169390.1, 6183.Smp_196300.1
OG0000230		NP_476604.1	NP_498109.1	6183.Smp_045490.1, 6183.Smp_045500.1, 6183.Smp_045550.1, 6183.Smp_045560.1, 6183.Smp_146690.1, 6183.Smp_207040.1
OG0000231		NP_523610.2, NP_608557.4	NP_492017.3, NP_498887.2, NP_502564.2, NP_505244.1	6183.Smp_147430.1, 6183.Smp_153780.1
OG0000232		NP_476882.1, NP_476883.1, NP_536788.2	NP_498552.2, NP_509032.1	6183.Smp_049160.1, 6183.Smp_152210.1, 6183.Smp_158490.1
OG0000233		NP_524873.1	NP_491198.1, NP_504944.2	6183.Smp_047640.1, 6183.Smp_047650.1, 6183.Smp_047660.1, 6183.Smp_047680.1, 6183.Smp_087760.1
OG0000234		NP_477507.1, NP_611244.1	NP_490875.1, NP_491197.3, NP_493582.3	6183.Smp_130160.1, 6183.Smp_158550.1, 6183.Smp_159050.1
OG0000235		NP_476709.1, NP_572582.1, NP_609374.1, NP_609640.1, NP_609840.1, NP_610402.1, NP_610403.1		6183.Smp_129230.1
OG0000236		NP_477393.1, NP_608899.1	NP_491936.3, NP_495338.1	6183.Smp_005230.2, 6183.Smp_103740.1, 6183.Smp_147680.1, 6183.Smp_158150.1
OG0000237		NP_476923.1, NP_523599.1, NP_524511.1, NP_524513.1, NP_525094.1, NP_536753.1	NP_500281.1	6183.Smp_152190.1
OG0000238			NP_501657.1, NP_503516.1, NP_503857.2, NP_504578.1, NP_504579.1, NP_504589.1, NP_505014.1, NP_505015.1	
OG0000239			NP_491434.1, NP_495146.1, NP_497104.2, NP_499807.1, NP_500774.1, NP_502242.2, NP_506565.2, NP_506928.1	
OG0000240			NP_493669.2, NP_494540.1, NP_494777.1, NP_495768.1, NP_505188.3, NP_509834.1	6183.Smp_123650.1, 6183.Smp_123660.1
OG0000241			NP_493642.1, NP_493662.1, NP_494428.1, NP_497097.1	6183.Smp_004190.1, 6183.Smp_123010.1, 6183.Smp_176930.1, 6183.Smp_176940.1
OG0000242			NP_494662.1, NP_501128.2, NP_502902.1, NP_503042.1, NP_503043.1, NP_503044.1, NP_504220.4, NP_504221.1	
OG0000243			NP_506031.1	6183.Smp_089270.1, 6183.Smp_089290.1, 6183.Smp_170830.1, 6183.Smp_170840.1, 6183.Smp_179250.1, 6183.Smp_179260.1, 6183.Smp_186710.1
OG0000244			NP_492564.2, NP_494757.1, NP_496200.1, NP_500478.1, NP_500578.2, NP_503440.2, NP_503892.1, NP_503954.2	
OG0000245			NP_492035.1, NP_497975.1, NP_502115.1, NP_502116.2, NP_505635.1, NP_505646.1, NP_505647.1, NP_509692.1	
OG0000246			NP_494297.1, NP_494531.2, NP_494532.2, NP_494537.1, NP_494679.2, NP_503004.2, NP_503005.3, NP_509156.2	
OG0000247			NP_502905.2, NP_504154.5, NP_510023.2, NP_510024.2, NP_510025.2, NP_510027.2, NP_510028.2, NP_510029.3	
OG0000248			NP_490753.1, NP_492385.2, NP_495252.1, NP_496440.1, NP_503563.1, NP_506028.2, NP_506029.2, NP_510636.2	
OG0000249				6183.Smp_003600.1, 6183.Smp_003610.2, 6183.Smp_035550.1, 6183.Smp_035560.2, 6183.Smp_083240.1, 6183.Smp_167270.1, 6183.Smp_167280.1, 6183.Smp_188200.1
OG0000250				6183.Smp_006510.1, 6183.Smp_006520.1, 6183.Smp_056680.2, 6183.Smp_112090.1, 6183.Smp_119130.1, 6183.Smp_141450.1, 6183.Smp_185150.1, 6183.Smp_185190.1
OG0000251				6183.Smp_018800.1, 6183.Smp_132470.1, 6183.Smp_132480.1, 6183.Smp_136720.1, 6183.Smp_136830.2, 6183.Smp_136840.1, 6183.Smp_197470.1, 6183.Smp_205390.1
OG0000252				6183.Smp_059530.2, 6183.Smp_099770.1, 6183.Smp_131840.1, 6183.Smp_154180.1, 6183.Smp_154190.1, 6183.Smp_194960.1, 6183.Smp_194970.1, 6183.Smp_194980.1
OG0000253				6183.Smp_124870.1, 6183.Smp_177520.1, 6183.Smp_182880.1, 6183.Smp_185930.1, 6183.Smp_189050.1, 6183.Smp_190740.1, 6183.Smp_192890.1, 6183.Smp_196830.1
OG0000254	NP_011004.3, NP_012191.1, NP_014125.1	NP_609496.1, NP_610063.4	NP_496868.1	6183.Smp_211270.1
OG0000255	NP_010948.1, NP_011305.1	NP_477170.1	NP_490675.1	6183.Smp_005670.1, 6183.Smp_173990.1, 6183.Smp_190370.1
OG0000256	NP_009771.3, NP_014382.1		NP_495120.1, NP_495121.1, NP_496718.1	6183.Smp_079290.1, 6183.Smp_166190.1
OG0000257	NP_009376.2		NP_499363.3	6183.Smp_104500.1, 6183.Smp_163820.1, 6183.Smp_175790.1, 6183.Smp_181230.1, 6183.Smp_192080.1
OG0000258	NP_010127.1, NP_014551.1	NP_523565.2	NP_491202.1, NP_502531.1	6183.Smp_153710.1, 6183.Smp_199070.1
OG0000259	NP_009852.3, NP_009864.1, NP_010404.1, NP_011740.3, NP_013031.3, NP_013806.1, NP_015524.1			
OG0000260	NP_010988.1, NP_012218.1, NP_116585.1	NP_523922.1	NP_506421.1	6183.Smp_030320.1, 6183.Smp_047540.1
OG0000261	NP_009984.1	NP_569954.1	NP_491653.2	6183.Smp_049520.1, 6183.Smp_122890.1, 6183.Smp_126910.1, 6183.Smp_165460.1
OG0000262	NP_011932.2	NP_476927.1	NP_490891.2	6183.Smp_090440.1, 6183.Smp_123410.2, 6183.Smp_146340.1, 6183.Smp_157660.1
OG0000263	NP_015234.1, NP_015308.1, NP_116635.1	NP_524216.1	NP_505112.1	6183.Smp_046740.1, 6183.Smp_048430.1
OG0000264	NP_009718.3	NP_476797.1, NP_477080.1, NP_524420.1	NP_499783.1	6183.Smp_073340.1, 6183.Smp_080730.1
OG0000265	NP_011708.3, NP_012483.3	NP_525108.2	NP_496192.1, NP_496237.1, NP_508534.3	6183.Smp_056970.1
OG0000266	NP_010780.1, NP_014540.1, NP_014641.2		NP_498148.2	6183.Smp_045410.1, 6183.Smp_045420.1, 6183.Smp_057130.1
OG0000267	NP_012802.1, NP_013452.1	NP_610933.1	NP_493694.2, NP_509133.1	6183.Smp_004080.1, 6183.Smp_121160.1
OG0000268	NP_015148.1	NP_523360.1, NP_608502.1	NP_509101.4, NP_510060.1	6183.Smp_126030.1, 6183.Smp_174150.1
OG0000269	NP_010384.3, NP_011104.3		NP_502236.1, NP_509939.1	6183.Smp_009760.1, 6183.Smp_009780.2, 6183.Smp_034840.2
OG0000270	NP_010741.1, NP_013684.1	NP_477510.1, NP_525002.1		6183.Smp_004470.1, 6183.Smp_059480.1, 6183.Smp_062900.1
OG0000271	NP_010383.4, NP_011101.3, NP_015266.1	NP_609641.1	NP_499610.1	6183.Smp_006550.1, 6183.Smp_212580.2
OG0000272	NP_009359.1, NP_014315.1	NP_477322.1, NP_611965.2	NP_491367.3	6183.Smp_135790.1, 6183.Smp_171650.1
OG0000273	NP_012644.1	NP_523489.1	NP_491531.2, NP_499753.1, NP_504038.1	6183.Smp_083540.1, 6183.Smp_180520.1
OG0000274	NP_014124.1		NP_495228.1, NP_509936.3	6183.Smp_127940.1, 6183.Smp_136030.1, 6183.Smp_180950.1, 6183.Smp_180960.1
OG0000275	NP_013290.1	NP_523607.2, NP_524686.3, NP_525008.2, NP_609909.1, NP_609910.1	NP_509182.1	
OG0000276	NP_009824.2, NP_013530.1		NP_492563.1, NP_505915.1, NP_509294.1	6183.Smp_000190.1, 6183.Smp_141720.1
OG0000277	NP_011671.3	NP_608424.1	NP_497008.1, NP_503547.1, NP_503549.1, NP_504046.1	6183.Smp_125070.2
OG0000278	NP_010411.1, NP_013347.1		NP_493007.2	6183.Smp_073070.1, 6183.Smp_135770.1, 6183.Smp_146700.1, 6183.Smp_201760.1
OG0000279	NP_015171.1	NP_525030.1, NP_609235.1, NP_609458.1	NP_510191.1	6183.Smp_013040.2, 6183.Smp_136730.1
OG0000280	NP_012106.1, NP_015297.1	NP_523528.1, NP_612094.2	NP_495455.2, NP_495456.1	6183.Smp_197330.1
OG0000281	NP_010276.3, NP_014508.1	NP_569852.1	NP_491849.1, NP_497937.1, NP_505496.1	6183.Smp_028430.1
OG0000282	NP_009803.3, NP_012303.1, NP_012899.3		NP_492598.1	6183.Smp_058690.1, 6183.Smp_058700.1, 6183.Smp_124360.1
OG0000283	NP_010729.3, NP_013690.1	NP_476637.1	NP_491663.1	6183.Smp_054360.1, 6183.Smp_054410.1, 6183.Smp_151260.1
OG0000284	NP_015353.1	NP_611831.2	NP_491033.1, NP_499756.3, NP_499990.1	6183.Smp_010370.1, 6183.Smp_099890.1
OG0000285	NP_009961.2		NP_510030.2	6183.Smp_135870.1, 6183.Smp_153840.1, 6183.Smp_161670.1, 6183.Smp_162930.1, 6183.Smp_210760.1
OG0000286	NP_012942.3	NP_477374.1, NP_523399.1	NP_491748.1, NP_491749.2	6183.Smp_130600.1, 6183.Smp_150890.1
OG0000287	NP_010354.3, NP_013950.1	NP_524140.2	NP_493434.3	6183.Smp_074400.1, 6183.Smp_139020.1, 6183.Smp_152000.1
OG0000288	NP_010996.2, NP_015019.1	NP_609285.1	NP_498081.2, NP_503467.2	6183.Smp_022960.1, 6183.Smp_050390.1
OG0000289	NP_009855.1		NP_496646.2, NP_504823.2, NP_505371.2, NP_505491.1	6183.Smp_094660.1, 6183.Smp_116290.1
OG0000290	NP_009957.1, NP_011579.1, NP_011776.1, NP_012100.1, NP_012686.3, NP_013045.1, NP_014480.1			
OG0000291	NP_009981.1, NP_014420.1		NP_491329.2, NP_499250.1, NP_505890.1	6183.Smp_134330.1, 6183.Smp_199640.1
OG0000292	NP_009955.2, NP_010900.1		NP_501023.3	6183.Smp_084890.1, 6183.Smp_104270.1, 6183.Smp_153340.1, 6183.Smp_153390.2
OG0000293	NP_010262.1, NP_014582.1	NP_476565.1, NP_611760.2	NP_493454.1, NP_499188.2	6183.Smp_030500.1
OG0000294	NP_010045.1	NP_611656.2	NP_500857.2, NP_504509.1, NP_504511.1, NP_504512.1	6183.Smp_030220.1
OG0000295	NP_014548.1	NP_608464.1, NP_611335.1	NP_491647.3, NP_501789.1	6183.Smp_181090.1, 6183.Smp_211190.1
OG0000296	NP_009963.1, NP_012339.1, NP_013476.3		NP_497086.1, NP_500797.1, NP_501689.1, NP_503114.1	
OG0000297	NP_012901.3	NP_524038.1	NP_509786.2, NP_510236.1	6183.Smp_043620.1, 6183.Smp_071390.1, 6183.Smp_194530.1
OG0000298	NP_009504.1	NP_572609.1, NP_572882.1	NP_497796.1	6183.Smp_152180.1, 6183.Smp_171850.1, 6183.Smp_200020.1
OG0000299	NP_010451.3	NP_477418.1, NP_477463.1	NP_504260.1, NP_504261.1	6183.Smp_130430.1, 6183.Smp_205840.1
OG0000300	NP_009778.3, NP_009779.3		NP_495969.2, NP_495970.1	6183.Smp_076950.1, 6183.Smp_159740.1, 6183.Smp_159760.1
OG0000301	NP_015198.1		NP_491678.1, NP_506680.1, NP_509375.1, NP_510410.1	6183.Smp_003770.1, 6183.Smp_162370.1
OG0000302	NP_014079.1	NP_477372.1	NP_490914.3, NP_492210.2, NP_496938.2	6183.Smp_027000.1, 6183.Smp_038830.1
OG0000303	NP_010410.3, NP_011625.3, NP_013200.1		NP_492685.2, NP_504297.1, NP_504299.2	6183.Smp_145880.1
OG0000304		NP_476713.1	NP_503402.3	6183.Smp_136440.1, 6183.Smp_146620.1, 6183.Smp_148670.1, 6183.Smp_152350.1, 6183.Smp_161140.1
OG0000305		NP_511090.1, NP_523575.1, NP_523649.5	NP_501339.2	6183.Smp_001900.1, 6183.Smp_121960.1, 6183.Smp_148020.1
OG0000306		NP_476652.1, NP_477127.1, NP_611963.5	NP_510817.3, NP_510818.3	6183.Smp_045790.1, 6183.Smp_068300.1
OG0000307		NP_477449.1, NP_611070.1	NP_491702.1, NP_492960.1, NP_492961.1	6183.Smp_038340.1, 6183.Smp_094130.1
OG0000308		NP_608334.3	NP_498281.2	6183.Smp_000150.1, 6183.Smp_123390.1, 6183.Smp_131320.1, 6183.Smp_131550.1, 6183.Smp_137110.1
OG0000309		NP_523735.2, NP_611221.1, NP_620470.1	NP_505215.2, NP_509408.1	6183.Smp_034410.1, 6183.Smp_210500.1
OG0000310		NP_477306.3, NP_523772.1	NP_492143.1, NP_501390.1	6183.Smp_006320.1, 6183.Smp_149420.1, 6183.Smp_171860.1
OG0000311		NP_477000.1	NP_495271.1, NP_498211.1	6183.Smp_049760.1, 6183.Smp_080120.2, 6183.Smp_093540.3, 6183.Smp_144390.1
OG0000312		NP_608873.1, NP_611462.1	NP_499276.1	6183.Smp_048040.1, 6183.Smp_096520.1, 6183.Smp_129060.1, 6183.Smp_175010.1
OG0000313		NP_524449.1	NP_502312.2	6183.Smp_128580.1, 6183.Smp_130280.1, 6183.Smp_159570.1, 6183.Smp_180760.1, 6183.Smp_211020.1
OG0000314		NP_523380.2	NP_510124.2	6183.Smp_062760.1, 6183.Smp_069400.1, 6183.Smp_123050.1, 6183.Smp_138430.1, 6183.Smp_210800.1
OG0000315		NP_523827.1, NP_523994.1, NP_523997.1, NP_523998.1, NP_523999.1, NP_524000.1, NP_608326.1		
OG0000316		NP_524245.3	NP_501071.1, NP_502162.1, NP_509725.2	6183.Smp_018690.1, 6183.Smp_118040.1, 6183.Smp_132410.1
OG0000317		NP_477012.1	NP_493910.2, NP_499043.1, NP_505873.2	6183.Smp_078930.1, 6183.Smp_143800.1, 6183.Smp_160360.1
OG0000318		NP_524917.1	NP_493911.1, NP_497612.2, NP_505167.2, NP_505983.2, NP_509828.2	6183.Smp_123670.1
OG0000319		NP_476633.1, NP_524547.1	NP_491862.1, NP_496197.2, NP_498972.1, NP_503446.1	6183.Smp_152200.1
OG0000320		NP_524428.1, NP_524549.1	NP_495138.2, NP_510466.1	6183.Smp_138230.1, 6183.Smp_143190.1, 6183.Smp_163870.1
OG0000321		NP_477344.1, NP_477446.1, NP_524124.1	NP_500236.1, NP_505401.2, NP_508410.2	6183.Smp_082290.1
OG0000322			NP_495043.1, NP_508818.1, NP_508864.2	6183.Smp_033010.1, 6183.Smp_096390.1, 6183.Smp_096410.2, 6183.Smp_134470.1
OG0000323			NP_493966.1	6183.Smp_080070.1, 6183.Smp_180630.1, 6183.Smp_184340.1, 6183.Smp_186830.1, 6183.Smp_199440.1, 6183.Smp_209080.1
OG0000324			NP_493125.2, NP_493130.2, NP_493314.1, NP_493857.2, NP_495371.2, NP_496054.1, NP_503076.1	
OG0000325			NP_507777.2, NP_507778.3, NP_507779.2, NP_507782.2, NP_507785.1, NP_507786.3, NP_507787.2	
OG0000326			NP_498645.1	6183.Smp_121070.1, 6183.Smp_127710.1, 6183.Smp_172940.1, 6183.Smp_174500.1, 6183.Smp_178290.1, 6183.Smp_181330.1
OG0000327			NP_490681.2, NP_491627.2, NP_498742.1, NP_505632.1, NP_505633.1, NP_510825.1	6183.Smp_044550.8
OG0000328			NP_502805.1, NP_502930.1, NP_502949.1, NP_503017.1, NP_503019.1, NP_503020.1, NP_510397.1	
OG0000329			NP_493088.2, NP_493113.1, NP_493115.1, NP_493116.2, NP_493124.1, NP_493136.2, NP_506737.1	
OG0000330			NP_495159.2, NP_495858.1, NP_496535.1, NP_498086.1, NP_501756.2, NP_505981.1, NP_506061.1	
OG0000331			NP_496604.1, NP_496813.1, NP_506110.1, NP_506113.1, NP_506114.1, NP_506115.2, NP_506986.1	
OG0000332				6183.Smp_027940.1, 6183.Smp_137300.1, 6183.Smp_137310.1, 6183.Smp_137320.1, 6183.Smp_178420.1, 6183.Smp_180140.1, 6183.Smp_204580.1
OG0000333				6183.Smp_041460.1, 6183.Smp_140000.1, 6183.Smp_140130.1, 6183.Smp_140140.1, 6183.Smp_152990.1, 6183.Smp_155310.1, 6183.Smp_201720.1
OG0000334				6183.Smp_041550.1, 6183.Smp_046630.1, 6183.Smp_074590.1, 6183.Smp_141500.2, 6183.Smp_147160.1, 6183.Smp_201730.1, 6183.Smp_205580.1
OG0000335				6183.Smp_047850.1, 6183.Smp_089730.1, 6183.Smp_147340.1, 6183.Smp_147740.1, 6183.Smp_154130.1, 6183.Smp_171110.1, 6183.Smp_173160.1
OG0000336				6183.Smp_067060.1, 6183.Smp_085180.1, 6183.Smp_103610.1, 6183.Smp_105370.1, 6183.Smp_158410.1, 6183.Smp_158420.1, 6183.Smp_179950.1
OG0000337				6183.Smp_086130.1, 6183.Smp_162500.1, 6183.Smp_162510.1, 6183.Smp_168980.1, 6183.Smp_168990.1, 6183.Smp_169010.1, 6183.Smp_192570.1
OG0000338				6183.Smp_125290.1, 6183.Smp_133840.1, 6183.Smp_139090.1, 6183.Smp_149310.1, 6183.Smp_158820.1, 6183.Smp_201750.1, 6183.Smp_203980.1
OG0000339	NP_009703.3, NP_013800.1, NP_014032.1, NP_014555.1		NP_505991.1, NP_505992.1	
OG0000340	NP_009667.1	NP_476988.1, NP_523710.1	NP_495906.2, NP_503386.1	6183.Smp_026560.2
OG0000341	NP_014626.1, NP_116669.1	NP_524622.1	NP_500139.1	6183.Smp_011660.1, 6183.Smp_065290.1
OG0000342	NP_012731.1	NP_524741.1	NP_497601.1, NP_503830.2	6183.Smp_026420.1, 6183.Smp_064950.1
OG0000343	NP_013875.1		NP_493327.2, NP_497460.2, NP_497964.1, NP_502751.1	6183.Smp_083530.1
OG0000344	NP_013025.3, NP_013940.1	NP_511170.1	NP_492303.1, NP_492411.1	6183.Smp_129320.1
OG0000345	NP_010089.1, NP_010144.1	NP_476955.1, NP_524631.1	NP_501336.1	6183.Smp_088650.1
OG0000346	NP_014931.3	NP_609792.1	NP_499613.1, NP_500961.2, NP_509190.1	6183.Smp_172110.1
