Orthogroup	kog_droso_pos_go	protein_mansoni
OG0000071		6183.Smp_009430.1, 6183.Smp_084570.1, 6183.Smp_102190.1, 6183.Smp_117920.1, 6183.Smp_131430.1, 6183.Smp_168550.1, 6183.Smp_168560.1, 6183.Smp_178940.1
OG0000072		6183.Smp_018800.1, 6183.Smp_132470.1, 6183.Smp_132480.1, 6183.Smp_136720.1, 6183.Smp_136830.2, 6183.Smp_136840.1, 6183.Smp_197470.1, 6183.Smp_205390.1
OG0000073		6183.Smp_020840.1, 6183.Smp_036470.1, 6183.Smp_134980.1, 6183.Smp_134990.1, 6183.Smp_135010.1, 6183.Smp_135020.1, 6183.Smp_141800.1, 6183.Smp_145560.1
OG0000074		6183.Smp_022020.1, 6183.Smp_038990.1, 6183.Smp_049630.1, 6183.Smp_120980.1, 6183.Smp_128970.1, 6183.Smp_154450.1, 6183.Smp_156290.1, 6183.Smp_160140.1
OG0000075		6183.Smp_026440.1, 6183.Smp_081790.1, 6183.Smp_092750.1, 6183.Smp_098740.1, 6183.Smp_146210.1, 6183.Smp_153530.1, 6183.Smp_168270.1, 6183.Smp_203450.1
OG0000076		6183.Smp_026880.1, 6183.Smp_040020.1, 6183.Smp_074610.1, 6183.Smp_082240.1, 6183.Smp_089860.1, 6183.Smp_150540.1, 6183.Smp_169450.1, 6183.Smp_177140.1
OG0000077		6183.Smp_055240.1, 6183.Smp_131600.1, 6183.Smp_148300.1, 6183.Smp_151540.1, 6183.Smp_156970.1, 6183.Smp_162610.1, 6183.Smp_176540.1, 6183.Smp_192490.1
OG0000078		6183.Smp_059530.2, 6183.Smp_099770.1, 6183.Smp_131840.1, 6183.Smp_154180.1, 6183.Smp_154190.1, 6183.Smp_194960.1, 6183.Smp_194970.1, 6183.Smp_194980.1
OG0000079		6183.Smp_091650.1, 6183.Smp_104500.1, 6183.Smp_159720.1, 6183.Smp_163820.1, 6183.Smp_175790.1, 6183.Smp_175820.1, 6183.Smp_181230.1, 6183.Smp_192080.1
OG0000080		6183.Smp_124870.1, 6183.Smp_177520.1, 6183.Smp_182880.1, 6183.Smp_185930.1, 6183.Smp_189050.1, 6183.Smp_190740.1, 6183.Smp_192890.1, 6183.Smp_196830.1
OG0000081	NP_609603.1	6183.Smp_008260.1, 6183.Smp_100360.1, 6183.Smp_125310.1, 6183.Smp_135200.1, 6183.Smp_155720.1, 6183.Smp_157500.1
OG0000082	NP_476604.1	6183.Smp_045490.1, 6183.Smp_045500.1, 6183.Smp_045550.1, 6183.Smp_045560.1, 6183.Smp_146690.1, 6183.Smp_207040.1
OG0000083	NP_608397.1	6183.Smp_085380.1, 6183.Smp_096320.1, 6183.Smp_122340.1, 6183.Smp_141890.1, 6183.Smp_143070.1, 6183.Smp_158450.2
OG0000084	NP_477122.1	6183.Smp_079270.1, 6183.Smp_087250.1, 6183.Smp_153990.1, 6183.Smp_162180.1, 6183.Smp_162190.1, 6183.Smp_169700.2
OG0000085	NP_524873.1	6183.Smp_047640.1, 6183.Smp_047650.1, 6183.Smp_047660.1, 6183.Smp_047680.1, 6183.Smp_063530.2, 6183.Smp_087760.1
OG0000086	NP_523827.1, NP_523994.1, NP_523997.1, NP_523998.1, NP_523999.1, NP_524000.1, NP_608326.1	
OG0000087	NP_524245.3	6183.Smp_018690.1, 6183.Smp_118040.1, 6183.Smp_132410.1, 6183.Smp_134350.1, 6183.Smp_141880.1, 6183.Smp_170020.1
OG0000088	NP_609755.1, NP_609756.1, NP_609757.1, NP_609758.1, NP_609759.1, NP_609760.1	6183.Smp_047460.1
OG0000089	NP_610946.1	6183.Smp_021370.1, 6183.Smp_056260.1, 6183.Smp_146430.1, 6183.Smp_153110.1, 6183.Smp_210290.1, 6183.Smp_211240.1
OG0000090	NP_476923.1, NP_523599.1, NP_524511.1, NP_524513.1, NP_525094.1, NP_536753.1	6183.Smp_152190.1
OG0000091		6183.Smp_000690.1, 6183.Smp_009040.1, 6183.Smp_090160.1, 6183.Smp_122920.1, 6183.Smp_139940.1, 6183.Smp_145220.1, 6183.Smp_149570.1
OG0000092		6183.Smp_000710.1, 6183.Smp_046430.1, 6183.Smp_089180.1, 6183.Smp_131570.1, 6183.Smp_153690.1, 6183.Smp_196290.1, 6183.Smp_198740.1
OG0000093		6183.Smp_001100.1, 6183.Smp_105020.1, 6183.Smp_128750.1, 6183.Smp_157020.1, 6183.Smp_163920.1, 6183.Smp_167190.1, 6183.Smp_197080.1
OG0000094		6183.Smp_007270.1, 6183.Smp_014780.2, 6183.Smp_018010.1, 6183.Smp_034550.1, 6183.Smp_046130.1, 6183.Smp_161970.1, 6183.Smp_163360.1
OG0000095		6183.Smp_009650.1, 6183.Smp_011100.1, 6183.Smp_061510.1, 6183.Smp_128100.1, 6183.Smp_146010.1, 6183.Smp_155220.1, 6183.Smp_156960.2
OG0000096		6183.Smp_009810.1, 6183.Smp_037720.1, 6183.Smp_127370.1, 6183.Smp_128310.1, 6183.Smp_154670.1, 6183.Smp_154680.1, 6183.Smp_187360.1
OG0000097		6183.Smp_012810.1, 6183.Smp_048560.1, 6183.Smp_140310.1, 6183.Smp_143130.1, 6183.Smp_146200.2, 6183.Smp_157310.1, 6183.Smp_163960.1
OG0000098		6183.Smp_013690.1, 6183.Smp_075810.1, 6183.Smp_087580.1, 6183.Smp_087620.1, 6183.Smp_132370.1, 6183.Smp_150220.2, 6183.Smp_172890.1
OG0000099		6183.Smp_013840.2, 6183.Smp_014170.2, 6183.Smp_162010.1, 6183.Smp_169900.2, 6183.Smp_175140.1, 6183.Smp_194630.1, 6183.Smp_194640.1
OG0000100		6183.Smp_027940.1, 6183.Smp_137300.1, 6183.Smp_137310.1, 6183.Smp_137320.1, 6183.Smp_178420.1, 6183.Smp_180140.1, 6183.Smp_204580.1
OG0000101		6183.Smp_041460.1, 6183.Smp_140000.1, 6183.Smp_140130.1, 6183.Smp_140140.1, 6183.Smp_152990.1, 6183.Smp_155310.1, 6183.Smp_201720.1
OG0000102		6183.Smp_041550.1, 6183.Smp_046630.1, 6183.Smp_074590.1, 6183.Smp_141500.2, 6183.Smp_147160.1, 6183.Smp_201730.1, 6183.Smp_205580.1
OG0000103		6183.Smp_047850.1, 6183.Smp_089730.1, 6183.Smp_147340.1, 6183.Smp_147740.1, 6183.Smp_154130.1, 6183.Smp_171110.1, 6183.Smp_173160.1
OG0000104		6183.Smp_067060.1, 6183.Smp_085180.1, 6183.Smp_103610.1, 6183.Smp_105370.1, 6183.Smp_158410.1, 6183.Smp_158420.1, 6183.Smp_179950.1
OG0000105		6183.Smp_086130.1, 6183.Smp_162500.1, 6183.Smp_162510.1, 6183.Smp_168980.1, 6183.Smp_168990.1, 6183.Smp_169010.1, 6183.Smp_192570.1
OG0000106		6183.Smp_088800.1, 6183.Smp_178380.1, 6183.Smp_179140.1, 6183.Smp_190720.1, 6183.Smp_194140.1, 6183.Smp_194150.1, 6183.Smp_199340.1
OG0000107		6183.Smp_089270.1, 6183.Smp_089290.1, 6183.Smp_170830.1, 6183.Smp_170840.1, 6183.Smp_179250.1, 6183.Smp_179260.1, 6183.Smp_186710.1
OG0000108		6183.Smp_136440.1, 6183.Smp_136450.1, 6183.Smp_146620.1, 6183.Smp_148670.1, 6183.Smp_151810.1, 6183.Smp_152350.1, 6183.Smp_196370.1
OG0000109	NP_476831.1, NP_523740.3	6183.Smp_055780.1, 6183.Smp_089200.1, 6183.Smp_137080.1, 6183.Smp_170820.1
OG0000110	NP_523419.1, NP_523970.1, NP_524172.1, NP_609094.1	6183.Smp_014660.2, 6183.Smp_104670.1
OG0000111	NP_477170.1	6183.Smp_005670.1, 6183.Smp_023550.1, 6183.Smp_134000.1, 6183.Smp_173990.1, 6183.Smp_190370.1
OG0000112	NP_476807.1, NP_476935.1, NP_524520.1, NP_524543.1	6183.Smp_043100.1, 6183.Smp_053940.1
OG0000113	NP_476699.1, NP_477211.1, NP_523917.2, NP_525063.1	6183.Smp_062510.1, 6183.Smp_179910.1
OG0000114	NP_569835.1, NP_569875.2, NP_573109.1, NP_610724.1	6183.Smp_042680.1, 6183.Smp_212250.1
OG0000115	NP_612031.3	6183.Smp_018670.1, 6183.Smp_024070.1, 6183.Smp_129640.1, 6183.Smp_169390.1, 6183.Smp_196300.1
OG0000116	NP_477510.1, NP_525002.1	6183.Smp_004470.1, 6183.Smp_059480.1, 6183.Smp_062900.1, 6183.Smp_093780.1
OG0000117	NP_524074.1, NP_609542.1	6183.Smp_054010.1, 6183.Smp_150990.1, 6183.Smp_151000.1, 6183.Smp_151090.1
OG0000118	NP_476882.1, NP_476883.1, NP_536788.2	6183.Smp_049160.1, 6183.Smp_152210.1, 6183.Smp_158490.1
OG0000119	NP_523776.1, NP_610572.1	6183.Smp_003230.1, 6183.Smp_036990.1, 6183.Smp_122030.1, 6183.Smp_147670.1
OG0000120	NP_569904.1	6183.Smp_005640.1, 6183.Smp_058050.1, 6183.Smp_153400.1, 6183.Smp_180200.1, 6183.Smp_180420.1
OG0000121	NP_524153.1, NP_524805.1, NP_524851.1, NP_524953.1, NP_610245.2, NP_610633.1	
OG0000122	NP_477331.1, NP_523540.1, NP_524667.1, NP_609418.1	6183.Smp_011000.1, 6183.Smp_146180.1
OG0000123	NP_523940.2	6183.Smp_059600.1, 6183.Smp_147440.1, 6183.Smp_154300.1, 6183.Smp_162540.1, 6183.Smp_165950.1
OG0000124	NP_608663.1	6183.Smp_124050.4, 6183.Smp_124060.1, 6183.Smp_124070.1, 6183.Smp_163400.1, 6183.Smp_200460.1
OG0000125	NP_511056.2, NP_523417.2, NP_573160.1, NP_609019.1, NP_609022.1	6183.Smp_159370.1
OG0000126	NP_524406.1	6183.Smp_015630.1, 6183.Smp_096480.1, 6183.Smp_099500.1, 6183.Smp_104890.1, 6183.Smp_176730.1
OG0000127	NP_477413.1	6183.Smp_046180.1, 6183.Smp_122730.1, 6183.Smp_122770.1, 6183.Smp_182200.1, 6183.Smp_186690.1
OG0000128	NP_572740.1	6183.Smp_030650.1, 6183.Smp_138730.1, 6183.Smp_138750.1, 6183.Smp_175120.2, 6183.Smp_212520.1
OG0000129		6183.Smp_007550.1, 6183.Smp_091470.1, 6183.Smp_173030.1, 6183.Smp_174530.1, 6183.Smp_174540.1, 6183.Smp_194090.1
OG0000130		6183.Smp_007770.1, 6183.Smp_082050.1, 6183.Smp_083030.1, 6183.Smp_118220.1, 6183.Smp_159540.1, 6183.Smp_169440.1
OG0000131		6183.Smp_012400.1, 6183.Smp_059290.1, 6183.Smp_081510.1, 6183.Smp_084930.1, 6183.Smp_135160.1, 6183.Smp_138310.1
OG0000132		6183.Smp_016680.1, 6183.Smp_125630.1, 6183.Smp_131260.1, 6183.Smp_142600.1, 6183.Smp_148190.1, 6183.Smp_161600.1
OG0000133		6183.Smp_017890.1, 6183.Smp_127630.1, 6183.Smp_128770.1, 6183.Smp_131830.1, 6183.Smp_152000.1, 6183.Smp_212390.1
OG0000134		6183.Smp_019280.1, 6183.Smp_022100.1, 6183.Smp_030400.1, 6183.Smp_079010.1, 6183.Smp_131050.1, 6183.Smp_147320.1
OG0000135		6183.Smp_037960.1, 6183.Smp_132070.1, 6183.Smp_142690.1, 6183.Smp_142700.1, 6183.Smp_157790.1, 6183.Smp_176310.1
OG0000136		6183.Smp_053300.1, 6183.Smp_053390.1, 6183.Smp_135040.1, 6183.Smp_149590.1, 6183.Smp_149600.1, 6183.Smp_194870.1
OG0000137		6183.Smp_054440.1, 6183.Smp_105540.1, 6183.Smp_126500.1, 6183.Smp_139400.1, 6183.Smp_139470.1, 6183.Smp_144280.1
OG0000138		6183.Smp_057020.1, 6183.Smp_094020.1, 6183.Smp_125330.1, 6183.Smp_127120.1, 6183.Smp_152720.1, 6183.Smp_152770.1
OG0000139		6183.Smp_073820.1, 6183.Smp_095400.1, 6183.Smp_100450.1, 6183.Smp_107750.1, 6183.Smp_108010.1, 6183.Smp_116960.1
OG0000140		6183.Smp_079420.2, 6183.Smp_130400.1, 6183.Smp_139110.1, 6183.Smp_145700.1, 6183.Smp_154020.1, 6183.Smp_198650.1
OG0000141		6183.Smp_080070.1, 6183.Smp_180630.1, 6183.Smp_184340.1, 6183.Smp_186830.1, 6183.Smp_199440.1, 6183.Smp_209080.1
OG0000142		6183.Smp_082250.1, 6183.Smp_125080.1, 6183.Smp_127610.1, 6183.Smp_137760.1, 6183.Smp_167640.1, 6183.Smp_181340.1
OG0000143		6183.Smp_091820.1, 6183.Smp_091840.1, 6183.Smp_131460.1, 6183.Smp_139080.1, 6183.Smp_179490.1, 6183.Smp_188670.1
OG0000144		6183.Smp_108050.1, 6183.Smp_116800.1, 6183.Smp_126240.1, 6183.Smp_157010.1, 6183.Smp_173270.1, 6183.Smp_175050.1
OG0000145		6183.Smp_120050.1, 6183.Smp_155570.1, 6183.Smp_164170.1, 6183.Smp_181910.1, 6183.Smp_187070.1, 6183.Smp_193630.1
OG0000146		6183.Smp_121070.1, 6183.Smp_127710.1, 6183.Smp_172940.1, 6183.Smp_174500.1, 6183.Smp_178290.1, 6183.Smp_181330.1
OG0000147		6183.Smp_128460.1, 6183.Smp_128470.1, 6183.Smp_154360.1, 6183.Smp_172750.1, 6183.Smp_175360.1, 6183.Smp_208060.1
OG0000148		6183.Smp_131330.1, 6183.Smp_131340.1, 6183.Smp_132920.1, 6183.Smp_156810.1, 6183.Smp_158120.1, 6183.Smp_167790.1
OG0000149		6183.Smp_203800.1, 6183.Smp_205860.1, 6183.Smp_205870.1, 6183.Smp_206090.1, 6183.Smp_206110.1, 6183.Smp_206200.1
OG0000150	NP_476988.1, NP_523710.1, NP_609925.1, NP_610336.1	6183.Smp_026560.2
OG0000151	NP_523538.1	6183.Smp_021920.3, 6183.Smp_035210.1, 6183.Smp_046060.1, 6183.Smp_085540.6
OG0000152	NP_610052.1, NP_611451.1	6183.Smp_128690.1, 6183.Smp_132080.1, 6183.Smp_171870.1
OG0000153	NP_610623.1	6183.Smp_015390.1, 6183.Smp_145610.1, 6183.Smp_145840.1, 6183.Smp_178480.1
OG0000154	NP_611804.1	6183.Smp_045620.1, 6183.Smp_049520.1, 6183.Smp_174390.1, 6183.Smp_192670.1
OG0000155	NP_476628.2	6183.Smp_037540.2, 6183.Smp_052510.1, 6183.Smp_142810.1, 6183.Smp_156550.1
OG0000156	NP_476606.1, NP_572505.1	6183.Smp_129480.1, 6183.Smp_129490.1, 6183.Smp_148570.1
OG0000157	NP_523584.1	6183.Smp_010930.1, 6183.Smp_072970.1, 6183.Smp_138680.2, 6183.Smp_152850.1
OG0000158	NP_511090.1, NP_523575.1	6183.Smp_001900.1, 6183.Smp_121960.1, 6183.Smp_148020.1
OG0000159	NP_611912.1	6183.Smp_018680.1, 6183.Smp_056200.1, 6183.Smp_196160.1, 6183.Smp_203680.1
OG0000160	NP_476759.1	6183.Smp_009990.1, 6183.Smp_074030.1, 6183.Smp_093930.2, 6183.Smp_165470.1
OG0000161	NP_477322.1	6183.Smp_135790.1, 6183.Smp_167650.1, 6183.Smp_168370.1, 6183.Smp_176920.1
OG0000162	NP_523610.2, NP_608557.4	6183.Smp_140920.1, 6183.Smp_147430.1, 6183.Smp_153780.1
OG0000163	NP_523607.2, NP_524686.3, NP_525008.2, NP_609909.1, NP_609910.1	
OG0000164	NP_523939.1, NP_610507.1	6183.Smp_080210.1, 6183.Smp_165340.1, 6183.Smp_170200.1
OG0000165	NP_476581.1	6183.Smp_033040.1, 6183.Smp_038950.1, 6183.Smp_038960.1, 6183.Smp_047370.1
OG0000166	NP_573357.1	6183.Smp_003440.1, 6183.Smp_061140.1, 6183.Smp_122810.1, 6183.Smp_196010.1
OG0000167	NP_477081.1, NP_477256.1, NP_477257.2, NP_477258.1, NP_611543.3	
OG0000168	NP_477228.1, NP_608596.1, NP_608598.1	6183.Smp_042390.1, 6183.Smp_178890.1
OG0000169	NP_524451.1	6183.Smp_026630.1, 6183.Smp_078320.1, 6183.Smp_126690.1, 6183.Smp_210570.1
OG0000170	NP_476974.1, NP_477249.3, NP_477462.1, NP_524017.1	6183.Smp_032000.1
OG0000171	NP_477507.1, NP_611244.1	6183.Smp_130160.1, 6183.Smp_158550.1, 6183.Smp_159050.1
OG0000172	NP_476701.1, NP_477096.1, NP_524035.2, NP_524398.1, NP_524407.1	
OG0000173	NP_477012.1	6183.Smp_078930.1, 6183.Smp_143800.1, 6183.Smp_156320.1, 6183.Smp_160360.1
OG0000174	NP_572577.1, NP_608322.1, NP_610836.1	6183.Smp_124340.1, 6183.Smp_162060.1
OG0000175	NP_476879.1, NP_524487.2	6183.Smp_134430.1, 6183.Smp_149230.1, 6183.Smp_202880.1
OG0000176	NP_523771.1, NP_608667.1, NP_611916.1, NP_612110.1	6183.Smp_056780.1
OG0000177	NP_476814.1, NP_477438.1, NP_523797.1, NP_524081.1, NP_524518.1	
OG0000178	NP_572237.1	6183.Smp_152940.1, 6183.Smp_168630.1, 6183.Smp_174870.1, 6183.Smp_179570.1
OG0000179		6183.Smp_000870.1, 6183.Smp_055130.1, 6183.Smp_093740.3, 6183.Smp_132450.2, 6183.Smp_144330.1
OG0000180		6183.Smp_001030.1, 6183.Smp_127420.1, 6183.Smp_142030.1, 6183.Smp_144700.1, 6183.Smp_212370.1
OG0000181		6183.Smp_001070.1, 6183.Smp_023710.1, 6183.Smp_041880.1, 6183.Smp_117340.1, 6183.Smp_134960.1
OG0000182		6183.Smp_002410.1, 6183.Smp_009760.1, 6183.Smp_009780.2, 6183.Smp_034840.2, 6183.Smp_041430.1
OG0000183		6183.Smp_005720.1, 6183.Smp_005740.1, 6183.Smp_125200.1, 6183.Smp_125210.1, 6183.Smp_125220.1
OG0000184		6183.Smp_006860.1, 6183.Smp_022340.1, 6183.Smp_045300.1, 6183.Smp_125480.1, 6183.Smp_166920.1
OG0000185		6183.Smp_013440.1, 6183.Smp_139720.1, 6183.Smp_166790.1, 6183.Smp_167630.1, 6183.Smp_210210.1
OG0000186		6183.Smp_014080.1, 6183.Smp_060210.1, 6183.Smp_060220.1, 6183.Smp_060240.1, 6183.Smp_203810.1
OG0000187		6183.Smp_014410.2, 6183.Smp_014430.1, 6183.Smp_121580.1, 6183.Smp_188810.1, 6183.Smp_194540.1
OG0000188		6183.Smp_018290.1, 6183.Smp_088920.1, 6183.Smp_121780.1, 6183.Smp_165210.1, 6183.Smp_181490.1
OG0000189		6183.Smp_019460.1, 6183.Smp_132790.1, 6183.Smp_132800.1, 6183.Smp_132810.1, 6183.Smp_132830.1
OG0000190		6183.Smp_020550.1, 6183.Smp_146950.1, 6183.Smp_159420.1, 6183.Smp_179370.1, 6183.Smp_208030.1
OG0000191		6183.Smp_028120.1, 6183.Smp_028140.1, 6183.Smp_044920.1, 6183.Smp_067280.1, 6183.Smp_129050.1
OG0000192		6183.Smp_031180.1, 6183.Smp_031190.1, 6183.Smp_160880.1, 6183.Smp_166500.1, 6183.Smp_166530.2
OG0000193		6183.Smp_043920.1, 6183.Smp_158370.1, 6183.Smp_161800.1, 6183.Smp_173320.1, 6183.Smp_210200.1
OG0000194		6183.Smp_048660.1, 6183.Smp_053470.1, 6183.Smp_148990.1, 6183.Smp_161460.1, 6183.Smp_163030.1
OG0000195		6183.Smp_049010.1, 6183.Smp_163680.1, 6183.Smp_163690.1, 6183.Smp_164940.1, 6183.Smp_211220.1
OG0000196		6183.Smp_049280.1, 6183.Smp_153090.1, 6183.Smp_159520.1, 6183.Smp_165970.1, 6183.Smp_170980.1
OG0000197		6183.Smp_051110.1, 6183.Smp_113520.1, 6183.Smp_148170.1, 6183.Smp_189180.2, 6183.Smp_202740.1
OG0000198		6183.Smp_055260.1, 6183.Smp_129900.1, 6183.Smp_129920.1, 6183.Smp_129930.1, 6183.Smp_196680.1
OG0000199		6183.Smp_062080.1, 6183.Smp_062120.1, 6183.Smp_155530.1, 6183.Smp_155550.1, 6183.Smp_155560.1
OG0000200		6183.Smp_062760.1, 6183.Smp_069400.1, 6183.Smp_122870.1, 6183.Smp_123050.1, 6183.Smp_127520.1
OG0000201		6183.Smp_066290.1, 6183.Smp_099800.1, 6183.Smp_099810.1, 6183.Smp_126550.1, 6183.Smp_157980.1
OG0000202		6183.Smp_103570.1, 6183.Smp_139800.1, 6183.Smp_148690.1, 6183.Smp_158560.1, 6183.Smp_171920.1
OG0000203		6183.Smp_111710.1, 6183.Smp_178030.1, 6183.Smp_182990.1, 6183.Smp_185310.1, 6183.Smp_190340.1
OG0000204		6183.Smp_113310.1, 6183.Smp_117620.1, 6183.Smp_201940.1, 6183.Smp_203920.1, 6183.Smp_205780.1
OG0000205		6183.Smp_119580.1, 6183.Smp_134700.1, 6183.Smp_134710.1, 6183.Smp_134720.1, 6183.Smp_149880.1
OG0000206		6183.Smp_123830.1, 6183.Smp_135560.1, 6183.Smp_164590.1, 6183.Smp_196840.1, 6183.Smp_197370.1
OG0000207		6183.Smp_124250.1, 6183.Smp_135500.1, 6183.Smp_146120.1, 6183.Smp_179590.1, 6183.Smp_197150.1
OG0000208		6183.Smp_128640.1, 6183.Smp_146640.1, 6183.Smp_155520.1, 6183.Smp_155540.1, 6183.Smp_160150.1
OG0000209		6183.Smp_129700.1, 6183.Smp_145910.1, 6183.Smp_145920.1, 6183.Smp_147690.1, 6183.Smp_147700.1
OG0000210		6183.Smp_133840.1, 6183.Smp_139090.1, 6183.Smp_149310.1, 6183.Smp_201750.1, 6183.Smp_203980.1
OG0000211		6183.Smp_135870.1, 6183.Smp_153840.1, 6183.Smp_161670.1, 6183.Smp_162930.1, 6183.Smp_210760.1
OG0000212		6183.Smp_158430.1, 6183.Smp_168300.1, 6183.Smp_179960.1, 6183.Smp_184360.1, 6183.Smp_193860.1
OG0000213		6183.Smp_180640.1, 6183.Smp_184350.1, 6183.Smp_192100.1, 6183.Smp_199740.1, 6183.Smp_209090.1
OG0000214	NP_610592.1	6183.Smp_067480.3, 6183.Smp_067490.1, 6183.Smp_136640.1
OG0000215	NP_524059.4	6183.Smp_041280.1, 6183.Smp_041350.1, 6183.Smp_131780.1
OG0000216	NP_476849.1, NP_524843.2	6183.Smp_128790.1, 6183.Smp_212730.1
OG0000217	NP_476837.1, NP_611810.1, NP_611813.1	6183.Smp_128110.1
OG0000218	NP_523675.1, NP_536732.1, NP_608766.1, NP_611234.1	
OG0000219	NP_524871.1	6183.Smp_027750.1, 6183.Smp_045250.1, 6183.Smp_125760.1
OG0000220	NP_524484.1, NP_524921.1, NP_524937.1	6183.Smp_028990.1
OG0000221	NP_523388.1	6183.Smp_012600.1, 6183.Smp_128930.1, 6183.Smp_143470.2
OG0000222	NP_524066.1	6183.Smp_155690.1, 6183.Smp_179780.1, 6183.Smp_180820.1
OG0000223	NP_476973.1, NP_611837.1	6183.Smp_004780.1, 6183.Smp_079230.1
OG0000224	NP_523658.1, NP_524731.1	6183.Smp_046790.1, 6183.Smp_127200.1
OG0000225	NP_476959.1	6183.Smp_047620.1, 6183.Smp_082490.1, 6183.Smp_130970.1
OG0000226	NP_477163.1, NP_477361.1	6183.Smp_047900.1, 6183.Smp_142050.1
OG0000227	NP_609154.1, NP_612039.1	6183.Smp_020040.2, 6183.Smp_148510.1
OG0000228	NP_572633.1	6183.Smp_020920.1, 6183.Smp_104730.1, 6183.Smp_172510.1
OG0000229	NP_573246.1, NP_608976.1, NP_610933.1	6183.Smp_193410.1
OG0000230	NP_608502.1	6183.Smp_147790.1, 6183.Smp_174150.1, 6183.Smp_174170.1
OG0000231	NP_610317.1, NP_610318.1	6183.Smp_158510.1, 6183.Smp_158520.1
OG0000232	NP_608558.1	6183.Smp_094950.1, 6183.Smp_094980.1, 6183.Smp_128560.1
OG0000233	NP_610764.1	6183.Smp_004220.1, 6183.Smp_124410.1, 6183.Smp_167750.1
OG0000234	NP_525030.1, NP_609235.1, NP_609458.1	6183.Smp_013040.2
OG0000235	NP_477378.1, NP_523528.1, NP_612094.2	6183.Smp_197330.1
OG0000236	NP_608449.1	6183.Smp_055390.1, 6183.Smp_131560.1, 6183.Smp_196690.1
OG0000237	NP_524839.3	6183.Smp_055850.1, 6183.Smp_123980.1, 6183.Smp_123990.1
OG0000238	NP_524808.3, NP_609361.1	6183.Smp_003970.1, 6183.Smp_030690.1
OG0000239	NP_476637.1	6183.Smp_054360.1, 6183.Smp_054410.1, 6183.Smp_151260.1
OG0000240	NP_477390.1, NP_610729.1, NP_611796.1	6183.Smp_052910.1
OG0000241	NP_611831.2	6183.Smp_010370.1, 6183.Smp_027040.1, 6183.Smp_099890.1
OG0000242	NP_477034.1	6183.Smp_086590.1, 6183.Smp_120700.1, 6183.Smp_195080.1
OG0000243	NP_611177.1	6183.Smp_124110.1, 6183.Smp_137380.1, 6183.Smp_157940.1
OG0000244	NP_476755.1, NP_524199.1, NP_573229.1	6183.Smp_179650.1
OG0000245	NP_609252.1	6183.Smp_102210.1, 6183.Smp_131580.1, 6183.Smp_160310.1
OG0000246	NP_612021.1	6183.Smp_101780.1, 6183.Smp_118190.1, 6183.Smp_166110.1
OG0000247	NP_523912.1	6183.Smp_076300.1, 6183.Smp_133480.1, 6183.Smp_187740.1
OG0000248	NP_523722.1, NP_610824.1	6183.Smp_150500.1, 6183.Smp_181470.1
OG0000249	NP_476600.1, NP_476601.1, NP_476732.1	6183.Smp_054430.1
OG0000250	NP_523924.1, NP_525081.1	6183.Smp_053900.1, 6183.Smp_134300.1
OG0000251	NP_608873.1, NP_611462.1	6183.Smp_048040.1, 6183.Smp_096520.1
OG0000252	NP_610892.1, NP_610900.1, NP_611132.1, NP_611134.1	
OG0000253	NP_573024.1	6183.Smp_098570.1, 6183.Smp_131350.1, 6183.Smp_136310.1
OG0000254	NP_536791.1, NP_610228.1, NP_611263.1	6183.Smp_089880.1
OG0000255	NP_572668.1	6183.Smp_051640.1, 6183.Smp_177670.1, 6183.Smp_212450.1
OG0000256	NP_524705.1, NP_610487.3	6183.Smp_036250.1, 6183.Smp_059100.1
OG0000257	NP_572609.1, NP_572882.1	6183.Smp_171850.1, 6183.Smp_200020.1
OG0000258	NP_609642.1	6183.Smp_047060.1, 6183.Smp_177970.1, 6183.Smp_185160.1
OG0000259	NP_476579.1, NP_612571.1	6183.Smp_126640.1, 6183.Smp_174040.1
OG0000260	NP_573001.2	6183.Smp_080680.1, 6183.Smp_125290.1, 6183.Smp_158820.1
OG0000261	NP_524031.2	6183.Smp_101790.1, 6183.Smp_145230.1, 6183.Smp_163240.1
OG0000262	NP_570013.3	6183.Smp_165230.1, 6183.Smp_165660.1, 6183.Smp_199610.1
OG0000263	NP_524548.1	6183.Smp_150180.1, 6183.Smp_159850.1, 6183.Smp_202470.1
OG0000264	NP_476681.1, NP_523976.1, NP_524988.1	6183.Smp_126080.1
OG0000265	NP_511054.4, NP_523985.1, NP_524132.1	6183.Smp_024820.2
OG0000266	NP_524500.1	6183.Smp_062980.1, 6183.Smp_095630.1, 6183.Smp_100080.1
OG0000267	NP_476623.1, NP_476694.1, NP_476803.1, NP_476824.1	
OG0000268	NP_477344.1, NP_477446.1, NP_524376.2	6183.Smp_082290.1
OG0000269	NP_573047.1, NP_610496.1	6183.Smp_145290.1, 6183.Smp_155890.1
OG0000270		6183.Smp_000160.1, 6183.Smp_008710.1, 6183.Smp_104970.1, 6183.Smp_189490.1
OG0000271		6183.Smp_000230.1, 6183.Smp_075230.1, 6183.Smp_124090.1, 6183.Smp_135600.1
OG0000272		6183.Smp_000900.1, 6183.Smp_120620.1, 6183.Smp_133550.1, 6183.Smp_137050.1
OG0000273		6183.Smp_000980.1, 6183.Smp_063790.1, 6183.Smp_100090.1, 6183.Smp_103530.1
OG0000274		6183.Smp_003140.1, 6183.Smp_042550.1, 6183.Smp_091730.1, 6183.Smp_167550.1
