Orthogroup	kog_humano_pos_go	protein_mansoni
OG0000269	NP_009041.2	6183.Smp_066290.1, 6183.Smp_099800.1, 6183.Smp_099810.1, 6183.Smp_126550.1, 6183.Smp_157980.1
OG0000270	NP_001392.2, NP_001832.1, NP_005275.1, NP_036284.1, NP_057167.2, NP_149421.2	
OG0000271	NP_000669.1, NP_000670.1, NP_000671.2, NP_150645.2, NP_150646.3, NP_150647.2	
OG0000272	NP_000045.1, NP_000397.1, NP_000697.1, NP_000698.1, NP_000907.2	6183.Smp_199690.1
OG0000273	NP_000901.1	6183.Smp_007070.1, 6183.Smp_018690.1, 6183.Smp_118040.1, 6183.Smp_132410.1, 6183.Smp_202290.1
OG0000274	NP_000946.2, NP_000947.2, NP_000949.1, NP_000950.1, NP_000951.1, NP_001051.1	
OG0000275	NP_057197.2, NP_061116.5, NP_061197.4, NP_062815.3, NP_067638.3, NP_659505.1	
OG0000276	NP_004471.4	6183.Smp_030650.1, 6183.Smp_138730.1, 6183.Smp_138750.1, 6183.Smp_175120.2, 6183.Smp_212520.1
OG0000277	NP_003266.1, NP_036266.2, NP_037485.2, NP_055362.1, NP_055363.1	6183.Smp_003710.1
OG0000278	NP_001626.1, NP_004296.1, NP_057377.4, NP_061158.1, NP_647596.1, NP_647600.1	
OG0000279	NP_004507.2, NP_036350.2, NP_057191.2, NP_060857.2	6183.Smp_127780.1, 6183.Smp_140100.1
OG0000280	NP_000532.2, NP_004032.2, NP_004303.2, NP_004304.1, NP_064647.1	6183.Smp_126080.1
OG0000281	NP_002702.2, NP_005389.1, NP_006233.1, NP_078883.2, NP_149992.3	6183.Smp_153700.1
OG0000282	NP_003013.1, NP_031367.2, NP_112576.1, NP_113657.1	6183.Smp_033330.1, 6183.Smp_170030.1
OG0000283	NP_000291.1, NP_000919.1, NP_000920.1, NP_003552.1, NP_036532.1, NP_055404.1	
OG0000284	NP_002350.1, NP_002351.1, NP_005351.2, NP_005452.2, NP_006168.1, NP_036455.1	
OG0000285	NP_004957.1, NP_005511.1, NP_036339.1, NP_062543.1, NP_067676.2	6183.Smp_179270.3
OG0000286	NP_000033.2, NP_000441.2, NP_000646.3, NP_000707.1, NP_002996.2, NP_150094.5	
OG0000287	NP_009225.1, NP_009228.2, NP_009229.2, NP_009230.2, NP_009231.2	6183.Smp_132510.1
OG0000288	NP_004845.1, NP_060883.1, NP_061111.1, NP_071912.2, NP_113610.2, NP_569735.1	
OG0000289		6183.Smp_006930.1, 6183.Smp_042720.1, 6183.Smp_133290.1, 6183.Smp_151200.1, 6183.Smp_151210.1, 6183.Smp_151220.1
OG0000290		6183.Smp_009810.1, 6183.Smp_037720.1, 6183.Smp_127370.1, 6183.Smp_154670.1, 6183.Smp_154680.1, 6183.Smp_187360.1
OG0000291		6183.Smp_037960.1, 6183.Smp_132070.1, 6183.Smp_142690.1, 6183.Smp_142700.1, 6183.Smp_157790.1, 6183.Smp_176310.1
OG0000292		6183.Smp_073820.1, 6183.Smp_095400.1, 6183.Smp_100450.1, 6183.Smp_107750.1, 6183.Smp_108010.1, 6183.Smp_116960.1
OG0000293		6183.Smp_120050.1, 6183.Smp_155570.1, 6183.Smp_164170.1, 6183.Smp_181910.1, 6183.Smp_187070.1, 6183.Smp_193630.1
OG0000294		6183.Smp_121070.1, 6183.Smp_127710.1, 6183.Smp_172940.1, 6183.Smp_174500.1, 6183.Smp_178290.1, 6183.Smp_181330.1
OG0000295		6183.Smp_131330.1, 6183.Smp_131340.1, 6183.Smp_132920.1, 6183.Smp_156810.1, 6183.Smp_158120.1, 6183.Smp_167790.1
OG0000296		6183.Smp_155600.1, 6183.Smp_155810.1, 6183.Smp_167460.1, 6183.Smp_176470.1, 6183.Smp_193230.1, 6183.Smp_199910.1
OG0000297		6183.Smp_203800.1, 6183.Smp_205860.1, 6183.Smp_205870.1, 6183.Smp_206090.1, 6183.Smp_206110.1, 6183.Smp_206200.1
OG0000298	NP_038466.2, NP_038472.2, NP_064516.2, NP_444295.1	6183.Smp_010290.1
OG0000299	NP_001614.3, NP_077305.2, NP_079478.1, NP_113614.1, NP_116573.1	
OG0000300	NP_000546.2, NP_004725.1, NP_006260.1, NP_057440.2	6183.Smp_163020.1
OG0000301	NP_002289.2, NP_002661.2, NP_005023.2	6183.Smp_037230.1, 6183.Smp_149130.1
OG0000302	NP_000341.2, NP_005493.2, NP_061985.2	6183.Smp_056290.1, 6183.Smp_176450.1
OG0000303	NP_004209.2, NP_004654.1	6183.Smp_005670.1, 6183.Smp_173990.1, 6183.Smp_190370.1
OG0000304	NP_002857.1, NP_002858.2, NP_004274.1, NP_612462.1	6183.Smp_154580.1
OG0000305	NP_004491.2, NP_031393.2, NP_057951.1, NP_112604.2	6183.Smp_147150.1
OG0000306	NP_001410.2, NP_001411.2, NP_004423.2, NP_068771.2	6183.Smp_194950.1
OG0000307	NP_009116.3, NP_064565.1, NP_068757.2, NP_443072.3	6183.Smp_041280.1
OG0000308	NP_001093250.1, NP_002788.1, NP_004150.1	6183.Smp_017860.1, 6183.Smp_164840.1
OG0000309	NP_003550.1, NP_005019.2, NP_079055.3	6183.Smp_142360.1, 6183.Smp_197280.1
OG0000310	NP_065166.2, NP_065698.1, NP_065706.2	6183.Smp_084090.1, 6183.Smp_148200.1
OG0000311	NP_055663.1, NP_055664.3, NP_055794.3	6183.Smp_132080.1, 6183.Smp_171870.1
OG0000312	NP_073616.7, NP_619526.2	6183.Smp_057020.1, 6183.Smp_152720.1, 6183.Smp_152770.1
OG0000313	NP_002119.1, NP_002120.1, NP_005333.2	6183.Smp_000980.1, 6183.Smp_103530.1
OG0000314	NP_003192.1, NP_006330.2, NP_055048.1, NP_060670.1	6183.Smp_173650.1
OG0000315	NP_002515.1, NP_004976.2, NP_005334.1, NP_203524.1	6183.Smp_179910.1
OG0000316	NP_004823.1, NP_005591.1, NP_064587.1	6183.Smp_056890.1, 6183.Smp_152710.2
OG0000317	NP_003329.1, NP_003330.1, NP_003331.1, NP_057067.1	6183.Smp_068000.1
OG0000318	NP_000168.1, NP_006567.3, NP_009058.2, NP_056957.3, NP_149119.1	
OG0000319	NP_000332.2	6183.Smp_037540.2, 6183.Smp_052510.1, 6183.Smp_142810.1, 6183.Smp_156550.1
OG0000320	NP_001185.3	6183.Smp_142280.1, 6183.Smp_142290.1, 6183.Smp_153100.1, 6183.Smp_212410.1
OG0000321	NP_009121.1, NP_665872.2	6183.Smp_141150.1, 6183.Smp_197190.1, 6183.Smp_210300.1
OG0000322	NP_003119.2	6183.Smp_012600.1, 6183.Smp_128920.1, 6183.Smp_128930.1, 6183.Smp_143470.2
OG0000323	NP_003310.4, NP_596869.4, NP_597676.3, NP_597681.4	6183.Smp_126240.1
OG0000324	NP_001121.2, NP_003251.2, NP_005068.2, NP_005069.2	6183.Smp_150080.1
OG0000325	NP_004051.1, NP_004345.1, NP_006826.1	6183.Smp_129360.1, 6183.Smp_153920.1
OG0000326	NP_001306.1, NP_002742.3, NP_002745.1, NP_002960.2, NP_620581.1	
OG0000327	NP_000771.2, NP_000952.1, NP_004382.2, NP_004811.1, NP_057677.2	
OG0000328	NP_055585.1, NP_055729.2, NP_114152.3, NP_597703.2	6183.Smp_198010.1
OG0000329	NP_002576.1, NP_002577.2, NP_006186.1, NP_079521.1	6183.Smp_126030.1
OG0000330	NP_002601.1, NP_002602.2, NP_002603.1, NP_005382.1	6183.Smp_068170.1
OG0000331	NP_002823.4, NP_002840.2, NP_542155.1, NP_570897.2	6183.Smp_158400.1
OG0000332	NP_001481.2, NP_001482.1, NP_004742.1, NP_663624.1, NP_663630.2	
OG0000333	NP_054749.2, NP_055591.2, NP_476510.1, NP_476511.1	6183.Smp_138500.1
OG0000334	NP_002565.1, NP_005800.3	6183.Smp_059480.1, 6183.Smp_062900.1, 6183.Smp_093780.1
OG0000335	NP_000260.1, NP_002503.1, NP_002504.2, NP_005000.1	6183.Smp_092750.1
OG0000336	NP_002770.3, NP_036587.2, NP_056125.3, NP_115665.1	6183.Smp_147020.1
OG0000337	NP_000824.1, NP_000825.2, NP_000826.2, NP_000827.2	6183.Smp_147390.1
OG0000338	NP_000817.5, NP_000818.2, NP_000819.4, NP_000820.4, NP_015564.5	
OG0000339	NP_037497.1, NP_054720.1, NP_055859.1, NP_619525.1	6183.Smp_164030.1
OG0000340	NP_002810.1, NP_005147.3, NP_067013.1, NP_114367.1, NP_114368.1	
OG0000341	NP_001880.2, NP_004095.4, NP_004872.2, NP_006364.2	6183.Smp_159230.1
OG0000342	NP_001227.1, NP_001748.1	6183.Smp_033530.3, 6183.Smp_033540.1, 6183.Smp_140270.1
OG0000343	NP_006148.2, NP_006150.1, NP_008967.1, NP_057525.1, NP_659428.2	
OG0000344	NP_620711.3	6183.Smp_040110.1, 6183.Smp_135370.1, 6183.Smp_145730.1, 6183.Smp_171690.1
OG0000345	NP_001987.3, NP_001989.2, NP_006476.3, NP_006477.3, NP_006478.3	
OG0000346	NP_036376.2	6183.Smp_054010.1, 6183.Smp_150990.1, 6183.Smp_151000.1, 6183.Smp_151090.1
OG0000347	NP_000239.1, NP_006512.2, NP_036384.1	6183.Smp_160710.1, 6183.Smp_161250.1
OG0000348	NP_000055.2, NP_001002029.3, NP_001726.2, NP_009224.2, NP_598000.2	
OG0000349	NP_001451.2, NP_001452.2, NP_002012.1, NP_002013.1, NP_008825.4	
OG0000350	NP_060757.4, NP_060930.3, NP_115885.2, NP_954976.1	6183.Smp_180160.1
OG0000351	NP_000317.1, NP_002994.4, NP_036561.1, NP_055507.1	6183.Smp_159400.1
OG0000352	NP_001523.2, NP_056091.1, NP_060814.4	6183.Smp_074400.1, 6183.Smp_139020.1
OG0000353	NP_067037.1, NP_112490.3	6183.Smp_010280.1, 6183.Smp_027000.1, 6183.Smp_038830.1
OG0000354	NP_001344.2, NP_001345.1, NP_001809.4, NP_003730.4, NP_005980.1	
OG0000355	NP_006849.1, NP_031390.1, NP_057124.3	6183.Smp_046250.1, 6183.Smp_154960.1
OG0000356	NP_000552.2, NP_000839.1, NP_000840.2, NP_000841.1, NP_000842.2	
OG0000357	NP_006051.1, NP_036613.2, NP_057344.2, NP_071910.3	6183.Smp_135380.1
OG0000358	NP_003403.2, NP_003404.1, NP_009060.2, NP_115529.2	6183.Smp_157270.1
OG0000359	NP_003445.2, NP_006517.1, NP_055458.1, NP_055532.1, NP_057507.2	
OG0000360	NP_003343.1, NP_008867.2, NP_008868.3, NP_116204.3	6183.Smp_045510.1
OG0000361	NP_005610.1, NP_006045.1, NP_008939.1, NP_066959.1	6183.Smp_020370.1
OG0000362	NP_060549.4, NP_078893.2	6183.Smp_005640.1, 6183.Smp_058050.1, 6183.Smp_153400.1
OG0000363	NP_004485.1, NP_057157.1, NP_150091.2, NP_612641.2	6183.Smp_125050.1
OG0000364	NP_005974.2, NP_036294.2, NP_036436.1, NP_116026.1	6183.Smp_176410.1
OG0000365	NP_004165.2, NP_004585.1	6183.Smp_045680.1, 6183.Smp_146740.1, 6183.Smp_146750.1
OG0000366	NP_002864.1, NP_579917.1, NP_579918.1, NP_579919.1	6183.Smp_163190.1
OG0000367	NP_005063.1, NP_005126.1, NP_006589.2, NP_065759.1	6183.Smp_198430.1
OG0000368	NP_060093.3, NP_060119.3, NP_064569.3, NP_065081.2	6183.Smp_146680.1
OG0000369	NP_004662.2, NP_006090.2, NP_056981.2, NP_057250.1	6183.Smp_172130.1
OG0000370	NP_004467.1, NP_005458.1, NP_005459.2, NP_057218.1	6183.Smp_135510.1
OG0000371	NP_004492.2, NP_008971.2, NP_114032.2, NP_653333.1	6183.Smp_062720.1
OG0000372	NP_001388.1, NP_055508.3, NP_057019.3, NP_115707.2	6183.Smp_159370.1
OG0000373	NP_054752.3, NP_060866.2	6183.Smp_037930.1, 6183.Smp_042650.1, 6183.Smp_061500.1
OG0000374	NP_075384.4	6183.Smp_051990.1, 6183.Smp_133510.1, 6183.Smp_139810.1, 6183.Smp_149990.1
OG0000375	NP_002348.1, NP_005953.4, NP_006445.1, NP_112590.1	6183.Smp_021340.2
OG0000376	NP_000226.2, NP_001010939.2, NP_004181.1	6183.Smp_011000.1, 6183.Smp_146180.1
OG0000377	NP_000012.1, NP_000438.2, NP_015557.2, NP_036618.2	6183.Smp_153960.1
OG0000378	NP_006296.1, NP_006392.1, NP_036536.2, NP_112182.1	6183.Smp_010940.1
OG0000379	NP_001267.2, NP_002548.3, NP_003456.1, NP_003991.2, NP_068569.2	
OG0000380	NP_006087.2, NP_057334.1, NP_075061.1, NP_114402.1	6183.Smp_131250.1
OG0000381	NP_005850.1, NP_037489.1, NP_150093.1	6183.Smp_042300.2, 6183.Smp_075120.1
OG0000382	NP_000494.2, NP_001981.2, NP_004091.3, NP_005235.3	6183.Smp_173090.1
OG0000383	NP_001796.2, NP_001797.1, NP_004355.2, NP_005185.2, NP_005186.2	
OG0000384	NP_001343.2, NP_002117.1, NP_003207.1, NP_005375.2	6183.Smp_026400.1
OG0000385	NP_003529.1, NP_003538.1	6183.Smp_053300.1, 6183.Smp_053390.1, 6183.Smp_194870.1
OG0000386	NP_004792.1, NP_055895.1, NP_620060.1, NP_620072.1	6183.Smp_180760.1
OG0000387	NP_002561.1, NP_612192.1, NP_612196.1, NP_612197.1, NP_612198.2	
OG0000388	NP_000084.3, NP_001845.3, NP_542410.2, NP_542411.2, NP_542412.2	
OG0000389	NP_000252.1, NP_006325.1, NP_055094.1, NP_064575.1, NP_477512.1	
OG0000390	NP_001814.2, NP_001815.2, NP_001816.2, NP_066270.1	6183.Smp_194770.1
OG0000391	NP_003296.1, NP_004612.2, NP_065122.1	6183.Smp_163160.1, 6183.Smp_169150.1
OG0000392	NP_001724.4, NP_001725.1, NP_001870.3, NP_006601.2, NP_057630.2	
OG0000393	NP_001471.2, NP_003605.1, NP_003848.1, NP_072093.2	6183.Smp_203500.1
OG0000394	NP_000786.1, NP_000787.2, NP_000788.2, NP_057658.2, NP_387512.3	
OG0000395	NP_002239.2, NP_002240.3, NP_067627.3	6183.Smp_139410.1, 6183.Smp_156150.1
OG0000396	NP_001534.1, NP_003626.1, NP_004775.1, NP_072091.1	6183.Smp_134250.1
OG0000397	NP_003681.1, NP_004169.3, NP_599150.1, NP_599151.2	6183.Smp_023670.1
OG0000398	NP_001025051.1, NP_057413.2, NP_060113.2, NP_113676.2	6183.Smp_074050.1
OG0000399	NP_001413.1, NP_004424.3, NP_036285.2, NP_036523.1	6183.Smp_204720.1
OG0000400	NP_003204.2, NP_003205.2, NP_003589.1, NP_068780.2	6183.Smp_066050.1
OG0000401	NP_000340.2, NP_006795.3, NP_114405.1, NP_631910.1	6183.Smp_137870.1
OG0000402	NP_005714.2, NP_036471.1, NP_112189.2, NP_114151.3	6183.Smp_035020.2
OG0000403	NP_003261.1, NP_004348.2, NP_004606.2, NP_005715.1	6183.Smp_013370.3
OG0000404	NP_001771.1	6183.Smp_142230.1, 6183.Smp_173150.1, 6183.Smp_176870.1, 6183.Smp_181530.1
OG0000405	NP_003169.2, NP_003481.3, NP_008881.2, NP_598328.1	6183.Smp_126990.1
OG0000406	NP_002491.3, NP_006151.3, NP_067014.2, NP_073565.2	6183.Smp_125400.1
OG0000407	NP_000651.3, NP_003229.1, NP_003230.1, NP_005250.1, NP_005802.1	
OG0000408	NP_001488.2, NP_003771.1	6183.Smp_021370.1, 6183.Smp_056260.1, 6183.Smp_211240.1
OG0000409	NP_000696.1, NP_001668.1, NP_001669.3, NP_001670.1, NP_036201.1	
OG0000410	NP_005707.1, NP_060125.4, NP_573568.1	6183.Smp_135920.1, 6183.Smp_170870.1
OG0000411	NP_000354.4, NP_003272.3, NP_003273.1	6183.Smp_018250.2, 6183.Smp_059170.2
OG0000412	NP_003278.1, NP_003279.2, NP_277051.4	6183.Smp_065470.3, 6183.Smp_081380.1
OG0000413	NP_004200.2, NP_004701.1, NP_004702.2, NP_036583.2	6183.Smp_059670.1
OG0000414	NP_115682.1	6183.Smp_085480.1, 6183.Smp_125180.1, 6183.Smp_150930.1, 6183.Smp_201310.1
OG0000415	NP_003594.3, NP_005766.3, NP_006425.3, NP_056200.2, NP_066547.1	
OG0000416	NP_002835.2, NP_002836.3, NP_005695.3, NP_008981.4, NP_573400.3	
OG0000417	NP_000779.1, NP_004605.4, NP_550438.1, NP_550440.1	6183.Smp_141540.1
OG0000418	NP_009113.3, NP_055552.1, NP_114412.2	6183.Smp_157340.1, 6183.Smp_197830.1
OG0000419	NP_006280.3, NP_055874.2, NP_072088.1	6183.Smp_142630.1, 6183.Smp_167010.1
OG0000420	NP_006278.1, NP_006519.1	6183.Smp_147730.1, 6183.Smp_172960.1, 6183.Smp_179120.1
OG0000421	NP_000233.1, NP_002966.1, NP_003010.4, NP_003269.2, NP_005743.5	
OG0000422	NP_000237.2, NP_006083.1, NP_071445.1, NP_078894.2, NP_115582.4	
OG0000423	NP_002627.2, NP_031384.1, NP_056466.1, NP_065128.2, NP_077084.2	
OG0000424	NP_060786.1, NP_079007.2, NP_085127.2, NP_116164.2, NP_277030.2	
OG0000425	NP_006362.1, NP_006446.1, NP_055077.2, NP_060662.2, NP_071751.3	
OG0000426	NP_006523.1, NP_036213.2, NP_078854.1, NP_079441.1	6183.Smp_092320.1
OG0000427	NP_001242.2, NP_002285.1, NP_005552.3, NP_054701.1, NP_055213.2	
OG0000428		6183.Smp_000050.1, 6183.Smp_130890.1, 6183.Smp_161630.1, 6183.Smp_161640.1, 6183.Smp_197680.1
OG0000429		6183.Smp_001050.1, 6183.Smp_080650.1, 6183.Smp_131050.1, 6183.Smp_147320.1, 6183.Smp_151100.1
OG0000430		6183.Smp_001070.1, 6183.Smp_023710.1, 6183.Smp_041880.1, 6183.Smp_117340.1, 6183.Smp_134960.1
OG0000431		6183.Smp_013440.1, 6183.Smp_139720.1, 6183.Smp_166790.1, 6183.Smp_167630.1, 6183.Smp_210210.1
OG0000432		6183.Smp_014080.1, 6183.Smp_060210.1, 6183.Smp_060220.1, 6183.Smp_060240.1, 6183.Smp_203810.1
OG0000433		6183.Smp_014410.2, 6183.Smp_014430.1, 6183.Smp_121580.1, 6183.Smp_188810.1, 6183.Smp_194540.1
OG0000434		6183.Smp_019460.1, 6183.Smp_132790.1, 6183.Smp_132800.1, 6183.Smp_132810.1, 6183.Smp_132830.1
OG0000435		6183.Smp_020550.1, 6183.Smp_146950.1, 6183.Smp_159420.1, 6183.Smp_179370.1, 6183.Smp_208030.1
OG0000436		6183.Smp_033550.1, 6183.Smp_073920.1, 6183.Smp_124240.1, 6183.Smp_160290.1, 6183.Smp_163170.1
OG0000437		6183.Smp_046640.1, 6183.Smp_046650.1, 6183.Smp_127170.1, 6183.Smp_141570.1, 6183.Smp_147550.1
OG0000438		6183.Smp_049280.1, 6183.Smp_153090.1, 6183.Smp_159520.1, 6183.Smp_165970.1, 6183.Smp_170980.1
OG0000439		6183.Smp_051110.1, 6183.Smp_113520.1, 6183.Smp_148170.1, 6183.Smp_189180.2, 6183.Smp_202740.1
OG0000440		6183.Smp_055240.1, 6183.Smp_131600.1, 6183.Smp_151540.1, 6183.Smp_162610.1, 6183.Smp_192490.1
OG0000441		6183.Smp_055260.1, 6183.Smp_129900.1, 6183.Smp_129920.1, 6183.Smp_129930.1, 6183.Smp_196680.1
OG0000442		6183.Smp_062080.1, 6183.Smp_062120.1, 6183.Smp_155530.1, 6183.Smp_155550.1, 6183.Smp_155560.1
OG0000443		6183.Smp_111710.1, 6183.Smp_178030.1, 6183.Smp_182990.1, 6183.Smp_185310.1, 6183.Smp_190340.1
OG0000444		6183.Smp_113310.1, 6183.Smp_117620.1, 6183.Smp_201940.1, 6183.Smp_203920.1, 6183.Smp_205780.1
OG0000445		6183.Smp_119580.1, 6183.Smp_134700.1, 6183.Smp_134710.1, 6183.Smp_134720.1, 6183.Smp_149880.1
OG0000446		6183.Smp_180640.1, 6183.Smp_184350.1, 6183.Smp_192100.1, 6183.Smp_199740.1, 6183.Smp_209090.1
OG0000447	NP_004671.1, NP_004816.1, NP_006108.2	6183.Smp_078280.1
OG0000448	NP_001339.1, NP_004929.2, NP_055141.2	6183.Smp_181490.1
OG0000449	NP_004049.3, NP_542157.3	6183.Smp_019640.1, 6183.Smp_028210.1
OG0000450	NP_009167.1, NP_060369.3, NP_071380.1	6183.Smp_026420.1
OG0000451	NP_001025052.1, NP_006374.1, NP_006375.2, NP_473454.1	
OG0000452	NP_038462.1, NP_055406.2, NP_079497.2	6183.Smp_106110.1
OG0000453	NP_006606.1	6183.Smp_003980.1, 6183.Smp_089460.2, 6183.Smp_157500.1
OG0000454	NP_000434.1, NP_000918.2, NP_061337.1, NP_061338.1	
OG0000455	NP_061142.2, NP_525021.3, NP_525022.2, NP_525023.2	
OG0000456	NP_002859.1, NP_004153.2, NP_004574.2	6183.Smp_040570.1
OG0000457	NP_002860.2, NP_057661.3, NP_115520.2	6183.Smp_163580.1
OG0000458	NP_000507.1, NP_536351.1	6183.Smp_059340.1, 6183.Smp_092580.1
OG0000459	NP_001408.2, NP_071496.1, NP_114381.1	6183.Smp_089060.1
OG0000460	NP_001271.1, NP_006734.1, NP_059965.2, NP_062556.2	
OG0000461	NP_002559.2, NP_003810.1, NP_112241.2	6183.Smp_024140.4
OG0000462	NP_003491.1, NP_003492.2, NP_004026.2, NP_009223.2	
OG0000463	NP_003243.1, NP_071320.2, NP_071505.2	6183.Smp_166190.1
OG0000464	NP_057712.2, NP_567822.1, NP_567823.1	6183.Smp_180210.1
OG0000465	NP_005667.2, NP_005768.1, NP_005769.1	6183.Smp_126850.2
OG0000466	NP_006216.2, NP_116115.1, NP_149114.2, NP_588614.1	
OG0000467	NP_001645.1, NP_002871.1, NP_004324.2	6183.Smp_176990.1
OG0000468	NP_002369.2, NP_004374.1, NP_647611.1	6183.Smp_125360.1
OG0000469	NP_000206.2, NP_002218.2, NP_003322.3, NP_004963.1	
OG0000470	NP_000693.1, NP_689509.1	6183.Smp_015020.1, 6183.Smp_130300.1
OG0000471	NP_055431.1	6183.Smp_159720.1, 6183.Smp_163820.1, 6183.Smp_175820.1
OG0000472	NP_075062.2, NP_599025.2, NP_602298.2	6183.Smp_145320.1
OG0000473	NP_002884.1, NP_005601.1, NP_008993.1	6183.Smp_212260.1
OG0000474	NP_005638.1, NP_078941.2, NP_150600.1	6183.Smp_098760.1
OG0000475	NP_003930.1, NP_036432.2, NP_378663.1	6183.Smp_099930.1
OG0000476	NP_004770.4, NP_037486.2, NP_473367.2	6183.Smp_021870.1
OG0000477	NP_036585.1, NP_065890.1	6183.Smp_150390.3, 6183.Smp_194110.1
OG0000478	NP_000522.3, NP_004332.2	6183.Smp_113640.1, 6183.Smp_186670.1
OG0000479	NP_057647.1, NP_076429.1, NP_079006.1, NP_116307.1	
OG0000480	NP_001479.4, NP_597683.3	6183.Smp_004040.1, 6183.Smp_066720.1
OG0000481	NP_000074.3, NP_000076.2, NP_004061.3, NP_004357.3	
OG0000482	NP_000316.2, NP_002644.4, NP_005020.1	6183.Smp_163140.1
OG0000483	NP_000513.2, NP_000514.2, NP_006352.2, NP_059106.2	
OG0000484	NP_003712.1, NP_075526.1, NP_604389.1	6183.Smp_019860.1
OG0000485	NP_076992.1, NP_543149.1, NP_543150.1	6183.Smp_046190.1
OG0000486	NP_000068.1, NP_001253.1, NP_001791.1, NP_511042.1	
OG0000487	NP_057550.3	6183.Smp_003190.1, 6183.Smp_075030.1, 6183.Smp_143770.1
OG0000488	NP_005417.1, NP_006654.2, NP_056131.2	6183.Smp_129670.1
OG0000489	NP_004406.2, NP_036222.3, NP_056363.2	6183.Smp_138620.1
OG0000490	NP_004180.1, NP_009015.1	6183.Smp_155690.1, 6183.Smp_179780.1
OG0000491	NP_006695.1, NP_055227.1	6183.Smp_010160.1, 6183.Smp_168350.1
OG0000492	NP_114417.1, NP_114426.1, NP_443073.1, NP_443732.3	
OG0000493	NP_004825.3, NP_663719.2, NP_663720.1	6183.Smp_163420.1
OG0000494	NP_005618.2, NP_037389.4, NP_057360.3, NP_071416.2	
OG0000495	NP_056165.1, NP_060573.2, NP_079337.2, NP_115646.3	
OG0000496	NP_065086.2, NP_065093.2, NP_066928.1	6183.Smp_008860.1
OG0000497	NP_000808.2, NP_000809.1, NP_038473.2, NP_057073.4	
OG0000498	NP_003153.2, NP_037535.2, NP_055389.3	6183.Smp_166080.2
OG0000499	NP_006694.1, NP_009014.2, NP_060629.2, NP_061967.3	
OG0000500	NP_001750.1, NP_001751.1, NP_444284.1	6183.Smp_153660.1
OG0000501	NP_006359.3, NP_115996.1, NP_570968.1	6183.Smp_151280.1
OG0000502	NP_005485.1, NP_006727.2, NP_490647.1	6183.Smp_022330.1
OG0000503	NP_001350.1, NP_057330.2, NP_060911.2, NP_065715.1	
OG0000504	NP_057083.2, NP_078827.2	6183.Smp_045410.1, 6183.Smp_045420.1
OG0000505	NP_001142.2, NP_001143.2, NP_112581.1	6183.Smp_079220.1
OG0000506	NP_002389.1, NP_004562.2	6183.Smp_147790.1, 6183.Smp_174150.1
OG0000507	NP_056386.2, NP_065705.3	6183.Smp_159120.1, 6183.Smp_159130.1
OG0000508	NP_002818.1, NP_002819.2, NP_536347.1	6183.Smp_139930.1
OG0000509	NP_002839.1, NP_109592.1, NP_109593.1, NP_109594.1	
OG0000510	NP_006255.1, NP_542414.1, NP_542415.1, NP_542416.1	
OG0000511	NP_002838.2, NP_570857.2, NP_570858.2	6183.Smp_150220.2
OG0000512	NP_001231.2, NP_490595.1	6183.Smp_130980.1, 6183.Smp_152760.1
OG0000513	NP_006126.1, NP_006127.1, NP_201585.1	6183.Smp_118830.1
OG0000514	NP_003395.1, NP_003397.1, NP_006133.1, NP_006817.1	
OG0000515	NP_001180.1, NP_006158.2	6183.Smp_029620.1, 6183.Smp_137140.1
OG0000516	NP_005378.4, NP_057404.2, NP_624358.2	6183.Smp_027890.1
OG0000517	NP_004396.1, NP_005211.1, NP_005212.1, NP_612138.1	
OG0000518	NP_005045.2, NP_005115.2, NP_006258.3	6183.Smp_016410.1
OG0000519	NP_003615.2, NP_015559.2, NP_015561.1	6183.Smp_078310.1
OG0000520	NP_003947.1, NP_006736.1, NP_008849.2, NP_115761.2	
OG0000521	NP_002636.2, NP_002637.3, NP_004561.3	6183.Smp_172400.1
OG0000522	NP_001003936.1, NP_003320.2	6183.Smp_008070.1, 6183.Smp_054470.1
OG0000523	NP_000453.2, NP_570853.1, NP_570854.1	6183.Smp_168160.1
OG0000524	NP_004960.2	6183.Smp_011100.1, 6183.Smp_128100.1, 6183.Smp_146010.1
OG0000525	NP_003576.2, NP_003577.2, NP_008918.1, NP_055769.2	
OG0000526	NP_056199.2, NP_597677.2	6183.Smp_017810.1, 6183.Smp_167860.1
OG0000527	NP_001009991.2, NP_116261.1, NP_542775.2, NP_620135.1	
OG0000528	NP_005630.1	6183.Smp_150920.1, 6183.Smp_175900.1, 6183.Smp_194330.1
OG0000529	NP_060819.3, NP_078993.4	6183.Smp_130920.1, 6183.Smp_130930.1
OG0000530	NP_001968.3	6183.Smp_173030.1, 6183.Smp_174530.1, 6183.Smp_194090.1
OG0000531	NP_001461.1, NP_005449.5, NP_068703.1, NP_068704.2	
OG0000532	NP_061910.1, NP_064543.3, NP_478126.1	6183.Smp_012110.1
OG0000533	NP_057074.4, NP_061990.2, NP_065917.1, NP_476503.1	
OG0000534	NP_001945.3, NP_006173.2, NP_054699.2, NP_054700.2	
OG0000535	NP_003186.1, NP_003187.1, NP_006747.1	6183.Smp_007660.1
OG0000536	NP_060708.1, NP_064511.2, NP_068807.2	6183.Smp_157100.1
OG0000537	NP_003016.1, NP_003017.1, NP_003018.3	6183.Smp_036990.1
OG0000538	NP_116202.2	6183.Smp_094950.1, 6183.Smp_094980.1, 6183.Smp_128560.1
