Orthogroup	protein_mansoni	resultado_cel
OG0000329	6183.Smp_045680.1, 6183.Smp_146740.1, 6183.Smp_146750.1	NP_494035.2, NP_495614.4
OG0000330	6183.Smp_049010.1, 6183.Smp_163680.1, 6183.Smp_164940.1, 6183.Smp_211220.1	NP_507529.1
OG0000331	6183.Smp_049280.1, 6183.Smp_153090.1, 6183.Smp_159520.1, 6183.Smp_165970.1, 6183.Smp_170980.1	
OG0000332	6183.Smp_049630.1, 6183.Smp_120980.1, 6183.Smp_128970.1, 6183.Smp_154450.1	NP_496909.1
OG0000333	6183.Smp_049850.1, 6183.Smp_103560.1, 6183.Smp_148820.1, 6183.Smp_168500.1	NP_493545.1
OG0000334	6183.Smp_049990.1, 6183.Smp_143500.1	NP_497575.2, NP_497576.1, NP_497577.2
OG0000335	6183.Smp_050830.1, 6183.Smp_159670.1	NP_501999.2, NP_502551.2, NP_502552.1
OG0000336	6183.Smp_051110.1, 6183.Smp_113520.1, 6183.Smp_148170.1, 6183.Smp_189180.2, 6183.Smp_202740.1	
OG0000337	6183.Smp_051990.1, 6183.Smp_139810.1, 6183.Smp_149990.1	NP_494993.2, NP_495697.2
OG0000338	6183.Smp_053220.1, 6183.Smp_150700.1	NP_496924.1, NP_496925.1, NP_496926.1
OG0000339	6183.Smp_053300.1, 6183.Smp_053390.1, 6183.Smp_194870.1	NP_492641.1, NP_501203.2
OG0000340	6183.Smp_054010.1, 6183.Smp_150990.1, 6183.Smp_151000.1, 6183.Smp_151090.1	NP_508461.1
OG0000341	6183.Smp_055260.1, 6183.Smp_129900.1, 6183.Smp_129920.1, 6183.Smp_129930.1, 6183.Smp_196680.1	
OG0000342	6183.Smp_055600.1, 6183.Smp_141070.1, 6183.Smp_192580.1, 6183.Smp_197780.1	NP_496982.2
OG0000343	6183.Smp_055780.1, 6183.Smp_089200.1, 6183.Smp_137080.1, 6183.Smp_170820.1	NP_491707.2
OG0000344	6183.Smp_055850.1, 6183.Smp_123980.1, 6183.Smp_123990.1, 6183.Smp_163830.1	NP_496497.1
OG0000345	6183.Smp_062080.1, 6183.Smp_062120.1, 6183.Smp_155530.1, 6183.Smp_155550.1, 6183.Smp_155560.1	
OG0000346	6183.Smp_062240.1, 6183.Smp_123600.1, 6183.Smp_155640.1, 6183.Smp_168860.1	NP_499866.1
OG0000347	6183.Smp_063520.1, 6183.Smp_126030.1, 6183.Smp_157830.1	NP_498525.1, NP_510060.1
OG0000348	6183.Smp_064650.1, 6183.Smp_178800.1	NP_490662.1, NP_490663.1, NP_505098.1
OG0000349	6183.Smp_066010.2	NP_491931.1, NP_505784.2, NP_505975.1, NP_510335.2
OG0000350	6183.Smp_066290.1, 6183.Smp_099800.1, 6183.Smp_099810.1, 6183.Smp_126550.1, 6183.Smp_157980.1	
OG0000351	6183.Smp_071150.1, 6183.Smp_147220.1	NP_499838.2, NP_499839.2, NP_508289.1
OG0000352	6183.Smp_076950.1, 6183.Smp_159740.1, 6183.Smp_159760.1	NP_495969.2, NP_495970.1
OG0000353	6183.Smp_079860.2, 6183.Smp_173790.1	NP_502091.1, NP_503057.2, NP_508937.1
OG0000354	6183.Smp_083770.1, 6183.Smp_123680.1, 6183.Smp_141530.1, 6183.Smp_162650.1	NP_499729.1
OG0000355	6183.Smp_084890.1, 6183.Smp_104270.1, 6183.Smp_153340.1, 6183.Smp_153390.2	NP_501023.3
OG0000356	6183.Smp_087070.1, 6183.Smp_202120.1	NP_499573.1, NP_499574.1, NP_499575.3
OG0000357	6183.Smp_088650.1	NP_498235.1, NP_501242.1, NP_501336.1, NP_510488.1
OG0000358	6183.Smp_089430.1	NP_494511.2, NP_494542.1, NP_494548.1, NP_499695.1
OG0000359	6183.Smp_094890.1, 6183.Smp_145770.1, 6183.Smp_151960.1, 6183.Smp_173570.1, 6183.Smp_186680.1	
OG0000360	6183.Smp_101670.1, 6183.Smp_170160.1	NP_499446.1, NP_509218.1, NP_510298.1
OG0000361	6183.Smp_108610.1, 6183.Smp_177780.1	NP_500781.2, NP_505506.2, NP_507773.1
OG0000362	6183.Smp_111710.1, 6183.Smp_178030.1, 6183.Smp_182990.1, 6183.Smp_185310.1, 6183.Smp_190340.1	
OG0000363	6183.Smp_113310.1, 6183.Smp_117620.1, 6183.Smp_201940.1, 6183.Smp_203920.1, 6183.Smp_205780.1	
OG0000364	6183.Smp_123050.1	NP_496704.1, NP_499221.1, NP_510124.2, NP_510125.1
OG0000365	6183.Smp_123830.1, 6183.Smp_135560.1, 6183.Smp_164590.1, 6183.Smp_196840.1, 6183.Smp_197370.1	
OG0000366	6183.Smp_123870.1	NP_495887.1, NP_498790.1, NP_504688.1, NP_506093.2
OG0000367	6183.Smp_127860.1, 6183.Smp_128710.1, 6183.Smp_149170.1, 6183.Smp_157640.1, 6183.Smp_173010.1	
OG0000368	6183.Smp_128110.1	NP_505511.2, NP_505512.3, NP_505691.2, NP_505727.1
OG0000369	6183.Smp_129700.1, 6183.Smp_147690.1, 6183.Smp_147700.1	NP_497256.1, NP_499646.3
OG0000370	6183.Smp_130570.1, 6183.Smp_134180.1, 6183.Smp_156220.1, 6183.Smp_160050.1	NP_496360.1
OG0000371	6183.Smp_135470.1, 6183.Smp_159710.1, 6183.Smp_180870.1, 6183.Smp_193670.1	NP_495567.3
OG0000372	6183.Smp_136320.1	NP_495248.1, NP_503108.1, NP_507796.1, NP_507797.1
OG0000373	6183.Smp_136740.1	NP_495916.1, NP_495917.1, NP_502683.2, NP_502684.2
OG0000374	6183.Smp_139520.1, 6183.Smp_141030.1	NP_502802.2, NP_502803.3, NP_502804.1
OG0000375	6183.Smp_141910.1, 6183.Smp_143930.1, 6183.Smp_145990.1, 6183.Smp_155450.1	NP_496431.1
OG0000376	6183.Smp_142230.1, 6183.Smp_173150.1, 6183.Smp_176870.1, 6183.Smp_181530.1	NP_492636.1
OG0000377	6183.Smp_143560.1	NP_493524.1, NP_505917.2, NP_508904.2, NP_509369.2
OG0000378	6183.Smp_144280.1	NP_491636.1, NP_491637.2, NP_491638.1, NP_491639.2
OG0000379	6183.Smp_145930.1	NP_498599.1, NP_503790.1, NP_506678.2, NP_510112.2
OG0000380	6183.Smp_150500.1, 6183.Smp_181470.1	NP_501350.3, NP_505500.2, NP_505501.1
OG0000381	6183.Smp_151720.1	NP_492409.2, NP_494948.2, NP_506009.1, NP_508832.2
OG0000382	6183.Smp_152200.1	NP_491862.1, NP_496197.2, NP_498972.1, NP_503446.1
OG0000383	6183.Smp_159570.1, 6183.Smp_211020.1	NP_491050.3, NP_502312.2, NP_502313.2
OG0000384	6183.Smp_159720.1, 6183.Smp_163820.1, 6183.Smp_175790.1, 6183.Smp_175820.1, 6183.Smp_192080.1	
OG0000385	6183.Smp_160670.1	NP_496116.1, NP_509758.2, NP_509759.2, S60251
OG0000386	6183.Smp_164760.1, 6183.Smp_171460.1	NP_509335.1, NP_509336.1, NP_510069.1
OG0000387	6183.Smp_169510.1	NP_493322.2, NP_500586.2, NP_501393.1, NP_501394.1
OG0000388	6183.Smp_171590.1	NP_495084.3, NP_495085.2, NP_495086.1, NP_501178.1
OG0000389	6183.Smp_172270.1	NP_499388.1, NP_502355.2, NP_502356.1, NP_503725.3
OG0000390	6183.Smp_179120.1	NP_499892.1, NP_505943.2, NP_505945.1, NP_506123.2
OG0000391	6183.Smp_180640.1, 6183.Smp_184350.1, 6183.Smp_192100.1, 6183.Smp_199740.1, 6183.Smp_209090.1	
OG0000392	6183.Smp_196040.1	NP_490799.2, NP_490800.2, NP_490801.1, NP_490802.1
OG0000393	6183.Smp_199640.1	NP_491329.2, NP_499250.1, NP_505890.1, NP_509971.2
OG0000394		NP_495407.1, NP_495408.1, NP_503105.1, NP_504689.1, NP_506620.1
OG0000395		NP_495510.1, NP_495972.1, NP_495973.1, NP_502044.1, NP_508515.2
OG0000396		NP_491890.2, NP_493649.2, NP_501058.2, NP_505959.1, NP_510249.2
OG0000397		NP_495575.2, NP_504514.2, NP_504531.2, NP_504532.1, NP_507226.2
OG0000398		NP_498386.2, NP_505205.2, NP_506448.2, NP_506449.1, NP_507092.1
OG0000399		NP_494593.1, NP_497754.2, NP_497834.1, NP_503177.1, NP_508092.1
OG0000400		NP_491432.2, NP_498615.1, NP_500154.1, NP_501121.1, NP_508323.1
OG0000401		NP_490685.1, NP_499862.2, NP_501570.1, NP_509255.2, NP_510202.2
OG0000402		NP_509374.1, NP_510376.1, NP_510377.1, NP_510730.1, NP_510731.1
OG0000403		NP_497492.1, NP_498247.1, NP_499400.2, NP_499959.1, NP_509176.2
OG0000404		NP_497008.1, NP_503547.1, NP_503549.1, NP_504046.1, NP_509670.2
OG0000405		NP_509235.2, NP_509236.2, NP_509237.1, NP_509238.2, NP_509918.2
OG0000406		NP_502892.3, NP_502896.2, NP_502904.1, NP_502919.1, NP_502920.3
OG0000407		NP_498011.1, NP_500993.1, NP_505658.1, NP_506322.1, NP_506323.1
OG0000408		NP_502974.2, NP_502975.1, NP_502976.1, NP_502977.1, T22925
OG0000409		NP_502986.1, NP_502987.1, NP_506042.1, NP_506043.1, NP_510447.1
OG0000410		NP_494207.1, NP_494208.2, NP_500785.1, NP_503118.1, NP_503119.1
OG0000411		NP_490776.3, NP_490779.1, NP_491174.2, NP_492003.2, NP_492715.1
OG0000412		NP_491828.3, NP_491829.3, NP_491830.2, NP_491831.1, NP_491832.1
OG0000413		NP_491364.2, NP_491898.3, NP_491910.2, NP_505421.3, NP_508030.4
OG0000414		NP_500372.1, NP_501172.2, NP_501380.1, NP_505748.1, NP_510520.4
OG0000415		NP_496098.1, NP_503176.2, NP_506289.1, NP_507810.2, NP_510466.1
OG0000416		NP_493344.2, NP_500171.2, NP_506319.1, NP_506452.5, NP_510557.3
OG0000417		NP_497167.2, NP_497169.1, NP_497528.2, NP_500945.1, NP_508270.1
OG0000418		NP_496525.2, NP_502615.1, NP_502624.1, NP_506687.2, NP_506726.2
OG0000419		NP_494750.1, NP_495020.1, NP_497022.1, NP_498491.1, NP_498492.1
OG0000420		NP_492448.1, NP_492682.1, NP_495283.2, NP_503067.1, NP_509113.1
OG0000421		NP_493510.1, NP_499975.2, NP_506804.2, NP_506807.1, NP_506808.2
OG0000422		NP_503091.3, NP_503092.1, NP_503093.1, NP_503094.3, NP_503095.2
OG0000423		NP_503391.2, NP_504628.2, NP_505600.1, NP_505607.1, NP_506472.1
OG0000424	6183.Smp_000040.1	NP_502066.1, NP_504470.2, NP_504471.2
OG0000425	6183.Smp_000160.1, 6183.Smp_008710.1, 6183.Smp_104970.1, 6183.Smp_189490.1	
OG0000426	6183.Smp_000670.1, 6183.Smp_123030.1	NP_496569.1, NP_496570.3
OG0000427	6183.Smp_000710.1, 6183.Smp_196290.1	NP_499162.2, NP_499163.2
OG0000428	6183.Smp_001030.1, 6183.Smp_142030.1	NP_499637.2, NP_499638.1
OG0000429	6183.Smp_001900.1, 6183.Smp_121960.1, 6183.Smp_148020.1	NP_500276.2
OG0000430	6183.Smp_003000.1, 6183.Smp_094760.1	NP_492906.2, NP_492907.2
OG0000431	6183.Smp_003710.1	NP_491734.1, NP_491735.1, NP_505151.2
OG0000432	6183.Smp_004220.1, 6183.Smp_167750.1	NP_501366.1, NP_501368.1
OG0000433	6183.Smp_004310.1, 6183.Smp_062890.1	NP_499165.1, NP_500188.1
OG0000434	6183.Smp_005190.2, 6183.Smp_005200.1, 6183.Smp_212600.1	NP_504721.1
OG0000435	6183.Smp_005500.1	CAC42368.1, NP_499721.3, NP_499722.2
OG0000436	6183.Smp_005860.1, 6183.Smp_065580.3, 6183.Smp_155850.1	NP_491825.2
OG0000437	6183.Smp_006730.1, 6183.Smp_006750.1, 6183.Smp_006760.1	NP_510541.1
OG0000438	6183.Smp_010110.1, 6183.Smp_056700.1	NP_495728.1, NP_496302.2
OG0000439	6183.Smp_010720.1, 6183.Smp_010770.1, 6183.Smp_051810.1, 6183.Smp_130370.1	
OG0000440	6183.Smp_010940.1	NP_493622.1, NP_496518.2, NP_504310.2
OG0000441	6183.Smp_011560.1	NP_502396.2, NP_502621.3, NP_507727.1
OG0000442	6183.Smp_011680.1, 6183.Smp_026810.1	NP_499802.3, NP_508919.2
OG0000443	6183.Smp_012010.1	NP_492815.2, NP_492816.2, NP_492817.2
OG0000444	6183.Smp_012580.1, 6183.Smp_155990.1	NP_494706.2, NP_494707.1
OG0000445	6183.Smp_012810.1	NP_491698.1, NP_492793.1, NP_497801.2
OG0000446	6183.Smp_012900.1, 6183.Smp_129720.1	NP_491176.1, NP_491177.1
OG0000447	6183.Smp_013440.1	NP_499995.2, NP_499996.1, NP_505904.2
OG0000448	6183.Smp_014010.1, 6183.Smp_161550.1	NP_510713.1, NP_510714.1
OG0000449	6183.Smp_014670.2, 6183.Smp_071140.1	NP_508826.2, NP_508827.2
OG0000450	6183.Smp_014850.1	NP_495513.1, NP_508706.2, NP_508707.1
OG0000451	6183.Smp_018620.1	NP_500191.3, NP_508082.2, NP_508083.1
OG0000452	6183.Smp_020090.1, 6183.Smp_155090.1, 6183.Smp_155100.1	NP_498029.2
OG0000453	6183.Smp_022340.1, 6183.Smp_157310.1	NP_501533.2, NP_501534.2
OG0000454	6183.Smp_022480.1, 6183.Smp_165170.1, 6183.Smp_173720.1, 6183.Smp_199590.1	
OG0000455	6183.Smp_022870.1, 6183.Smp_178740.1	NP_502544.1, NP_502545.1
OG0000456	6183.Smp_024180.2, 6183.Smp_101970.1, 6183.Smp_135250.1, 6183.Smp_157110.1	
OG0000457	6183.Smp_024970.1	NP_494772.1, NP_494773.1, NP_494774.1
OG0000458	6183.Smp_026420.1	NP_497601.1, NP_503830.2, NP_505623.1
OG0000459	6183.Smp_027820.1, 6183.Smp_126880.1, 6183.Smp_137250.1, 6183.Smp_168430.1	
OG0000460	6183.Smp_029070.1, 6183.Smp_100310.1, 6183.Smp_106410.1, 6183.Smp_177260.1	
OG0000461	6183.Smp_030220.1	NP_504509.1, NP_504511.1, NP_504512.1
OG0000462	6183.Smp_030320.1, 6183.Smp_125280.1	NP_506421.1, NP_506422.1
OG0000463	6183.Smp_030500.1, 6183.Smp_168310.1, 6183.Smp_169570.1	NP_499188.2
OG0000464	6183.Smp_031100.1, 6183.Smp_202480.1	NP_510458.1, NP_510459.1
OG0000465	6183.Smp_032970.1, 6183.Smp_032980.1, 6183.Smp_032990.1, 6183.Smp_139970.1	
OG0000466	6183.Smp_033040.1, 6183.Smp_038950.1, 6183.Smp_038960.1	NP_496503.1
OG0000467	6183.Smp_034300.1	NP_500046.2, NP_504947.2, NP_504949.2
OG0000468	6183.Smp_035540.1, 6183.Smp_147960.1, 6183.Smp_147980.1, 6183.Smp_167300.1	
OG0000469	6183.Smp_036180.1, 6183.Smp_163080.1	NP_508190.1, NP_508191.1
OG0000470	6183.Smp_036590.1, 6183.Smp_138050.2, 6183.Smp_142300.1	NP_496304.1
OG0000471	6183.Smp_040680.1, 6183.Smp_200180.1	NP_498422.1, NP_502298.2
OG0000472	6183.Smp_041770.1	NP_499080.3, NP_499081.1, NP_499082.1
OG0000473	6183.Smp_042300.2, 6183.Smp_075120.1	NP_501241.1, NP_510489.1
OG0000474	6183.Smp_042680.1, 6183.Smp_212250.1	NP_491180.1, NP_491181.2
OG0000475	6183.Smp_043100.1, 6183.Smp_053940.1	NP_500325.1, NP_500326.2
OG0000476	6183.Smp_043350.1	NP_497777.1, NP_500509.1, NP_500511.2
OG0000477	6183.Smp_043570.1, 6183.Smp_044750.1, 6183.Smp_046290.1, 6183.Smp_145660.1	
OG0000478	6183.Smp_043920.1, 6183.Smp_158370.1, 6183.Smp_161800.1, 6183.Smp_210200.1	
OG0000479	6183.Smp_045710.1	NP_495337.1, NP_504236.2, NP_505022.2
OG0000480	6183.Smp_046790.1, 6183.Smp_127200.1	NP_493981.1, NP_493982.1
OG0000481	6183.Smp_047060.1, 6183.Smp_177970.1, 6183.Smp_185160.1	NP_498396.1
OG0000482	6183.Smp_047640.1, 6183.Smp_047650.1, 6183.Smp_047660.1, 6183.Smp_047680.1	
OG0000483	6183.Smp_048160.1, 6183.Smp_159350.1	NP_496484.3, NP_496485.2
OG0000484	6183.Smp_048680.1, 6183.Smp_134780.1, 6183.Smp_150210.1	NP_495976.1
OG0000485	6183.Smp_049730.2, 6183.Smp_168850.1	NP_504031.1, NP_504032.1
OG0000486	6183.Smp_051640.1, 6183.Smp_177670.1, 6183.Smp_212450.1	NP_492590.1
OG0000487	6183.Smp_054360.1, 6183.Smp_054410.1, 6183.Smp_151260.1	NP_491663.1
OG0000488	6183.Smp_055340.1, 6183.Smp_133660.1	NP_498966.1, NP_498967.1
OG0000489	6183.Smp_056390.1, 6183.Smp_080860.1	NP_495017.1, NP_501458.2
OG0000490	6183.Smp_059150.1	NP_505439.1, NP_507241.2, NP_508475.2
OG0000491	6183.Smp_059480.1, 6183.Smp_062900.1, 6183.Smp_093780.1, 6183.Smp_158110.2	
OG0000492	6183.Smp_060480.1	NP_501584.2, NP_502225.1, NP_503069.1
OG0000493	6183.Smp_060910.1, 6183.Smp_094150.1	NP_490883.1, NP_498708.1
OG0000494	6183.Smp_062920.1, 6183.Smp_146390.1, 6183.Smp_211030.1	NP_499084.1
OG0000495	6183.Smp_063260.1	NP_493221.1, NP_495983.1, NP_500988.2
OG0000496	6183.Smp_063340.1	NP_502580.2, NP_502581.2, NP_502582.2
OG0000497	6183.Smp_064190.1, 6183.Smp_064200.1, 6183.Smp_156740.1	NP_492584.1
OG0000498	6183.Smp_067480.3, 6183.Smp_067490.1, 6183.Smp_136640.1	NP_491447.3
OG0000499	6183.Smp_068000.1	NP_493587.1, NP_494130.2, NP_502065.1
OG0000500	6183.Smp_068510.1, 6183.Smp_158980.1, 6183.Smp_158990.1	NP_492651.1
OG0000501	6183.Smp_069240.1, 6183.Smp_129380.1, 6183.Smp_194710.1	NP_496104.2
OG0000502	6183.Smp_069870.1, 6183.Smp_069880.1	NP_500504.1, NP_500505.1
OG0000503	6183.Smp_070170.1, 6183.Smp_081440.1, 6183.Smp_138030.1	NP_499819.3
OG0000504	6183.Smp_070370.1, 6183.Smp_070380.1, 6183.Smp_075500.1, 6183.Smp_198560.1	
OG0000505	6183.Smp_073450.1, 6183.Smp_124760.1, 6183.Smp_157380.1, 6183.Smp_184180.1	
OG0000506	6183.Smp_073940.1	NP_502144.1, NP_506733.1, NP_508590.1
OG0000507	6183.Smp_075790.1, 6183.Smp_075800.1, 6183.Smp_179170.1	NP_506137.1
OG0000508	6183.Smp_075950.1, 6183.Smp_134860.1	NP_497506.4, NP_497509.3
OG0000509	6183.Smp_078930.1, 6183.Smp_143800.1, 6183.Smp_160360.1	NP_505873.2
OG0000510	6183.Smp_079230.1	NP_493256.1, NP_493257.1, T26539
OG0000511	6183.Smp_081900.2, 6183.Smp_081920.1, 6183.Smp_166340.1, 6183.Smp_166350.1	
OG0000512	6183.Smp_082050.1	NP_497174.1, NP_509501.2, NP_509502.3
OG0000513	6183.Smp_082490.1	NP_491297.1, NP_501987.1, NP_502047.1
OG0000514	6183.Smp_082740.1, 6183.Smp_151580.1	NP_501589.1, NP_501596.2
OG0000515	6183.Smp_083710.1	NP_492161.3, NP_501018.1, NP_501019.2
OG0000516	6183.Smp_083740.1, 6183.Smp_134950.1, 6183.Smp_136850.2	NP_498986.3
OG0000517	6183.Smp_086330.1	NP_491282.1, NP_492339.1, NP_492849.3
OG0000518	6183.Smp_086690.1	NP_509322.2, NP_509682.1, NP_509683.1
OG0000519	6183.Smp_087250.1	NP_498300.2, NP_498301.3, NP_498302.2
OG0000520	6183.Smp_088700.1, 6183.Smp_088720.1, 6183.Smp_170410.1, 6183.Smp_170420.1	
OG0000521	6183.Smp_089780.1, 6183.Smp_099640.1, 6183.Smp_179310.1, 6183.Smp_205110.1	
OG0000522	6183.Smp_090220.1	NP_502341.1, NP_509562.1, NP_509563.1
OG0000523	6183.Smp_094390.1, 6183.Smp_170370.1, 6183.Smp_170450.1	NP_492604.1
OG0000524	6183.Smp_094950.1, 6183.Smp_094980.1, 6183.Smp_128560.1	NP_509123.2
OG0000525	6183.Smp_095580.1	NP_504643.1, NP_504644.1, NP_505971.2
OG0000526	6183.Smp_096240.1, 6183.Smp_143570.1	NP_497292.1, NP_510277.1
OG0000527	6183.Smp_096640.1	NP_505309.1, NP_505310.2, NP_505311.3
OG0000528	6183.Smp_097180.1	NP_498293.1, NP_498294.1, NP_502955.1
OG0000529	6183.Smp_097730.1, 6183.Smp_140200.1, 6183.Smp_161530.1	NP_492296.1
OG0000530	6183.Smp_098570.1, 6183.Smp_131350.1, 6183.Smp_136310.1	NP_500176.1
OG0000531	6183.Smp_101780.1, 6183.Smp_118190.1, 6183.Smp_166110.1	NP_494839.1
OG0000532	6183.Smp_102210.1, 6183.Smp_131580.1, 6183.Smp_160310.1	NP_508811.1
OG0000533	6183.Smp_103210.1	NP_505741.2, NP_509929.2, NP_509930.2
OG0000534	6183.Smp_108600.1, 6183.Smp_175890.1, 6183.Smp_181700.1, 6183.Smp_187110.1	
OG0000535	6183.Smp_110050.1, 6183.Smp_120420.1, 6183.Smp_164810.1, 6183.Smp_182530.1	
OG0000536	6183.Smp_112590.1, 6183.Smp_113460.1, 6183.Smp_186530.1, 6183.Smp_186540.1	
OG0000537	6183.Smp_113530.1, 6183.Smp_178240.1, 6183.Smp_184460.1, 6183.Smp_185350.1	
OG0000538	6183.Smp_118890.1, 6183.Smp_120260.1, 6183.Smp_168440.1, 6183.Smp_193740.1	
OG0000539	6183.Smp_118970.1, 6183.Smp_139180.1	NP_503964.2, NP_503965.2
OG0000540	6183.Smp_119140.1, 6183.Smp_161760.1, 6183.Smp_201920.1, 6183.Smp_203290.1	
OG0000541	6183.Smp_125050.1, 6183.Smp_125340.1	NP_491731.2, NP_491732.2
OG0000542	6183.Smp_125530.1, 6183.Smp_135700.1, 6183.Smp_159180.1, 6183.Smp_168290.1	
OG0000543	6183.Smp_126140.1, 6183.Smp_170280.1, 6183.Smp_173540.1, 6183.Smp_181010.1	
OG0000544	6183.Smp_126160.1	NP_496565.2, NP_496566.1, NP_500084.2
OG0000545	6183.Smp_126450.1, 6183.Smp_137890.1	NP_494495.3, NP_498322.1
OG0000546	6183.Smp_126760.1	NP_492232.2, NP_492233.1, NP_506153.1
OG0000547	6183.Smp_128490.1, 6183.Smp_154400.1	NP_491623.3, NP_491626.2
OG0000548	6183.Smp_128790.1	NP_509777.2, NP_509778.2, NP_509779.2
OG0000549	6183.Smp_128980.1	NP_490936.2, NP_492730.2, NP_504502.1
OG0000550	6183.Smp_129000.1, 6183.Smp_133070.1, 6183.Smp_133080.1, 6183.Smp_133090.1	
OG0000551	6183.Smp_129260.1, 6183.Smp_145810.1	NP_491072.1, NP_508039.2
OG0000552	6183.Smp_129490.1, 6183.Smp_148570.1	NP_508204.2, NP_509273.1
OG0000553	6183.Smp_129510.1	NP_495889.1, NP_505116.1, NP_505349.1
OG0000554	6183.Smp_130070.1, 6183.Smp_132700.1	NP_508166.1, NP_510435.1
OG0000555	6183.Smp_130430.1, 6183.Smp_205840.1	NP_504260.1, NP_504261.1
OG0000556	6183.Smp_130560.1, 6183.Smp_134190.1, 6183.Smp_144050.1, 6183.Smp_157620.1	
OG0000557	6183.Smp_130600.1	NP_491747.1, NP_491748.1, NP_491749.2
OG0000558	6183.Smp_131990.1, 6183.Smp_159360.1	NP_501426.3, NP_501432.4
OG0000559	6183.Smp_132270.1, 6183.Smp_145490.1	NP_497351.3, NP_497923.1
OG0000560	6183.Smp_132600.1, 6183.Smp_205990.1	NP_502219.2, NP_502221.1
OG0000561	6183.Smp_132670.1	NP_497700.1, NP_510828.1, NP_510829.2
OG0000562	6183.Smp_132770.1	NP_494561.1, NP_509382.2, NP_509383.2
OG0000563	6183.Smp_133250.1, 6183.Smp_133690.1, 6183.Smp_135340.1, 6183.Smp_150730.1	
OG0000564	6183.Smp_133330.1	NP_495415.2, NP_499940.2, NP_509894.2
OG0000565	6183.Smp_133480.1, 6183.Smp_158750.1	NP_508644.1, NP_508645.1
OG0000566	6183.Smp_134410.2, 6183.Smp_150340.1	NP_495464.2, NP_510705.1
OG0000567	6183.Smp_135490.1, 6183.Smp_151290.1, 6183.Smp_162110.1	NP_505208.1
OG0000568	6183.Smp_135920.1, 6183.Smp_170870.1	NP_498017.1, NP_501810.2
OG0000569	6183.Smp_137440.1	NP_491605.2, NP_491606.2, NP_491607.2
OG0000570	6183.Smp_137980.1, 6183.Smp_153200.1, 6183.Smp_153210.1, 6183.Smp_204020.1	
OG0000571	6183.Smp_138770.1, 6183.Smp_177250.1	NP_500787.1, NP_500788.1
OG0000572	6183.Smp_139090.1, 6183.Smp_201750.1, 6183.Smp_203980.1	NP_495437.2
OG0000573	6183.Smp_140700.1	NP_499829.1, NP_499830.2, NP_499831.2
OG0000574	6183.Smp_140840.1	NP_491503.1, NP_491504.1, NP_491505.1
OG0000575	6183.Smp_140920.1, 6183.Smp_147430.1, 6183.Smp_153780.1	NP_492017.3
OG0000576	6183.Smp_140980.1, 6183.Smp_156420.1	NP_496149.3, NP_496150.1
OG0000577	6183.Smp_141010.1, 6183.Smp_163750.1	NP_491602.2, NP_492337.1
OG0000578	6183.Smp_141550.1, 6183.Smp_141560.1, 6183.Smp_160250.1, 6183.Smp_193710.1	
OG0000579	6183.Smp_141590.2, 6183.Smp_144430.1	NP_497505.4, NP_499047.1
OG0000580	6183.Smp_142170.1	NP_496553.1, NP_496554.1, NP_496555.1
OG0000581	6183.Smp_142280.1, 6183.Smp_142290.1, 6183.Smp_153100.1, 6183.Smp_212410.1	
OG0000582	6183.Smp_142550.1, 6183.Smp_163440.1	NP_491855.1, NP_507716.1
OG0000583	6183.Smp_142630.1, 6183.Smp_167010.1	NP_490886.2, NP_490887.1
OG0000584	6183.Smp_142650.2	NP_491332.1, NP_491333.1, NP_491334.1
OG0000585	6183.Smp_142940.1	NP_500513.1, NP_501836.1, NP_505120.1
OG0000586	6183.Smp_144760.1, 6183.Smp_161430.1, 6183.Smp_161850.1	NP_508838.3
OG0000587	6183.Smp_144840.1	NP_491589.1, NP_501303.1, NP_501357.3
OG0000588	6183.Smp_145180.1	NP_499337.3, NP_499338.1, NP_499339.1
OG0000589	6183.Smp_145240.1, 6183.Smp_149580.1	NP_501332.3, NP_509470.3
OG0000590	6183.Smp_145880.1	NP_492685.2, NP_504297.1, NP_504299.2
OG0000591	6183.Smp_146320.1, 6183.Smp_172060.1	NP_496368.1, NP_502180.1
OG0000592	6183.Smp_149020.1	NP_509844.3, NP_509845.1, NP_509846.1
OG0000593	6183.Smp_149130.1	NP_500060.1, NP_500061.4, NP_508051.1
OG0000594	6183.Smp_149440.1	NP_491179.1, NP_500620.1, NP_509310.1
OG0000595	6183.Smp_149630.1	NP_505173.2, NP_505174.3, NP_505175.2
OG0000596	6183.Smp_150060.1	NP_492487.2, NP_492488.2, NP_499028.1
OG0000597	6183.Smp_150390.3, 6183.Smp_194110.1	NP_497930.2, NP_497931.2
OG0000598	6183.Smp_152570.1	NP_500566.1, NP_500567.1, NP_500568.1
OG0000599	6183.Smp_153610.1	NP_490901.2, NP_490902.2, NP_490903.1
OG0000600	6183.Smp_154770.1, 6183.Smp_203140.1	NP_501286.2, NP_502079.1
OG0000601	6183.Smp_155160.1, 6183.Smp_155180.1, 6183.Smp_210140.1	NP_492192.1
OG0000602	6183.Smp_157760.1	NP_499887.1, NP_499888.1, NP_500418.1
OG0000603	6183.Smp_159450.1, 6183.Smp_173870.1, 6183.Smp_198240.1	NP_493468.2
OG0000604	6183.Smp_160710.1, 6183.Smp_161250.1	NP_500461.1, NP_500462.1
OG0000605	6183.Smp_161010.1, 6183.Smp_210660.1	NP_496576.2, NP_496579.3
