Orthogroup	protein_mansoni	resultado_dme
OG0000413	6183.Smp_055850.1, 6183.Smp_123980.1, 6183.Smp_123990.1	NP_524839.3
OG0000414	6183.Smp_056760.1, 6183.Smp_157700.1	AAF57391.1, NP_524079.1
OG0000415	6183.Smp_057020.1, 6183.Smp_152720.1, 6183.Smp_152770.1	AAF48727.2
OG0000416	6183.Smp_058240.1	AAF52198.2, AAF54008.2, NP_608893.1
OG0000417	6183.Smp_058690.1, 6183.Smp_058700.1	AAF47761.1, AAF57607.2
OG0000418	6183.Smp_058790.1	AAF56055.3, AAF58463.1, NP_524080.1
OG0000419	6183.Smp_061540.1	AAF46715.2, AAF58280.1, AAF59000.3
OG0000420	6183.Smp_062240.1, 6183.Smp_123600.1, 6183.Smp_155640.1, 6183.Smp_168860.1	
OG0000421	6183.Smp_062900.1	AAF49652.1, NP_477510.1, NP_525002.1
OG0000422	6183.Smp_062920.1, 6183.Smp_146390.1, 6183.Smp_211030.1	AAF50336.2
OG0000423	6183.Smp_064190.1, 6183.Smp_064200.1, 6183.Smp_156740.1	CAA15931.1
OG0000424	6183.Smp_066610.1	AAF46426.1, NP_611346.1, NP_611347.1
OG0000425	6183.Smp_070170.1, 6183.Smp_081440.1, 6183.Smp_138030.1	NP_525040.2
OG0000426	6183.Smp_070370.1, 6183.Smp_070380.1, 6183.Smp_075500.1, 6183.Smp_198560.1	
OG0000427	6183.Smp_071250.1	AAF50649.2, NP_476857.1, NP_477402.1
OG0000428	6183.Smp_072720.1	AAF46464.1, AAF54360.2, AAF54361.2
OG0000429	6183.Smp_073450.1, 6183.Smp_124760.1, 6183.Smp_157380.1, 6183.Smp_184180.1	
OG0000430	6183.Smp_074400.1, 6183.Smp_139020.1	AAF45995.4, NP_524140.2
OG0000431	6183.Smp_074500.2	AAF51229.3, AAL68142.1, NP_609804.1
OG0000432	6183.Smp_076230.1	NP_525092.1, NP_611920.1, Q24178.2
OG0000433	6183.Smp_076370.1	AAF49548.1, AAF55399.1, NP_477127.1
OG0000434	6183.Smp_076950.1, 6183.Smp_159740.1, 6183.Smp_159760.1	AAF49413.1
OG0000435	6183.Smp_077810.1, 6183.Smp_172000.1, 6183.Smp_188800.1	AAF55290.1
OG0000436	6183.Smp_078780.1, 6183.Smp_085110.2	AAF52003.2, NP_477307.1
OG0000437	6183.Smp_080700.3, 6183.Smp_090240.1, 6183.Smp_210130.1	AAF50505.2
OG0000438	6183.Smp_081900.2, 6183.Smp_081920.1, 6183.Smp_166340.1, 6183.Smp_166350.1	
OG0000439	6183.Smp_084890.1, 6183.Smp_104270.1, 6183.Smp_153340.1, 6183.Smp_153390.2	
OG0000440	6183.Smp_088650.1	AAF50451.1, NP_476955.1, NP_524631.1
OG0000441	6183.Smp_088700.1, 6183.Smp_088720.1, 6183.Smp_170410.1, 6183.Smp_170420.1	
OG0000442	6183.Smp_089060.1	AAF48616.1, AAF50069.1, AAF57078.1
OG0000443	6183.Smp_089430.1	AAF55498.1, NP_476776.1, NP_476778.1
OG0000444	6183.Smp_089780.1, 6183.Smp_099640.1, 6183.Smp_179310.1, 6183.Smp_205110.1	
OG0000445	6183.Smp_090520.1, 6183.Smp_179110.1	AAF47052.1, AAF47654.1
OG0000446	6183.Smp_093700.1	AAF51335.3, AAF53300.1, NP_573087.1
OG0000447	6183.Smp_093850.1	AAF46440.1, AAF46441.1, AAF48320.2
OG0000448	6183.Smp_094390.1, 6183.Smp_170370.1, 6183.Smp_170450.1	AAF52139.3
OG0000449	6183.Smp_094950.1, 6183.Smp_094980.1, 6183.Smp_128560.1	AAF46676.2
OG0000450	6183.Smp_095290.1, 6183.Smp_164740.1	AAF46002.2, AAF46003.2
OG0000451	6183.Smp_097730.1, 6183.Smp_140200.1, 6183.Smp_161530.1	AAF47195.1
OG0000452	6183.Smp_098710.1	AAF55938.1, AAF55939.1, AAF58400.1
OG0000453	6183.Smp_098890.2	AAF52890.1, NP_572880.2, Q02427.3
OG0000454	6183.Smp_100360.1, 6183.Smp_125310.1, 6183.Smp_135200.1, 6183.Smp_157500.1	
OG0000455	6183.Smp_101780.1, 6183.Smp_118190.1, 6183.Smp_166110.1	NP_612021.1
OG0000456	6183.Smp_105020.1, 6183.Smp_128750.1, 6183.Smp_157020.1, 6183.Smp_197080.1	
OG0000457	6183.Smp_105080.1	AAF54581.3, NP_608660.3, NP_610737.1
OG0000458	6183.Smp_105200.3, 6183.Smp_158320.2	AAF49722.2, NP_523983.1
OG0000459	6183.Smp_108600.1, 6183.Smp_175890.1, 6183.Smp_181700.1, 6183.Smp_187110.1	
OG0000460	6183.Smp_110050.1, 6183.Smp_120420.1, 6183.Smp_164810.1, 6183.Smp_182530.1	
OG0000461	6183.Smp_112590.1, 6183.Smp_113460.1, 6183.Smp_186530.1, 6183.Smp_186540.1	
OG0000462	6183.Smp_113530.1, 6183.Smp_178240.1, 6183.Smp_184460.1, 6183.Smp_185350.1	
OG0000463	6183.Smp_118890.1, 6183.Smp_120260.1, 6183.Smp_168440.1, 6183.Smp_193740.1	
OG0000464	6183.Smp_119140.1, 6183.Smp_161760.1, 6183.Smp_201920.1, 6183.Smp_203290.1	
OG0000465	6183.Smp_124340.1, 6183.Smp_162060.1	AAF48232.2, CAA21411.2
OG0000466	6183.Smp_125050.1, 6183.Smp_125340.1	AAF55003.1, AAF57004.1
OG0000467	6183.Smp_125350.1, 6183.Smp_136690.1, 6183.Smp_154600.1	NP_476953.1
OG0000468	6183.Smp_126140.1, 6183.Smp_170280.1, 6183.Smp_173540.1, 6183.Smp_181010.1	
OG0000469	6183.Smp_126730.1, 6183.Smp_148210.1, 6183.Smp_156210.1	NP_524599.1
OG0000470	6183.Smp_127630.1, 6183.Smp_131830.1, 6183.Smp_212390.1	AAF50952.2
OG0000471	6183.Smp_128060.1	AAF49605.2, AAF53097.3, NP_523548.1
OG0000472	6183.Smp_129000.1, 6183.Smp_133070.1, 6183.Smp_133080.1, 6183.Smp_133090.1	
OG0000473	6183.Smp_131390.1	AAF46981.1, AAF56278.2, AAF56279.1
OG0000474	6183.Smp_131460.1	AAF32327.1, AAF49648.1, AAF49649.3
OG0000475	6183.Smp_133330.1	AAF57044.1, AAF57045.2, NP_611904.1
OG0000476	6183.Smp_133840.1, 6183.Smp_139090.1, 6183.Smp_149310.1	AAF47507.1
OG0000477	6183.Smp_134050.1	AAF58335.2, NP_609762.2, NP_609779.2
OG0000478	6183.Smp_135160.1	AAF48906.2, AAF49192.2, AAF49193.2
OG0000479	6183.Smp_135470.1, 6183.Smp_159710.1, 6183.Smp_180870.1, 6183.Smp_193670.1	
OG0000480	6183.Smp_135490.1, 6183.Smp_151290.1, 6183.Smp_162110.1	AAF55781.2
OG0000481	6183.Smp_135610.1	AAF49078.3, AAF51468.3, NP_477497.1
OG0000482	6183.Smp_135700.1, 6183.Smp_159180.1, 6183.Smp_168290.1	AAF48309.1
OG0000483	6183.Smp_136240.6	AAF50490.3, AAF50728.2, NP_570087.1
OG0000484	6183.Smp_137000.1	AAF48981.2, AAF48982.2, XP_081254.1
OG0000485	6183.Smp_137980.1, 6183.Smp_153200.1, 6183.Smp_153210.1, 6183.Smp_204020.1	
OG0000486	6183.Smp_138230.1, 6183.Smp_143190.1, 6183.Smp_163870.1	NP_524428.1
OG0000487	6183.Smp_138460.1, 6183.Smp_144360.1, 6183.Smp_197460.1	AAF51736.2
OG0000488	6183.Smp_139110.1, 6183.Smp_145700.1, 6183.Smp_154020.1	AAF59369.2
OG0000489	6183.Smp_139520.1, 6183.Smp_141030.1	AAF51441.1, AAF55374.2
OG0000490	6183.Smp_140610.1	AAF47970.1, AAF47971.2, NP_572662.1
OG0000491	6183.Smp_141550.1, 6183.Smp_141560.1, 6183.Smp_160250.1, 6183.Smp_193710.1	
OG0000492	6183.Smp_141570.1	AAF45991.2, AAF55561.1, NP_610349.1
OG0000493	6183.Smp_141770.1	AAF47558.2, NP_524655.1, NP_610718.1
OG0000494	6183.Smp_141860.1	AAF50228.2, AAF50230.1, AAF50234.3
OG0000495	6183.Smp_142630.1, 6183.Smp_167010.1	AAF50399.1, AAF56407.4
OG0000496	6183.Smp_143650.1, 6183.Smp_143660.1	AAF58611.2, AAF58612.1
OG0000497	6183.Smp_143830.1	AAF46943.3, NP_524723.2, NP_611906.1
OG0000498	6183.Smp_144990.1	AAF46614.5, AAF48740.2, AAF48741.1
OG0000499	6183.Smp_145090.1, 6183.Smp_164160.1, 6183.Smp_207060.1	AAF49464.2
OG0000500	6183.Smp_146120.1, 6183.Smp_197150.1	AAF48205.4, AAF48206.1
OG0000501	6183.Smp_147950.1, 6183.Smp_164080.1	AAF46312.3, AAF56200.1
OG0000502	6183.Smp_149200.1	AAF49148.2, AAF49149.1, NP_524061.1
OG0000503	6183.Smp_149230.1	AAF49894.1, P54269.2, Q24248.2
OG0000504	6183.Smp_149570.1	AAF50641.3, AAF53205.2, P31369.1
OG0000505	6183.Smp_150370.1	AAF59081.3, AAF59082.3, P91685.2
OG0000506	6183.Smp_150770.1	AAF48154.2, AAF48156.2, AAF51824.2
OG0000507	6183.Smp_151880.1	AAF53548.2, NP_476768.1, NP_476895.1
OG0000508	6183.Smp_154240.1, 6183.Smp_157150.1, 6183.Smp_211210.1	NP_610216.1
OG0000509	6183.Smp_154770.1, 6183.Smp_203140.1	AAF56521.1, NP_523444.1
OG0000510	6183.Smp_154790.1, 6183.Smp_154800.1	AAF47333.3, AAF49838.3
OG0000511	6183.Smp_154960.1	AAF48417.2, AAF50698.2, NP_572754.1
OG0000512	6183.Smp_155160.1, 6183.Smp_155180.1, 6183.Smp_210140.1	AAF56518.1
OG0000513	6183.Smp_155690.1, 6183.Smp_179780.1, 6183.Smp_180820.1	AAF49756.1
OG0000514	6183.Smp_156020.1, 6183.Smp_156040.1	AAF47871.2, AAF53441.2
OG0000515	6183.Smp_157100.1	AAF47706.3, AAF48045.1, AAF52895.2
OG0000516	6183.Smp_158240.1	AAF46186.3, AAF46187.2, AAF50063.1
OG0000517	6183.Smp_159160.1, 6183.Smp_171010.1	AAF48513.2, AAF57502.2
OG0000518	6183.Smp_159450.1, 6183.Smp_173870.1, 6183.Smp_198240.1	AAF56243.2
OG0000519	6183.Smp_159890.1	AAF45513.3, AAF45514.2, AAF48652.3
OG0000520	6183.Smp_160940.1	AAF49689.1, NP_476957.1, NP_524827.1
OG0000521	6183.Smp_161860.1	AAF46401.2, AAF46799.1, AAF49957.1
OG0000522	6183.Smp_165230.1, 6183.Smp_165660.1, 6183.Smp_199610.1	AAF53183.2
OG0000523	6183.Smp_165440.1, 6183.Smp_172470.1	AAF58143.2, AAF58144.1
OG0000524	6183.Smp_166070.1, 6183.Smp_176690.1	AAF57952.1, NP_611158.1
OG0000525	6183.Smp_166280.1	AAF50071.2, AAF50733.2, AAF51610.2
OG0000526	6183.Smp_166290.1	AAF51115.1, AAF51969.1, NP_573079.1
OG0000527	6183.Smp_166540.1, 6183.Smp_176970.1, 6183.Smp_177920.1	AAF56344.1
OG0000528	6183.Smp_167240.1, 6183.Smp_167250.1	AAF51951.2, AAF56349.2
OG0000529	6183.Smp_171850.1, 6183.Smp_200020.1	NP_572609.1, NP_572882.1
OG0000530	6183.Smp_172060.1	AAF58055.2, NP_477231.1, XP_080538.1
OG0000531	6183.Smp_173480.1	AAF46769.2, AAF57585.1, AAF58918.5
OG0000532	6183.Smp_173820.1	AAF49871.2, AAF51506.2, NP_609049.1
OG0000533	6183.Smp_174390.1, 6183.Smp_192670.1	AAF58908.2, NP_611804.1
OG0000534	6183.Smp_175750.1	AAF49840.1, AAF55854.3, AAF55945.2
OG0000535	6183.Smp_176100.1	AAF53175.3, AAF57308.2, NP_609741.3
OG0000536	6183.Smp_176610.1	AAF50653.2, AAF55411.1, NP_608379.1
OG0000537	6183.Smp_177120.1	AAF46179.1, AAF46180.2, AAF53663.1
OG0000538	6183.Smp_177580.1, 6183.Smp_183040.1, 6183.Smp_184280.1, 6183.Smp_205560.1	
OG0000539	6183.Smp_194770.1	AAF50326.2, AAF50327.1, AAF55238.2
OG0000540	6183.Smp_199690.1	AAF49928.2, AAF52426.2, AAF56536.5
OG0000541	6183.Smp_200820.1, 6183.Smp_200840.1, 6183.Smp_200870.1, 6183.Smp_200880.1	
OG0000542	6183.Smp_205450.1, 6183.Smp_205460.1, 6183.Smp_205470.1, 6183.Smp_205480.1	
OG0000543	6183.Smp_208050.1	AAF51322.1, AAF55666.2, AAF55667.1
OG0000544	6183.Smp_210380.1	AAF51623.1, NP_609805.1, NP_610143.3
OG0000545	6183.Smp_210500.1	AAF57567.1, NP_523735.2, NP_610907.1
OG0000546	6183.Smp_210680.1	AAF57211.3, NP_608335.1, NP_609269.1
OG0000547	6183.Smp_210840.1	AAF56949.1, AAF56950.3, AAF56952.3
OG0000548	6183.Smp_211280.1	AAF58012.1, AAF58013.4, NP_477266.1
OG0000549		AAF51963.2, AAF53929.3, NP_609496.1, NP_610063.4
OG0000550		AAF46338.1, AAF47512.1, AAF51944.1, NP_609860.2
OG0000551		AAF56010.1, AAF56011.1, Q05783.1, Q06943.1
OG0000552		AAF50402.1, AAF50403.2, AAF50405.1, AAF50406.1
OG0000553		AAF47293.1, AAF47356.2, AAF54160.2, AAF56703.3
OG0000554		AAF57300.2, AAF59140.3, NP_523658.1, NP_524731.1
OG0000555		AAF49513.2, AAF55861.2, AAF55862.2, AAF56466.1
OG0000556		AAF48384.1, AAF48385.1, AAF49237.1, AAF51740.2
OG0000557		AAF44910.1, AAF47013.1, AAF51465.2, NP_524438.1
OG0000558		AAF48772.2, AAF52771.2, AAF56527.1, AAF57331.3
OG0000559		AAF46316.1, AAF53158.3, AAF56083.1, AAF56086.1
OG0000560		AAF46719.2, AAF49795.2, AAF57123.2, AAF57124.2
OG0000561		AAF47553.3, AAF53364.2, NP_477450.1, NP_609691.6
OG0000562		AAF54344.1, AAF58309.1, NP_611815.3, NP_611816.2
OG0000563		AAF45374.2, AAF52828.2, NP_609323.1, NP_609324.2
OG0000564		AAF47125.1, AAF48655.3, AAF53791.2, AAF53979.2
OG0000565		AAF54237.3, NP_476600.1, NP_476601.1, NP_476732.1
OG0000566		AAF47775.2, AAF49702.2, AAF57908.3, AAF58307.2
OG0000567		AAF45631.1, AAF52074.2, AAF59393.1, NP_569917.1
OG0000568		AAF48342.2, AAF48367.1, AAF48370.1, AAF48371.1
OG0000569		AAF47636.1, AAF49861.2, AAF50958.1, NP_608875.1
OG0000570		AAF51262.1, AAF51263.1, AAF53572.2, NP_608619.1
OG0000571		AAF57163.3, AAF57164.3, AAF57165.1, NP_609061.2
OG0000572		AAF49065.1, AAF49067.1, AAF50064.2, AAF50065.2
OG0000573		AAF49559.1, AAF49560.2, AAF49561.1, AAF49562.1
OG0000574		AAF48470.4, AAF48474.4, AAF48475.2, AAF49334.2
OG0000575		AAF48432.2, AAF49091.1, AAF49465.2, Q9VHB6.1
OG0000576		AAF54414.1, AAF54945.2, AAF56156.1, XP_081191.1
OG0000577		AAF52242.1, AAF55224.1, AAF58302.1, NP_523563.1
OG0000578		AAF47856.1, AAF47874.1, AAF51743.2, AAF55365.1
OG0000579		AAF46927.2, AAF49543.2, AAF51810.4, AAF51811.1
OG0000580		AAF53636.4, AAF58763.5, NP_476722.1, O15943.2
OG0000581		AAF49351.1, AAF54562.5, AAF54717.4, AAF55082.3
OG0000582		AAF54831.2, AAF54834.1, AAF54835.2, AAF56012.1
OG0000583		AAF52281.1, AAF53224.1, NP_608958.2, NP_611886.1
OG0000584		AAF45580.2, AAF48381.2, AAF55763.1, NP_610868.1
OG0000585		AAF53805.4, AAF53809.4, AAF53810.1, NP_609973.1
OG0000586		AAF50067.2, AAF51515.1, NP_608513.1, NP_608514.1
OG0000587		NP_476623.1, NP_476694.1, NP_476803.1, NP_476824.1
OG0000588		AAF47379.2, AAF50761.3, Q9VGG8.2, Q9VXD9.1
OG0000589		AAF55958.2, AAF55962.1, AAF55966.2, AAF56040.1
OG0000590		AAF47996.2, AAF47997.3, AAF57854.3, NP_611217.1
OG0000591	6183.Smp_000020.1, 6183.Smp_210490.1	AAF55867.1
OG0000592	6183.Smp_000070.1	AAF48201.1, AAF52680.2
OG0000593	6183.Smp_000100.1, 6183.Smp_156590.1	AAF55390.4
OG0000594	6183.Smp_000110.1	AAF49457.1, AAF49461.3
OG0000595	6183.Smp_000190.1	AAF50980.1, AAF53953.3
OG0000596	6183.Smp_000240.1	AAF48578.3, AAK92893.1
OG0000597	6183.Smp_000270.1, 6183.Smp_000280.1, 6183.Smp_077920.1	
OG0000598	6183.Smp_000410.1, 6183.Smp_000430.1, 6183.Smp_191910.1	
OG0000599	6183.Smp_000600.1, 6183.Smp_018400.1	NP_477294.2
OG0000600	6183.Smp_000630.1	AAF57156.1, NP_611952.1
OG0000601	6183.Smp_000710.1, 6183.Smp_196290.1	AAF56066.1
OG0000602	6183.Smp_000780.1, 6183.Smp_029520.1, 6183.Smp_148580.1	
OG0000603	6183.Smp_000790.1, 6183.Smp_138170.1	AAF54428.2
OG0000604	6183.Smp_000950.1	AAF46112.2, NP_572287.1
OG0000605	6183.Smp_001040.1	AAF56363.1, NP_476590.1
OG0000606	6183.Smp_001100.1, 6183.Smp_143300.1	AAF47894.2
OG0000607	6183.Smp_001360.1, 6183.Smp_032810.1	AAF57756.2
OG0000608	6183.Smp_001980.1, 6183.Smp_125600.1	NP_523387.1
OG0000609	6183.Smp_002080.1	AAF51554.1, AAF51558.1
OG0000610	6183.Smp_002180.1	AAF51481.1, NP_476853.1
OG0000611	6183.Smp_002350.1, 6183.Smp_123360.1, 6183.Smp_123370.1	
OG0000612	6183.Smp_002870.1, 6183.Smp_179060.1	NP_609033.1
OG0000613	6183.Smp_002920.1, 6183.Smp_140510.1, 6183.Smp_140560.1	
OG0000614	6183.Smp_003000.1, 6183.Smp_094760.1	AAB84112.1
OG0000615	6183.Smp_003190.1, 6183.Smp_143770.1	AAF52208.4
OG0000616	6183.Smp_003230.1, 6183.Smp_036990.1	AAF55605.2
OG0000617	6183.Smp_003300.1, 6183.Smp_090080.1, 6183.Smp_090090.1	
OG0000618	6183.Smp_003900.1	AAF52249.1, AAF52250.1
OG0000619	6183.Smp_003970.1	AAF52880.1, NP_609361.1
OG0000620	6183.Smp_004060.1	NP_477501.1, NP_523494.1
OG0000621	6183.Smp_004220.1, 6183.Smp_124410.1, 6183.Smp_167750.1	
OG0000622	6183.Smp_004280.1	Q9VCG2.3, Q9VCG3.1
OG0000623	6183.Smp_004590.1, 6183.Smp_140990.1	AAF47054.4
OG0000624	6183.Smp_004680.1	AAF51186.2, AAF51188.1
OG0000625	6183.Smp_005200.1, 6183.Smp_212600.1	AAF57595.1
OG0000626	6183.Smp_005230.2, 6183.Smp_147680.1	NP_477393.1
OG0000627	6183.Smp_005290.1	AAF50785.1, AAF56876.1
OG0000628	6183.Smp_005500.1	AAF57964.3, AAF57966.2
OG0000629	6183.Smp_005640.1, 6183.Smp_180200.1	AAF55959.3
OG0000630	6183.Smp_006680.1, 6183.Smp_031950.2	AAF55190.2
OG0000631	6183.Smp_006750.1, 6183.Smp_006760.1	NP_569979.1
OG0000632	6183.Smp_006960.1, 6183.Smp_128900.1, 6183.Smp_134770.1	
OG0000633	6183.Smp_006990.1	AAF47773.1, AAF47774.2
OG0000634	6183.Smp_007300.1, 6183.Smp_014270.1	AAF48701.1
OG0000635	6183.Smp_007660.1	AAF48482.2, NP_476967.1
OG0000636	6183.Smp_007760.1, 6183.Smp_130540.1	AAF48262.2
OG0000637	6183.Smp_007950.1, 6183.Smp_015920.1, 6183.Smp_024650.1	
OG0000638	6183.Smp_008310.1	AAF54585.1, AAF54602.2
OG0000639	6183.Smp_008340.1	AAF47471.2, NP_610499.2
OG0000640	6183.Smp_008860.1	AAF47705.1, AAF58711.2
OG0000641	6183.Smp_009230.1, 6183.Smp_191670.1, 6183.Smp_203090.1	
OG0000642	6183.Smp_010160.1, 6183.Smp_168350.1	AAF54216.1
OG0000643	6183.Smp_011990.1	AAF54736.1, NP_608978.2
OG0000644	6183.Smp_012050.1	AAF56322.2, AAF58480.1
OG0000645	6183.Smp_012400.1, 6183.Smp_059290.1	AAF56179.1
OG0000646	6183.Smp_012560.1, 6183.Smp_052470.1, 6183.Smp_198020.1	
OG0000647	6183.Smp_012580.1, 6183.Smp_155990.1	AAD38594.1
OG0000648	6183.Smp_012900.1, 6183.Smp_129720.1	AAF47501.1
OG0000649	6183.Smp_013040.2	AAF23824.1, AAF58249.1
OG0000650	6183.Smp_013070.1, 6183.Smp_196950.1	AAF59330.2
OG0000651	6183.Smp_013460.1, 6183.Smp_127650.1	AAF48452.1
OG0000652	6183.Smp_013690.1, 6183.Smp_075810.1	AAF49705.2
OG0000653	6183.Smp_013790.1	AAF46176.2, AAF51926.2
OG0000654	6183.Smp_013950.1, 6183.Smp_169050.1, 6183.Smp_169090.1	
OG0000655	6183.Smp_014260.1, 6183.Smp_014280.1, 6183.Smp_200450.1	
OG0000656	6183.Smp_014670.2, 6183.Smp_071140.1	NP_476877.1
OG0000657	6183.Smp_015070.1	AAF53555.2, NP_523585.2
OG0000658	6183.Smp_015220.1	NP_523574.4, NP_524102.1
OG0000659	6183.Smp_015690.1, 6183.Smp_157250.1, 6183.Smp_175070.1	
OG0000660	6183.Smp_015860.1	NP_477002.1, NP_477003.1
OG0000661	6183.Smp_016050.1, 6183.Smp_058170.2, 6183.Smp_099630.1	
OG0000662	6183.Smp_016180.1, 6183.Smp_034860.1, 6183.Smp_163790.1	
OG0000663	6183.Smp_016540.1, 6183.Smp_143380.1	NP_477023.1
OG0000664	6183.Smp_016890.1	AAF51144.2, NP_608463.1
OG0000665	6183.Smp_016920.1, 6183.Smp_048680.1	AAF46210.2
OG0000666	6183.Smp_017010.4	AAF56194.2, NP_524640.3
OG0000667	6183.Smp_017810.1, 6183.Smp_167860.1	AAF45353.1
OG0000668	6183.Smp_017980.1, 6183.Smp_142960.1	AAF51668.1
OG0000669	6183.Smp_018250.2, 6183.Smp_059170.2	AAF48803.2
OG0000670	6183.Smp_018290.1, 6183.Smp_165210.1	AAF48054.1
OG0000671	6183.Smp_018430.1	AAF48490.1, AAF57438.1
OG0000672	6183.Smp_018510.1, 6183.Smp_140530.1	NP_523915.1
OG0000673	6183.Smp_018530.2	NP_477216.1, NP_608561.2
OG0000674	6183.Smp_018890.1	AAF51220.2, NP_476676.1
OG0000675	6183.Smp_018990.1	AAF53048.2, NP_477161.1
OG0000676	6183.Smp_019040.1	AAF58836.2, AAF58837.2
OG0000677	6183.Smp_019490.1, 6183.Smp_099690.1	AAF56431.1
OG0000678	6183.Smp_019730.2	AAF51837.1, CAA15701.1
OG0000679	6183.Smp_019750.2	AAF57991.1, NP_524402.1
OG0000680	6183.Smp_019790.1, 6183.Smp_153500.1, 6183.Smp_191470.1	
OG0000681	6183.Smp_020120.1	AAF50148.1, AAF50931.1
OG0000682	6183.Smp_020170.1, 6183.Smp_124690.1	AAF48120.2
OG0000683	6183.Smp_020400.1	AAF48456.1, AAF48457.2
OG0000684	6183.Smp_021590.1	AAF58324.1, NP_476704.1
OG0000685	6183.Smp_021750.2	AAF47892.1, AAF51965.2
OG0000686	6183.Smp_021800.1	AAF46750.2, AAF54630.1
OG0000687	6183.Smp_022050.1, 6183.Smp_134070.1, 6183.Smp_134080.1	
OG0000688	6183.Smp_022090.1	AAF50223.2, AAF50224.3
OG0000689	6183.Smp_022110.1	AAF48444.1, AAF48445.2
OG0000690	6183.Smp_022150.1	AAF56253.1, NP_611191.1
OG0000691	6183.Smp_022870.1, 6183.Smp_178740.1	AAF58365.1
OG0000692	6183.Smp_022990.1	AAF53020.1, NP_476813.1
OG0000693	6183.Smp_023160.1	NP_476969.1, Q9VNL3.2
OG0000694	6183.Smp_023550.1, 6183.Smp_134000.1	AAF45686.2
OG0000695	6183.Smp_023620.1, 6183.Smp_095620.2, 6183.Smp_125440.1	
OG0000696	6183.Smp_023670.1	AAF52561.1, AAF53295.2
OG0000697	6183.Smp_024120.1	AAF48576.1, AAF56781.1
OG0000698	6183.Smp_024140.4	NP_476667.1, NP_611924.1
OG0000699	6183.Smp_024810.1, 6183.Smp_089220.1, 6183.Smp_173640.1	
OG0000700	6183.Smp_024900.1	NP_524372.1, T13480
OG0000701	6183.Smp_025690.1, 6183.Smp_178810.1	AAF08392.1
OG0000702	6183.Smp_026160.1	AAF47994.1, AAF54013.2
OG0000703	6183.Smp_026440.1	AAF47830.1, AAF53001.1
OG0000704	6183.Smp_026830.1, 6183.Smp_145630.1	AAF46366.1
OG0000705	6183.Smp_026920.1	AAF46692.1, P48596.3
OG0000706	6183.Smp_027550.1, 6183.Smp_167130.1	NP_610339.1
OG0000707	6183.Smp_027610.1, 6183.Smp_131450.1	NP_476632.1
OG0000708	6183.Smp_027750.1, 6183.Smp_045250.1	AAF57183.1
OG0000709	6183.Smp_027910.1	AAF46477.2, AAF46479.1
OG0000710	6183.Smp_028190.1, 6183.Smp_171620.1	NP_611208.1
OG0000711	6183.Smp_028430.1	AAF47382.1, NP_569852.1
OG0000712	6183.Smp_028490.1	AAF49471.1, AAF49473.1
OG0000713	6183.Smp_028550.1, 6183.Smp_137580.1, 6183.Smp_177200.1	
OG0000714	6183.Smp_028670.1	NP_523561.1, NP_572497.1
OG0000715	6183.Smp_029160.1	AAF56596.1, NP_609896.1
OG0000716	6183.Smp_029740.1	AAF58794.2, AAF59116.2
OG0000717	6183.Smp_029890.1	AAD49962.1, NP_524417.1
OG0000718	6183.Smp_030000.1, 6183.Smp_083870.1	AAF54991.2
OG0000719	6183.Smp_030330.2	AAF54101.1, AAF54887.2
OG0000720	6183.Smp_030780.1	AAF52416.2, NP_609597.1
OG0000721	6183.Smp_030860.1, 6183.Smp_162310.1	Q9V9K7.2
OG0000722	6183.Smp_031100.1, 6183.Smp_202480.1	AAF50542.2
OG0000723	6183.Smp_031360.1	AAF45970.1, AAF55893.1
OG0000724	6183.Smp_032310.1	AAF48696.1, AAF55233.4
OG0000725	6183.Smp_032480.1	NP_477268.2, NP_612109.3
OG0000726	6183.Smp_032500.1, 6183.Smp_161880.1	NP_523984.1
OG0000727	6183.Smp_032520.1, 6183.Smp_073400.1, 6183.Smp_075280.3	
OG0000728	6183.Smp_033260.2	AAF51571.1, NP_573362.1
OG0000729	6183.Smp_033330.1, 6183.Smp_170030.1	AAF50570.2
OG0000730	6183.Smp_033400.1	NP_477164.1, NP_477176.1
OG0000731	6183.Smp_033530.3, 6183.Smp_033540.1, 6183.Smp_140270.1	
OG0000732	6183.Smp_034120.1	AAF45335.2, NP_524298.1
OG0000733	6183.Smp_035190.2, 6183.Smp_199010.1	AAF53336.2
OG0000734	6183.Smp_035390.1	NP_477131.1, P29349.2
OG0000735	6183.Smp_035800.1	Q9VXX8.1, Q9W1U6.1
OG0000736	6183.Smp_036180.1, 6183.Smp_163080.1	AAF58458.1
OG0000737	6183.Smp_036270.2	AAF54968.1, AAF54969.2
OG0000738	6183.Smp_036920.1	AAF46843.1, NP_572776.1
OG0000739	6183.Smp_036940.1	AAF57466.1, NP_608337.1
OG0000740	6183.Smp_037020.1, 6183.Smp_142100.1	AAF54130.2
OG0000741	6183.Smp_037700.1	AAF53669.1, NP_608422.1
OG0000742	6183.Smp_037930.1, 6183.Smp_061500.1	AAF47531.2
OG0000743	6183.Smp_038240.1, 6183.Smp_135400.1	AAF52657.1
OG0000744	6183.Smp_038300.1	AAF54066.1, NP_524846.1
OG0000745	6183.Smp_038530.1	AAF47341.2, AAF57003.2
OG0000746	6183.Smp_038680.1	AAF46688.1, NP_573139.1
OG0000747	6183.Smp_038980.2	AAF45407.1, AAF54017.1
OG0000748	6183.Smp_040450.1	AAF50379.1, AAF53009.1
